mp,timeStamp,mean,skew
22.74,1660915880808,5694.208210281379,-5671.4682102813795
22.73,1660915884393,5943.881559048606,-5921.151559048606
22.73,1660915890374,6121.388707970372,-6098.658707970372
22.73,1660915893207,6283.4872898627455,-6260.757289862746
22.71,1660915907832,5501.961968829395,-5479.251968829395
22.72,1660915914844,5200.224413923376,-5177.504413923376
22.78,1660915928964,5154.1953017437445,-5131.415301743745
22.77,1660915938111,5205.142737593121,-5182.37273759312
22.77,1660915941548,5261.7463809694045,-5238.976380969404
22.75,1660915944350,5342.565638707048,-5319.815638707048
22.72,1660915959572,5561.521508713305,-5538.801508713304
22.72,1660915962509,5597.5625356767705,-5574.84253567677
22.72,1660915965830,5634.55642133768,-5611.83642133768
22.72,1660915971787,5667.61060422934,-5644.89060422934
22.72,1660915992907,5643.742941313049,-5621.022941313049
22.72,1660916005355,5667.917035330878,-5645.197035330878
22.72,1660916008427,5671.126484751896,-5648.406484751896
22.71,1660916011617,5676.707564933024,-5653.997564933024
22.72,1660916017558,5691.784526638507,-5669.064526638506
22.73,1660916020603,5727.876963067799,-5705.146963067799
22.72,1660916023776,5727.57053569159,-5704.850535691589
22.71,1660916030070,5727.8040094304615,-5705.0940094304615
22.71,1660916036547,5729.818808325976,-5707.108808325976
22.74,1660916055137,5909.976833651845,-5887.236833651845
22.73,1660916058788,5935.327324698334,-5912.597324698335
22.71,1660916068777,5922.360513077154,-5899.650513077154
22.71,1660916073012,5914.960996578799,-5892.250996578799
22.71,1660916080299,5907.409795127947,-5884.699795127947
22.71,1660916094277,5907.958280180442,-5885.248280180442
22.69,1660916102244,5921.745262915507,-5899.055262915507
22.68,1660916107291,5931.101766730748,-5908.421766730748
22.67,1660916112285,5936.06040538695,-5913.39040538695
22.67,1660916123937,5947.308945902291,-5924.638945902291
22.66,1660916129797,5938.9675057891445,-5916.307505789145
22.67,1660916135600,5951.779958595494,-5929.1099585954935
22.69,1660916153964,6013.465125405281,-5990.775125405281
22.69,1660916166824,6054.705404574179,-6032.015404574179
22.72,1660916190561,5997.844063888536,-5975.124063888536
22.74,1660916218128,6007.897547212652,-5985.157547212652
22.73,1660916227900,6003.9186373482,-5981.1886373482
22.74,1660916240718,6011.432427743194,-5988.6924277431945
