bc,ac,tbv,tav,time,mp,minBid
4893271.44,1229943254.05,629059.13,301532.22,1661520441572,23.04,22.95
4856936.23,1229974306.81,627484.67,302885.20,1661520445856,23.02,22.93
4888973.38,1229972140.71,628891.48,302797.25,1661520448511,23.01,22.92
4904591.43,1229943957.33,629568.36,301568.78,1661520450877,23.03,22.92
4903009.95,1229949821.27,629497.48,301822.89,1661520453861,23.03,22.92
4901796.81,1229943807.13,629434.60,301560.93,1661520457211,23.04,22.92
4922481.55,1229929394.90,630333.17,300935.10,1661520460015,23.04,22.92
4895710.18,1229976796.79,629170.28,302992.85,1661520462515,23.04,22.92
4892239.39,1229962417.14,629019.32,302368.84,1661520465766,23.03,22.92
4927342.53,1229941757.31,630544.43,301472.08,1661520468801,23.04,22.92
4906134.56,1229928994.55,629620.06,300917.17,1661520471599,23.05,22.92
4902673.99,1229931607.87,629469.58,301030.62,1661520474650,23.05,22.92
4897855.61,1229954379.19,629260.77,302018.64,1661520477486,23.05,22.92
4900049.10,1229942944.06,629356.54,301522.12,1661520480625,23.04,22.92
4896678.17,1229958927.19,629211.29,302217.71,1661520483576,23.04,22.92
4887471.93,1229899832.22,628815.67,299666.37,1661520486658,23.03,22.92
4914044.22,1229940232.45,629969.32,301414.28,1661520489619,23.03,22.92
4894755.61,1229949343.05,629130.68,301806.96,1661520492659,23.03,22.92
4879129.19,1229943943.68,628455.62,301572.04,1661520495647,23.02,22.92
4897144.92,1229930537.17,629238.29,300981.41,1661520498621,23.03,22.92
4881758.44,1229963495.18,628569.80,302411.07,1661520501637,23.03,22.92
4905153.79,1229954378.13,629586.12,302015.26,1661520504555,23.03,22.92
4894848.04,1229980080.49,629138.96,303130.95,1661520507801,23.03,22.92
4879902.81,1229935889.21,628482.36,301216.16,1661520510623,23.05,22.92
4898733.39,1229958525.26,629301.27,302189.98,1661520513542,23.06,22.92
4901620.75,1229943254.94,629427.25,301520.69,1661520516626,23.04,22.92
4890859.50,1229970344.22,628983.08,302721.21,1661520519512,23.04,22.92
4884507.43,1229951070.93,628708.60,301888.06,1661520522551,23.04,22.92
4893743.38,1229955631.73,629123.03,302098.49,1661520525624,23.03,22.92
4874121.23,1229976302.90,628278.84,302999.07,1661520528536,23.02,22.92
4901051.80,1229946623.28,629450.68,301711.33,1661520531465,23.02,22.92
4886056.75,1229956426.83,628805.67,302138.57,1661520534542,23.01,22.92
4883041.19,1229966289.20,628682.80,302575.31,1661520537623,23,22.91
4890185.31,1229976433.52,628995.31,303016.72,1661520540575,23,22.91
4891396.70,1229960512.84,629045.94,302368.90,1661520543615,23,22.91
4905990.31,1229961262.43,629688.35,302401.85,1661520546575,23,22.91
4919779.98,1229947268.52,630287.86,301796.17,1661520549595,23,22.91
4899155.66,1229958680.41,629389.68,302295.99,1661520552602,23.01,22.91
4904049.54,1229927183.78,629597.08,300922.77,1661520555671,23.02,22.91
4872298.26,1229901466.45,628210.59,299805.63,1661520558543,23.04,22.91
