mp,timeStamp,mean,skew
13.2,1670002864016,3225.3607604615363,-3212.1607604615365
13.2,1670002866920,3333.2693443112234,-3320.0693443112236
13.2,1670002872821,3426.014178140245,-3412.814178140245
13.2,1670002875836,3454.6299311562934,-3441.4299311562936
13.2,1670002879188,3474.935083886468,-3461.735083886468
13.21,1670002884912,3491.6473074468176,-3478.4373074468176
13.21,1670002888657,3498.9755308951867,-3485.7655308951867
13.21,1670002893920,3513.9062582206648,-3500.6962582206647
13.21,1670002899957,3517.67018120284,-3504.46018120284
13.21,1670002902927,3525.05417178425,-3511.8441717842497
13.21,1670002906464,3523.5800953304556,-3510.3700953304556
13.21,1670002908998,3522.932888315311,-3509.722888315311
13.21,1670002912034,3521.507990999146,-3508.297990999146
13.21,1670002914975,3518.8825935386435,-3505.6725935386435
13.21,1670002918032,3517.2856110546404,-3504.0756110546404
13.21,1670002921616,3517.2498920138123,-3504.0398920138123
13.21,1670002924224,3517.2170343882153,-3504.0070343882153
13.21,1670002930182,3518.214269990485,-3505.0042699904848
13.21,1670002933184,3497.3873799786948,-3484.1773799786947
13.21,1670002936296,3479.9441603751507,-3466.7341603751506
13.21,1670002939265,3461.050624573691,-3447.840624573691
13.21,1670002948270,3418.2974969530896,-3405.0874969530896
13.21,1670002954486,3395.952392345624,-3382.742392345624
13.21,1670002960676,3372.0679425845788,-3358.8579425845787
13.21,1670002978847,3306.9378198828317,-3293.7278198828317
13.21,1670002981860,3298.668829506845,-3285.458829506845
13.21,1670002984762,3292.18600247802,-3278.97600247802
13.21,1670002987799,3284.275437043661,-3271.065437043661
13.21,1670002997038,3263.3775406026043,-3250.1675406026043
13.22,1670002999991,3268.7694891997285,-3255.5494891997287
13.22,1670003003257,3274.141373527793,-3260.921373527793
13.22,1670003006278,3279.1185878745723,-3265.8985878745725
13.22,1670003009177,3284.957159460404,-3271.737159460404
13.22,1670003012716,3290.589214467518,-3277.3692144675183
13.23,1670003015235,3298.95061348122,-3285.72061348122
13.22,1670003018357,3314.1994506403303,-3300.9794506403305
13.22,1670003021420,3329.639002723205,-3316.4190027232053
13.21,1670003024510,3335.6064231488836,-3322.3964231488835
13.22,1670003027541,3349.7221882373915,-3336.5021882373917
13.22,1670003030590,3363.3531267207063,-3350.1331267207065
13.22,1670003033586,3375.953178850303,-3362.7331788503034
13.22,1670003036742,3390.2653111603113,-3377.0453111603115
13.22,1670003040194,3403.575627690983,-3390.355627690983
13.22,1670003042932,3415.4591617302253,-3402.2391617302255
13.22,1670003046518,3427.0754605537118,-3413.855460553712
13.22,1670003049127,3438.3143486836916,-3425.094348683692
13.23,1670003052165,3450.4154536531364,-3437.1854536531364
13.23,1670003055290,3453.7946304514107,-3440.5646304514107
13.23,1670003058346,3457.638045390206,-3444.408045390206
13.23,1670003061311,3460.627096977441,-3447.397096977441
13.23,1670003064390,3454.273760293984,-3441.043760293984
