bc,ac,tbv,tav,time,mp,minBid
4217284.94,2209594004.55,578877.44,243241.00,1667577375004,19.1,19.03
4214254.44,2209611475.15,578719.35,244155.61,1667577378016,19.1,19.03
4200633.55,2209610546.84,578007.09,244107.94,1667577380953,19.09,19.02
4196320.58,2209613986.90,577781.05,244288.40,1667577383877,19.09,19.02
4182252.87,2209602555.43,577045.13,243692.42,1667577386867,19.09,19.02
4174445.88,2209597099.63,576640.92,243407.41,1667577389925,19.09,19.02
4192039.40,2209565504.60,577564.88,241752.40,1667577392906,19.09,19.02
4214548.27,2209587372.62,578744.37,242895.59,1667577395854,19.09,19.02
4210917.51,2209590203.10,578551.68,243043.61,1667577398832,19.09,19.02
4209464.08,2209599301.73,578476.92,243520.07,1667577401939,19.09,19.02
4222418.46,2209595816.97,579155.43,243337.18,1667577404859,19.1,19.02
4205607.29,2209593461.69,578268.35,243214.35,1667577407981,19.1,19.02
4220572.12,2209589087.92,579042.91,242984.63,1667577410918,19.1,19.02
4225955.80,2209590790.26,579325.63,243072.33,1667577413997,19.1,19.02
4219164.92,2209593777.44,578965.31,243227.92,1667577416993,19.1,19.02
4234589.65,2209601675.49,579775.22,243640.00,1667577419937,19.1,19.02
4230112.29,2209605026.28,579540.59,243815.98,1667577422899,19.1,19.02
4214920.16,2209608401.23,578742.64,244027.49,1667577426346,19.1,19.02
4209768.91,2209595915.87,578472.90,243374.76,1667577428949,19.1,19.02
4225542.54,2209595423.39,579299.58,243348.97,1667577431842,19.1,19.02
4209842.82,2209603255.00,578472.82,243758.91,1667577435012,19.11,19.02
4217766.32,2209595449.41,578873.85,243344.96,1667577437970,19.12,19.02
4221639.99,2209608571.19,579077.27,244031.08,1667577441222,19.12,19.02
4216350.62,2209601553.63,578799.61,243664.47,1667577443967,19.12,19.02
4227783.46,2209587630.03,579400.07,242934.43,1667577446972,19.11,19.02
4217979.21,2209606386.49,578873.17,243913.23,1667577449869,19.12,19.02
4193749.99,2209602671.95,577607.94,243720.78,1667577453061,19.11,19.02
4207648.41,2209609207.63,578337.14,244064.93,1667577455886,19.11,19.02
