time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1668179528578,13.98,44,2978535.42,209449798.36,13593,1668179516636,1668179530229,14.18

1668179652981,14.21,17,2981033.32,209471688.88,59003,1668179597770,1668179656773,14.2
1668179652981,14.21,18,2981033.32,209471688.88,59003,1668179597770,1668179656773,14.2
1668179652981,14.21,19,2981033.32,209471688.88,65221,1668179591552,1668179656773,14.2
1668179652981,14.21,20,2981033.32,209471688.88,71028,1668179585745,1668179656773,14.2
1668179652981,14.21,21,2981033.32,209471688.88,71028,1668179585745,1668179656773,14.2
1668179652981,14.21,22,2981033.32,209471688.88,74763,1668179582010,1668179656773,14.2
1668179652981,14.21,7,2981033.32,209471688.88,25203,1668179631570,1668179656773,14.2
1668179652981,14.21,101,2981033.32,209471688.88,314202,1668179342571,1668179656773,14.2
1668179652981,14.21,105,2981033.32,209471688.88,326304,1668179330469,1668179656773,14.2
1668179652981,14.21,106,2981033.32,209471688.88,328894,1668179327879,1668179656773,14.2
1668179652981,14.21,23,2981033.32,209471688.88,77875,1668179578898,1668179656773,14.2
1668179652981,14.21,16,2981033.32,209471688.88,58368,1668179598405,1668179656773,14.2
1668179657411,14.21,7,2999444.41,209147239.70,25716,1668179635559,1668179661275,14.22
1668179657411,14.21,9,2999444.41,209147239.70,36051,1668179625224,1668179661275,14.22
1668179657411,14.21,10,2999444.41,209147239.70,36639,1668179624636,1668179661275,14.22
1668179657411,14.21,11,2999444.41,209147239.70,43404,1668179617871,1668179661275,14.22
1668179657411,14.21,12,2999444.41,209147239.70,43899,1668179617376,1668179661275,14.22
1668179657411,14.21,16,2999444.41,209147239.70,57079,1668179604196,1668179661275,14.22
1668179657411,14.21,25,2999444.41,209147239.70,85419,1668179575856,1668179661275,14.22
1668179657411,14.21,26,2999444.41,209147239.70,88394,1668179572881,1668179661275,14.22
1668179657411,14.21,27,2999444.41,209147239.70,91536,1668179569739,1668179661275,14.22
1668179657411,14.21,5,2999444.41,209147239.70,13150,1668179648124,1668179661274,14.22
1668179657411,14.21,29,2999444.41,209147239.70,88394,1668179572881,1668179661275,14.22
1668179657411,14.21,30,2999444.41,209147239.70,88394,1668179572881,1668179661275,14.22
1668179657411,14.21,31,2999444.41,209147239.70,103754,1668179557521,1668179661275,14.22
1668179657411,14.21,32,2999444.41,209147239.70,103754,1668179557521,1668179661275,14.22
1668179657411,14.21,33,2999444.41,209147239.70,109901,1668179551374,1668179661275,14.22
1668179657411,14.21,34,2999444.41,209147239.70,112794,1668179548481,1668179661275,14.22
1668179657411,14.21,35,2999444.41,209147239.70,115950,1668179545325,1668179661275,14.22
1668179657411,14.21,36,2999444.41,209147239.70,118964,1668179542311,1668179661275,14.22
1668179657411,14.21,37,2999444.41,209147239.70,122081,1668179539194,1668179661275,14.22
1668179657411,14.21,38,2999444.41,209147239.70,122081,1668179539194,1668179661275,14.22
1668179657411,14.21,28,2999444.41,209147239.70,94242,1668179567033,1668179661275,14.22
1668179657411,14.21,6,2999444.41,209147239.70,13151,1668179648124,1668179661275,14.22
1668179657411,14.21,4,2999444.41,209147239.70,13150,1668179648124,1668179661274,14.22
1668179851148,14.25,3,3028613.74,209477632.18,16824,1668179842195,1668179859019,14.2
1668179877344,14.26,45,3010159.88,209491765.58,54587,1668179831258,1668179885845,14.21
1668179877344,14.26,46,3010159.88,209491765.58,54587,1668179831258,1668179885845,14.21
1668179877344,14.26,47,3010159.88,209491765.58,54588,1668179831258,1668179885846,14.21
1668179877344,14.26,48,3010159.88,209491765.58,54588,1668179831258,1668179885846,14.21
1668179877344,14.26,44,3010159.88,209491765.58,54587,1668179831258,1668179885845,14.21
1668179877344,14.26,43,3010159.88,209491765.58,54587,1668179831258,1668179885845,14.21
1668179974968,14.26,5,3018819.39,209495680.28,41691,1668179943282,1668179984973,14.21
1668180007189,14.30,7,2641444.62,209244693.04,53810,1668179963825,1668180017635,14.24
1668180007189,14.30,9,2641444.62,209244693.04,53810,1668179963825,1668180017635,14.24
1668180007189,14.30,10,2641444.62,209244693.04,53810,1668179963825,1668180017635,14.24
1668180007189,14.30,11,2641444.62,209244693.04,43229,1668179974406,1668180017635,14.24
1668180007189,14.30,12,2641444.62,209244693.04,107072,1668179910563,1668180017635,14.24
1668180007189,14.30,6,2641444.62,209244693.04,53810,1668179963825,1668180017635,14.24
1668180007189,14.30,24,2641444.62,209244693.04,143278,1668179874357,1668180017635,14.24
1668180007189,14.30,25,2641444.62,209244693.04,143278,1668179874357,1668180017635,14.24
1668180007189,14.30,26,2641444.62,209244693.04,192327,1668179825308,1668180017635,14.24
1668180007189,14.30,22,2641444.62,209244693.04,53810,1668179963825,1668180017635,14.24
1668180007189,14.30,28,2641444.62,209244693.04,195906,1668179821729,1668180017635,14.24
1668180007189,14.30,45,2641444.62,209244693.04,285392,1668179732244,1668180017636,14.24
1668180007189,14.30,46,2641444.62,209244693.04,285392,1668179732244,1668180017636,14.24
1668180007189,14.30,47,2641444.62,209244693.04,285392,1668179732244,1668180017636,14.24
1668180007189,14.30,27,2641444.62,209244693.04,192326,1668179825309,1668180017635,14.24
1668180007189,14.30,5,2641444.62,209244693.04,43229,1668179974406,1668180017635,14.24
1668180007189,14.30,48,2641444.62,209244693.04,297675,1668179719961,1668180017636,14.24
1668180029469,14.32,6,2644283.75,209193315.60,55134,1668179984973,1668180040107,14.28
1668180029469,14.32,15,2644283.75,209193315.60,141565,1668179898542,1668180040107,14.28
1668180029469,14.32,16,2644283.75,209193315.60,144490,1668179895617,1668180040107,14.28
1668180029469,14.32,17,2644283.75,209193315.60,145161,1668179894946,1668180040107,14.28
1668180029469,14.32,19,2644283.75,209193315.60,145161,1668179894946,1668180040107,14.28
1668180029469,14.32,20,2644283.75,209193315.60,168931,1668179871176,1668180040107,14.28
1668180029469,14.32,21,2644283.75,209193315.60,169426,1668179870681,1668180040107,14.28
1668180029469,14.32,22,2644283.75,209193315.60,180464,1668179859643,1668180040107,14.28
1668180029469,14.32,23,2644283.75,209193315.60,181088,1668179859019,1668180040107,14.28
1668180029469,14.32,31,2644283.75,209193315.60,225850,1668179814257,1668180040107,14.28
1668180029469,14.32,32,2644283.75,209193315.60,154262,1668179885845,1668180040107,14.28
1668180029469,14.32,33,2644283.75,209193315.60,154262,1668179885845,1668180040107,14.28
1668180029469,14.32,34,2644283.75,209193315.60,239475,1668179800633,1668180040108,14.28
1668180029469,14.32,35,2644283.75,209193315.60,247159,1668179792949,1668180040108,14.28
1668180029469,14.32,36,2644283.75,209193315.60,254152,1668179785956,1668180040108,14.28
1668180029469,14.32,37,2644283.75,209193315.60,261209,1668179778899,1668180040108,14.28
1668180029469,14.32,38,2644283.75,209193315.60,239475,1668179800633,1668180040108,14.28
1668180029469,14.32,39,2644283.75,209193315.60,273529,1668179766579,1668180040108,14.28
1668180029469,14.32,40,2644283.75,209193315.60,276486,1668179763622,1668180040108,14.28
1668180029469,14.32,41,2644283.75,209193315.60,277137,1668179762971,1668180040108,14.28
1668180029469,14.32,42,2644283.75,209193315.60,277137,1668179762971,1668180040108,14.28
1668180029469,14.32,4,2644283.75,209193315.60,33495,1668180006612,1668180040107,14.28
1668180029469,14.32,44,2644283.75,209193315.60,292938,1668179747170,1668180040108,14.28
1668180029469,14.32,45,2644283.75,209193315.60,292938,1668179747170,1668180040108,14.28
1668180029469,14.32,46,2644283.75,209193315.60,302006,1668179738102,1668180040108,14.28
1668180029469,14.32,51,2644283.75,209193315.60,328132,1668179711976,1668180040108,14.28
1668180029469,14.32,52,2644283.75,209193315.60,328704,1668179711404,1668180040108,14.28
1668180029469,14.32,53,2644283.75,209193315.60,334176,1668179705932,1668180040108,14.28
1668180029469,14.32,54,2644283.75,209193315.60,339489,1668179700619,1668180040108,14.28
1668180029469,14.32,55,2644283.75,209193315.60,344790,1668179695318,1668180040108,14.28
1668180029469,14.32,5,2644283.75,209193315.60,44361,1668179995746,1668180040107,14.28
1668180029469,14.32,57,2644283.75,209193315.60,355037,1668179685071,1668180040108,14.28
1668180029469,14.32,58,2644283.75,209193315.60,360057,1668179680051,1668180040108,14.28
1668180029469,14.32,18,2644283.75,209193315.60,154262,1668179885845,1668180040107,14.28
1668180029469,14.32,56,2644283.75,209193315.60,349929,1668179690179,1668180040108,14.28
1668180029469,14.32,43,2644283.75,209193315.60,286810,1668179753298,1668180040108,14.28
1668180359487,14.32,6,3005036.26,209483322.51,15668,1668180358872,1668180374540,14.28
1668180359487,14.32,7,3005036.26,209483322.51,67433,1668180307107,1668180374540,14.28
1668180359487,14.32,13,3005036.26,209483322.51,108094,1668180266446,1668180374540,14.28
1668180359487,14.32,2,3005036.26,209483322.51,15667,1668180358872,1668180374539,14.28
1668180359487,14.32,5,3005036.26,209483322.51,49377,1668180325162,1668180374539,14.28
1668181676308,14.22,46,3017091.35,209496578.32,754291,1668180955332,1668181709623,14.18
1668181676308,14.22,47,3017091.35,209496578.32,754291,1668180955332,1668181709623,14.18
1668181676308,14.22,48,3017091.35,209496578.32,754291,1668180955332,1668181709623,14.18
