bc,ac,tbv,tav,time,mp,minBid
4231701.24,2215820287.16,634551.26,354268.04,1665770207034,15.86,15.8
4231701.26,2215814372.07,634551.26,353894.77,1665770209845,15.86,15.8
4239932.90,2215812305.60,635070.60,353764.46,1665770212662,15.86,15.8
4232198.15,2215815953.26,634582.60,353994.35,1665770215856,15.86,15.8
4232197.99,2215815714.55,634582.59,353979.30,1665770218737,15.86,15.8
4232197.82,2215815952.71,634582.59,353994.31,1665770222456,15.86,15.8
4232198.29,2215810381.40,634582.61,353643.87,1665770224900,15.86,15.8
4233382.31,2215810133.84,634658.44,353628.87,1665770227818,15.86,15.8
4243865.26,2215808676.42,635319.03,353539.50,1665770230975,15.86,15.8
4235599.08,2215804675.66,634797.98,353287.40,1665770233893,15.86,15.8
4240564.37,2215807551.05,635108.01,353465.90,1665770236915,15.87,15.8
4231979.49,2215806891.90,634565.72,353424.39,1665770239699,15.87,15.8
4231979.49,2215811465.76,634565.72,353712.21,1665770242806,15.87,15.8
4236094.37,2215806982.28,634824.55,353429.68,1665770245767,15.87,15.8
4251048.78,2215797968.30,635761.62,352854.54,1665770248760,15.87,15.8
4253008.65,2215809324.52,635885.25,353570.66,1665770251795,15.87,15.8
4234385.56,2215818235.80,634709.30,354128.50,1665770254785,15.88,15.8
4231215.80,2215827546.01,634510.56,354713.28,1665770257719,15.88,15.8
4234184.97,2215817427.98,634698.14,354076.92,1665770260753,15.88,15.8
4234184.97,2215817427.98,634698.14,354076.92,1665770263543,15.88,15.8
4231270.57,2215817428.12,634513.92,354076.93,1665770266614,15.88,15.8
4235522.49,2215820886.42,634782.39,354294.26,1665770269556,15.88,15.8
4235522.49,2215820886.42,634782.39,354294.26,1665770272678,15.88,15.8
4235523.44,2215820888.49,634782.39,354294.26,1665770275626,15.88,15.8
4236891.02,2215807691.33,634867.85,353463.46,1665770278623,15.88,15.8
4236480.94,2215808905.96,634841.36,353539.66,1665770281591,15.88,15.8
4237654.11,2215814033.67,634915.28,353862.36,1665770284662,15.88,15.8
4235746.11,2215815735.01,634795.16,353969.49,1665770287725,15.88,15.8
4234286.22,2215815734.00,634703.23,353969.51,1665770290696,15.88,15.8
4234286.22,2215815732.47,634703.23,353969.51,1665770293696,15.88,15.8
4232529.71,2215815730.96,634592.37,353969.54,1665770296647,15.88,15.8
4226763.90,2215824057.38,634228.47,354492.69,1665770299622,15.88,15.8
4228091.85,2215824057.10,634312.41,354492.67,1665770302714,15.88,15.8
4223181.54,2215824057.10,633997.27,354492.67,1665770305955,15.88,15.8
4226118.66,2215824057.23,634182.65,354492.68,1665770308869,15.88,15.8
4233797.47,2215813939.29,634666.72,353856.31,1665770311686,15.88,15.8
4231915.52,2215815554.93,634548.15,353958.09,1665770314743,15.88,15.8
4229203.89,2215824493.98,634379.42,354522.52,1665770317595,15.87,15.8
4224873.89,2215828997.83,634110.17,354809.11,1665770320622,15.87,15.8
4237300.39,2215804354.68,634892.52,353256.82,1665770323727,15.87,15.8
4243846.31,2215821802.59,635304.21,354355.19,1665770326783,15.88,15.8
4226082.45,2215817524.23,634184.89,354086.70,1665770329623,15.87,15.8
4225539.48,2215820887.64,634150.82,354298.48,1665770332729,15.87,15.8
4229128.39,2215804444.44,634373.88,353263.07,1665770335663,15.88,15.8
4236614.23,2215810972.01,634845.82,353673.79,1665770338616,15.88,15.8
4236615.67,2215810972.01,634845.73,353673.79,1665770341730,15.88,15.8
4238366.00,2215811219.99,634955.94,353689.42,1665770344655,15.88,15.8
