mp,timeStamp,mean,skew
15.86,1665770209856,2993.222661913746,-2977.362661913746
15.86,1665770212674,2994.8087234470363,-2978.948723447036
15.86,1665770215876,2978.075367855225,-2962.215367855225
15.86,1665770218763,2971.0290387687332,-2955.169038768733
15.86,1665770222496,2963.9145200356156,-2948.0545200356155
15.86,1665770224954,2959.0741918702256,-2943.2141918702255
15.86,1665770227885,2954.1153762216245,-2938.2553762216244
15.86,1665770231051,2954.0694443890825,-2938.2094443890824
15.87,1665770237021,2989.4577263976626,-2973.5877263976627
15.87,1665770239809,3021.9813486369667,-3006.111348636967
15.87,1665770242937,3050.105001651598,-3034.235001651598
15.87,1665770245919,3074.763349447193,-3058.893349447193
15.87,1665770248932,3104.798669000713,-3088.928669000713
15.87,1665770251988,3127.301294814319,-3111.4312948143192
15.88,1665770269999,3047.4876759611243,-3031.607675961124
15.88,1665770273154,3037.6160525116243,-3021.736052511624
15.88,1665770276128,3028.1970667156284,-3012.3170667156282
15.88,1665770279159,3019.4952734152153,-3003.615273415215
15.88,1665770282162,3011.3716073141773,-2995.491607314177
15.88,1665770285271,3003.3162374708654,-2987.4362374708653
15.88,1665770288375,2995.8074175685556,-2979.9274175685555
15.88,1665770291383,2990.1846801709667,-2974.3046801709665
15.88,1665770294426,2984.937591185157,-2969.057591185157
15.88,1665770297415,2980.7527948056522,-2964.872794805652
15.88,1665770300428,2977.9256750241807,-2962.0456750241806
15.88,1665770303560,2975.001321366218,-2959.1213213662177
15.88,1665770306858,2971.81442861718,-2955.93442861718
15.88,1665770309810,2969.2562946759263,-2953.376294675926
15.88,1665770312667,2965.597952914758,-2949.717952914758
15.88,1665770315783,2962.099815287759,-2946.219815287759
15.87,1665770318681,2973.986000653644,-2958.1160006536443
15.87,1665770321758,2985.3783651568724,-2969.5083651568725
15.87,1665770324898,2997.7943603491176,-2981.9243603491177
15.88,1665770328007,3009.2077005428678,-2993.3277005428677
15.87,1665770331118,3020.373147802574,-3004.503147802574
15.88,1665770337019,3026.831981425258,-3010.951981425258
15.88,1665770340028,3023.57667576487,-3007.6966757648697
15.88,1665770343208,3020.46204917755,-3004.58204917755
15.88,1665770346223,3017.0181641911126,-3001.1381641911125
15.88,1665770349402,3013.938082963661,-2998.058082963661
15.88,1665770352390,3011.1484489716286,-2995.2684489716285
15.88,1665770355399,3008.409645857028,-2992.529645857028
15.88,1665770358458,3005.9551904660625,-2990.0751904660624
15.88,1665770361467,3003.3107150913133,-2987.4307150913132
15.88,1665770364601,3001.6244081216996,-2985.7444081216995
15.88,1665770367660,2999.293546665331,-2983.413546665331
15.88,1665770370788,2996.9928671298803,-2981.11286712988
15.88,1665770373773,2994.776438081077,-2978.8964380810767
15.88,1665770380060,2989.7776029375145,-2973.8976029375144
15.88,1665770383118,2987.5814777652263,-2971.701477765226
15.88,1665770389311,2983.1868519368027,-2967.3068519368026
15.88,1665770395707,2983.399412178683,-2967.519412178683
15.88,1665770399290,2982.225203465819,-2966.345203465819
15.88,1665770403295,2980.990063033846,-2965.110063033846
15.88,1665770406947,2980.5767644753373,-2964.696764475337
15.87,1665770410694,2989.528532323819,-2973.658532323819
15.87,1665770414574,2997.592753081049,-2981.722753081049
15.87,1665770418534,3005.7895679830776,-2989.9195679830777
15.87,1665770425675,3018.8899571666298,-3003.01995716663
15.87,1665770436084,3036.538561174557,-3020.668561174557
15.87,1665770440712,3042.2101493356586,-3026.3401493356587
15.87,1665770445359,3047.238015625995,-3031.368015625995
15.86,1665770453298,3051.4073421390185,-3035.5473421390184
15.86,1665770458364,3050.0642833054944,-3034.2042833054943
15.86,1665770466690,3047.825249193429,-3031.965249193429
15.86,1665770472183,3046.9204170054354,-3031.0604170054353
15.86,1665770477716,3046.0973537647837,-3030.2373537647836
