mp,timeStamp,mean,skew
20.1,1662730073803,4495.247183841059,-4475.147183841059
20.09,1662730076210,4507.166109082969,-4487.076109082969
20.11,1662730091181,4733.473766376114,-4713.363766376115
20.11,1662730093920,4752.2449441862145,-4732.134944186215
20.13,1662730100647,4796.0255745095765,-4775.895574509576
20.13,1662730103644,4813.1087734752555,-4792.978773475255
20.13,1662730106313,4821.646664239456,-4801.516664239456
20.13,1662730109626,4831.18828767411,-4811.05828767411
20.13,1662730112100,4829.09537107159,-4808.96537107159
20.13,1662730118083,4829.871467030155,-4809.741467030155
20.13,1662730121372,4833.488596424061,-4813.358596424061
20.13,1662730127174,4836.467008633217,-4816.337008633217
20.12,1662730133216,4782.176094085848,-4762.056094085848
20.12,1662730142356,4673.120423795814,-4653.000423795814
20.13,1662730148707,4657.978845017635,-4637.848845017635
20.13,1662730157066,4677.403626057822,-4657.273626057822
20.13,1662730161640,4693.470842376563,-4673.340842376563
20.13,1662730167399,4707.221384016549,-4687.091384016549
20.12,1662730172929,4707.623559197535,-4687.503559197535
20.12,1662730182109,4652.253569971813,-4632.133569971813
20.12,1662730185128,4656.7118377885145,-4636.591837788515
20.12,1662730188216,4661.693020652643,-4641.573020652643
20.12,1662730191093,4666.413832660135,-4646.293832660135
20.11,1662730197292,4671.701965925273,-4651.591965925273
20.11,1662730203477,4677.720004573397,-4657.610004573397
20.12,1662730206575,4653.840607306694,-4633.720607306695
20.13,1662730209966,4658.797618009548,-4638.667618009548
20.13,1662730215763,4666.559638477707,-4646.429638477707
20.14,1662730221862,4670.471195284129,-4650.331195284129
20.14,1662730231278,4684.912065696988,-4664.772065696988
20.14,1662730237684,4696.512368460269,-4676.372368460268
20.13,1662730240750,4703.632317243286,-4683.502317243286
20.14,1662730246952,4717.991495182497,-4697.851495182496
20.15,1662730250212,4724.777407335174,-4704.627407335174
20.16,1662730265999,4757.974866061287,-4737.814866061287
20.17,1662730272946,4730.520996128758,-4710.350996128758
20.17,1662730277131,4722.67432308147,-4702.50432308147
20.17,1662730281333,4713.407714287193,-4693.237714287193
20.17,1662730288831,4691.412399699282,-4671.242399699282
20.17,1662730293442,4681.760800862299,-4661.590800862299
20.18,1662730298168,4684.352367402403,-4664.172367402402
20.17,1662730302987,4675.201094904003,-4655.031094904003
20.16,1662730307782,4665.411626384407,-4645.251626384407
20.17,1662730313165,4654.47730579044,-4634.30730579044
20.17,1662730327622,4643.925248467557,-4623.755248467557
20.19,1662730333242,4645.9718845472225,-4625.781884547223
20.22,1662730345488,4618.301868471618,-4598.081868471618
20.21,1662730351507,4604.148715036474,-4583.938715036474
