bc,ac,tbv,tav,time,mp,minBid
5274744.60,215392137.50,694983.32,304897.19,1664543756415,17.21,17.14
5277082.20,215394567.01,695119.08,305037.53,1664543759094,17.21,17.14
5273272.35,215391125.05,694896.46,304837.47,1664543762190,17.21,17.14
5275869.41,215389455.36,695046.82,304741.09,1664543765009,17.21,17.14
5253834.71,215361911.73,693758.14,303136.84,1664543768128,17.22,17.14
5285578.64,215383653.95,695603.68,304396.63,1664543771045,17.22,17.14
5271974.14,215387879.82,694817.49,304643.12,1664543774037,17.22,17.14
5267546.61,215386196.77,694565.06,304549.22,1664543777103,17.21,17.14
5274044.82,215394674.89,694943.55,305042.95,1664543780089,17.21,17.14
5272275.67,215403597.63,694839.77,305553.67,1664543783003,17.21,17.14
5267254.89,215405865.80,694547.71,305685.48,1664543786139,17.21,17.14
5270021.72,215404380.44,694709.20,305599.17,1664543789637,17.21,17.14
5275880.37,215403574.75,695049.96,305552.15,1664543792158,17.21,17.14
5280622.82,215398634.78,695319.41,305261.89,1664543795298,17.22,17.14
5255017.45,215416870.02,693834.83,306324.50,1664543798094,17.21,17.14
5268509.46,215403301.73,694619.16,305535.22,1664543801185,17.21,17.14
5276507.54,215405345.79,695100.41,305653.89,1664543804175,17.21,17.14
5289354.18,215405345.79,695847.47,305653.89,1664543807104,17.21,17.14
5276377.83,215406128.85,695092.60,305699.39,1664543810085,17.21,17.14
5230758.29,215406393.56,692434.85,305519.30,1664543813177,17.21,17.14
5265614.35,215415675.57,694465.44,306058.17,1664543816386,17.21,17.14
5291126.20,215409708.03,695948.81,305711.40,1664543819111,17.21,17.14
5274704.97,215409707.61,694994.11,305711.40,1664543822203,17.21,17.14
5286466.75,215418339.22,695677.78,306212.27,1664543825273,17.21,17.14
5295711.10,215408656.02,696211.52,305646.78,1664543828558,17.22,17.14
5292742.17,215416079.53,696033.30,306071.35,1664543831481,17.23,17.14
5277419.54,215420625.88,695145.87,306337.35,1664543835198,17.22,17.14
5282728.47,215416422.88,695454.49,306094.81,1664543837738,17.22,17.14
5281873.36,215419275.21,695405.10,306260.94,1664543840073,17.22,17.14
5281873.36,215420852.33,695405.10,306352.59,1664543843273,17.22,17.14
5257480.61,215415865.99,693983.95,306062.88,1664543846115,17.22,17.14
5253382.52,215409521.64,693743.14,305693.37,1664543849191,17.22,17.14
5234349.27,215421315.55,692627.25,306378.49,1664543852404,17.22,17.14
5259995.50,215424113.98,694119.29,306540.73,1664543855140,17.22,17.14
