bc,ac,tbv,tav,time,mp,minBid
4900343.83,1228742520.46,677447.76,279314.41,1661801191868,18.91,18.83
4900882.79,1228744705.83,677475.82,279429.30,1661801195487,18.91,18.83
4917566.03,1228743840.78,678359.20,279382.68,1661801197367,18.91,18.83
4911376.46,1228760082.24,678031.61,280240.98,1661801200645,18.91,18.83
4899816.29,1228762047.06,677419.50,280347.19,1661801203533,18.91,18.83
4910928.90,1228758333.75,678007.58,280148.90,1661801206665,18.91,18.83
4899816.40,1228737794.49,677419.51,279065.92,1661801209275,18.9,18.83
4899815.65,1228737731.36,677419.47,279062.63,1661801212054,18.9,18.83
4913691.37,1228732958.90,678154.56,278810.08,1661801215450,18.9,18.83
4893141.64,1228753502.63,677068.17,279897.69,1661801218110,18.9,18.83
4906146.69,1228723570.08,677758.93,278318.20,1661801221181,18.89,18.82
4946961.00,1228704606.73,679798.29,277474.72,1661801224194,18.9,18.82
4969563.79,1228701565.77,680994.00,277315.84,1661801227526,18.9,18.82
4948346.62,1228707308.75,679869.73,277618.20,1661801230442,18.91,18.82
4941667.35,1228729860.55,679519.81,278812.11,1661801233853,18.9,18.82
4950606.89,1228731195.72,679994.11,278883.66,1661801236758,18.9,18.82
4940867.60,1228724512.53,679482.84,278536.64,1661801239306,18.88,18.81
4968100.95,1228681406.09,680924.21,276255.82,1661801242503,18.89,18.81
4953965.30,1228695198.45,680175.07,276985.04,1661801245344,18.89,18.81
4974227.29,1228693457.53,681248.99,276892.93,1661801248111,18.89,18.81
4970344.43,1228690584.20,681042.23,276742.59,1661801251245,18.9,18.81
4967659.91,1228695287.18,680899.81,276991.10,1661801254752,18.89,18.81
4956903.96,1228690286.80,680329.32,276726.29,1661801258168,18.9,18.81
4959133.21,1228698329.55,680447.33,277151.52,1661801260307,18.9,18.81
4958931.95,1228703369.76,680436.74,277417.94,1661801263257,18.9,18.81
4949479.13,1228700835.67,679936.69,277285.44,1661801266756,18.89,18.81
4951728.73,1228703018.75,680056.75,277401.00,1661801269475,18.89,18.81
4951769.45,1228698473.54,680072.59,277160.23,1661801272126,18.89,18.81
4940340.65,1228721749.65,679469.97,278392.40,1661801275539,18.89,18.81
4940339.15,1228730848.93,679469.97,278874.65,1661801278558,18.89,18.81
4942937.35,1228723770.10,679608.27,278499.97,1661801281187,18.89,18.81
4927426.72,1228696968.89,678862.60,277082.90,1661801285049,18.89,18.81
4938545.73,1228667869.40,679449.41,275541.59,1661801287379,18.9,18.81
4944011.75,1228671620.64,679738.08,275739.13,1661801290353,18.9,18.81
4962368.00,1228685643.56,680710.18,276480.51,1661801293285,18.9,18.81
4964540.62,1228680347.60,680824.85,276200.42,1661801296344,18.9,18.81
4952408.74,1228679937.82,680181.08,276177.29,1661801299669,18.91,18.81
4952550.89,1228678634.57,680188.56,276108.63,1661801302199,18.91,18.81
4948875.51,1228677869.98,679988.93,276067.33,1661801305320,18.91,18.81
4949436.22,1228665744.14,680018.56,275426.92,1661801308239,18.91,18.81
4948670.91,1228677797.40,679979.19,276063.14,1661801311505,18.91,18.81
4948670.91,1228681207.82,679979.19,276243.46,1661801314247,18.91,18.81
4951373.16,1228680106.37,680122.26,276185.27,1661801317173,18.91,18.81
4960547.18,1228664810.25,680609.84,275376.93,1661801320623,18.91,18.81
4957523.28,1228676275.10,680448.99,275982.61,1661801323472,18.91,18.81
4956432.29,1228656257.28,680427.94,274925.00,1661801326282,18.91,18.81
4924902.14,1228664960.52,678758.52,275385.19,1661801329236,18.91,18.81
4953143.44,1228658892.43,680252.88,275060.82,1661801332388,18.91,18.81
4963157.09,1228669126.80,680781.25,275601.56,1661801335285,18.91,18.81
4951900.47,1228667802.12,680184.93,275531.09,1661801338261,18.91,18.81
4959941.18,1228668936.72,680610.00,275591.09,1661801341197,18.91,18.81
4961545.24,1228675337.99,680692.84,275922.01,1661801344189,18.92,18.81
4974552.91,1228681123.94,681366.36,276226.64,1661801347236,18.92,18.81
4952322.87,1228693165.01,680191.95,276865.15,1661801350670,18.92,18.81
4948894.83,1228693568.69,680009.67,276886.53,1661801353176,18.92,18.81
4938571.25,1228715187.50,679464.37,278029.61,1661801356585,18.91,18.81
4930882.85,1228738292.66,679064.04,279254.68,1661801359432,18.9,18.81
4943397.37,1228722948.04,679727.78,278445.65,1661801362408,18.9,18.81
4943938.92,1228712471.80,679755.16,277893.66,1661801365196,18.9,18.81
4946769.82,1228701938.43,679905.04,277337.13,1661801368254,18.9,18.81
4965547.85,1228697485.75,680898.20,277099.67,1661801371200,18.9,18.81
4939433.61,1228710744.08,679514.55,277801.44,1661801374255,18.9,18.81
4941119.87,1228711710.54,679604.20,277852.57,1661801378652,18.9,18.81
4941336.55,1228720241.92,679615.67,278303.00,1661801381167,18.9,18.81
4944499.56,1228726836.48,679783.60,278651.47,1661801384107,18.9,18.81
4941908.92,1228720770.26,679646.90,278332.39,1661801387135,18.9,18.81
4960719.98,1228709643.24,680644.40,277745.49,1661801390299,18.89,18.81
4968309.91,1228710538.01,681046.64,277793.69,1661801393142,18.89,18.81
4934369.96,1228707261.40,679249.22,277622.06,1661801396848,18.89,18.81
4945677.23,1228684683.23,679847.74,276429.47,1661801400349,18.89,18.81
4958400.94,1228697120.50,680523.23,277087.85,1661801404119,18.9,18.81
4952621.44,1228714143.67,680216.99,277987.63,1661801406363,18.9,18.81
4952842.07,1228714680.20,680233.99,278021.29,1661801409285,18.9,18.81
4940214.74,1228703021.16,679564.58,277405.80,1661801412534,18.89,18.81
4943037.83,1228693826.98,679713.75,276918.99,1661801415301,18.9,18.81
4938470.10,1228691900.96,679468.89,276816.29,1661801418633,18.9,18.81
4959040.18,1228673248.75,680560.25,275829.85,1661801422137,18.9,18.81
4969893.56,1228668402.88,681134.08,275573.35,1661801425633,18.9,18.81
4968420.76,1228668594.48,681052.19,275583.18,1661801429164,18.9,18.81
4957672.91,1228681490.65,680484.25,276265.76,1661801432725,18.9,18.81
4965984.28,1228678597.92,680922.63,276112.77,1661801435867,18.9,18.81
4973906.68,1228669467.09,681342.24,275629.86,1661801438665,18.9,18.81
4975606.60,1228670391.06,681432.22,275678.72,1661801442439,18.9,18.81
4952965.57,1228678064.21,680232.70,276082.52,1661801445699,18.91,18.81
4957932.31,1228670053.62,680495.86,275659.42,1661801449616,18.91,18.81
4960417.56,1228693378.88,680627.29,276891.77,1661801453843,18.91,18.81
4953387.44,1228696232.78,680255.29,277043.05,1661801457958,18.91,18.81
4951261.20,1228696780.80,680142.67,277071.70,1661801462140,18.91,18.81
4956933.63,1228680882.72,680444.90,276232.99,1661801465514,18.9,18.81
4945808.86,1228684601.74,679855.70,276429.57,1661801469815,18.9,18.81
4941761.87,1228701192.33,679644.15,277310.64,1661801474092,18.89,18.81
4974458.15,1228683126.11,681376.03,276354.23,1661801478597,18.89,18.81
4973411.98,1228685266.16,681320.43,276467.42,1661801481597,18.89,18.81
4957189.02,1228691854.05,680457.49,276811.75,1661801484791,18.91,18.81
4957087.07,1228695555.00,680451.74,277007.51,1661801487805,18.91,18.81
4958290.22,1228690482.61,680515.40,276737.32,1661801493488,18.91,18.81
4947769.39,1228651830.54,679954.87,274694.46,1661801496024,18.92,18.81
4947740.87,1228684717.43,679953.70,276432.69,1661801501149,18.91,18.81
4946878.48,1228677225.70,679909.13,276038.29,1661801506329,18.91,18.81
4946635.08,1228680963.27,679896.13,276236.13,1661801511930,18.9,18.81
4947666.57,1228674188.06,679928.38,275877.08,1661801517571,18.91,18.81
4985480.23,1228699388.69,682437.92,277208.15,1661801522894,18.91,18.81
4964753.24,1228716702.50,681345.55,278121.07,1661801528669,18.9,18.81
4987173.09,1228694810.73,682538.67,276964.05,1661801534146,18.91,18.81
4969463.96,1228685390.94,681598.91,276466.21,1661801537215,18.91,18.81
4972569.01,1228653294.27,681761.98,274767.78,1661801540189,18.91,18.81
4974026.98,1228697308.55,681840.14,277086.93,1661801543477,18.91,18.81
4995762.18,1228715751.84,682991.43,278060.66,1661801549488,18.91,18.81
4991705.24,1228696847.54,682776.05,277062.14,1661801552441,18.91,18.81
4987112.28,1228695592.88,682522.36,276995.79,1661801555526,18.91,18.81
4984010.61,1228712954.97,682362.02,277915.84,1661801561777,18.9,18.81
