mp,timeStamp,mean,skew
11.79,1671470420524,2645.16158034091,-2633.37158034091
11.78,1671470429601,2435.6733558823507,-2423.8933558823505
11.78,1671470432513,2485.9083379285703,-2474.12833792857
11.78,1671470448015,2568.5838865384626,-2556.8038865384624
11.78,1671470453940,2584.902860508561,-2573.1228605085607
11.78,1671470459801,2588.899320718284,-2577.1193207182837
11.78,1671470477914,2695.2832517392676,-2683.5032517392674
11.78,1671470481062,2709.6879624085786,-2697.9079624085784
11.78,1671470499432,2778.418362360236,-2766.638362360236
11.78,1671470505360,2795.5215617111908,-2783.7415617111906
11.78,1671470508654,2804.330129698249,-2792.550129698249
11.78,1671470511671,2812.4009517373947,-2800.6209517373945
11.78,1671470524029,2829.536525591142,-2817.756525591142
11.77,1671470530048,2822.085353173988,-2810.315353173988
11.76,1671470536210,2806.147191009417,-2794.3871910094167
11.77,1671470558080,2742.6248355466996,-2730.8548355466996
11.78,1671470567561,2763.2106436201548,-2751.4306436201546
11.78,1671470570815,2769.944009935691,-2758.164009935691
11.78,1671470574137,2774.8067455994446,-2763.0267455994444
11.78,1671470580746,2783.5653902748386,-2771.7853902748384
11.78,1671470590568,2798.6362692154726,-2786.8562692154724
11.78,1671470610317,2831.4855025130637,-2819.7055025130635
11.78,1671470615348,2837.3961883667075,-2825.6161883667073
11.78,1671470620803,2843.08593745065,-2831.3059374506497
11.78,1671470625877,2848.669610262969,-2836.8896102629687
11.78,1671470634711,2858.736346574595,-2846.9563465745946
11.78,1671470649360,2875.804919449619,-2864.0249194496187
11.78,1671470655480,2879.641673173061,-2867.861673173061
11.79,1671470668708,2874.483719890891,-2862.693719890891
11.79,1671470678363,2882.1041061106,-2870.3141061106
11.79,1671470685080,2885.870265908919,-2874.080265908919
11.79,1671470691627,2889.472267858814,-2877.682267858814
11.79,1671470701401,2896.291662092431,-2884.501662092431
11.78,1671470711443,2884.84441843158,-2873.0644184315797
11.78,1671470725061,2895.2301486095366,-2883.4501486095364
11.79,1671470736072,2901.7608391719823,-2889.9708391719823
11.79,1671470744177,2905.0832484066595,-2893.2932484066596
11.79,1671470755497,2911.2914526249956,-2899.5014526249956
11.79,1671470763859,2914.317247361387,-2902.5272473613873
11.8,1671470773300,2916.6726088096284,-2904.872608809628
11.81,1671470784995,2911.0356641587705,-2899.2256641587705
11.8,1671470794208,2911.830257972621,-2900.030257972621
11.81,1671470803120,2913.575340045351,-2901.765340045351
11.81,1671470815396,2917.2820465308346,-2905.4720465308346
11.81,1671470827844,2920.871913745207,-2909.061913745207
11.8,1671470844055,2925.7752910399104,-2913.97529103991
11.8,1671470855805,2926.3700926872607,-2914.5700926872605
11.8,1671470869624,2931.0486342379922,-2919.248634237992
11.81,1671470887126,2936.3693118107385,-2924.5593118107386
11.8,1671470902320,2939.823851778678,-2928.023851778678
11.8,1671470917430,2942.298743752435,-2930.4987437524346
11.77,1671470935071,2949.991267485932,-2938.221267485932
11.77,1671470946682,2949.2913017561273,-2937.5213017561273
11.76,1671470958455,2946.378201545576,-2934.6182015455756
11.76,1671470973474,2940.651079544126,-2928.8910795441257
11.76,1671470988840,2933.7670417159275,-2922.0070417159272
11.75,1671471008071,2924.210484592116,-2912.460484592116
11.75,1671471023281,2920.845022231376,-2909.095022231376
11.74,1671471036688,2921.567919144809,-2909.827919144809
11.74,1671471050808,2915.0501876489216,-2903.310187648922
11.75,1671471064557,2913.538277997862,-2901.788277997862
11.75,1671471081590,2904.7650845530757,-2893.0150845530757
11.77,1671471098956,2898.5282437602673,-2886.7582437602673
11.77,1671471119873,2906.6086505128924,-2894.8386505128924
11.77,1671471144802,2904.476124551901,-2892.706124551901
11.76,1671471167461,2905.9423054984422,-2894.182305498442
11.74,1671471184199,2907.621411668595,-2895.8814116685953
11.72,1671471203229,2907.3802594954245,-2895.6602594954247
11.71,1671471241130,2892.54969648968,-2880.83969648968
11.71,1671471394364,2834.346461487233,-2822.6364614872327
11.71,1671471414879,2833.7272421615635,-2822.0172421615634
11.71,1671471446351,2817.7613091068592,-2806.051309106859
11.71,1671471471624,2814.8219916015682,-2803.111991601568
11.72,1671471754848,2754.6327222717405,-2742.9127222717407
11.72,1671471788899,2751.2569184712847,-2739.536918471285
11.71,1671471820382,2748.442647642515,-2736.732647642515
11.71,1671471851386,2745.463299369225,-2733.753299369225
11.71,1671471882670,2743.6783361324697,-2731.9683361324696
11.72,1671471918118,2747.0929658620166,-2735.372965862017
11.72,1671471961040,2753.4196552900053,-2741.6996552900055
11.74,1671471999306,2751.908612147718,-2740.1686121477182
11.76,1671472051930,2743.4919255166146,-2731.7319255166144
11.78,1671472088238,2741.703842046233,-2729.923842046233
11.78,1671472124035,2741.297016933557,-2729.517016933557
11.78,1671472167119,2739.347867602489,-2727.5678676024886
11.78,1671472204436,2737.388129097902,-2725.608129097902
11.78,1671472242069,2734.8374694274726,-2723.0574694274724
11.78,1671472290332,2725.478175659601,-2713.698175659601
11.79,1671472329897,2726.1046851902847,-2714.3146851902848
11.78,1671472369979,2723.9942738016307,-2712.2142738016305
11.78,1671472410403,2724.6306635200563,-2712.850663520056
11.78,1671472451276,2725.2202123520797,-2713.4402123520795
11.78,1671472492490,2725.199983232014,-2713.4199832320137
11.78,1671472538523,2725.4904247146274,-2713.710424714627
11.78,1671472580798,2727.542041269837,-2715.7620412698366
