mp,timeStamp,mean,skew
18.21,1667833443314,2532.256886163521,-2514.046886163521
18.22,1667833446251,2473.6493999793784,-2455.4293999793786
18.23,1667833449853,2553.91489924615,-2535.68489924615
18.23,1667833452762,2605.6630941778276,-2587.4330941778276
18.24,1667833455270,2703.5700650405633,-2685.3300650405636
18.25,1667833458274,2711.9027304691544,-2693.6527304691544
18.24,1667833461266,2688.6258085779787,-2670.385808577979
18.23,1667833464360,2700.5183122789103,-2682.2883122789103
18.24,1667833467365,2695.0736996031746,-2676.833699603175
18.24,1667833470362,2708.225133070517,-2689.9851330705173
18.24,1667833473595,2712.283856955194,-2694.0438569551943
18.24,1667833476409,2709.3218287007535,-2691.0818287007537
18.25,1667833479413,2696.9907132694034,-2678.7407132694034
18.25,1667833482389,2696.5985100203234,-2678.3485100203234
18.25,1667833485494,2690.905410273771,-2672.655410273771
18.25,1667833488458,2688.3724700107296,-2670.1224700107296
18.25,1667833491538,2689.94291976071,-2671.69291976071
18.25,1667833497528,2725.3631232781545,-2707.1131232781545
18.27,1667833509521,2715.302319674916,-2697.032319674916
18.27,1667833512638,2699.5902097852504,-2681.3202097852504
18.26,1667833515694,2691.972647373923,-2673.7126473739227
18.26,1667833518901,2682.8655526889147,-2664.6055526889145
18.26,1667833521832,2674.438879811833,-2656.1788798118328
18.26,1667833524749,2668.180244936058,-2649.9202449360578
18.26,1667833527846,2663.4732531308996,-2645.2132531308994
18.28,1667833533921,2637.7449786127568,-2619.4649786127566
18.3,1667833543062,2580.063270309324,-2561.7632703093236
18.3,1667833546573,2566.64643897962,-2548.34643897962
18.3,1667833549340,2572.8264014131596,-2554.5264014131594
18.3,1667833552149,2581.4037767127875,-2563.1037767127873
18.3,1667833555114,2591.669270075031,-2573.3692700750307
18.3,1667833558201,2599.3767963483347,-2581.0767963483345
18.28,1667833561442,2617.39402445986,-2599.1140244598596
18.29,1667833564304,2620.6346706560676,-2602.3446706560676
18.3,1667833567276,2624.6730181036655,-2606.3730181036653
18.29,1667833570420,2626.0055532424617,-2607.7155532424617
18.29,1667833573466,2627.676553951018,-2609.386553951018
18.3,1667833576577,2630.4235760720085,-2612.1235760720083
18.3,1667833579467,2628.939131044121,-2610.639131044121
18.29,1667833582603,2624.6025488997916,-2606.3125488997916
18.29,1667833585523,2620.9107224997238,-2602.620722499724
18.3,1667833588595,2619.949353629472,-2601.649353629472
18.3,1667833591844,2618.3095586897552,-2600.009558689755
18.29,1667833594789,2622.23800003434,-2603.94800003434
18.29,1667833600869,2621.8672942934577,-2603.5772942934577
18.29,1667833610152,2634.5598234158283,-2616.2698234158283
18.29,1667833613254,2638.5848049209835,-2620.2948049209836
18.29,1667833616730,2642.3340093743905,-2624.0440093743905
18.29,1667833619478,2644.8854702261206,-2626.5954702261206
18.29,1667833625595,2649.215541108998,-2630.925541108998
18.29,1667833628637,2651.780914414867,-2633.490914414867
18.31,1667833634852,2665.880107916186,-2647.570107916186
18.33,1667833638161,2661.958312139582,-2643.6283121395822
18.31,1667833641383,2661.266858696486,-2642.956858696486
18.3,1667833644953,2660.591628775674,-2642.291628775674
18.29,1667833648371,2663.258874855421,-2644.968874855421
18.29,1667833651872,2657.1914718002263,-2638.9014718002263
18.3,1667833655859,2655.8452595277868,-2637.5452595277866
18.3,1667833659516,2659.7607084628476,-2641.4607084628474
18.31,1667833663155,2657.8251534340898,-2639.51515343409
18.32,1667833666933,2657.417104220488,-2639.097104220488
18.3,1667833670787,2653.5228460653057,-2635.2228460653055
18.29,1667833674819,2649.555304226974,-2631.265304226974
18.29,1667833679627,2647.703253945411,-2629.413253945411
18.28,1667833683831,2651.095756655586,-2632.8157566555856
18.28,1667833691323,2648.160414201926,-2629.8804142019258
18.28,1667833696083,2645.449287883463,-2627.169287883463
18.28,1667833700707,2643.9392583051194,-2625.6592583051192
18.27,1667833705418,2651.4515742237627,-2633.1815742237627
18.27,1667833711243,2646.904934453497,-2628.634934453497
18.28,1667833716166,2641.568690912409,-2623.2886909124086
18.28,1667833721278,2643.9893841833327,-2625.7093841833325
18.28,1667833726536,2647.0457637020227,-2628.7657637020225
18.28,1667833731929,2650.8688706692546,-2632.5888706692544
18.28,1667833737971,2660.3921252444034,-2642.112125244403
18.27,1667833743832,2664.0809997742936,-2645.8109997742936
18.25,1667833752594,2669.13432657678,-2650.88432657678
18.25,1667833758345,2668.148605420518,-2649.898605420518
18.25,1667833764304,2665.007936172196,-2646.757936172196
