bc,ac,tbv,tav,time,mp,minBid
4973786.74,205728837.44,965753.80,272941.25,1669659612315,12.43,12.38
4966092.39,205730561.49,965133.30,273080.01,1669659615061,12.43,12.38
4969339.57,205732099.79,965395.46,273204.37,1669659618098,12.43,12.38
4966808.74,205733919.21,965190.47,273350.76,1669659621498,12.43,12.38
4976019.00,205746153.14,965937.71,274331.42,1669659624072,12.43,12.37
4984211.27,205741742.84,966594.36,273893.78,1669659627122,12.42,12.37
4970133.86,205741215.71,965471.04,273859.10,1669659630135,12.42,12.37
4959940.81,205732155.16,964644.80,273133.85,1669659633007,12.42,12.37
4960197.36,205732152.25,964665.49,273133.85,1669659636222,12.42,12.37
4965962.19,205740702.91,965130.52,273820.34,1669659639107,12.42,12.37
4956138.92,205734539.17,964336.04,273327.31,1669659642087,12.42,12.37
4976790.92,205750012.86,966012.44,274564.45,1669659645028,12.42,12.37
4961120.36,205734139.42,964738.83,273292.63,1669659648572,12.42,12.37
4966584.75,205735402.04,965179.51,273393.65,1669659651076,12.42,12.37
4956995.24,205729235.51,964404.18,272899.59,1669659654208,12.42,12.37
4956997.50,205730829.45,964404.18,272996.17,1669659657066,12.42,12.37
4947144.80,205731035.59,963606.86,273012.95,1669659660115,12.42,12.37
4954114.97,205725606.71,964168.81,272575.62,1669659663060,12.42,12.37
4969954.34,205736477.59,965449.70,273444.78,1669659666181,12.42,12.37
4956633.38,205726123.48,964371.93,272617.41,1669659669129,12.42,12.37
4960672.39,205738400.41,964699.46,273600.76,1669659672074,12.42,12.37
4961170.56,205727930.41,964737.54,272763.19,1669659675490,12.42,12.37
4960163.49,205728159.69,964656.49,272781.84,1669659678173,12.42,12.37
4967688.91,205730867.03,965265.70,272998.54,1669659681130,12.42,12.37
4962700.51,205726857.15,964862.54,272676.66,1669659684501,12.42,12.37
4969412.39,205727951.66,965407.68,272953.92,1669659687153,12.42,12.37
4959393.85,205724747.25,964599.13,272698.42,1669659690116,12.41,12.36
4966956.70,205732377.37,965211.25,273309.42,1669659693098,12.41,12.36
4961162.29,205726484.01,964743.88,272837.94,1669659696048,12.41,12.36
4959043.09,205724401.97,964572.90,272671.14,1669659699136,12.41,12.36
4972425.76,205748033.15,965657.84,274566.65,1669659702074,12.41,12.36
4957696.90,205713368.98,964472.39,271797.39,1669659705092,12.41,12.36
4980181.13,205727556.99,966294.54,272932.64,1669659708132,12.41,12.36
4961162.58,205709470.96,964752.67,271483.85,1669659711217,12.41,12.36
4968249.66,205711997.27,965324.32,271685.56,1669659714182,12.41,12.36
4986365.90,205720060.74,966797.31,272328.83,1669659717231,12.41,12.36
4959726.60,205711662.49,964642.61,271660.58,1669659720114,12.41,12.36
4953125.22,205711439.25,964110.27,271642.69,1669659723632,12.41,12.36
4953754.25,205711187.10,964161.09,271622.38,1669659726128,12.41,12.36
4949759.30,205710666.37,963839.14,271580.56,1669659729164,12.41,12.36
4953751.79,205710666.37,964161.37,271580.56,1669659732206,12.41,12.36
4975557.02,205724095.28,965932.34,272654.42,1669659735184,12.41,12.36
4953749.16,205710933.45,964161.16,271602.04,1669659738140,12.41,12.36
4969882.28,205722673.62,965467.45,272543.07,1669659741119,12.41,12.36
4972096.91,205727900.38,965650.36,272961.03,1669659744096,12.41,12.36
4956999.61,205720237.55,964425.37,272314.49,1669659747114,12.41,12.36
