bc,ac,tbv,tav,time,mp,minBid
15448675.34,2212951651.03,1471734.23,289523.67,1666617462310,15.93,15.87
15443959.94,2212956734.07,1471437.86,289842.50,1666617464650,15.93,15.87
15447984.71,2212952078.76,1471690.48,289549.60,1666617467744,15.93,15.87
15444019.12,2212943646.78,1471441.51,289021.75,1666617471594,15.93,15.87
15442978.76,2212927226.40,1471375.89,288000.48,1666617473569,15.94,15.87
15438557.33,2212939772.51,1471096.18,288779.38,1666617476594,15.93,15.87
15446379.09,2212938977.15,1471587.49,288728.75,1666617479512,15.93,15.87
15437592.75,2212938864.27,1471034.96,288721.72,1666617482538,15.93,15.87
15449239.28,2212949839.51,1471768.79,289410.25,1666617485445,15.93,15.87
15453899.79,2212951845.33,1472061.72,289535.87,1666617489012,15.93,15.87
15460277.07,2212947057.99,1472476.28,289235.54,1666617491462,15.93,15.87
15453164.45,2212949931.54,1472029.61,289415.11,1666617494434,15.93,15.87
15444174.56,2212951580.58,1471464.91,289518.68,1666617497978,15.93,15.87
15458109.05,2212948991.44,1472340.65,289356.19,1666617500547,15.93,15.87
15447997.40,2212948085.74,1471702.87,289299.23,1666617503928,15.94,15.87
15450750.74,2212932026.93,1471871.29,288288.71,1666617506756,15.94,15.87
15447818.14,2212940001.39,1471681.69,288787.25,1666617509488,15.94,15.87
15443812.55,2212940438.89,1471412.31,288807.36,1666617512429,15.95,15.87
15445844.20,2212943086.61,1471531.29,288957.92,1666617515499,15.95,15.87
15448086.28,2212944326.55,1471672.45,289036.27,1666617518550,15.95,15.87
15449899.35,2212944326.55,1471786.26,289036.27,1666617521739,15.95,15.87
15441964.97,2212945619.79,1471288.67,289118.15,1666617525229,15.95,15.87
15435963.99,2212947722.18,1470910.12,289249.82,1666617527521,15.95,15.87
15435963.58,2212952369.50,1470910.12,289541.19,1666617530942,15.95,15.87
15435211.52,2212953109.43,1470862.59,289578.91,1666617533446,15.95,15.87
15451216.78,2212958868.38,1471868.97,289939.57,1666617536505,15.95,15.87
15449459.35,2212957952.59,1471758.63,289882.70,1666617539469,15.95,15.87
15436803.89,2212957609.73,1470968.41,289873.47,1666617542629,15.94,15.87
15408984.74,2212964058.76,1469221.71,290278.69,1666617545680,15.94,15.87
15438807.46,2212951614.02,1471096.41,289498.02,1666617548783,15.94,15.87
15446872.38,2212924902.34,1471600.04,287821.15,1666617551622,15.95,15.87
15456804.54,2212931870.11,1472222.45,288256.75,1666617554453,15.95,15.87
15452351.87,2212948241.46,1471942.14,289282.65,1666617557616,15.95,15.87
15456343.47,2212950673.18,1472192.72,289434.87,1666617560677,15.95,15.87
15459808.59,2212950187.97,1472410.28,289404.04,1666617563514,15.95,15.87
15459870.50,2212950831.04,1472414.19,289444.36,1666617566628,15.95,15.87
15451144.65,2212974624.98,1471866.27,290935.37,1666617569474,15.95,15.87
15445254.60,2212974138.38,1471496.76,290904.85,1666617572488,15.95,15.87
15451233.38,2212970081.01,1471871.63,290650.47,1666617575465,15.95,15.87
15429057.03,2212959784.20,1470477.45,290005.52,1666617578634,15.95,15.87
15425022.26,2212960406.40,1470224.30,290044.50,1666617582190,15.95,15.87
15427508.19,2212943881.73,1470378.43,289009.02,1666617584535,15.95,15.87
15444703.30,2212952953.61,1471459.44,289577.48,1666617587427,15.95,15.87
15432661.37,2212961305.77,1470701.94,290100.82,1666617590517,15.95,15.87
15442862.57,2212953774.53,1471342.32,289629.04,1666617593575,15.95,15.87
15447375.80,2212949284.06,1471625.64,289347.53,1666617596531,15.95,15.87
15440802.95,2212943443.19,1471212.27,288981.92,1666617599502,15.95,15.87
15446726.80,2212943299.11,1471584.24,288972.65,1666617602458,15.95,15.87
15443887.46,2212936552.70,1471404.75,288548.02,1666617605532,15.95,15.87
15437913.64,2212967385.61,1471029.35,290477.60,1666617608607,15.96,15.87
15442252.90,2212967354.08,1471302.85,290474.87,1666617611517,15.96,15.87
15441521.92,2212947814.87,1471251.09,289249.01,1666617614578,15.96,15.87
15448083.55,2212945328.02,1471659.97,289091.61,1666617617478,15.96,15.87
15449068.48,2212942152.01,1471721.59,288892.52,1666617620486,15.96,15.87
15442174.20,2212950425.14,1471290.06,289409.49,1666617623571,15.97,15.87
15453685.05,2212956117.87,1471959.26,289765.95,1666617626624,15.97,15.87
15457553.67,2212959152.57,1472201.87,289955.48,1666617629517,15.97,15.87
15461231.14,2212954125.31,1472432.30,289648.63,1666617632563,15.97,15.87
15461231.14,2212958454.46,1472432.30,289919.63,1666617635465,15.97,15.87
15460021.61,2212954046.60,1472354.69,289639.25,1666617638482,15.97,15.87
15460022.89,2212955300.13,1472354.67,289717.50,1666617641612,15.97,15.87
15460022.89,2212955300.13,1472354.67,289717.50,1666617644598,15.97,15.87
15457093.30,2212972637.82,1472172.60,290804.53,1666617647495,15.96,15.87
15456512.76,2212974437.41,1472138.37,290917.23,1666617650538,15.96,15.87
15454480.21,2212966934.50,1472011.02,290447.41,1666617653559,15.96,15.87
15460598.69,2212950927.69,1472394.86,289445.11,1666617656539,15.96,15.87
15446533.81,2212950095.50,1471511.94,289392.99,1666617659581,15.96,15.87
15459072.21,2212957798.87,1472297.99,289875.35,1666617662595,15.96,15.87
