mp,timeStamp,mean,skew
19.37,1667261736055,3019.9099165517205,-3000.5399165517206
19.37,1667261741865,3241.031550896551,-3221.661550896551
19.38,1667261762991,3423.0257699414374,-3403.6457699414373
19.39,1667261765947,3461.9885033153673,-3442.5985033153675
19.39,1667261769048,3480.858311058829,-3461.468311058829
19.4,1667261772220,3569.4205958333414,-3550.0205958333413
19.4,1667261779030,3702.082306374573,-3682.682306374573
19.4,1667261781109,3751.37845002353,-3731.97845002353
19.4,1667261790142,4010.32757698848,-3990.92757698848
19.4,1667261796129,4126.7279593835565,-4107.327959383557
19.4,1667261799224,4175.179746071544,-4155.779746071545
19.4,1667261802438,4225.357997588807,-4205.957997588807
19.39,1667261814477,4287.3731008234845,-4267.983100823484
19.4,1667261817298,4325.093726148618,-4305.693726148618
19.39,1667261823525,4328.111945502393,-4308.721945502392
19.38,1667261829398,4301.701090595766,-4282.321090595766
19.38,1667261832352,4278.954168580637,-4259.574168580637
19.37,1667261842195,4202.549920073565,-4183.179920073565
19.37,1667261847766,4170.7417849662515,-4151.371784966252
19.36,1667261856823,4125.3310706873635,-4105.971070687364
19.36,1667261860013,4111.033538510578,-4091.673538510578
19.35,1667261865993,4128.5672389122465,-4109.217238912246
19.36,1667261869309,4125.567632138216,-4106.2076321382165
19.36,1667261872234,4123.265242188537,-4103.905242188537
19.36,1667261881291,4127.132714235639,-4107.772714235639
19.35,1667261884116,4119.843888499671,-4100.493888499671
19.34,1667261890466,4061.204144324985,-4041.864144324985
19.34,1667261893590,4031.0144108618197,-4011.6744108618195
19.34,1667261902730,3948.520688073603,-3929.180688073603
19.34,1667261915477,3937.910435839099,-3918.570435839099
19.34,1667261918231,3940.6211534009285,-3921.2811534009284
19.34,1667261921047,3941.2618731896737,-3921.9218731896735
19.33,1667261924298,3944.2624725223195,-3924.9324725223196
19.33,1667261933365,3951.3741841525475,-3932.0441841525476
19.33,1667261937401,3954.4897528412503,-3935.1597528412503
19.34,1667261940417,3952.423329856522,-3933.0833298565217
19.34,1667261944355,3951.672233596463,-3932.3322335964626
19.34,1667261953752,3951.0375015371105,-3931.6975015371104
19.34,1667261957397,3951.762150590129,-3932.4221505901287
19.33,1667261961045,3952.137490960774,-3932.807490960774
19.33,1667261964750,3951.33565712219,-3932.00565712219
19.33,1667261968489,3951.2114675519642,-3931.8814675519643
19.33,1667261972254,3949.8023800252495,-3930.4723800252495
19.33,1667261976092,3949.9100839307616,-3930.5800839307617
19.33,1667261979893,3948.986658797656,-3929.6566587976563
19.33,1667261984116,3947.7507477423596,-3928.4207477423597
19.33,1667261988474,3946.2051791235767,-3926.875179123577
19.32,1667261993109,3940.8373519841007,-3921.5173519841005
19.33,1667261997625,3939.202659542435,-3919.872659542435
19.32,1667262004796,3938.2513879872226,-3918.9313879872225
19.32,1667262009085,3939.817215436951,-3920.4972154369507
19.32,1667262013282,3941.9096483742524,-3922.589648374252
19.31,1667262017605,3939.4247354685626,-3920.1147354685627
19.34,1667262025726,3928.6479265193957,-3909.3079265193956
19.33,1667262033417,3917.7155916267166,-3898.3855916267166
19.32,1667262041410,3901.3306293029423,-3882.010629302942
19.32,1667262047307,3892.437846002847,-3873.117846002847
19.32,1667262052501,3885.916012963508,-3866.5960129635077
19.32,1667262061077,3873.939401191661,-3854.619401191661
19.32,1667262066600,3869.956541819153,-3850.6365418191526
19.33,1667262072264,3866.4289683502643,-3847.0989683502644
19.32,1667262081146,3854.418291303369,-3835.098291303369
19.32,1667262087210,3848.097713665507,-3828.777713665507
19.32,1667262096366,3840.7461980400517,-3821.4261980400515
19.32,1667262102683,3836.151427356553,-3816.831427356553
19.32,1667262109218,3830.7327909304477,-3811.4127909304475
19.32,1667262122158,3817.967877387578,-3798.647877387578
