time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1663006462070,21.16,52,4559950.84,215006072.63,231395,1663006237929,1663006469324,21.13
1663006470851,21.17,45,4556075.71,215001850.19,214791,1663006263412,1663006478203,21.14
1663006470851,21.17,46,4556075.71,215001850.19,215506,1663006262697,1663006478203,21.14
1663006470851,21.17,32,4556075.71,215001850.19,162621,1663006315582,1663006478203,21.14
1663006470851,21.17,44,4556075.71,215001850.19,162621,1663006315582,1663006478203,21.14
1663006470851,21.17,49,4556075.71,215001850.19,226298,1663006251905,1663006478203,21.14
1663006470851,21.17,51,4556075.71,215001850.19,233325,1663006244878,1663006478203,21.14
1663006470851,21.17,52,4556075.71,215001850.19,237105,1663006241099,1663006478204,21.14
1663006470851,21.17,54,4556075.71,215001850.19,237105,1663006241099,1663006478204,21.14
1663006470851,21.17,55,4556075.71,215001850.19,249344,1663006228860,1663006478204,21.14
1663006470851,21.17,56,4556075.71,215001850.19,250027,1663006228177,1663006478204,21.14
1663006470851,21.17,61,4556075.71,215001850.19,266473,1663006211731,1663006478204,21.14
1663006470851,21.17,63,4556075.71,215001850.19,266473,1663006211731,1663006478204,21.14
1663006470851,21.17,62,4556075.71,215001850.19,266473,1663006211731,1663006478204,21.14
1663006470851,21.17,64,4556075.71,215001850.19,276400,1663006201804,1663006478204,21.14
1663006470851,21.17,65,4556075.71,215001850.19,276400,1663006201804,1663006478204,21.14
1663006470851,21.17,66,4556075.71,215001850.19,276400,1663006201804,1663006478204,21.14
1663006470851,21.17,67,4556075.71,215001850.19,285601,1663006192603,1663006478204,21.14
1663006470851,21.17,72,4556075.71,215001850.19,285601,1663006192603,1663006478204,21.14
1663006470851,21.17,73,4556075.71,215001850.19,303971,1663006174233,1663006478204,21.14
1663006470851,21.17,74,4556075.71,215001850.19,303971,1663006174233,1663006478204,21.14
1663006470851,21.17,75,4556075.71,215001850.19,309305,1663006168899,1663006478204,21.14
1663006470851,21.17,79,4556075.71,215001850.19,322341,1663006155863,1663006478204,21.14
1663006470851,21.17,47,4556075.71,215001850.19,219079,1663006259124,1663006478203,21.14
1663006470851,21.17,48,4556075.71,215001850.19,222660,1663006255543,1663006478203,21.14
