bc,ac,tbv,tav,time,mp,minBid
4878542.30,215221322.49,676316.45,293332.07,1664196488239,17.35,17.28
4862955.89,215258967.94,675405.43,295502.31,1664196490980,17.35,17.28
4889385.04,215250579.71,676928.27,295017.52,1664196494415,17.35,17.28
4894954.19,215253832.30,677249.55,295204.91,1664196497402,17.35,17.28
4897709.10,215202850.96,677403.71,292263.78,1664196499953,17.36,17.28
4888459.10,215227105.87,676867.97,293635.13,1664196503018,17.36,17.28
4881714.07,215260431.99,676479.48,295550.12,1664196505987,17.36,17.28
4899936.39,215274021.21,677434.24,296330.36,1664196508907,17.36,17.28
4892060.30,215244420.12,676976.97,294621.24,1664196511940,17.37,17.28
4867349.20,215269333.41,675551.31,296054.15,1664196514992,17.37,17.28
4884395.05,215260019.07,676533.12,295518.38,1664196517961,17.37,17.28
4879990.38,215266921.21,676278.66,295916.15,1664196521039,17.37,17.28
4853647.97,215271795.80,674764.96,296200.13,1664196524050,17.36,17.28
4866344.52,215274929.72,675498.13,296380.77,1664196526939,17.36,17.28
4860989.26,215273112.84,675180.69,296276.43,1664196529945,17.36,17.28
4890318.19,215272082.26,676872.64,296217.05,1664196533016,17.36,17.28
4892098.71,215267118.03,676972.27,295931.21,1664196537030,17.36,17.28
4899097.47,215261183.39,677376.24,295590.42,1664196539395,17.36,17.28
4879205.27,215248029.04,676221.84,294829.95,1664196542047,17.37,17.28
4890757.03,215264340.16,676888.00,295764.53,1664196545000,17.37,17.28
4896709.40,215270981.67,677220.00,296142.53,1664196547934,17.38,17.28
4883885.58,215270824.73,676482.75,296136.36,1664196551053,17.37,17.28
4874425.73,215227087.52,675919.67,293631.89,1664196553995,17.38,17.28
4873340.14,215271896.88,675860.80,296195.60,1664196557061,17.38,17.28
4888274.87,215269378.44,676721.30,296049.77,1664196559947,17.37,17.28
4874048.25,215263024.67,675900.02,295685.73,1664196563779,17.38,17.28
4870465.86,215272082.48,675694.43,296208.74,1664196565988,17.37,17.28
4870704.81,215276570.23,675702.14,296465.94,1664196568951,17.37,17.28
