mp,timeStamp,mean,skew
17.39,1664196694564,2992.072135352568,-2974.682135352568
17.39,1664196698664,2999.3549650407535,-2981.9649650407537
17.39,1664196702842,3006.9611366418435,-2989.5711366418436
17.39,1664196707131,3014.2925139935655,-2996.9025139935657
17.39,1664196711968,3020.8950274299095,-3003.5050274299097
17.4,1664196716401,3011.8233332975933,-2994.423333297593
17.4,1664196720931,3004.443852547908,-2987.043852547908
17.4,1664196725570,2996.401607085082,-2979.001607085082
17.39,1664196730165,2990.2433493017793,-2972.8533493017794
17.4,1664196734846,2982.8351185658844,-2965.4351185658843
17.38,1664196739658,2979.1578496659954,-2961.7778496659953
17.37,1664196744622,2984.499144359342,-2967.1291443593423
17.38,1664196749644,2977.195103120571,-2959.8151031205707
17.39,1664196754772,2971.034374285892,-2953.6443742858924
17.39,1664196759975,2965.9272798334746,-2948.5372798334747
17.4,1664196765410,2970.0842537753847,-2952.6842537753846
17.38,1664196770969,2963.817211221137,-2946.4372112211367
17.38,1664196776517,2957.9924550179867,-2940.6124550179866
17.39,1664196782316,2952.0071189608448,-2934.617118960845
17.39,1664196788241,2946.753924022549,-2929.3639240225493
17.39,1664196795149,2941.038606580209,-2923.648606580209
17.38,1664196803304,2937.1018322683535,-2919.7218322683534
17.38,1664196809926,2932.7736814998398,-2915.3936814998397
17.39,1664196816231,2927.2475530391985,-2909.8575530391986
17.39,1664196823592,2922.563143087592,-2905.173143087592
17.39,1664196830444,2917.365437202039,-2899.9754372020393
17.38,1664196837712,2922.4434456265963,-2905.063445626596
17.38,1664196844574,2918.9439315560376,-2901.5639315560375
17.38,1664196851929,2915.399748589904,-2898.019748589904
17.38,1664196859129,2921.1090908315377,-2903.7290908315376
17.38,1664196866602,2917.848989150999,-2900.468989150999
17.38,1664196874319,2915.439477807116,-2898.059477807116
17.38,1664196882962,2913.8436671838413,-2896.463667183841
17.39,1664196890689,2911.6498770236176,-2894.2598770236177
17.39,1664196898565,2910.2405463939335,-2892.8505463939337
17.4,1664196907707,2914.112906304157,-2896.712906304157
17.39,1664196915837,2911.3729504304765,-2893.9829504304766
17.38,1664196925911,2909.7209377906443,-2892.340937790644
17.37,1664196934705,2915.60066708972,-2898.23066708972
17.36,1664196943339,2920.039969618106,-2902.679969618106
17.36,1664196953855,2923.2527310099763,-2905.892731009976
17.36,1664196962794,2926.6651441747836,-2909.3051441747834
17.35,1664196971787,2924.2202794233876,-2906.8702794233877
17.34,1664196981047,2927.8870663077214,-2910.5470663077213
17.34,1664196992126,2932.5447868035253,-2915.204786803525
17.34,1664197001883,2939.7503227976404,-2922.41032279764
17.35,1664197011630,2939.450969975283,-2922.100969975283
17.34,1664197022111,2944.9527011837595,-2927.6127011837593
17.33,1664197032199,2947.984322899577,-2930.654322899577
17.34,1664197042342,2952.3468010661086,-2935.0068010661084
17.35,1664197054134,2952.353727463368,-2935.0037274633683
17.35,1664197067727,2966.6135211297615,-2949.2635211297616
17.35,1664197082220,2972.59957481611,-2955.24957481611
17.33,1664197096686,2984.7344003330577,-2967.4044003330578
17.35,1664197110037,2984.7608568477217,-2967.410856847722
17.34,1664197121903,2989.8334453222737,-2972.4934453222736
17.34,1664197133930,2996.414442055696,-2979.0744420556957
17.34,1664197149415,3008.402536293178,-2991.062536293178
17.35,1664197165240,3007.9597632345776,-2990.6097632345777
17.36,1664197178272,3012.6795504237384,-2995.3195504237383
17.36,1664197191560,3016.9807336997974,-2999.6207336997973
17.36,1664197205035,3020.824271655703,-3003.4642716557028
17.35,1664197219502,3018.758479330994,-3001.408479330994
17.36,1664197233802,3023.040118468636,-3005.680118468636
17.35,1664197248417,3022.410052559357,-3005.0600525593572
17.35,1664197263548,3021.5229096753646,-3004.1729096753647
17.37,1664197278301,3018.2376664240737,-3000.867666424074
17.39,1664197293285,3021.6677293281846,-3004.2777293281847
17.38,1664197308558,3024.2103327873933,-3006.830332787393
17.37,1664197324053,3021.118932156846,-3003.748932156846
17.35,1664197339807,3018.586614019334,-3001.236614019334
17.35,1664197355818,3017.904339005718,-3000.5543390057182
17.36,1664197372084,3020.7782535600345,-3003.4182535600344
17.36,1664197388396,3023.1567214778383,-3005.796721477838
17.34,1664197404820,3027.4913250380328,-3010.1513250380326
17.34,1664197427237,3037.2583757828406,-3019.9183757828405
17.32,1664197444263,3040.1857246212126,-3022.8657246212124
17.32,1664197464776,3034.1685093839396,-3016.8485093839395
17.31,1664197482897,3031.1175055191184,-3013.8075055191184
17.32,1664197503385,3028.391849867274,-3011.0718498672736
17.32,1664197521534,3026.424234714586,-3009.104234714586
17.33,1664197546543,3021.441914138521,-3004.111914138521
17.33,1664197570150,3019.2765970912383,-3001.9465970912383
17.32,1664197590514,3023.825194543071,-3006.505194543071
17.32,1664197627391,3045.9108225775244,-3028.5908225775242
17.29,1664197652783,3048.727364716798,-3031.437364716798
17.28,1664197675532,3050.630207802078,-3033.350207802078
17.28,1664197702195,3054.363641826594,-3037.083641826594
17.28,1664197725764,3055.926257279665,-3038.646257279665
17.28,1664197752921,3058.8476901094027,-3041.5676901094025
17.29,1664197780737,3057.2213801087723,-3039.9313801087724
17.3,1664197812638,3049.879296163026,-3032.579296163026
17.3,1664197845888,3045.537619974007,-3028.237619974007
17.3,1664197872293,3043.6694964669186,-3026.3694964669185
17.3,1664197905629,3037.441119886679,-3020.141119886679
17.3,1664197936609,3041.106236223404,-3023.8062362234036
17.3,1664197972494,3046.5746143349174,-3029.2746143349173
17.31,1664198009327,3053.2700929451994,-3035.9600929451994
17.3,1664198040694,3054.525968216042,-3037.225968216042
17.31,1664198081443,3063.9056893505044,-3046.5956893505045
17.31,1664198117017,3067.9664176017914,-3050.6564176017914
17.31,1664198153116,3071.9133285594457,-3054.603328559446
17.29,1664198186378,3074.2853724917236,-3056.9953724917236
17.3,1664198223526,3085.7136176717036,-3068.4136176717034
17.3,1664198278082,3112.4640830717008,-3095.1640830717006
17.31,1664198324833,3140.7490280568395,-3123.4390280568396
17.29,1664198363005,3143.8173760849686,-3126.5273760849686
17.31,1664198401473,3146.9246306121236,-3129.6146306121236
17.31,1664198440279,3149.248879668609,-3131.938879668609
17.33,1664198486430,3156.1300272869557,-3138.800027286956
17.34,1664198526747,3159.187700450993,-3141.8477004509928
17.34,1664198574516,3163.513981533004,-3146.173981533004
17.32,1664198619685,3159.537796280975,-3142.2177962809747
17.33,1664198667972,3160.3018848304337,-3142.9718848304337
17.31,1664198711669,3161.8828129375624,-3144.5728129375625
17.28,1664198756078,3164.6473888497444,-3147.367388849744
17.28,1664199028212,3184.7699072794353,-3167.489907279435
17.3,1664199088071,3199.7596014847077,-3182.4596014847075
17.33,1664199143493,3201.9593511581834,-3184.6293511581835
17.3,1664199194833,3205.2291636873647,-3187.9291636873645
17.36,1664199243517,3203.7369821766,-3186.3769821766
17.38,1664199292602,3204.4229789500905,-3187.0429789500904
17.36,1664199343969,3206.866907228862,-3189.506907228862
17.4,1664199393954,3205.692183884412,-3188.2921838844118
17.41,1664199447424,3205.7439977941726,-3188.333997794173
17.44,1664199498259,3203.444327154634,-3186.0043271546338
17.42,1664199549871,3201.8032981066362,-3184.383298106636
17.4,1664199601867,3199.399542352401,-3181.999542352401
17.4,1664199654437,3198.05410859236,-3180.65410859236
17.42,1664199707727,3199.4976514938407,-3182.0776514938407
17.39,1664199764567,3197.3880041157654,-3179.9980041157655
17.4,1664199819203,3196.7509102631648,-3179.3509102631647
17.42,1664199877176,3199.92972179403,-3182.5097217940297
17.41,1664199939634,3202.0332100841156,-3184.6232100841157
17.42,1664199996794,3203.028765418628,-3185.608765418628
17.45,1664200054625,3204.186116764325,-3186.7361167643253
17.46,1664200112800,3206.2037201380394,-3188.7437201380394
17.46,1664200171165,3207.491883072902,-3190.031883072902
17.42,1664200233676,3208.9931977130746,-3191.5731977130745
17.47,1664200293026,3210.3245047029427,-3192.854504702943
17.48,1664200414211,3211.204767676662,-3193.724767676662
17.47,1664200474387,3213.2271776273633,-3195.7571776273635
17.45,1664200535168,3212.7146682641032,-3195.2646682641034
17.44,1664200596475,3215.1244683052882,-3197.684468305288
17.44,1664200658333,3216.891980129685,-3199.451980129685
17.43,1664200721983,3219.391517901524,-3201.961517901524
17.41,1664200787855,3216.4631658392714,-3199.0531658392715
17.45,1664200851701,3219.1504904575477,-3201.700490457548
17.47,1664200915700,3220.9770171576306,-3203.507017157631
17.44,1664200980298,3222.947935577727,-3205.507935577727
17.43,1664201045506,3224.8266323865355,-3207.3966323865357
17.42,1664201110681,3223.6419722962255,-3206.2219722962254
17.44,1664201176728,3225.5135565830165,-3208.0735565830164
17.47,1664201243285,3226.7974195773204,-3209.3274195773206
17.46,1664201311634,3225.5753215943496,-3208.1153215943496
17.43,1664201379339,3227.502514441392,-3210.0725144413923
17.41,1664201446946,3226.000742897002,-3208.590742897002
17.38,1664201514839,3227.2596984845977,-3209.8796984845976
17.38,1664201590508,3228.316393938209,-3210.9363939382088
17.42,1664201663593,3231.2802504980828,-3213.8602504980827
17.43,1664201734540,3232.814464538522,-3215.384464538522
17.45,1664201807404,3233.873401713668,-3216.423401713668
17.47,1664201879246,3234.6441786358887,-3217.174178635889
17.44,1664201962225,3229.6074208054893,-3212.167420805489
17.44,1664202036727,3230.5400006762134,-3213.1000006762133
17.44,1664202115086,3236.6044357898045,-3219.1644357898044
17.44,1664202191189,3238.016794641702,-3220.576794641702
17.45,1664202268407,3236.7676529733367,-3219.317652973337
17.45,1664202346020,3236.5909265219952,-3219.1409265219954
17.43,1664202424283,3238.6952831497506,-3221.2652831497508
17.44,1664202502216,3240.4979778006063,-3223.0579778006063
17.42,1664202588266,3245.4289496452247,-3228.0089496452247
17.45,1664202675138,3255.7790565473565,-3238.3290565473567
17.45,1664202756303,3254.7386127793698,-3237.28861277937
17.43,1664202845137,3259.3480802800564,-3241.9180802800565
17.4,1664202942366,3259.509648665242,-3242.109648665242
17.41,1664203030168,3258.4328812917056,-3241.0228812917057
17.43,1664203115266,3259.9630333744826,-3242.533033374483
17.43,1664203205132,3261.2750102325767,-3243.845010232577
17.42,1664203296131,3267.502101720535,-3250.082101720535
17.38,1664203388141,3262.994884161647,-3245.614884161647
17.39,1664203478121,3263.0786686237034,-3245.6886686237035
17.4,1664203576287,3263.5230410880645,-3246.1230410880644
17.37,1664203668230,3266.1762914522933,-3248.8062914522934
17.37,1664203760808,3264.0649844056697,-3246.69498440567
17.37,1664203853949,3263.7884639994722,-3246.4184639994724
17.39,1664203958230,3264.840777540588,-3247.450777540588
17.39,1664204060430,3264.445716656323,-3247.055716656323
17.4,1664204156546,3262.7529267608024,-3245.3529267608023
17.4,1664204253069,3262.6607162097266,-3245.2607162097265
17.39,1664204349494,3262.6907723006366,-3245.3007723006367
17.4,1664204446281,3264.856461219981,-3247.456461219981
17.4,1664204547126,3265.736487215306,-3248.336487215306
17.4,1664204646068,3268.552338593161,-3251.152338593161
17.39,1664204767071,3270.716232969168,-3253.326232969168
17.37,1664204868129,3271.427651737791,-3254.0576517377913
17.37,1664204969901,3272.204950665777,-3254.834950665777
17.36,1664205075627,3271.133867944123,-3253.7738679441227
17.37,1664205195085,3269.279821985148,-3251.909821985148
17.38,1664205306075,3274.4648890900985,-3257.0848890900984
17.4,1664205415390,3272.78017993025,-3255.38017993025
17.39,1664205522376,3271.836857207783,-3254.446857207783
17.38,1664205651251,3273.623291692011,-3256.243291692011
17.42,1664205761118,3274.624741575835,-3257.2047415758348
17.38,1664205875232,3275.9856594870635,-3258.6056594870633
17.4,1664206007786,3272.784071250949,-3255.384071250949
17.37,1664206123857,3273.334679943912,-3255.964679943912
17.37,1664206253967,3273.683452338455,-3256.313452338455
17.38,1664206367965,3273.350604098068,-3255.9706040980677
17.35,1664206485937,3274.430431487972,-3257.080431487972
17.32,1664206601486,3272.459567188547,-3255.139567188547
17.39,1664206717326,3273.750237163624,-3256.3602371636243
17.36,1664206835302,3272.509016558519,-3255.1490165585187
17.37,1664206952162,3276.4999589738477,-3259.129958973848
17.39,1664207069213,3275.5666549575135,-3258.1766549575136
17.34,1664207194769,3274.390256861204,-3257.0502568612037
17.37,1664207314752,3275.741637349188,-3258.371637349188
17.36,1664207436230,3274.352109611305,-3256.992109611305
17.36,1664207556973,3273.0367734472593,-3255.676773447259
17.35,1664207678430,3272.9155442343686,-3255.5655442343686
17.35,1664207800077,3272.6508598564874,-3255.3008598564875
17.39,1664207925780,3274.428238337147,-3257.038238337147
17.4,1664208052908,3277.3393222051377,-3259.9393222051376
17.39,1664208181270,3276.05880220175,-3258.66880220175
17.38,1664208307136,3276.986512011695,-3259.606512011695
17.38,1664208445431,3291.350572746402,-3273.970572746402
17.36,1664208575182,3292.862721478127,-3275.5027214781267
17.37,1664208704924,3292.0454219780486,-3274.6754219780487
17.37,1664208835631,3293.213855037369,-3275.843855037369
17.36,1664208966407,3296.209282324851,-3278.8492823248507
17.36,1664209098036,3298.773441694965,-3281.413441694965
17.36,1664209238690,3305.4898962085686,-3288.1298962085684
17.36,1664209381339,3311.7862037856717,-3294.4262037856715
17.34,1664209525864,3306.323293342612,-3288.983293342612
17.26,1664209664842,3305.2477406764424,-3287.987740676442
17.28,1664209804892,3303.390192021201,-3286.110192021201
17.26,1664209949212,3302.8080023705447,-3285.5480023705445
17.26,1664210091562,3302.1558474658154,-3284.895847465815
17.22,1664210234029,3301.544256749838,-3284.3242567498382
17.26,1664210383173,3301.304177415944,-3284.044177415944
17.25,1664210555327,3297.9112024092246,-3280.6612024092246
17.28,1664210704641,3295.060459721901,-3277.780459721901
17.3,1664210851889,3295.756845202617,-3278.456845202617
17.34,1664210999433,3295.9809923912853,-3278.640992391285
17.3,1664211151233,3297.6595415747215,-3280.3595415747213
17.3,1664211300636,3297.9261397691675,-3280.6261397691674
17.31,1664211450461,3298.648447359276,-3281.338447359276
17.31,1664211608847,3300.3046228030425,-3282.9946228030426
17.31,1664211781868,3301.6878926819554,-3284.3778926819555
17.31,1664211945040,3302.514322534799,-3285.204322534799
17.3,1664212105254,3303.101830187271,-3285.8018301872708
17.3,1664212265799,3303.2481852926817,-3285.9481852926815
17.32,1664212427527,3303.3279277294278,-3286.0079277294276
17.27,1664212601617,3306.211424541637,-3288.941424541637
17.31,1664212771207,3306.7304982674973,-3289.4204982674974
17.31,1664212950283,3300.9603569526203,-3283.6503569526203
17.31,1664213133189,3301.716026823212,-3284.406026823212
17.28,1664213343169,3300.9965179412766,-3283.7165179412764
17.32,1664213519841,3300.521892304947,-3283.201892304947
17.33,1664213697024,3303.803742687705,-3286.473742687705
17.32,1664213878867,3305.1146571256622,-3287.794657125662
17.34,1664214057905,3306.0297814005794,-3288.6897814005792
17.35,1664214239422,3306.4516928891835,-3289.1016928891836
17.34,1664214419756,3308.14421013425,-3290.80421013425
17.36,1664214601052,3308.843876143411,-3291.4838761434107
17.37,1664214783000,3309.5744142241224,-3292.2044142241225
17.39,1664214965556,3311.1668854285954,-3293.7768854285955
17.4,1664215175808,3311.682008463272,-3294.2820084632717
17.36,1664215383704,3317.0838821832053,-3299.723882183205
