time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1660415913997,29.24,85,6199924.17,1229525876.55,311937,1660415610451,1660415922388,29.21
1660417110084,29.29,34,6126377.00,1229493750.15,675080,1660416467469,1660417142549,29.19
1660417110084,29.29,35,6126377.00,1229493750.15,699771,1660416442779,1660417142550,29.19
1660420032904,29.25,15,6253731.11,1229596518.43,517229,1660419515681,1660420032910,29.2
1660422427590,29.30,10,6179777.70,1229606264.64,619523,1660421911171,1660422530694,29.2
1660422427590,29.30,35,6179777.70,1229606264.64,1975847,1660420554848,1660422530695,29.2
1660423076801,29.28,41,6164605.53,1229581266.30,2342427,1660420734380,1660423076807,29.21
1660423076801,29.28,68,6164605.53,1229581266.30,2433346,1660420643461,1660423076807,29.21
1660423076801,29.28,92,6164605.53,1229581266.30,2433346,1660420643461,1660423076807,29.21
1660423076801,29.28,39,6164605.53,1229581266.30,1664416,1660421412390,1660423076806,29.21
1660423076801,29.28,94,6164605.53,1229581266.30,4305022,1660418771785,1660423076807,29.21
1660423076801,29.28,40,6164605.53,1229581266.30,1664417,1660421412390,1660423076807,29.21
1660423076801,29.28,96,6164605.53,1229581266.30,4369271,1660418707536,1660423076807,29.21
1660423076801,29.28,104,6164605.53,1229581266.30,4369271,1660418707536,1660423076807,29.21
1660423076801,29.28,95,6164605.53,1229581266.30,4369271,1660418707536,1660423076807,29.21
1660423076801,29.28,117,6164605.53,1229581266.30,4740169,1660418336638,1660423076807,29.21
1660423076801,29.28,119,6164605.53,1229581266.30,5077460,1660417999348,1660423076808,29.21
1660423076801,29.28,120,6164605.53,1229581266.30,5131518,1660417945290,1660423076808,29.21
1660423076801,29.28,176,6164605.53,1229581266.30,5131518,1660417945290,1660423076808,29.21
1660423076801,29.28,193,6164605.53,1229581266.30,6555292,1660416521516,1660423076808,29.21
1660423076801,29.28,194,6164605.53,1229581266.30,6583351,1660416493457,1660423076808,29.21
1660423076801,29.28,195,6164605.53,1229581266.30,6584068,1660416492740,1660423076808,29.21
1660423076801,29.28,198,6164605.53,1229581266.30,6584068,1660416492740,1660423076808,29.21
1660423076801,29.28,199,6164605.53,1229581266.30,6584068,1660416492740,1660423076808,29.21
1660423076801,29.28,93,6164605.53,1229581266.30,2433346,1660420643461,1660423076807,29.21
1660423076801,29.28,201,6164605.53,1229581266.30,6667676,1660416409132,1660423076808,29.21
1660423076801,29.28,67,6164605.53,1229581266.30,2433346,1660420643461,1660423076807,29.21
1660423076801,29.28,206,6164605.53,1229581266.30,6667676,1660416409132,1660423076808,29.21
1660423076801,29.28,207,6164605.53,1229581266.30,6667676,1660416409132,1660423076808,29.21
1660423076801,29.28,203,6164605.53,1229581266.30,6667676,1660416409132,1660423076808,29.21
1660423076801,29.28,209,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,210,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,211,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,214,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,118,6164605.53,1229581266.30,5077459,1660417999348,1660423076807,29.21
1660423076801,29.28,208,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,217,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,218,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,219,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,235,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,200,6164605.53,1229581266.30,6584068,1660416492740,1660423076808,29.21
1660423076801,29.28,340,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
1660423076801,29.28,341,6164605.53,1229581266.30,6667677,1660416409132,1660423076809,29.21
