bc,ac,tbv,tav,time,mp,minBid
5151781.93,1229991099.88,648740.62,302809.00,1661007109219,22.74,22.65
5151802.25,1229991099.88,648740.83,302809.00,1661007112343,22.74,22.65
5151646.60,1229992325.39,648733.98,302862.24,1661007115169,22.74,22.64
5148941.39,1229992582.82,648614.85,302873.57,1661007118133,22.74,22.64
5161851.78,1229990967.22,649183.68,302803.00,1661007121149,22.74,22.64
5139873.65,1229988769.79,648219.12,302707.32,1661007124204,22.73,22.63
5101289.40,1229977330.73,646523.03,302212.14,1661007127214,22.71,22.62
5144090.37,1230003333.51,648417.92,303356.39,1661007130164,22.71,22.62
5148629.29,1230001989.61,648618.27,303297.34,1661007136155,22.71,22.62
5143334.96,1230004496.23,648384.48,303407.58,1661007137569,22.71,22.62
5147846.37,1229998329.76,648583.18,303137.12,1661007139139,22.71,22.61
5153331.20,1230005457.65,648825.63,303454.39,1661007142596,22.71,22.61
5150396.55,1230002921.59,648695.98,303343.10,1661007145171,22.71,22.61
5153581.07,1229997190.87,648835.97,303090.80,1661007148179,22.71,22.61
5149358.14,1230002192.84,648649.78,303311.67,1661007151198,22.71,22.61
5150292.09,1230001840.87,648691.76,303296.27,1661007154243,22.71,22.61
5150277.93,1230001871.75,648690.98,303297.77,1661007157195,22.71,22.61
5155947.73,1229999642.94,648941.28,303199.63,1661007160189,22.71,22.61
5153319.10,1229999633.22,648825.09,303199.20,1661007163153,22.71,22.61
5154620.06,1229999633.22,648882.43,303199.20,1661007166171,22.71,22.61
5150725.25,1229999633.22,648711.81,303199.20,1661007169314,22.71,22.61
5145531.29,1229999633.22,648482.90,303199.20,1661007177760,22.71,22.61
5154391.69,1229996979.89,648873.27,303082.05,1661007180517,22.71,22.61
5152980.61,1229999633.22,648811.26,303199.20,1661007181601,22.71,22.61
5154524.18,1229992735.60,648878.72,302895.12,1661007184347,22.72,22.61
5156515.88,1229999973.84,648966.64,303213.40,1661007187192,22.71,22.61
5152626.98,1229995224.10,648795.01,303004.30,1661007187613,22.72,22.61
5161144.30,1229982554.92,649170.30,302458.90,1661007190377,22.72,22.61
5170552.00,1229965354.46,649578.34,301688.19,1661007195548,22.74,22.61
5175266.85,1229991655.40,649778.02,302837.58,1661007197029,22.75,22.61
5160475.51,1230007645.42,649132.00,303544.69,1661007200224,22.73,22.61
5158212.79,1230005980.91,649032.06,303471.47,1661007203203,22.73,22.61
5159472.12,1230014368.18,649079.20,303832.59,1661007207977,22.73,22.61
5154263.59,1230017770.32,648849.75,303982.72,1661007209096,22.73,22.61
