mp,timeStamp,mean,skew
22.74,1661007109229,7339.711439202454,-7316.971439202454
22.74,1661007112351,7339.773771932516,-7317.033771932516
22.74,1661007118165,7329.36497482389,-7306.624974823891
22.71,1661007130253,6809.662480395429,-6786.952480395429
22.71,1661007145385,6216.89249031535,-6194.18249031535
22.71,1661007151460,6122.407842269301,-6099.697842269301
22.71,1661007163556,5955.029227450196,-5932.319227450196
22.71,1661007166607,5923.675906873537,-5900.965906873537
22.71,1661007169784,5895.761945946573,-5873.051945946573
22.71,1661007178260,5878.34588798873,-5855.63588798873
22.72,1661007188378,5915.328636055269,-5892.608636055269
22.74,1661007196420,6010.82579380733,-5988.08579380733
22.73,1661007201188,6098.165336443942,-6075.435336443942
22.73,1661007204211,6134.040230973536,-6111.310230973537
22.72,1661007215963,6228.074620121942,-6205.3546201219415
22.73,1661007219455,6285.2727320247395,-6262.54273202474
22.73,1661007231761,6421.437405263978,-6398.707405263978
22.73,1661007234880,6461.749001815247,-6439.019001815247
22.73,1661007240774,6500.435949639009,-6477.705949639009
22.73,1661007242637,6537.9661193483835,-6515.236119348384
22.73,1661007248298,6594.693374554121,-6571.963374554121
22.74,1661007259663,6663.297372981921,-6640.557372981922
22.73,1661007262567,6685.580901904095,-6662.850901904096
22.73,1661007268802,6729.494279920224,-6706.764279920224
22.73,1661007272063,6750.98755432114,-6728.257554321141
22.72,1661007287727,6845.664557289235,-6822.944557289235
22.72,1661007291379,6859.178659244987,-6836.458659244987
22.72,1661007321054,6898.591647003428,-6875.871647003428
22.72,1661007329150,6911.395638168141,-6888.675638168141
22.69,1661007335775,6889.095030061427,-6866.405030061427
22.7,1661007343658,6869.392012769517,-6846.6920127695175
22.7,1661007348504,6850.518016140899,-6827.818016140899
22.7,1661007356474,6830.493014702021,-6807.7930147020215
22.7,1661007361532,6811.027718272306,-6788.327718272306
22.7,1661007373595,6854.561574253742,-6831.861574253742
22.7,1661007379179,6870.085471661473,-6847.385471661473
22.71,1661007385502,6881.335378208761,-6858.625378208761
22.71,1661007391320,6892.323380358341,-6869.613380358341
22.72,1661007407405,6839.7568352911485,-6817.036835291148
22.72,1661007415942,6825.540964081849,-6802.820964081849
22.72,1661007426096,6813.471539785663,-6790.751539785662
22.72,1661007433969,6792.070467152075,-6769.350467152075
22.72,1661007445899,6771.77690828026,-6749.056908280259
22.72,1661007457890,6752.0713345965605,-6729.35133459656
22.7,1661007467099,6759.629405861469,-6736.92940586147
22.71,1661007475597,6766.247137333358,-6743.537137333358
22.73,1661007488948,6754.492510631941,-6731.762510631941
22.74,1661007500549,6752.866332977325,-6730.126332977326
22.75,1661007509212,6752.779902073981,-6730.029902073981
22.74,1661007521494,6766.285368436902,-6743.545368436902
22.74,1661007531088,6793.629097734521,-6770.889097734521
22.73,1661007544956,6798.0465454492205,-6775.316545449221
22.73,1661007561695,6832.486286791591,-6809.756286791591
22.73,1661007584929,6873.847072466366,-6851.117072466366
22.72,1661007596495,6866.136099420406,-6843.416099420406
22.72,1661007608076,6856.497000016309,-6833.777000016309
22.71,1661007619842,6847.407955635437,-6824.697955635437
22.71,1661007631673,6838.181415872179,-6815.471415872179
22.71,1661007650507,6808.791717581678,-6786.081717581678
22.71,1661007663036,6796.959891049893,-6774.2498910498925
22.72,1661007678852,6801.623607108142,-6778.903607108142
22.71,1661007691779,6806.742483269788,-6784.032483269788
22.7,1661007709836,6813.044947882573,-6790.344947882573
22.69,1661007723098,6804.920694739395,-6782.230694739395
22.7,1661007739897,6799.874214474107,-6777.174214474107
22.7,1661007753773,6794.524742050062,-6771.824742050062
22.66,1661007789957,6799.6691834305175,-6777.009183430518
22.66,1661007815186,6764.554530674395,-6741.894530674395
22.69,1661007838112,6784.344596896981,-6761.654596896981
22.69,1661007860609,6796.8302296546535,-6774.140229654654
22.69,1661007884780,6818.401908426906,-6795.711908426906
22.67,1661007903162,6827.225036511871,-6804.555036511871
22.67,1661007932177,6856.0777381176285,-6833.4077381176285
22.68,1661007955134,6872.785662920006,-6850.105662920006
22.68,1661007982559,6889.418913329562,-6866.738913329562
22.66,1661008006663,6892.32874168735,-6869.66874168735
22.63,1661008035182,6867.729865237087,-6845.099865237087
22.65,1661008060739,6877.290463389116,-6854.640463389116
22.68,1661008083381,6876.967069269047,-6854.287069269047
22.66,1661008108460,6870.792029352682,-6848.132029352682
22.66,1661008138472,6877.683569664878,-6855.023569664878
22.65,1661008163740,6854.2736296953735,-6831.623629695374
22.64,1661008187847,6827.800728752593,-6805.160728752593
22.66,1661008219810,6779.024222532964,-6756.364222532964
22.66,1661008248072,6768.129570524949,-6745.469570524949
22.64,1661008273524,6761.373361968557,-6738.733361968557
22.63,1661008302917,6768.712582623419,-6746.082582623419
22.63,1661008329394,6770.396976334483,-6747.766976334483
22.63,1661008366083,6770.955673467951,-6748.325673467951
22.63,1661008393881,6777.447515918679,-6754.8175159186785
22.63,1661008431948,6755.6833601115695,-6733.053360111569
22.65,1661008461069,6762.85754196147,-6740.20754196147
22.67,1661008490777,6762.198517430984,-6739.528517430984
22.7,1661008521015,6764.317381230763,-6741.617381230763
22.7,1661008551093,6761.7634975041465,-6739.063497504147
22.72,1661008585426,6748.975421919968,-6726.255421919967
22.71,1661008616588,6734.858079263842,-6712.148079263842
22.71,1661008654564,6711.69282291734,-6688.98282291734
22.71,1661008692015,6700.664865228013,-6677.954865228013
22.72,1661008731327,6692.037529163816,-6669.317529163815
22.68,1661008765082,6690.60458734433,-6667.92458734433
22.66,1661008805568,6712.901561752403,-6690.241561752403
22.65,1661008841858,6711.910001486588,-6689.260001486588
22.68,1661008880152,6701.221539283002,-6678.541539283002
22.65,1661008915733,6703.561076542899,-6680.9110765428995
22.65,1661008961755,6717.485737895974,-6694.8357378959745
22.64,1661008999023,6717.8111408359255,-6695.171140835925
22.64,1661009040021,6710.076786458068,-6687.436786458068
22.65,1661009088508,6691.322524460071,-6668.672524460071
22.66,1661009140709,6706.071136883226,-6683.411136883226
22.66,1661009186237,6712.8283882515425,-6690.168388251543
22.67,1661009228093,6714.59009323602,-6691.92009323602
22.69,1661009270184,6713.378928800253,-6690.688928800253
22.66,1661009316902,6723.241093260889,-6700.581093260889
22.68,1661009359707,6720.369238562056,-6697.689238562056
22.69,1661009416410,6726.390279343841,-6703.700279343841
22.68,1661009464477,6737.556795649454,-6714.876795649454
22.65,1661009527061,6733.8396440222805,-6711.189644022281
22.66,1661009572666,6737.440831630088,-6714.780831630088
22.65,1661009618349,6741.453772556292,-6718.803772556293
22.65,1661009665872,6743.579264879122,-6720.9292648791225
22.7,1661009712114,6738.701590028459,-6716.001590028459
22.7,1661009758766,6740.629698650766,-6717.929698650766
22.68,1661009810048,6753.061293351395,-6730.381293351395
22.67,1661009857768,6749.61366883049,-6726.9436688304895
22.66,1661009916114,6765.676708952939,-6743.01670895294
22.66,1661009965896,6769.222477048382,-6746.562477048382
22.65,1661010015502,6770.807569821436,-6748.1575698214365
22.68,1661010068884,6766.23285880792,-6743.55285880792
22.69,1661010130016,6758.37020929293,-6735.68020929293
22.7,1661010183057,6762.510497932663,-6739.810497932664
22.7,1661010235701,6766.111857792267,-6743.411857792267
22.69,1661010288950,6770.903133758884,-6748.213133758884
22.69,1661010342605,6775.306482485704,-6752.616482485704
22.7,1661010399383,6783.632832477247,-6760.932832477247
22.71,1661010453488,6786.650644357721,-6763.940644357721
22.72,1661010511457,6780.22070511116,-6757.50070511116
22.74,1661010580838,6766.671993089946,-6743.931993089946
22.73,1661010641944,6775.842007769774,-6753.112007769774
22.71,1661010712205,6766.2959892688605,-6743.58598926886
22.71,1661010779372,6770.1372030085495,-6747.427203008549
22.73,1661010841381,6768.843684571628,-6746.113684571628
22.74,1661010903033,6766.506334660859,-6743.766334660859
22.75,1661010964952,6763.8411892907525,-6741.0911892907525
22.83,1661011028334,6751.333406405481,-6728.503406405481
22.8,1661011093295,6754.268947186586,-6731.468947186586
22.77,1661011160415,6754.128330105971,-6731.358330105971
22.8,1661011224225,6749.292586835277,-6726.492586835277
22.78,1661011288175,6747.772205156654,-6724.992205156655
22.8,1661011353772,6751.012420977915,-6728.212420977915
22.79,1661011426325,6764.963159602405,-6742.173159602405
22.78,1661011492832,6763.167279020378,-6740.387279020379
22.75,1661011563073,6757.013564555312,-6734.263564555312
22.76,1661011630869,6758.185348710142,-6735.425348710141
22.76,1661011699489,6760.878212714854,-6738.118212714854
22.8,1661011768080,6746.690143331542,-6723.890143331541
22.78,1661011837689,6748.537978528966,-6725.757978528966
22.79,1661011907671,6751.433718810974,-6728.643718810974
22.79,1661012013614,6765.798453770816,-6743.008453770816
22.79,1661012097113,6778.707189249714,-6755.917189249714
22.78,1661012175354,6784.052050833453,-6761.272050833453
22.8,1661012255124,6781.521841815692,-6758.721841815692
22.82,1661012334092,6785.664749358777,-6762.844749358777
22.78,1661012424392,6774.7017349290645,-6751.921734929065
22.76,1661012507306,6779.255273040675,-6756.495273040675
22.73,1661012596951,6784.770849937741,-6762.040849937742
22.72,1661012681024,6780.955002626523,-6758.235002626523
22.7,1661012772980,6776.834195250259,-6754.134195250259
22.73,1661012859355,6773.224827770033,-6750.494827770033
22.77,1661012946253,6773.048306152546,-6750.278306152545
22.78,1661013033646,6772.360222575803,-6749.580222575803
22.8,1661013121731,6776.594323789185,-6753.794323789185
22.76,1661013210569,6775.280781154431,-6752.520781154431
22.67,1661013304159,6771.345498961944,-6748.675498961944
22.7,1661013395044,6774.293239022844,-6751.5932390228445
22.69,1661013486022,6778.51990419125,-6755.8299041912505
22.65,1661013583924,6776.563559622017,-6753.913559622018
22.62,1661013676347,6772.00466118285,-6749.38466118285
22.67,1661013780094,6767.299463134311,-6744.629463134311
22.7,1661013875164,6765.004090031909,-6742.304090031909
22.7,1661013974497,6761.609809209089,-6738.909809209089
22.72,1661014071098,6759.368421319676,-6736.648421319675
22.67,1661014168624,6756.224862203783,-6733.554862203783
22.65,1661014270000,6748.183212431997,-6725.5332124319975
22.64,1661014376178,6731.728843277451,-6709.088843277451
22.62,1661014484110,6732.16188871079,-6709.54188871079
22.6,1661014586788,6721.708523111331,-6699.10852311133
22.6,1661014693485,6715.541656444512,-6692.941656444512
22.57,1661014805527,6720.110957133723,-6697.540957133723
22.59,1661015018174,6700.354505062044,-6677.764505062044
22.36,1661015469682,6704.794023274923,-6682.434023274924
22.36,1661015585864,6687.651620424759,-6665.2916204247595
22.34,1661015806716,6682.180965308393,-6659.840965308393
22.33,1661016036769,6678.8610862131,-6656.5310862131
22.33,1661016264638,6668.246026873486,-6645.916026873486
22.43,1661016621464,6667.387117329636,-6644.957117329635
22.47,1661016739301,6666.714101951274,-6644.2441019512735
22.56,1661016858332,6659.571485376613,-6637.011485376613
22.56,1661016976869,6656.955702329535,-6634.395702329534
22.53,1661017096081,6655.93600103058,-6633.40600103058
22.5,1661017219155,6658.1073379769505,-6635.6073379769505
22.51,1661017339656,6660.117940929724,-6637.607940929724
22.42,1661017460353,6659.552786110437,-6637.132786110437
22.34,1661018077421,6655.158395076379,-6632.818395076379
22.36,1661018201365,6655.8175718096045,-6633.457571809605
22.33,1661018957212,6658.820648988239,-6636.490648988239
22.33,1661019223012,6651.099808500656,-6628.769808500656
22.33,1661019618506,6660.485443955592,-6638.155443955592
22.42,1661019751066,6661.866730769465,-6639.446730769465
22.36,1661020020924,6664.3871883530755,-6642.027188353076
22.34,1661020594760,6620.771409463611,-6598.431409463611
22.33,1661021451118,6622.238491419104,-6599.908491419104
21.98,1661022968588,6511.337204323664,-6489.3572043236645
21.85,1661023123635,6502.813495229287,-6480.963495229286
22,1661023278578,6493.869447065729,-6471.869447065729
21.96,1661023434370,6494.175950134719,-6472.215950134719
21.87,1661023593659,6479.902090185334,-6458.032090185334
21.87,1661023750962,6475.655132584714,-6453.785132584714
21.86,1661023908403,6475.070440027377,-6453.210440027377
21.86,1661024880975,6440.169564402425,-6418.309564402425
21.86,1661025047653,6434.842144472707,-6412.982144472708
21.89,1661025212082,6434.843019737783,-6412.953019737783
21.85,1661025381208,6431.291501973379,-6409.441501973379
21.93,1661025548559,6429.837939848211,-6407.907939848211
21.98,1661026074660,6422.018442910342,-6400.038442910342
