mp,timeStamp,mean,skew
13.51,1670688079402,3047.554655488058,-3034.0446554880577
13.5,1670688082486,3056.626340444172,-3043.126340444172
13.5,1670688085414,3064.9848620604707,-3051.4848620604707
13.51,1670688088575,3079.3795450383222,-3065.869545038322
13.51,1670688091548,3091.305544093042,-3077.795544093042
13.51,1670688094407,3102.072580974756,-3088.5625809747557
13.51,1670688097955,3111.356314558341,-3097.846314558341
13.51,1670688100520,3119.7721130011296,-3106.2621130011294
13.51,1670688103662,3126.5730903665385,-3113.0630903665383
13.51,1670688106573,3122.3622418178657,-3108.8522418178654
13.51,1670688109578,3119.5712840991296,-3106.0612840991294
13.51,1670688112691,3116.694115898117,-3103.184115898117
13.51,1670688115725,3114.769035911682,-3101.2590359116816
13.51,1670688118729,3113.2051454686907,-3099.6951454686905
13.51,1670688121894,3112.168482085055,-3098.658482085055
13.51,1670688124673,3109.9186901024814,-3096.408690102481
13.51,1670688136825,3117.575351720414,-3104.0653517204137
13.51,1670688139834,3119.768123126411,-3106.2581231264107
13.51,1670688142778,3121.0628083848155,-3107.5528083848153
13.51,1670688145993,3122.1317177061746,-3108.6217177061744
13.51,1670688148833,3123.046711197128,-3109.5367111971277
13.51,1670688151944,3123.4108800710096,-3109.9008800710094
13.51,1670688154945,3122.844086922246,-3109.3340869222457
13.51,1670688157950,3121.813150509419,-3108.3031505094186
13.51,1670688161296,3121.825277532496,-3108.3152775324957
13.51,1670688164056,3118.5947834127605,-3105.0847834127603
13.51,1670688167089,3116.60125318718,-3103.09125318718
13.51,1670688170186,3113.8437556206704,-3100.33375562067
13.51,1670688173235,3110.903493233698,-3097.393493233698
13.51,1670688176178,3108.102280685675,-3094.5922806856747
13.51,1670688179208,3105.6104904498225,-3092.1004904498222
13.51,1670688182345,3104.199619648331,-3090.689619648331
13.51,1670688185665,3102.1189263410206,-3088.6089263410204
13.51,1670688188423,3102.5275881019534,-3089.017588101953
13.51,1670688191431,3101.8451735754766,-3088.3351735754763
13.51,1670688194674,3100.0919334691157,-3086.5819334691155
13.51,1670688197620,3098.2675258337326,-3084.7575258337324
13.51,1670688200690,3096.9663696333932,-3083.456369633393
13.5,1670688203634,3097.8587347149028,-3084.3587347149028
