bc,ac,tbv,tav,time,mp,minBid
2467443.00,11673893.88,460303.05,257861.46,1671315259081,11.81,11.76
2467443.00,11673893.88,460303.05,257861.46,1671315261816,11.81,11.76
2467447.13,11673893.88,460303.05,257861.46,1671315264781,11.81,11.76
2467447.13,11673893.88,460303.05,257861.46,1671315267785,11.81,11.76
2467447.13,11673893.88,460303.05,257861.46,1671315270769,11.81,11.76
2468127.68,11665906.83,460338.05,257191.97,1671315273892,11.81,11.76
2468127.68,11665906.83,460338.05,257191.97,1671315276801,11.81,11.76
2468127.68,11665906.83,460338.05,257191.97,1671315279790,11.81,11.76
2468127.68,11661556.02,460338.05,256939.80,1671315282759,11.81,11.76
2468127.68,11661556.02,460338.05,256939.80,1671315285794,11.81,11.76
2470034.78,11661556.02,460501.05,256939.80,1671315288756,11.81,11.76
2470034.78,11661556.02,460501.05,256939.80,1671315291773,11.81,11.76
2458834.28,11661556.02,459551.05,256939.80,1671315294838,11.81,11.76
2458834.28,11661556.02,459551.05,256939.80,1671315297819,11.81,11.76
2458831.91,11659042.23,459550.51,256727.49,1671315300900,11.81,11.76
2458571.91,11659042.23,459550.51,256727.49,1671315303765,11.81,11.76
2462222.15,11667486.10,459855.25,257434.16,1671315306794,11.81,11.76
2462078.51,11668608.43,459842.61,257529.81,1671315309771,11.81,11.76
2462129.51,11665339.25,459842.54,257252.37,1671315312882,11.81,11.76
2461329.79,11668618.73,459774.61,257529.48,1671315315893,11.81,11.76
2461329.79,11668618.73,459774.61,257529.48,1671315318936,11.81,11.76
2461329.79,11668520.10,459774.61,257521.14,1671315321796,11.81,11.76
2457104.57,11668520.10,459415.94,257521.14,1671315324813,11.81,11.76
2457104.57,11664609.75,459415.94,257189.79,1671315327861,11.81,11.76
2461405.35,11664860.60,459780.53,257210.79,1671315330925,11.81,11.76
2461405.33,11664861.57,459780.53,257210.79,1671315333943,11.81,11.76
2461405.33,11664861.00,459780.53,257210.79,1671315337236,11.81,11.76
2461405.33,11664861.00,459780.53,257210.79,1671315339899,11.81,11.76
2461405.33,11664861.00,459780.53,257210.79,1671315342899,11.81,11.76
2458906.40,11668821.02,459568.75,257440.08,1671315346388,11.81,11.76
2458906.40,11668821.02,459568.75,257440.08,1671315348869,11.81,11.76
2458906.40,11668821.02,459568.75,257440.08,1671315351801,11.81,11.76
2458636.15,11668820.62,459545.75,257440.08,1671315354818,11.81,11.76
2458636.15,11668820.62,459545.75,257440.08,1671315357996,11.81,11.76
2458638.65,11668075.99,459545.75,257378.08,1671315360854,11.81,11.76
2458638.65,11668078.08,459545.75,257378.08,1671315363827,11.81,11.76
2458638.65,11668078.08,459545.75,257378.08,1671315366950,11.81,11.76
2459127.20,11668550.88,459587.32,257418.08,1671315369822,11.81,11.76
2459127.20,11668078.08,459587.32,257378.08,1671315372861,11.81,11.76
2459127.20,11668078.08,459587.32,257378.08,1671315375894,11.81,11.76
2456058.13,11664821.21,459326.61,257102.63,1671315378925,11.81,11.76
2456058.13,11665294.58,459326.61,257142.63,1671315382006,11.81,11.76
2456097.07,11665056.68,459329.91,257122.52,1671315384864,11.81,11.76
2454892.96,11665056.68,459197.91,257122.52,1671315387813,11.81,11.76
2461091.43,11663363.30,459722.54,256965.99,1671315391282,11.82,11.76
2461090.55,11663364.78,459722.49,256965.99,1671315393824,11.82,11.76
2461090.55,11663364.78,459722.49,256965.99,1671315396836,11.82,11.76
2459994.07,11639144.90,459587.75,254926.68,1671315399852,11.82,11.76
2457613.02,11641761.95,459375.98,255144.00,1671315402825,11.82,11.76
2455637.11,11642922.39,459219.59,255301.36,1671315405859,11.82,11.76
