mp,timeStamp,mean,skew
19.98,1667663923229,2934.937183362635,-2914.957183362635
19.98,1667663929280,2901.2948204417635,-2881.3148204417635
19.98,1667663938197,2889.0096908298005,-2869.0296908298005
19.98,1667663944306,2868.162115509786,-2848.182115509786
19.97,1667663956366,2844.3903364901353,-2824.4203364901355
19.99,1667663968556,2831.2237368943706,-2811.233736894371
19.98,1667663971443,2829.1206617431258,-2809.1406617431257
19.97,1667663974468,2823.1291593290903,-2803.1591593290905
19.99,1667663977462,2829.5010148341858,-2809.511014834186
19.98,1667663980477,2824.931192130696,-2804.951192130696
19.98,1667663986603,2814.7610905574047,-2794.7810905574047
19.96,1667663992672,2829.455503301335,-2809.495503301335
19.96,1667663995722,2845.6482687271646,-2825.6882687271645
19.97,1667663998769,2862.144757942009,-2842.1747579420094
19.96,1667664002300,2862.2516983091114,-2842.2916983091113
19.96,1667664004983,2866.9938514402306,-2847.0338514402306
19.96,1667664007868,2872.4898819316186,-2852.5298819316185
19.95,1667664010889,2869.016195311196,-2849.066195311196
19.97,1667664013800,2861.1304374024894,-2841.1604374024896
19.97,1667664016823,2852.872314581435,-2832.9023145814353
19.97,1667664019896,2845.418712708265,-2825.4487127082652
19.98,1667664035130,2876.6678380931257,-2856.6878380931257
19.97,1667664038285,2885.151222181233,-2865.1812221812334
19.97,1667664041170,2891.6603147843225,-2871.6903147843227
19.98,1667664050428,2915.884570978016,-2895.904570978016
19.99,1667664053473,2924.9589575388354,-2904.9689575388356
20.01,1667664065744,2948.340033864153,-2928.330033864153
20.01,1667664068697,2950.603677011052,-2930.5936770110516
20.03,1667664080925,2937.6032634990693,-2917.573263499069
20.03,1667664087116,2935.1754357758464,-2915.145435775846
20.01,1667664093213,2944.656455490791,-2924.6464554907907
20.01,1667664096536,2945.586064173902,-2925.5760641739016
20.01,1667664099355,2946.7403457170612,-2926.730345717061
20.04,1667664102433,2951.4312561556444,-2931.3912561556444
20.04,1667664105567,2955.935613944136,-2935.895613944136
20.05,1667664111698,2962.2679702104833,-2942.217970210483
20.06,1667664114843,2965.642074180514,-2945.582074180514
20.05,1667664118204,2965.872152262366,-2945.8221522623658
20.05,1667664121977,2965.1524410188063,-2945.102441018806
20.05,1667664125436,2956.3794269340306,-2936.3294269340304
20.05,1667664131948,2936.3860736946667,-2916.3360736946665
20.06,1667664135565,2927.6486419348485,-2907.5886419348485
20.06,1667664139324,2920.281812069595,-2900.221812069595
20.06,1667664149380,2896.2726511624965,-2876.2126511624965
20.06,1667664154527,2888.77079929579,-2868.71079929579
20.05,1667664158798,2892.900372981202,-2872.850372981202
20.05,1667664163126,2897.775462826322,-2877.7254628263217
20.03,1667664167436,2898.4641109908125,-2878.4341109908123
20.03,1667664175065,2898.969223170512,-2878.939223170512
20.05,1667664179800,2903.489285881625,-2883.439285881625
20.03,1667664184576,2907.720005049488,-2887.690005049488
20.03,1667664189400,2910.1417666370294,-2890.111766637029
20.07,1667664206989,2915.3943546412934,-2895.324354641293
