mp,timeStamp,mean,skew
12.87,1669485267167,2604.8723128026363,-2592.0023128026364
12.87,1669485270626,2610.0522266849644,-2597.1822266849645
12.87,1669485276203,2613.2036372988505,-2600.3336372988506
12.87,1669485282272,2618.2953321114737,-2605.425332111474
12.87,1669485285454,2620.6247601311065,-2607.7547601311067
12.87,1669485294466,2625.161106884938,-2612.291106884938
12.87,1669485297489,2626.2445101745952,-2613.3745101745953
12.87,1669485306393,2629.901310414093,-2617.0313104140932
12.87,1669485309517,2632.608401675266,-2619.7384016752662
12.87,1669485315626,2633.474384906714,-2620.604384906714
12.87,1669485318650,2633.088993203794,-2620.218993203794
12.87,1669485336807,2627.303385092671,-2614.433385092671
12.87,1669485339938,2625.335035409205,-2612.465035409205
12.87,1669485343349,2623.301946494592,-2610.431946494592
12.87,1669485346055,2621.4030380513695,-2608.5330380513697
12.87,1669485352251,2621.7041034907784,-2608.8341034907785
12.87,1669485355348,2628.2824417303573,-2615.4124417303574
12.87,1669485361291,2639.0342657342558,-2626.164265734256
12.87,1669485367408,2649.214507982342,-2636.3445079823423
12.87,1669485379773,2663.3559399770106,-2650.4859399770107
12.87,1669485382805,2666.206071635999,-2653.336071635999
12.87,1669485385743,2668.7848947356006,-2655.9148947356007
12.87,1669485391999,2651.295363143565,-2638.425363143565
12.87,1669485398047,2635.5838293127326,-2622.7138293127327
12.87,1669485410434,2608.5651004824103,-2595.6951004824105
12.87,1669485413531,2602.5195167820752,-2589.6495167820754
12.87,1669485416682,2596.929482567417,-2584.059482567417
12.87,1669485422846,2586.462388221275,-2573.592388221275
12.87,1669485429308,2575.751264002207,-2562.881264002207
12.87,1669485432566,2570.459959585004,-2557.589959585004
12.87,1669485435946,2564.7974554104803,-2551.9274554104804
12.87,1669485439438,2559.3336102991157,-2546.4636102991158
12.87,1669485450118,2546.870435162739,-2534.000435162739
12.87,1669485454074,2542.525979066798,-2529.655979066798
12.87,1669485458191,2538.600683699122,-2525.730683699122
12.87,1669485462230,2533.4805399495594,-2520.6105399495596
12.86,1669485466491,2539.638117182495,-2526.778117182495
12.87,1669485470895,2535.1957236571,-2522.3257236571003
12.87,1669485475312,2530.9011146589105,-2518.0311146589106
12.87,1669485479794,2526.4090098072506,-2513.5390098072507
12.87,1669485494382,2512.8839602232515,-2500.0139602232516
12.87,1669485499316,2510.7456889982527,-2497.875688998253
12.87,1669485517180,2500.0486635612388,-2487.178663561239
12.87,1669485523173,2497.263062988699,-2484.393062988699
12.87,1669485529586,2494.526688888649,-2481.656688888649
12.87,1669485535607,2491.6703736760305,-2478.8003736760306
12.87,1669485544920,2486.54684937963,-2473.6768493796303
12.85,1669485551428,2478.6808857138903,-2465.8308857138904
12.85,1669485558021,2471.8137317697756,-2458.9637317697757
12.85,1669485564722,2465.290580552811,-2452.4405805528113
12.85,1669485571619,2458.8115704759184,-2445.9615704759185
12.85,1669485578528,2452.5473393559046,-2439.6973393559047
12.85,1669485585593,2445.894049755951,-2433.044049755951
12.85,1669485592728,2439.2885303834287,-2426.4385303834288
12.85,1669485603172,2425.675715658292,-2412.825715658292
12.85,1669485616992,2411.809940461982,-2398.959940461982
12.85,1669485624831,2407.2078263862395,-2394.3578263862396
12.85,1669485632780,2402.437776884916,-2389.587776884916
12.85,1669485650528,2382.51068423546,-2369.66068423546
12.85,1669485659207,2378.3090942638187,-2365.4590942638188
12.86,1669485674455,2375.1900135593933,-2362.330013559393
12.86,1669485684060,2373.6362689300613,-2360.776268930061
12.86,1669485703092,2369.531624497621,-2356.671624497621
12.86,1669485716428,2368.0638304589647,-2355.2038304589646
12.86,1669485730049,2366.1394159010265,-2353.2794159010264
12.86,1669485740804,2364.4913171190715,-2351.6313171190714
12.86,1669485751881,2363.3630042228233,-2350.503004222823
12.86,1669485762925,2362.2988614573023,-2349.438861457302
12.86,1669485799931,2354.1636874687883,-2341.303687468788
12.86,1669485822656,2352.858996553301,-2339.998996553301
12.86,1669485846297,2351.616742926721,-2338.756742926721
12.86,1669485861032,2354.351858941117,-2341.491858941117
12.86,1669485875765,2356.615545582745,-2343.755545582745
12.86,1669485894416,2363.8096299425124,-2350.9496299425123
12.86,1669485909709,2367.4151070734006,-2354.5551070734004
12.86,1669485928637,2373.8263411694197,-2360.9663411694196
12.86,1669485947794,2380.649629850183,-2367.789629850183
12.86,1669485967546,2387.12019538446,-2374.26019538446
12.86,1669486004207,2399.2566965525925,-2386.3966965525924
12.86,1669486026169,2402.781509762912,-2389.9215097629117
12.86,1669486060827,2410.0476852391666,-2397.1876852391665
12.86,1669486081396,2411.541347758773,-2398.681347758773
12.86,1669486102530,2412.9426871420205,-2400.0826871420204
12.86,1669486137360,2419.6885857912416,-2406.8285857912415
12.86,1669486159749,2420.6879318254573,-2407.827931825457
12.85,1669486189210,2431.5366769625257,-2418.686676962526
12.86,1669486212651,2432.8177330983285,-2419.9577330983284
12.86,1669486239765,2435.2628023977654,-2422.4028023977653
12.86,1669486263947,2436.308299624982,-2423.4482996249817
12.86,1669486298357,2441.1647105599827,-2428.3047105599826
12.86,1669486330680,2443.6054876605194,-2430.7454876605193
12.85,1669486357253,2446.5551224128094,-2433.7051224128095
12.84,1669486384402,2444.5158166118954,-2431.6758166118952
12.85,1669486411414,2443.2823517633187,-2430.432351763319
12.85,1669486445137,2439.8197740948067,-2426.969774094807
12.85,1669486472610,2438.3725463122837,-2425.522546312284
12.85,1669486504133,2435.237215376893,-2422.387215376893
12.84,1669486532546,2435.463297070011,-2422.6232970700107
12.84,1669486560915,2435.810180259375,-2422.970180259375
12.85,1669486593002,2432.774403552433,-2419.924403552433
12.85,1669486622425,2431.614489371256,-2418.764489371256
12.85,1669486658873,2428.677436649281,-2415.827436649281
12.85,1669486689689,2427.634965938748,-2414.784965938748
12.85,1669486731310,2422.99068911755,-2410.14068911755
12.85,1669486766511,2419.739763350935,-2406.889763350935
12.84,1669486802550,2422.013477545462,-2409.173477545462
12.85,1669486835879,2423.4932011030332,-2410.6432011030333
12.85,1669486869604,2424.9274251035363,-2412.0774251035364
12.85,1669486903464,2425.3178362185795,-2412.4678362185796
12.85,1669486941093,2426.1993474184774,-2413.3493474184775
12.85,1669486980346,2427.265055459476,-2414.415055459476
12.85,1669487016056,2428.843564088951,-2415.993564088951
12.85,1669487066082,2434.242149549575,-2421.392149549575
12.85,1669487111270,2437.740303194791,-2424.890303194791
12.86,1669487160891,2443.8802513418386,-2431.0202513418385
12.86,1669487208784,2447.335479277887,-2434.4754792778867
12.85,1669487251191,2450.5415941403476,-2437.6915941403477
12.85,1669487293966,2453.2018067102217,-2440.351806710222
12.85,1669487340684,2458.5648467650817,-2445.714846765082
12.85,1669487384781,2460.436257362898,-2447.586257362898
12.85,1669487432844,2463.355182139733,-2450.5051821397333
12.84,1669487481341,2465.854649624735,-2453.014649624735
12.85,1669487537557,2468.2237902499455,-2455.3737902499456
