bc,ac,tbv,tav,time,mp,minBid
4328286.40,2215731782.57,642115.76,354657.02,1665849461872,15.7,15.64
4330090.75,2215709460.42,642230.76,353236.71,1665849463982,15.7,15.64
4334255.70,2215713484.86,642496.58,353493.04,1665849467049,15.7,15.64
4334255.70,2215713489.37,642496.58,353493.33,1665849470180,15.7,15.64
4329698.50,2215710429.25,642205.76,353298.67,1665849473018,15.7,15.64
4321712.22,2215710426.49,641696.57,353298.49,1665849476134,15.7,15.64
4337996.45,2215710257.07,642734.82,353287.52,1665849479041,15.7,15.64
4333433.28,2215710254.16,642443.61,353287.52,1665849481997,15.7,15.64
4337575.73,2215728781.25,642708.04,354466.10,1665849485569,15.7,15.64
4333019.22,2215728545.83,642417.22,354451.11,1665849488057,15.7,15.64
4332367.79,2215732497.58,642375.70,354702.81,1665849490979,15.7,15.64
4348058.26,2215732404.59,643377.07,354696.67,1665849494206,15.7,15.64
4350017.76,2215718622.81,643501.65,353817.23,1665849497116,15.7,15.64
4352524.59,2215721453.76,643661.16,353997.02,1665849500151,15.7,15.64
4343046.32,2215710277.69,643056.84,353300.23,1665849503066,15.7,15.64
4331065.32,2215731057.47,642298.19,354636.84,1665849506631,15.69,15.63
4329565.30,2215728046.12,642202.45,354446.55,1665849509248,15.69,15.63
4329561.53,2215729176.24,642202.45,354518.67,1665849512087,15.69,15.63
4321146.56,2215722647.31,641665.43,354101.82,1665849515027,15.7,15.63
4335807.10,2215733562.27,642601.51,354797.34,1665849518114,15.69,15.63
4335596.34,2215728928.11,642588.29,354502.17,1665849521196,15.69,15.63
4334996.11,2215715417.39,642550.01,353642.84,1665849524090,15.69,15.63
4328046.64,2215701961.50,642106.08,352787.29,1665849528029,15.69,15.63
4328197.40,2215701728.47,642115.70,352772.49,1665849530098,15.69,15.63
4327788.46,2215719756.32,642089.77,353920.20,1665849533189,15.69,15.63
4327792.12,2215719756.32,642089.77,353920.20,1665849536118,15.69,15.63
4327792.12,2215719756.29,642089.77,353920.20,1665849539147,15.69,15.63
4327792.12,2215715185.94,642089.77,353629.26,1665849541988,15.69,15.63
4327770.39,2215735314.05,642088.39,354911.31,1665849545104,15.69,15.63
4327749.55,2215723752.98,642087.06,354174.93,1665849548121,15.69,15.63
4327842.47,2215727252.13,642092.98,354398.11,1665849551065,15.69,15.63
4327842.47,2215723165.28,642092.98,354137.07,1665849554190,15.69,15.63
4327842.47,2215715423.66,642092.98,353644.29,1665849557287,15.69,15.63
4327842.47,2215715414.19,642092.98,353643.85,1665849559994,15.69,15.63
4339947.46,2215711761.86,642866.05,353410.94,1665849563076,15.69,15.63
4339952.59,2215711732.56,642866.38,353409.83,1665849566272,15.69,15.63
4335236.10,2215723742.80,642565.39,354174.23,1665849569044,15.69,15.63
4335236.10,2215719956.92,642565.39,353932.93,1665849572301,15.69,15.63
4335236.00,2215735833.64,642565.39,354943.40,1665849575060,15.69,15.63
4335236.10,2215735603.23,642565.39,354928.72,1665849578087,15.69,15.63
