mp,timeStamp,mean,skew
18.35,1667082437691,3419.3895749310323,-3401.0395749310323
18.35,1667082440624,3423.068879178083,-3404.718879178083
18.35,1667082443653,3432.7245806518017,-3414.374580651802
18.33,1667082452803,3382.5958490699913,-3364.2658490699914
18.33,1667082458978,3320.9155476176466,-3302.5855476176466
18.33,1667082461832,3295.295517953947,-3276.9655179539473
18.34,1667082467878,3253.813016086723,-3235.473016086723
18.34,1667082473829,3209.0488884961055,-3190.7088884961054
18.34,1667082476899,3196.232538076599,-3177.892538076599
18.34,1667082479978,3185.135888507348,-3166.795888507348
18.34,1667082486089,3169.185189751232,-3150.845189751232
18.35,1667082489099,3172.9777998967743,-3154.6277998967744
18.35,1667082492057,3184.5374581127335,-3166.1874581127336
18.35,1667082495182,3197.07312264795,-3178.7231226479503
18.35,1667082498211,3206.0990211210406,-3187.7490211210406
18.35,1667082504294,3230.9690504457426,-3212.6190504457427
18.35,1667082507167,3240.3721407378107,-3222.022140737811
18.35,1667082510334,3247.286134367168,-3228.936134367168
18.35,1667082513504,3254.7050680819334,-3236.3550680819335
18.35,1667082519472,3267.940938175797,-3249.590938175797
18.35,1667082525414,3282.5092626214623,-3264.1592626214624
18.35,1667082531515,3288.7792307378704,-3270.4292307378705
18.36,1667082534566,3293.879693966046,-3275.519693966046
18.36,1667082537548,3297.5739484528053,-3279.213948452805
18.36,1667082540743,3301.578995801402,-3283.218995801402
18.35,1667082543838,3282.6609720114575,-3264.3109720114576
18.35,1667082547077,3267.5113021858274,-3249.1613021858275
18.35,1667082551475,3253.1209702141173,-3234.7709702141174
18.32,1667082565608,3178.007469880022,-3159.687469880022
18.34,1667082571894,3179.5218436837076,-3161.1818436837075
18.34,1667082574751,3180.1660213542523,-3161.826021354252
18.34,1667082577778,3179.9435393198705,-3161.6035393198704
18.34,1667082581118,3180.23781691856,-3161.89781691856
18.34,1667082596338,3180.657690512361,-3162.317690512361
18.35,1667082599410,3183.4408863470076,-3165.0908863470077
18.35,1667082602543,3185.7521964521225,-3167.4021964521226
18.35,1667082608621,3190.6644131421713,-3172.3144131421714
18.36,1667082611916,3194.342944707641,-3175.982944707641
18.35,1667082615224,3195.684622833003,-3177.334622833003
18.35,1667082618590,3197.055987935339,-3178.705987935339
18.36,1667082621986,3200.5081344431164,-3182.1481344431163
18.36,1667082625372,3201.267965379517,-3182.907965379517
18.35,1667082628789,3204.3893656336536,-3186.0393656336537
18.35,1667082632448,3206.7443303409805,-3188.3943303409806
18.33,1667082648602,3201.7819448221244,-3183.4519448221245
18.33,1667082652782,3201.2484627421086,-3182.9184627421087
18.33,1667082666647,3202.482313095795,-3184.152313095795
18.33,1667082674640,3202.2265134407094,-3183.8965134407094
18.33,1667082682943,3202.3682561051755,-3184.0382561051756
18.35,1667082694650,3204.6927360510626,-3186.3427360510627
18.35,1667082701143,3208.229208193033,-3189.8792081930333
18.35,1667082706978,3212.0536776032573,-3193.7036776032573
18.35,1667082712980,3214.7277550492927,-3196.377755049293
18.36,1667082719060,3217.8150864279146,-3199.4550864279145
18.36,1667082725102,3220.1319886659144,-3201.7719886659143
18.36,1667082731308,3223.0084577563202,-3204.64845775632
18.35,1667082737825,3224.364318151719,-3206.014318151719
18.35,1667082744407,3225.822547847726,-3207.472547847726
18.35,1667082751024,3226.472442075833,-3208.122442075833
18.35,1667082758529,3227.675613104078,-3209.325613104078
18.35,1667082765501,3228.022115168222,-3209.6721151682223
18.35,1667082772544,3228.2761925599107,-3209.9261925599108
18.35,1667082779797,3230.0488047304243,-3211.6988047304244
18.35,1667082787080,3231.982743130151,-3213.632743130151
18.35,1667082794594,3233.9895269328435,-3215.6395269328436
18.35,1667082806533,3236.1569333899706,-3217.8069333899707
18.35,1667082814359,3236.590227936397,-3218.240227936397
