bc,ac,tbv,tav,time,mp,minBid
6231318.96,216078803.79,741985.39,313411.98,1662823474250,20.25,20.17
6231509.32,216060210.24,741982.33,312493.36,1662823477082,20.26,20.17
6244269.77,216057636.33,742609.11,312365.37,1662823480561,20.26,20.17
6227215.96,216046191.69,741670.61,311701.11,1662823483388,20.27,20.17
8035937.87,216360542.14,832177.00,327068.28,1662823487247,20.26,20.17
6244516.72,216073722.80,742523.03,313057.28,1662823490005,20.26,20.17
6244367.62,216073928.07,742515.20,313067.41,1662823492062,20.26,20.17
6250219.33,216068947.16,742804.18,312821.78,1662823495195,20.26,20.17
6235427.04,216036143.39,742065.62,311199.42,1662823498443,20.27,20.17
6244087.64,216071506.97,742493.11,312918.04,1662823502010,20.28,20.17
4446037.58,215116166.10,652381.67,266261.44,1662823504127,20.28,20.17
4443395.41,215066613.47,652240.77,263807.91,1662823507452,20.29,20.17
4457967.06,215091437.40,652958.75,265029.89,1662823510370,20.29,20.17
4433047.43,215097354.94,651707.36,265324.83,1662823513226,20.28,20.17
4406958.34,215060902.89,650410.17,263541.59,1662823516098,20.28,20.17
4428164.84,215122548.63,651467.44,266568.80,1662823519771,20.28,20.17
4436849.45,215103555.88,651902.42,265643.10,1662823522145,20.26,20.17
5120595.72,216064372.18,686039.53,312557.55,1662823525123,20.26,20.17
6235738.27,216081901.57,741932.60,313423.72,1662823528091,20.26,20.17
6240930.77,216091389.49,742189.17,313886.98,1662823531085,20.26,20.17
6201063.16,216085880.06,740218.51,313622.04,1662823534007,20.26,20.17
6209512.67,216081710.89,740635.93,313417.36,1662823537006,20.26,20.17
6207865.21,216080072.09,740554.34,313336.41,1662823540084,20.26,20.17
6236515.97,216079400.65,741970.59,313303.35,1662823543030,20.26,20.17
6236515.97,216085564.30,741970.59,313607.26,1662823546219,20.26,20.17
6236515.97,216085525.91,741970.59,313605.42,1662823549335,20.26,20.17
6236819.72,216085522.59,741985.59,313605.26,1662823552118,20.26,20.17
6236515.97,216085522.59,741970.59,313605.26,1662823556164,20.26,20.17
6236515.97,216085522.59,741970.59,313605.26,1662823558322,20.26,20.17
6257006.17,216092235.62,742988.91,313934.10,1662823561088,20.25,20.17
6258992.41,216098496.06,743087.34,314248.01,1662823564102,20.25,20.17
6229666.70,216093570.47,741637.74,314004.86,1662823567095,20.25,20.17
6214967.14,216072722.24,740909.81,312975.68,1662823570095,20.26,20.17
6251897.37,216076928.84,742733.91,313183.08,1662823573213,20.26,20.17
6258222.73,216074723.83,743046.39,313074.53,1662823576805,20.26,20.17
6269833.42,216078681.00,743619.09,313269.29,1662823578988,20.26,20.17
6269842.28,216078622.91,743619.49,313267.82,1662823582018,20.26,20.17
6269842.26,216080747.97,743619.49,313376.11,1662823585101,20.26,20.17
6260609.81,216080474.64,743163.25,313367.75,1662823588302,20.26,20.17
6248037.11,216080212.95,742542.07,313360.43,1662823591184,20.26,20.17
6237605.89,216076283.18,742026.00,313170.63,1662823594053,20.26,20.17
6221079.46,216075765.68,741209.66,313152.35,1662823597164,20.26,20.17
6251117.05,216070463.22,742693.31,312893.97,1662823600311,20.26,20.17
6278973.69,216083442.64,744069.08,313535.41,1662823603203,20.26,20.17
6275036.92,216073172.73,743869.30,313029.51,1662823606443,20.27,20.17
6264923.55,216078848.20,743368.43,313311.87,1662823609226,20.28,20.17
6254060.66,216077413.38,742832.18,313246.76,1662823612379,20.27,20.17
6258637.06,216079166.23,743058.17,313337.80,1662823615451,20.28,20.17
6270931.82,216079078.96,743663.60,313331.63,1662823618708,20.28,20.17
6270531.56,216078820.35,743642.52,313323.66,1662823622635,20.27,20.17
6267044.65,216078911.16,743470.20,313323.66,1662823626151,20.27,20.17
6231801.58,216068185.47,741728.63,312795.45,1662823629577,20.27,20.17
6261674.86,216064852.63,743205.50,312631.19,1662823633337,20.27,20.17
6269027.23,216080176.59,743568.99,313388.47,1662823637241,20.28,20.17
6221998.33,216089879.33,741248.87,313870.28,1662823641082,20.26,20.17
6259353.21,216093752.14,743095.64,314061.17,1662823645129,20.26,20.17
6249662.99,216088079.05,742616.97,313781.62,1662823649316,20.26,20.17
6259831.22,216081644.07,743119.34,313463.70,1662823653771,20.26,20.17
6260232.00,216076133.04,743139.09,313191.93,1662823658265,20.26,20.17
6231387.39,216072306.50,741713.84,313004.27,1662823662780,20.26,20.17
6233179.89,216080768.29,741802.41,313421.57,1662823667763,20.26,20.17
6273066.27,216076572.34,743772.90,313214.82,1662823672554,20.26,20.17
6246145.18,216067928.05,742438.76,312784.52,1662823677706,20.28,20.17
6244863.42,216080049.49,742370.79,313371.89,1662823682822,20.28,20.17
6267488.80,216081956.42,743484.64,313460.56,1662823688555,20.28,20.17
6265301.48,216086836.58,743376.67,313701.28,1662823693990,20.28,20.17
6265001.24,216086833.66,743361.84,313701.14,1662823699918,20.28,20.17
6261015.98,216082533.29,743163.77,313489.09,1662823705615,20.28,20.17
6266151.56,216082837.49,743416.96,313504.09,1662823711605,20.28,20.17
6219948.09,216080950.82,741143.67,313415.86,1662823717662,20.26,20.17
6250012.07,216095236.03,742629.11,314121.36,1662823723797,20.26,20.17
6270244.46,216089909.49,743628.05,313858.81,1662823730699,20.27,20.17
6260954.25,216089937.19,743169.38,313860.18,1662823737270,20.27,20.17
6232387.61,216086075.21,741758.13,313670.06,1662823744261,20.26,20.17
6216412.74,216090383.45,740972.51,313889.13,1662823752205,20.26,20.17
6245884.90,216092665.18,742429.64,314030.38,1662823759361,20.26,20.17
6248681.46,216085195.01,742573.47,313671.54,1662823768228,20.26,20.17
6258623.04,216078564.77,743062.68,313344.06,1662823775809,20.26,20.17
6241219.10,216093760.65,742203.56,314089.86,1662823783593,20.25,20.17
6256632.55,216070120.15,742966.39,312926.62,1662823791945,20.26,20.17
6272936.67,216086966.68,743771.27,313751.34,1662823799954,20.26,20.17
6250146.11,216070799.20,742645.35,312961.34,1662823809138,20.26,20.17
6257999.65,216083225.98,743033.14,313536.13,1662823817575,20.26,20.17
6264403.38,216081261.60,743343.31,313438.83,1662823826264,20.27,20.17
6256605.77,216080577.27,742954.74,313402.18,1662823836620,20.28,20.17
6233737.47,216030727.18,741817.05,310934.79,1662823845659,20.29,20.17
6256373.88,216065498.41,742929.08,312646.25,1662823854854,20.29,20.17
6254599.87,216071698.04,742834.84,312961.54,1662823864164,20.28,20.17
6261163.33,216084309.23,743158.56,313582.54,1662823873824,20.28,20.17
6256674.43,216082422.80,742944.40,313504.28,1662823883622,20.27,20.17
6240115.03,216083910.63,742126.95,313577.86,1662823893593,20.27,20.17
6266610.70,216067880.20,743434.27,312786.34,1662823903747,20.28,20.17
6265933.96,216069763.19,743400.02,312878.92,1662823914276,20.28,20.17
6265144.51,216074640.31,743342.84,313079.79,1662823924797,20.28,20.17
6254230.32,216078898.08,742800.71,313281.95,1662823935524,20.29,20.17
6264710.89,216069767.53,743309.14,312853.30,1662823946500,20.29,20.17
6247648.81,216060838.03,742468.91,312409.63,1662823957657,20.29,20.17
6231571.78,216087579.67,741675.36,313725.85,1662823969447,20.29,20.17
6226790.90,216070991.36,741439.50,312908.98,1662823981215,20.29,20.17
6252971.14,216056207.87,742716.43,312173.71,1662823993950,20.3,20.17
6221329.77,216086044.79,741059.88,313608.89,1662824008210,20.29,20.17
6251330.19,216076054.16,742539.10,313120.24,1662824020382,20.29,20.17
6277568.36,216063761.03,743829.51,312513.60,1662824032738,20.3,20.17
6218382.74,216086657.58,740910.84,313644.07,1662824045544,20.29,20.17
6236720.51,216093449.59,741820.05,313980.11,1662824058189,20.28,20.17
6241912.78,216088831.41,742076.94,313753.38,1662824061202,20.28,20.17
6242787.02,216083400.91,742125.17,313492.51,1662824074369,20.28,20.17
6228714.86,216080124.42,741430.60,313333.85,1662824087444,20.27,20.17
6233204.89,216065536.08,741654.17,312616.83,1662824100790,20.27,20.17
6234068.65,216072018.66,741696.59,312936.33,1662824103722,20.27,20.17
6237936.73,216079617.89,741888.32,313310.80,1662824106885,20.27,20.17
6250767.23,216077343.38,742523.77,313239.35,1662824121019,20.27,20.17
6255643.49,216085304.90,742768.37,313640.74,1662824136099,20.26,20.17
