mp,timeStamp,mean,skew
20.25,1662823474257,4980.814755647058,-4960.564755647058
20.26,1662823477091,4981.309465311574,-4961.049465311574
20.26,1662823480575,5014.76618144,-4994.50618144
20.27,1662823483412,5085.193901879814,-5064.9239018798135
20.26,1662823487280,5068.861419816175,-5048.601419816175
20.26,1662823490052,5056.970880590029,-5036.710880590029
20.26,1662823492129,5048.582616599998,-5028.322616599998
20.26,1662823495279,5042.982868899011,-5022.722868899011
20.27,1662823498544,5062.860359652823,-5042.590359652822
20.28,1662823502131,5051.820887573526,-5031.540887573527
20.28,1662823504273,5046.2479518774335,-5025.967951877434
20.28,1662823513464,5087.723838885413,-5067.443838885413
20.28,1662823516334,5161.698218363934,-5141.418218363934
20.28,1662823520039,5226.593354213612,-5206.313354213612
20.26,1662823522447,5209.474576882591,-5189.21457688259
20.26,1662823525461,5205.431728170392,-5185.171728170391
20.26,1662823528465,5200.721916874176,-5180.461916874176
20.26,1662823531504,5189.679756328203,-5169.419756328203
20.26,1662823534468,5180.056493748133,-5159.796493748133
20.26,1662823537511,5169.546218129487,-5149.286218129487
20.26,1662823540639,5161.864752521276,-5141.604752521276
20.26,1662823543634,5159.4547535438205,-5139.19475354382
20.26,1662823546874,5157.489051677634,-5137.229051677634
20.26,1662823550045,5156.9172141128065,-5136.657214112806
20.26,1662823552885,5155.250198674806,-5134.9901986748055
20.26,1662823556989,5154.796934316716,-5134.536934316716
20.26,1662823559207,5154.3745271438165,-5134.114527143816
20.25,1662823562043,5151.459887086868,-5131.209887086868
20.25,1662823565273,5148.3189301202065,-5128.0689301202065
20.25,1662823568349,5137.82832271529,-5117.57832271529
20.26,1662823571263,5131.991106005755,-5111.731106005755
20.26,1662823574454,5128.620830155832,-5108.3608301558315
20.26,1662823578127,5124.972385418709,-5104.712385418708
20.26,1662823580389,5122.849025775772,-5102.589025775772
20.26,1662823583504,5120.844226328871,-5100.5842263288705
20.26,1662823586674,5118.480202598427,-5098.220202598427
20.26,1662823589961,5117.227009077012,-5096.967009077011
20.26,1662823592931,5114.865350816468,-5094.605350816468
20.26,1662823595892,5109.672628334112,-5089.412628334112
20.26,1662823599094,5102.49475125356,-5082.23475125356
20.26,1662823602344,5096.622652160678,-5076.3626521606775
20.26,1662823605334,5094.787960952054,-5074.527960952054
20.27,1662823608680,5090.329037269705,-5070.059037269704
20.28,1662823611563,5091.297431481339,-5071.017431481339
20.27,1662823614822,5086.305964894471,-5066.03596489447
20.28,1662823618005,5108.637377551265,-5088.357377551265
20.28,1662823621374,5129.598896970818,-5109.318896970818
20.27,1662823625415,5124.065855916039,-5103.795855916039
20.27,1662823629048,5118.341883890514,-5098.071883890513
20.27,1662823632586,5112.244077008712,-5091.974077008712
20.27,1662823636461,5107.503982046814,-5087.233982046813
20.28,1662823640492,5125.857246371252,-5105.577246371252
20.26,1662823644462,5121.719144588029,-5101.459144588029
20.26,1662823648644,5116.0454026587195,-5095.785402658719
20.26,1662823652966,5112.7973795305215,-5092.537379530521
20.26,1662823657551,5110.061748643091,-5089.801748643091
20.26,1662823662186,5106.351928424022,-5086.091928424022
20.26,1662823666843,5097.125907986218,-5076.865907986218
20.26,1662823671985,5085.14704493237,-5064.8870449323695
20.26,1662823676930,5077.133568312837,-5056.873568312837
20.28,1662823682215,5095.76018347151,-5075.48018347151
20.28,1662823687465,5112.88003647792,-5092.60003647792
