bc,ac,tbv,tav,time,mp,minBid
5528446.29,1229670272.64,632646.05,314106.71,1660515799006,28.11,28
5547870.14,1229664309.27,633336.50,313894.82,1660515801675,28.11,28
5558217.52,1229664309.27,633704.58,313894.82,1660515805323,28.11,28
5548131.29,1229654170.47,633345.26,313534.49,1660515808590,28.11,28
5555004.60,1229664285.44,633590.37,313893.82,1660515810917,28.11,28
5555562.04,1229664185.34,633610.22,313890.19,1660515813686,28.11,28
5517895.67,1229700388.35,632269.73,315176.38,1660515816790,28.11,28
5537735.33,1229660227.55,632975.75,313749.03,1660515819705,28.11,28
5551755.58,1229660230.16,633474.56,313749.07,1660515822803,28.11,28
5550934.17,1229681038.76,633445.33,314488.80,1660515825730,28.11,28
5551161.22,1229681763.77,633453.42,314513.80,1660515828743,28.11,28
5540057.87,1229670634.73,633056.50,314117.78,1660515831818,28.11,28
5516020.39,1229618998.85,632198.91,312282.00,1660515834765,28.13,28
5536565.65,1229641543.09,632930.53,313083.99,1660515840012,28.13,28
5506674.47,1229656472.38,631864.77,313616.05,1660515840909,28.12,28
5510171.20,1229663167.67,631989.21,313853.80,1660515843874,28.12,28
5528318.51,1229660288.23,632636.60,313749.31,1660515846761,28.13,28
5548888.58,1229635219.94,633368.08,312856.70,1660515850917,28.13,28
5542810.34,1229640646.63,633149.43,313050.02,1660515852821,28.13,28
5556725.09,1229670992.85,633643.16,314114.70,1660515855779,28.13,28
5553796.11,1229675142.67,633538.70,314262.05,1660515858900,28.13,28
5423778.94,1229382106.19,628883.71,303842.68,1660515861745,28.18,28
5545202.19,1229553526.99,633233.27,309864.63,1660515864991,28.2,28
5537413.82,1229599977.58,632955.58,311504.82,1660515867777,28.21,28
5524271.92,1229587249.80,632480.93,311054.19,1660515870876,28.21,28
5540767.25,1229589933.28,633012.16,311145.01,1660515873983,28.21,28
5536756.25,1229645290.98,632868.28,313026.81,1660515876851,28.23,28
5494137.56,1229649387.63,631355.96,313172.29,1660515879827,28.22,28
5526357.60,1229644243.25,632499.63,312992.39,1660515884401,28.22,28
5540845.38,1229649164.71,633013.01,313166.04,1660515886550,28.22,28
5475096.58,1229611773.73,630677.67,311900.52,1660515889560,28.19,28
5521128.74,1229671621.38,632315.28,314019.68,1660515892393,28.2,28
5521886.11,1229648385.10,632342.06,313196.48,1660515895369,28.2,28
5528442.07,1229643398.91,632575.71,313020.20,1660515897973,28.2,28
