mp,timeStamp,mean,skew
19.15,1661724279660,2982.5679533485145,-2963.4179533485144
19.16,1661724282653,2892.1851909702923,-2873.0251909702924
19.16,1661724285710,2860.8583630910643,-2841.6983630910645
19.14,1661724294639,2666.978617052763,-2647.8386170527633
19.13,1661724303788,2638.163240304382,-2619.0332403043817
19.14,1661724309803,2620.559565621161,-2601.419565621161
19.14,1661724312782,2643.0594026233443,-2623.9194026233445
19.14,1661724315780,2677.791301029401,-2658.651301029401
19.14,1661724318832,2706.3822119575448,-2687.242211957545
19.11,1661724324842,2736.7516177060484,-2717.6416177060482
19.12,1661724435188,2715.864360416058,-2696.744360416058
19.12,1661724438876,2722.0587262190534,-2702.9387262190535
19.11,1661724442785,2736.0467451426384,-2716.9367451426383
19.11,1661724452470,2764.342594935702,-2745.232594935702
19.13,1661724455663,2770.0668527147113,-2750.936852714711
19.14,1661724462109,2770.0925317740325,-2750.9525317740326
19.12,1661724468759,2769.1730522558496,-2750.0530522558497
19.13,1661724472385,2771.192895289888,-2752.062895289888
19.12,1661724479144,2775.586268789794,-2756.466268789794
19.12,1661724482941,2779.662843903416,-2760.5428439034163
19.11,1661724486754,2782.1990915307206,-2763.0890915307205
19.12,1661724494249,2787.1701087824013,-2768.0501087824014
19.12,1661724523195,2801.7731141222275,-2782.6531141222276
19.12,1661724527978,2809.6551559240443,-2790.5351559240444
19.12,1661724533624,2821.1592261995206,-2802.0392261995207
19.14,1661724542159,2832.8105670138707,-2813.670567013871
19.14,1661724551534,2849.017076092105,-2829.877076092105
19.13,1661724560148,2860.8786491009396,-2841.7486491009395
19.13,1661724566606,2867.6796622345914,-2848.5496622345913
19.13,1661724572551,2876.117713943271,-2856.987713943271
19.11,1661724584631,2896.210653924489,-2877.100653924489
19.11,1661724590783,2900.3605145564557,-2881.2505145564555
19.12,1661724603504,2914.421775555018,-2895.301775555018
19.12,1661724617334,2923.90258649424,-2904.78258649424
19.13,1661724627507,2932.4773709916703,-2913.3473709916702
19.14,1661724635139,2935.9570577539284,-2916.8170577539286
19.14,1661724642353,2943.0435277497418,-2923.903527749742
19.15,1661724649613,2944.372863880175,-2925.222863880175
19.15,1661724657066,2948.7523062625874,-2929.6023062625873
19.13,1661724667710,2960.0906392585175,-2940.9606392585174
19.16,1661724675350,2962.705117136643,-2943.545117136643
19.16,1661724686311,2982.7513310749196,-2963.5913310749197
19.17,1661724694438,2999.718304549529,-2980.548304549529
19.17,1661724702620,3015.7149195997576,-2996.5449195997576
19.18,1661724710875,3018.8027259226797,-2999.62272592268
19.21,1661724737473,3026.3126535808406,-3007.1026535808405
19.2,1661724746648,3027.6633493529744,-3008.4633493529745
19.24,1661724762666,3038.155869227036,-3018.915869227036
19.25,1661724772511,3038.140428737923,-3018.890428737923
19.26,1661724782325,3033.654665721476,-3014.3946657214756
19.25,1661724792230,3028.6494062415522,-3009.3994062415522
19.24,1661724815037,3010.547551255883,-2991.307551255883
19.24,1661724825810,3011.380186805066,-2992.140186805066
19.21,1661724836893,3002.0873239636067,-2982.8773239636066
19.21,1661724857552,3000.636166589086,-2981.426166589086
19.2,1661724878807,2991.687401958453,-2972.487401958453
19.17,1661724891651,2989.120314652546,-2969.950314652546
19.16,1661724905339,2985.5422803851166,-2966.3822803851167
19.16,1661724918415,2985.66734745326,-2966.50734745326
19.16,1661724931141,2984.413968994812,-2965.253968994812
19.14,1661724944428,2984.026977551999,-2964.8869775519993
19.13,1661724973606,2968.4610552691584,-2949.3310552691582
