bc,ac,tbv,tav,time,mp,minBid
4154624.23,2210598603.12,576832.23,314402.71,1667759652695,19.06,18.99
4142306.19,2210607191.50,576184.63,314852.60,1667759655611,19.07,18.99
4153901.23,2210623131.10,576792.74,315686.94,1667759658529,19.07,18.99
4151661.31,2210627247.22,576649.60,315902.60,1667759661707,19.07,18.99
4167670.65,2210634137.89,577490.01,316263.92,1667759664717,19.07,18.99
4167661.57,2210632398.62,577483.25,316173.80,1667759667543,19.07,18.99
4164345.44,2210626281.72,577309.22,315852.62,1667759670587,19.07,18.99
4173639.35,2210621609.84,577796.96,315607.65,1667759673557,19.07,18.99
4156285.93,2210618279.13,576880.45,315431.23,1667759676675,19.07,18.99
4146130.10,2210618488.62,576345.40,315442.16,1667759679504,19.07,18.99
4133666.41,2210630133.63,575691.06,316051.98,1667759682548,19.08,18.99
4128930.16,2210625469.04,575442.44,315807.54,1667759685650,19.08,18.99
4144999.68,2210613210.34,576285.33,315164.15,1667759688619,19.08,18.99
4145640.69,2210615304.51,576313.49,315273.65,1667759691622,19.08,18.99
4139358.52,2210615304.51,575983.98,315273.65,1667759694715,19.08,18.99
4132322.95,2210604265.90,575612.54,314694.40,1667759697517,19.08,18.99
4127031.32,2210620797.75,575334.84,315560.68,1667759700589,19.08,18.99
4119405.75,2210621707.26,574934.23,315607.21,1667759703676,19.08,18.99
4132588.57,2210597060.33,575622.66,314306.04,1667759706647,19.09,18.99
4136981.13,2210500403.56,575848.46,309254.15,1667759709730,19.1,18.99
4135903.62,2210631087.87,575792.10,316054.86,1667759712691,19.1,18.99
4140688.56,2210646867.43,576043.06,316880.67,1667759716404,19.1,18.99
4136537.90,2210627700.97,575827.94,315879.48,1667759718651,19.1,18.99
4149844.47,2210624193.29,576525.58,315696.24,1667759721592,19.09,18.99
4154628.68,2210623676.01,576753.45,315674.79,1667759724589,19.09,18.99
4049847.23,2210629609.91,571234.65,315984.44,1667759727698,19.1,18.99
4136436.66,2210626634.07,575778.30,315828.44,1667759730678,19.1,18.99
4131394.11,2210635608.49,575489.02,316298.56,1667759733579,19.1,18.99
4126884.74,2210629828.46,575252.76,315997.03,1667759736569,19.1,18.99
4130495.79,2210617278.96,575441.75,315339.90,1667759739663,19.1,18.99
4141041.13,2210631850.34,575995.42,316103.05,1667759742553,19.09,18.99
4135584.57,2210620162.27,575709.69,315491.79,1667759745688,19.1,18.99
4097597.60,2210626684.24,573717.98,315833.71,1667759748617,19.09,18.99
4105847.30,2210631219.73,574152.14,316072.22,1667759751552,19.09,18.99
4112469.68,2210632483.17,574499.41,316138.08,1667759754597,19.09,18.99
4132794.60,2210638265.28,575566.05,316440.71,1667759757623,19.09,18.99
4118139.70,2210653255.86,574797.78,317226.06,1667759760852,19.09,18.99
4130528.48,2210631411.33,575447.52,316090.61,1667759763699,19.08,18.99
4130086.54,2210638542.93,575424.48,316464.15,1667759766714,19.08,18.99
4142547.96,2210634665.05,576077.90,316261.01,1667759769660,19.08,18.99
4131819.89,2210648522.89,575515.75,316986.70,1667759772610,19.09,18.99
4122483.83,2210642557.64,575025.58,316674.34,1667759775713,19.09,18.99
4121040.13,2210638024.33,574949.75,316436.70,1667759778603,19.09,18.99
4134686.19,2210646909.20,575666.23,316901.94,1667759781589,19.08,18.99
4103999.22,2210651164.41,574056.12,317125.88,1667759784558,19.08,18.99
3945542.32,2210636699.51,565679.24,316373.64,1667759787632,19.07,18.99
4092482.30,2210604402.17,573428.12,314682.60,1667759790731,19.08,18.99
4097754.62,2210627208.42,573702.23,315877.53,1667759794255,19.08,18.99
4135235.78,2210634502.75,575670.39,316259.27,1667759796675,19.08,18.99
4114111.23,2210640966.51,574561.23,316597.84,1667759799564,19.08,18.99
4144818.70,2210626944.07,576171.91,315861.76,1667759802594,19.08,18.99
4148938.16,2210626548.03,576387.81,315840.19,1667759805632,19.08,18.99
4131585.06,2210627871.66,575477.42,315909.55,1667759808723,19.08,18.99
4131737.38,2210630567.08,575485.15,316050.60,1667759811695,19.08,18.99
4152058.68,2210626265.35,576547.13,315824.87,1667759814719,19.08,18.99
4137016.55,2210621492.49,575757.27,315575.04,1667759817603,19.08,18.99
4126453.29,2210622821.36,575202.97,315644.69,1667759820637,19.08,18.99
4126014.45,2210626725.79,575179.95,315848.36,1667759824260,19.08,18.99
4132600.04,2210628573.23,575495.16,315944.83,1667759827508,19.08,18.99
4137337.00,2210631286.89,575743.69,316087.85,1667759830687,19.08,18.99
4117928.33,2210649613.63,574710.65,317046.99,1667759833935,19.09,18.99
4122486.09,2210649610.02,574949.67,317046.84,1667759836952,19.09,18.99
4096486.17,2210591608.51,573584.59,314009.89,1667759839884,19.09,18.99
4137203.64,2210592836.89,575712.21,314069.62,1667759843236,19.1,18.99
4125875.96,2210616797.36,575113.68,315322.90,1667759846818,19.09,18.99
4132867.65,2210612580.25,575480.88,315102.27,1667759850595,19.09,18.99
4102472.32,2210627569.16,573887.83,315886.98,1667759854414,19.09,18.99
4112429.82,2210621996.75,574413.75,315598.37,1667759857370,19.08,18.99
4135448.37,2210604199.60,575611.78,314662.26,1667759861284,19.1,18.99
4116357.31,2210612031.50,574610.39,315071.80,1667759865241,19.1,18.99
4128764.04,2210609075.07,575258.54,315030.72,1667759868389,19.1,18.99
4144919.31,2210620595.77,576106.24,315612.87,1667759873049,19.1,18.99
4109794.07,2210631010.77,574265.36,316158.44,1667759875985,19.1,18.99
4108772.31,2210630684.70,574211.24,316141.46,1667759880418,19.1,18.99
