mp,timeStamp,mean,skew
13.13,1668350363648,2380.924575745646,-2367.794575745646
13.13,1668350366701,2372.4367266366157,-2359.3067266366156
13.13,1668350369766,2386.2502314578005,-2373.1202314578004
13.13,1668350372788,2402.939037376855,-2389.809037376855
13.13,1668350375752,2417.3912115005564,-2404.2612115005563
13.13,1668350384907,2440.7275315825755,-2427.5975315825754
13.13,1668350390918,2453.4097250041214,-2440.2797250041212
13.13,1668350393851,2459.6341643996975,-2446.5041643996974
13.13,1668350396973,2466.4762559552355,-2453.3462559552354
13.11,1668350421153,2491.4287764754927,-2478.3187764754925
13.11,1668350427156,2523.581315199493,-2510.471315199493
13.1,1668350433331,2518.225187252115,-2505.125187252115
13.1,1668350436288,2509.9074371394427,-2496.8074371394428
13.1,1668350442487,2489.6154334009816,-2476.5154334009817
13.1,1668350451647,2460.4486834780155,-2447.3486834780156
13.11,1668350454619,2465.6334985800354,-2452.5234985800353
13.11,1668350458144,2466.856545541444,-2453.746545541444
13.1,1668350463747,2472.06214464385,-2458.96214464385
13.1,1668350479241,2456.044354262408,-2442.944354262408
13.1,1668350482018,2450.8604697746673,-2437.7604697746674
13.1,1668350485048,2446.272375385783,-2433.172375385783
13.08,1668350494271,2439.383708596301,-2426.303708596301
13.08,1668350509512,2425.7240981526456,-2412.6440981526457
13.08,1668350534183,2417.720234645249,-2404.640234645249
13.08,1668350537314,2416.0000401530915,-2402.9200401530916
13.08,1668350540414,2413.4825995998303,-2400.4025995998304
13.09,1668350543553,2408.1459753416702,-2395.05597534167
13.1,1668350550002,2404.560911325831,-2391.460911325831
13.08,1668350562717,2389.0702453771773,-2375.9902453771774
13.08,1668350566442,2386.1044038040086,-2373.0244038040087
13.08,1668350570290,2384.7950934950386,-2371.7150934950387
13.08,1668350580395,2381.409048700124,-2368.329048700124
13.08,1668350590712,2381.0670692015424,-2367.9870692015425
13.1,1668350607572,2372.320747632475,-2359.220747632475
13.1,1668350615525,2366.4585641601293,-2353.3585641601294
13.1,1668350623631,2362.6771503544546,-2349.5771503544547
13.1,1668350628827,2360.7929374006044,-2347.6929374006045
13.1,1668350634061,2362.36108271885,-2349.26108271885
13.1,1668350639380,2363.8484191900016,-2350.7484191900016
13.09,1668350644775,2360.6685475820977,-2347.5785475820976
13.09,1668350650156,2360.373102979378,-2347.283102979378
13.07,1668350664945,2343.42411994198,-2330.3541199419797
13.07,1668350670881,2343.1090883858556,-2330.0390883858554
13.07,1668350686388,2346.723176273054,-2333.6531762730538
13.08,1668350699109,2353.7282098040646,-2340.6482098040647
13.08,1668350705960,2354.31110083406,-2341.2311008340603
13.08,1668350713070,2354.4907371011773,-2341.4107371011773
13.09,1668350720476,2351.0268980380706,-2337.9368980380705
13.09,1668350727486,2348.1384087290267,-2335.0484087290265
13.09,1668350735694,2350.0687196298836,-2336.9787196298835
13.09,1668350742988,2352.32033862442,-2339.23033862442
13.11,1668350759786,2360.0236872231494,-2346.9136872231493
13.1,1668350767789,2359.3179535441136,-2346.2179535441137
13.11,1668350775911,2362.4215810903606,-2349.3115810903605
13.11,1668350784254,2364.7061921038376,-2351.5961921038374
13.1,1668350792481,2362.9792379210053,-2349.8792379210054
13.1,1668350800755,2361.055530998103,-2347.9555309981033
13.1,1668350809235,2359.025346758087,-2345.925346758087
13.11,1668350818771,2357.839716587848,-2344.729716587848
13.13,1668350900793,2354.017631631305,-2340.887631631305
13.13,1668350914456,2354.2824130239305,-2341.1524130239304
13.13,1668350928316,2352.212912653019,-2339.082912653019
13.13,1668351024964,2360.0197706655194,-2346.8897706655193
13.13,1668351037312,2359.634720101286,-2346.504720101286
13.11,1668351139111,2378.4948143256947,-2365.3848143256946
13.1,1668351153127,2377.2528122852664,-2364.1528122852665
13.1,1668351168264,2376.3889990665475,-2363.2889990665476
13.1,1668351182641,2375.926415581257,-2362.826415581257
13.11,1668351200296,2377.971994507808,-2364.861994507808
13.11,1668351215038,2376.4527934381435,-2363.3427934381434
13.11,1668351230233,2377.0977541071156,-2363.9877541071155
