bc,ac,tbv,tav,time,mp,minBid
5343387.83,215659881.74,693422.79,340978.49,1665332583842,16.93,16.86
5344161.37,215659884.75,693468.79,340978.49,1665332586711,16.93,16.86
5330930.73,215654653.34,692685.45,340669.85,1665332589775,16.93,16.86
5342007.85,215654653.34,693340.26,340669.85,1665332592734,16.93,16.86
5340978.29,215654650.32,693279.57,340669.85,1665332595761,16.93,16.86
5341260.85,215654650.32,693296.57,340669.85,1665332598799,16.93,16.86
5354474.57,215659881.74,694078.91,340978.49,1665332601784,16.93,16.86
5354728.33,215653147.01,694093.91,340582.35,1665332604784,16.93,16.86
5344811.85,215652406.84,693507.48,340538.92,1665332607822,16.93,16.86
5352272.66,215654462.58,693949.09,340660.27,1665332611215,16.93,16.86
5348027.90,215660191.26,693697.94,340998.05,1665332613761,16.93,16.86
5370254.76,215650978.64,695011.74,340453.77,1665332617264,16.93,16.86
5350112.30,215645747.97,693820.12,340145.13,1665332620762,16.93,16.86
5350112.44,215645819.22,693820.13,340149.13,1665332622850,16.93,16.86
5363883.91,215645819.38,694633.92,340149.13,1665332625701,16.93,16.86
5353692.61,215613063.33,694034.81,338211.02,1665332628802,16.94,16.86
5371105.26,215619009.58,695065.41,338561.86,1665332631743,16.94,16.86
5375675.54,215619263.68,695335.68,338576.86,1665332634768,16.94,16.86
5371659.51,215619009.58,695081.68,338561.86,1665332637756,16.94,16.86
5358691.68,215613778.16,694313.86,338253.22,1665332641426,16.94,16.86
5355540.84,215608988.59,694129.25,337970.92,1665332643842,16.94,16.86
5352676.83,215608438.71,693928.06,337931.92,1665332646698,16.94,16.86
5352930.79,215608438.71,693943.06,337931.92,1665332649754,16.94,16.86
5365898.62,215613670.12,694710.87,338240.56,1665332652793,16.94,16.86
5366152.52,215613670.12,694725.87,338240.56,1665332655821,16.94,16.86
5368000.71,215613821.83,694834.26,338249.51,1665332658775,16.94,16.86
5354781.80,215608590.41,694051.44,337940.87,1665332661784,16.94,16.86
5354781.83,215603781.50,694051.44,337657.34,1665332664854,16.94,16.86
5360377.97,215612034.37,694382.55,338144.95,1665332667675,16.94,16.86
5342189.19,215627720.62,693313.15,339070.21,1665332670754,16.94,16.86
5344266.22,215627407.20,693435.73,339051.76,1665332673857,16.94,16.86
5353001.11,215626256.53,693945.60,338983.88,1665332676703,16.94,16.86
5351649.51,215626283.78,693865.20,338984.88,1665332679835,16.94,16.86
5352086.67,215627384.96,693890.60,339049.64,1665332682733,16.94,16.86
5351507.26,215627384.96,693856.37,339049.64,1665332685866,16.94,16.86
5351510.27,215627384.96,693856.37,339049.64,1665332688877,16.94,16.86
5351754.95,215627394.96,693876.86,339049.64,1665332691738,16.94,16.86
5351753.17,215627393.57,693876.75,339049.56,1665332694843,16.94,16.86
5343029.74,215626242.90,693354.79,338981.67,1665332697802,16.94,16.86
5352868.62,215626497.00,693936.12,338996.67,1665332700823,16.94,16.86
5351794.18,215626242.90,693872.94,338981.67,1665332703834,16.94,16.86
5347751.86,215626242.90,693634.03,338981.67,1665332706942,16.94,16.86
5346403.32,215626386.25,693560.35,338989.98,1665332709739,16.94,16.86
5342458.69,215626386.25,693327.27,338989.98,1665332712897,16.94,16.86
5345178.79,215626386.25,693481.96,338989.98,1665332715858,16.94,16.86
5345076.06,215626386.27,693481.96,338989.98,1665332718954,16.94,16.86
5340416.46,215622390.67,693200.47,338753.82,1665332721780,16.94,16.86
5344310.31,215626392.97,693436.68,338989.94,1665332724863,16.94,16.86
5344051.67,215626162.48,693421.41,338976.94,1665332727823,16.94,16.86
5344994.56,215625971.11,693471.11,338965.65,1665332730861,16.94,16.86
5344994.56,215625971.11,693471.11,338965.65,1665332733836,16.94,16.86
5348688.02,215625971.02,693689.35,338965.65,1665332736842,16.94,16.86
5354541.01,215616410.61,694031.49,338401.33,1665332739784,16.94,16.86
5359371.40,215621122.47,694317.13,338679.42,1665332743505,16.94,16.86
5348943.93,215624221.23,693700.89,338862.31,1665332745783,16.94,16.86
5353513.54,215623967.13,693971.13,338847.31,1665332749113,16.94,16.86
5352557.14,215624221.23,693912.71,338862.31,1665332752051,16.94,16.86
5352557.14,215624221.23,693912.71,338862.31,1665332755687,16.94,16.86
5347987.42,215624218.30,693642.47,338862.14,1665332759346,16.94,16.86
5352563.78,215624218.30,693912.72,338862.14,1665332763019,16.94,16.86
5352563.73,215622270.20,693912.71,338747.14,1665332766787,16.94,16.86
5347991.39,215622524.30,693642.32,338762.14,1665332770635,16.94,16.86
5345749.93,215620535.11,693509.66,338644.75,1665332773574,16.94,16.86
5347981.40,215617144.85,693641.73,338441.13,1665332776636,16.94,16.86
5348284.88,215617398.95,693659.73,338456.13,1665332781022,16.94,16.86
5348284.88,215617398.95,693659.73,338456.13,1665332783933,16.94,16.86
5352854.50,215617144.85,693929.96,338441.13,1665332788431,16.94,16.86
5352854.47,215617144.85,693929.96,338441.13,1665332793163,16.94,16.86
5355211.34,215617144.85,694058.39,338441.13,1665332797880,16.94,16.86
5354957.49,215621697.71,694043.40,338694.28,1665332802630,16.94,16.86
5350383.70,215621948.80,693772.83,338709.28,1665332805713,16.94,16.86
5359998.89,215621694.70,694341.26,338694.28,1665332810874,16.94,16.86
5359998.67,215621948.80,694341.25,338709.28,1665332813852,16.94,16.86
5354545.13,215621110.94,694018.95,338659.82,1665332816842,16.94,16.86
5351155.16,215621110.94,693819.02,338659.82,1665332822451,16.94,16.86
5351155.16,215622261.63,693819.02,338727.70,1665332828107,16.94,16.86
5364376.94,215627493.04,694601.83,339036.34,1665332831239,16.94,16.86
5361482.36,215629102.55,694430.91,339131.36,1665332837211,16.94,16.86
5365443.78,215629102.55,694665.03,339131.36,1665332840134,16.94,16.86
5365443.78,215629102.55,694665.03,339131.36,1665332843116,16.94,16.86
5364860.49,215629102.55,694630.50,339131.36,1665332846249,16.94,16.86
5369684.05,215627154.45,694915.73,339016.36,1665332849125,16.94,16.86
5351638.71,215622177.13,693847.68,338722.72,1665332855942,16.94,16.86
5351638.71,215623185.66,693847.68,338782.46,1665332858875,16.94,16.86
5351472.09,215623185.66,693837.84,338782.46,1665332861846,16.94,16.86
5351470.98,215623185.66,693837.68,338782.46,1665332864933,16.94,16.86
5351470.81,215623185.66,693837.68,338782.46,1665332868100,16.94,16.86
