bc,ac,tbv,tav,time,mp,minBid
6587084.61,216170891.89,758784.42,319617.18,1662903947502,20.37,20.29
6586779.21,216170891.89,758769.42,319617.18,1662903950555,20.37,20.29
6582784.87,216170891.89,758573.14,319617.18,1662903953865,20.37,20.29
6587088.21,216170891.89,758784.60,319617.18,1662903956576,20.37,20.29
6578350.35,216150955.23,758348.18,318632.45,1662903959514,20.38,20.29
6571225.97,216156926.51,757998.27,318967.65,1662903962577,20.38,20.29
6573194.68,216163124.27,758094.41,319271.76,1662903966486,20.38,20.29
6573188.60,216166962.22,758093.34,319459.98,1662903968457,20.38,20.29
6572881.58,216167839.64,758078.34,319503.04,1662903971635,20.38,20.29
6573228.35,216168548.91,758093.34,319538.35,1662903974554,20.38,20.29
6570317.21,216187721.43,757950.18,320479.03,1662903978522,20.38,20.29
6569112.04,216180577.63,757890.96,320128.24,1662903980677,20.38,20.29
6569396.41,216183364.30,757904.87,320264.81,1662903983562,20.38,20.29
6567383.43,216184896.81,757805.85,320339.99,1662903986533,20.38,20.29
6569396.23,216184896.81,757904.86,320339.99,1662903989466,20.38,20.29
6569396.23,216184896.81,757904.86,320339.99,1662903992617,20.38,20.29
6569400.97,216184896.30,757904.86,320339.98,1662903995573,20.38,20.29
6571439.17,216184896.30,758004.86,320339.98,1662903998528,20.38,20.29
6565137.24,216151942.34,757628.22,318671.84,1662904001649,20.39,20.29
6558967.78,216161577.55,757328.08,319142.51,1662904004538,20.38,20.29
6558963.94,216189481.09,757327.89,320509.02,1662904007544,20.38,20.29
6556705.44,216186551.08,757217.00,320366.42,1662904010747,20.38,20.29
6560759.56,216194548.59,757416.23,320758.65,1662904013613,20.38,20.29
6574721.50,216183801.65,758100.50,320229.18,1662904016816,20.39,20.29
6574820.50,216177582.51,758105.03,319924.30,1662904019644,20.39,20.29
6587475.42,216190064.19,758726.51,320457.76,1662904022568,20.39,20.29
6596079.58,216183976.23,759146.68,320159.33,1662904025571,20.39,20.29
6595386.42,216189528.57,759110.38,320431.49,1662904028563,20.39,20.29
6596281.05,216173994.48,759153.82,319669.16,1662904031639,20.39,20.29
6596576.82,216181397.81,759168.33,320031.62,1662904034506,20.39,20.29
6597783.46,216190878.09,759209.44,320473.88,1662904037570,20.4,20.29
6597036.03,216188992.83,759171.43,320378.67,1662904040622,20.4,20.29
6606070.47,216194911.80,759611.44,320664.80,1662904043589,20.4,20.29
6606574.47,216201863.21,759635.22,321005.23,1662904046559,20.4,20.29
6577898.89,216206771.47,758230.44,321249.34,1662904049518,20.39,20.29
6580811.22,216206771.56,758373.53,321249.34,1662904052569,20.39,20.29
6584606.41,216208611.40,758560.01,321339.90,1662904055527,20.39,20.29
6584606.41,216209521.16,758560.01,321384.08,1662904058633,20.39,20.29
6582432.84,216213399.14,758453.18,321574.21,1662904061544,20.39,20.29
6582737.50,216218901.74,758468.16,321843.95,1662904065218,20.39,20.29
6582431.80,216217409.29,758453.16,321770.62,1662904067538,20.39,20.29
6562638.05,216206900.34,757480.87,321255.79,1662904070636,20.39,20.29
6553460.12,216171602.69,757029.59,319525.41,1662904073602,20.4,20.29
6559020.88,216195709.31,757302.58,320707.14,1662904076609,20.39,20.29
6579337.47,216198109.30,758300.45,320824.41,1662904079620,20.4,20.29
6579643.17,216195737.22,758315.45,320741.47,1662904082607,20.4,20.29
6581565.48,216208466.12,758409.86,321365.43,1662904085573,20.4,20.29
6589200.33,216195159.19,758769.99,320698.21,1662904088507,20.4,20.29
6589497.52,216195161.05,758784.56,320698.30,1662904091610,20.4,20.29
6589396.07,216195165.39,758778.81,320698.51,1662904094555,20.4,20.29
6589701.77,216195167.05,758793.81,320698.58,1662904097527,20.4,20.29
6589396.07,216207259.27,758778.81,321291.51,1662904101589,20.39,20.29
6589701.77,216207259.27,758793.81,321291.51,1662904103613,20.39,20.29
6584201.64,216210047.17,758440.88,321427.92,1662904106605,20.39,20.29
6585435.26,216221069.50,758503.51,321968.78,1662904109609,20.39,20.29
6581540.43,216216891.86,758312.17,321764.07,1662904112646,20.39,20.29
6581540.43,216211202.88,758312.17,321485.69,1662904115554,20.39,20.29
6581540.43,216205801.84,758312.17,321220.94,1662904118641,20.39,20.29
6554221.67,216184360.31,756970.14,320171.08,1662904121938,20.39,20.29
6554221.67,216182296.60,756970.14,320069.92,1662904125300,20.39,20.29
6575690.89,216198018.50,758024.62,320840.34,1662904128656,20.39,20.29
6575690.89,216197871.61,758024.62,320833.15,1662904132137,20.39,20.29
6573589.95,216200073.73,757922.17,320941.46,1662904135238,20.39,20.29
6578409.36,216194215.39,758158.60,320654.27,1662904138205,20.39,20.29
6561323.86,216176710.64,757318.06,319794.91,1662904142507,20.4,20.29
6574450.74,216177510.41,757960.53,319803.45,1662904145092,20.4,20.29
6575340.63,216177510.33,758004.09,319803.46,1662904148114,20.4,20.29
6577265.04,216190863.05,758098.56,320457.36,1662904152347,20.4,20.29
6598764.99,216190863.05,759152.52,320457.36,1662904156559,20.4,20.29
6599080.10,216189393.33,759167.52,320385.17,1662904160864,20.4,20.29
