mp,timeStamp,mean,skew
17.72,1664109653812,4030.946750883588,-4013.226750883588
17.72,1664109656376,4023.8364807761495,-4006.1164807761497
17.71,1664109659359,4004.3245246866204,-3986.6145246866204
17.72,1664109662473,3998.3639063338674,-3980.6439063338676
17.72,1664109665284,3989.761132260087,-3972.041132260087
17.72,1664109668442,3978.018977190599,-3960.298977190599
17.72,1664109672096,3966.3182776044628,-3948.598277604463
17.72,1664109677709,3953.0988827466495,-3935.3788827466497
17.72,1664109680433,3958.6233595598424,-3940.9033595598426
17.72,1664109683462,3962.101551938956,-3944.3815519389564
17.72,1664109686436,3963.2463128471177,-3945.526312847118
17.72,1664109689566,3964.0365825729446,-3946.3165825729448
17.72,1664109692704,3969.086514848021,-3951.3665148480213
17.72,1664109696107,3974.679587694719,-3956.959587694719
17.72,1664109707821,3969.2573475704917,-3951.537347570492
17.72,1664109723196,3983.592658522549,-3965.872658522549
17.72,1664109729189,3984.9272621206496,-3967.20726212065
17.72,1664109732187,3986.187800712167,-3968.467800712167
17.72,1664109735756,3988.2044189725175,-3970.4844189725177
17.72,1664109741500,3990.5710510000063,-3972.8510510000065
17.73,1664109744514,3984.6088380052784,-3966.8788380052783
17.73,1664109747720,3979.177429123678,-3961.447429123678
17.73,1664109750585,3970.309580049865,-3952.579580049865
17.73,1664109762848,3969.719388712166,-3951.989388712166
17.73,1664109765909,3969.1608980854767,-3951.4308980854767
17.73,1664109772174,3974.811922494413,-3957.081922494413
17.73,1664109775196,3977.576286747004,-3959.846286747004
17.73,1664109778205,3980.214129845713,-3962.484129845713
17.73,1664109784090,3984.5364070976852,-3966.806407097685
17.73,1664109787441,3986.113296492034,-3968.383296492034
17.73,1664109793649,3988.9604792956884,-3971.2304792956884
17.73,1664109807861,3988.797244022774,-3971.067244022774
17.73,1664109811243,3989.7566687795074,-3972.0266687795074
17.73,1664109827269,3996.364099806374,-3978.634099806374
17.73,1664109834503,3997.9640817655613,-3980.2340817655613
17.73,1664109845154,4006.5308844797146,-3988.8008844797146
17.73,1664109849917,4009.1128906016597,-3991.3828906016597
17.73,1664109854880,4015.1362067012647,-3997.4062067012646
17.73,1664109860346,4020.9850255884417,-4003.2550255884416
17.73,1664109865624,4026.835357144949,-4009.105357144949
17.73,1664109870846,4032.277920378789,-4014.547920378789
17.73,1664109876507,4035.754660638455,-4018.024660638455
17.73,1664109885295,4043.7678411909696,-4026.0378411909696
17.72,1664109900583,4057.5212621298683,-4039.8012621298685
17.73,1664109910068,4067.8209925272263,-4050.0909925272263
17.73,1664109916729,4072.065275894162,-4054.335275894162
17.73,1664109923321,4076.1639368329384,-4058.4339368329383
17.72,1664109933371,4081.9930777857694,-4064.2730777857696
17.72,1664109948653,4090.170655697021,-4072.4506556970214
17.72,1664109962729,4097.557796524514,-4079.837796524514
17.71,1664109980530,4134.834932589564,-4117.124932589564
17.71,1664109992714,4151.508198545128,-4133.798198545128
17.71,1664110002404,4159.592508076616,-4141.8825080766155
17.71,1664110011849,4167.302135188008,-4149.592135188008
17.71,1664110021468,4174.012373162609,-4156.302373162609
17.71,1664110031240,4180.771826248327,-4163.061826248327
17.71,1664110050796,4211.184469409116,-4193.474469409116
17.71,1664110061491,4218.6771944451,-4200.9671944451
17.71,1664110078874,4239.002088264635,-4221.292088264635
17.71,1664110093702,4251.980265743564,-4234.270265743564
17.71,1664110112632,4272.118783493941,-4254.408783493941
17.71,1664110135219,4296.995757467703,-4279.285757467703
17.7,1664110148687,4296.642610324772,-4278.942610324772
17.71,1664110162329,4302.710907979795,-4285.000907979795
17.71,1664110175990,4308.55343896144,-4290.84343896144
17.71,1664110193304,4318.151172922239,-4300.441172922239
17.7,1664110211402,4316.401167362241,-4298.701167362241
17.7,1664110230968,4314.760596218719,-4297.060596218719
17.7,1664110250431,4314.117349252582,-4296.417349252582
17.7,1664110265745,4313.2717373015075,-4295.571737301508
17.7,1664110281302,4310.203810602715,-4292.503810602715
17.69,1664110296948,4308.274707117949,-4290.58470711795
17.7,1664110312890,4305.684045790838,-4287.9840457908385
17.7,1664110332209,4301.940533303185,-4284.240533303185
17.69,1664110348613,4300.565783846006,-4282.875783846006
17.69,1664110375412,4297.874417455051,-4280.1844174550515
17.7,1664110413287,4288.354547014637,-4270.6545470146375
17.7,1664110433360,4287.002536334059,-4269.302536334059
17.69,1664110453568,4285.642127913617,-4267.952127913617
17.69,1664110477240,4282.573553408201,-4264.883553408202
17.69,1664110498439,4275.7741656720145,-4258.084165672015
17.69,1664110520015,4269.755390945174,-4252.065390945175
17.69,1664110548534,4249.7441157334015,-4232.054115733402
17.69,1664110570603,4243.220108614408,-4225.530108614408
17.69,1664110593049,4235.1807513443555,-4217.490751344356
17.69,1664110615702,4229.027576024097,-4211.337576024097
17.69,1664110638594,4221.978599210493,-4204.288599210493
17.68,1664110661592,4222.731240167707,-4205.051240167707
17.68,1664110691955,4225.2819521756865,-4207.601952175686
17.69,1664110716348,4219.2780977218845,-4201.588097721885
17.69,1664110740688,4214.037577845457,-4196.347577845458
17.69,1664110765117,4208.974191382731,-4191.2841913827315
17.7,1664110790303,4202.4656082501,-4184.7656082501
17.7,1664110815159,4196.31336423034,-4178.61336423034
17.69,1664110850568,4175.212968600079,-4157.522968600079
17.69,1664110880567,4165.45057372653,-4147.76057372653
17.68,1664110911183,4162.599867861429,-4144.919867861428
17.68,1664110943366,4164.620861411552,-4146.940861411552
17.7,1664110971546,4160.0051025723715,-4142.305102572372
17.7,1664111008371,4154.356482334194,-4136.656482334194
17.7,1664111040901,4149.736035734384,-4132.036035734384
17.7,1664111075194,4140.1836772575625,-4122.483677257563
17.7,1664111104931,4135.935215112333,-4118.235215112333
17.69,1664111138216,4130.066138501135,-4112.376138501136
17.7,1664111168805,4126.374288901698,-4108.674288901698
17.7,1664111207211,4114.645552665213,-4096.945552665213
17.7,1664111239093,4116.3394349164755,-4098.639434916476
17.7,1664111271367,4117.666552973175,-4099.966552973176
17.7,1664111317611,4121.097934280213,-4103.397934280213
17.7,1664111352564,4121.192210808714,-4103.492210808714
17.69,1664111394293,4123.568144148522,-4105.878144148523
17.69,1664111430043,4125.820459222462,-4108.130459222462
17.68,1664111469635,4117.30987100765,-4099.62987100765
17.68,1664111506349,4113.2594185113585,-4095.5794185113587
17.68,1664111546593,4109.191768550781,-4091.5117685507807
17.68,1664111587225,4101.6279922396625,-4083.9479922396627
17.67,1664111625575,4102.066284394436,-4084.3962843944355
17.69,1664111663593,4101.476985634004,-4083.7869856340044
17.7,1664111701884,4101.1326037770505,-4083.4326037770506
17.7,1664111740550,4099.273157689131,-4081.573157689131
17.7,1664111782923,4097.329429159882,-4079.6294291598824
17.71,1664111822700,4096.610768439313,-4078.9007684393127
17.72,1664111862751,4096.005446492328,-4078.285446492328
17.72,1664111916867,4093.9404667628373,-4076.2204667628375
17.74,1664111959470,4090.859278837811,-4073.119278837811
17.74,1664112005810,4082.345146487487,-4064.605146487487
17.73,1664112053763,4075.1844006630413,-4057.4544006630413
17.74,1664112098098,4069.9555207636276,-4052.215520763628
17.73,1664112167567,4062.7633698760305,-4045.0333698760305
17.73,1664112216303,4066.007373082046,-4048.277373082046
17.72,1664112268936,4064.7644176880794,-4047.0444176880796
17.7,1664112336468,4066.895015925785,-4049.1950159257854
17.7,1664112400084,4068.313425735069,-4050.613425735069
17.62,1664112454730,4063.5251881574386,-4045.9051881574387
17.63,1664112513633,4057.920475494253,-4040.290475494253
17.61,1664112573535,4053.963126221578,-4036.353126221578
17.62,1664112647056,4050.3435460938954,-4032.7235460938955
17.64,1664112716653,4033.615800658256,-4015.975800658256
17.65,1664112788608,4018.284902368966,-4000.634902368966
17.63,1664112852049,4015.142112503326,-3997.512112503326
17.65,1664112919406,4013.20295425888,-3995.5529542588797
17.68,1664112991858,4006.0716818039837,-3988.391681803984
17.66,1664113058415,4004.1902849792205,-3986.5302849792206
17.67,1664113125028,4002.8687208752153,-3985.1987208752153
17.64,1664113195605,3994.9151284286304,-3977.2751284286305
17.63,1664113339831,3989.206884533985,-3971.576884533985
17.61,1664113409879,3989.539290066212,-3971.9292900662117
17.65,1664113483374,3990.104088158992,-3972.454088158992
17.63,1664113554306,3987.767382460557,-3970.137382460557
17.61,1664113625304,3987.755906432582,-3970.145906432582
17.62,1664113700597,3988.132096985706,-3970.512096985706
17.62,1664113931003,3986.5327671416358,-3968.912767141636
17.64,1664114006207,3985.445498676445,-3967.805498676445
17.64,1664114085522,3983.326553298602,-3965.686553298602
17.63,1664114162901,3983.630171998104,-3966.0001719981037
17.61,1664114239407,3983.8519273334728,-3966.2419273334726
17.61,1664114316120,3984.002781663822,-3966.392781663822
17.61,1664114393531,3984.8452848601355,-3967.2352848601354
17.62,1664114471885,3987.191669578582,-3969.5716695785823
17.61,1664117495801,3863.911029785831,-3846.301029785831
17.61,1664119695922,3857.44793023302,-3839.83793023302
17.61,1664119824743,3857.230759196031,-3839.620759196031
17.61,1664119953879,3857.1680727522125,-3839.5580727522124
17.62,1664122561411,3854.3419329999765,-3836.7219329999766
17.63,1664122707272,3852.1248364832954,-3834.4948364832953
17.62,1664122853383,3851.873396392855,-3834.253396392855
17.61,1664123001412,3852.059346071143,-3834.449346071143
17.31,1664142253195,3758.8778052605326,-3741.5678052605326
17.31,1664144261609,3742.6647158597916,-3725.3547158597917
