bc,ac,tbv,tav,time,mp,minBid
5455244.85,1229943276.09,638756.02,299422.20,1660842539218,25.42,25.32
5468826.19,1229946662.36,639294.25,299551.44,1660842542322,25.42,25.32
5459676.35,1229948894.46,638934.16,299639.18,1660842545359,25.43,25.32
5459046.88,1229949522.65,638909.36,299663.06,1660842548213,25.43,25.32
5468944.80,1229955285.38,639303.63,299884.14,1660842551287,25.43,25.32
5463796.96,1229949848.21,639101.60,299670.26,1660842554279,25.43,25.32
5471320.69,1229974934.85,639397.85,300654.71,1660842557234,25.43,25.32
5495712.01,1229972745.38,640357.25,300567.63,1660842560357,25.43,25.32
5497045.44,1229977131.31,640409.75,300739.96,1660842563309,25.43,25.32
5497870.69,1229970997.14,640441.74,300498.89,1660842566283,25.43,25.32
5487132.26,1229967473.99,640018.79,300360.40,1660842569569,25.43,25.32
5465812.94,1229988322.14,639178.92,301170.73,1660842572358,25.44,25.32
5473002.24,1229979852.45,639451.12,300827.23,1660842575366,25.45,25.32
5461006.23,1229950069.06,638975.94,299651.12,1660842578324,25.47,25.32
5470541.44,1229966369.97,639348.16,300286.01,1660842581271,25.47,25.32
5478219.46,1229954650.91,639611.42,299792.27,1660842584239,25.49,25.32
5469958.97,1229997977.82,639283.59,301490.09,1660842587402,25.49,25.32
5479155.39,1230009166.78,639648.50,301935.27,1660842590243,25.48,25.32
5469199.13,1229982129.43,639254.63,300874.13,1660842593244,25.49,25.32
5484085.86,1229995838.58,639838.17,301407.35,1660842596770,25.49,25.32
5514061.25,1229990605.49,640997.58,301198.73,1660842599318,25.49,25.32
5500498.15,1230004042.73,640464.69,301727.70,1660842602410,25.48,25.32
5494074.52,1230008664.28,640212.13,301908.46,1660842605731,25.49,25.32
5482692.95,1230011133.09,639765.33,302005.16,1660842608334,25.49,25.32
5470708.74,1230010316.31,639294.76,301973.42,1660842611264,25.48,25.32
5460936.12,1230025679.42,638910.56,302576.23,1660842614284,25.48,25.32
5468164.84,1229991477.99,639196.65,301239.16,1660842617461,25.47,25.32
5437310.69,1229983116.53,637984.57,300911.06,1660842620313,25.48,25.32
5444677.94,1230011039.32,638274.32,302008.57,1660842623232,25.46,25.32
5425890.49,1229985565.11,637535.31,301011.24,1660842626273,25.47,25.32
5429618.34,1229988211.95,637681.31,301115.21,1660842629291,25.47,25.32
5433875.66,1229996536.29,637804.90,301440.81,1660842632293,25.47,25.32
5431841.05,1230008136.14,637725.21,301895.50,1660842635376,25.47,25.32
5405981.20,1230008064.18,636708.68,301893.03,1660842638729,25.47,25.32
5408780.70,1229994039.06,636818.68,301343.03,1660842642107,25.47,25.32
5413301.24,1230002344.83,636996.58,301668.70,1660842644372,25.47,25.32
5404065.18,1229978297.53,636634.96,300728.77,1660842647235,25.46,25.32
5417420.37,1229975010.07,637159.96,300600.07,1660842650309,25.46,25.32
5402926.98,1229991883.95,636598.69,301264.14,1660842653337,25.46,25.32
5395456.27,1230014544.53,636284.17,302134.56,1660842656323,25.45,25.32
5418694.76,1230003545.65,637200.13,301704.28,1660842659317,25.44,25.32
5407138.11,1229998252.51,636745.78,301514.80,1660842662467,25.45,25.32
5423310.50,1229996275.65,637381.56,301437.68,1660842665299,25.44,25.32
5423146.27,1230002373.08,637375.11,301677.12,1660842668268,25.44,25.32
5424113.52,1229994332.23,637412.65,301360.73,1660842671297,25.44,25.32
5464850.52,1229946819.13,639013.46,299499.54,1660842674635,25.46,25.32
5468363.08,1230014163.13,639150.66,302133.84,1660842677813,25.46,25.32
5449710.38,1230010825.37,638417.42,302002.66,1660842680344,25.45,25.32
5477041.45,1230008962.12,639488.64,301928.37,1660842683427,25.47,25.32
5473154.35,1229987195.55,639329.45,301067.10,1660842686394,25.47,25.32
5474158.74,1229991818.20,639368.89,301248.19,1660842689341,25.47,25.32
5457922.73,1229990672.06,638729.24,301203.24,1660842692309,25.47,25.32
5458391.30,1230012921.40,638749.85,302075.70,1660842695264,25.46,25.32
5477869.03,1229938477.07,639513.08,299163.38,1660842698512,25.48,25.32
5458836.47,1230033784.79,638765.92,302890.31,1660842701325,25.47,25.32
5477071.84,1230012778.15,639482.38,302066.07,1660842704220,25.48,25.32
5482283.42,1230012778.15,639687.21,302066.07,1660842707396,25.48,25.32
5512215.61,1230006828.17,640859.85,301831.66,1660842710455,25.48,25.32
5516058.66,1230016183.99,641010.11,302198.53,1660842713327,25.48,25.32
5517248.73,1230013725.49,641056.50,302102.02,1660842716335,25.48,25.32
5498391.79,1229935046.90,640314.73,299091.34,1660842719413,25.48,25.32
5514941.07,1229967661.41,640964.76,300369.62,1660842722508,25.47,25.32
5515176.41,1229975560.00,640974.15,300679.89,1660842725405,25.47,25.32
5519945.60,1229973665.01,641161.46,300605.64,1660842728352,25.47,25.32
5519389.10,1229973663.88,641139.83,300605.64,1660842731436,25.47,25.32
