mp,timeStamp,mean,skew
23,1661449412750,7259.0403341800165,-7236.0403341800165
23,1661449415918,7242.176060637678,-7219.176060637678
22.99,1661449419197,7236.793461619306,-7213.803461619306
23,1661449422760,7223.2674676190445,-7200.2674676190445
23,1661449425622,7211.377088708157,-7188.377088708157
23,1661449428614,7195.865517046713,-7172.865517046713
22.99,1661449430916,7192.587367678888,-7169.597367678888
22.99,1661449437032,7185.810893020274,-7162.8208930202745
23,1661449440033,7176.460578849776,-7153.460578849776
23,1661449443120,7169.764480328507,-7146.764480328507
23,1661449446105,7163.255786092568,-7140.255786092568
23,1661449450310,7156.860423137949,-7133.860423137949
23,1661449452078,7145.297027369934,-7122.297027369934
23,1661449455250,7133.95771421804,-7110.95771421804
23,1661449458138,7122.120466064665,-7099.120466064665
23,1661449461688,7114.776597401582,-7091.776597401582
23,1661449464298,7107.334123794886,-7084.334123794886
22.99,1661449467267,7110.752645989895,-7087.762645989896
23,1661449470927,7108.010153605074,-7085.010153605074
23,1661449473348,7104.161706862453,-7081.161706862453
23,1661449476430,7100.19450850393,-7077.19450850393
22.99,1661449479673,7102.782025881385,-7079.792025881386
22.99,1661449482498,7106.599704484495,-7083.6097044844955
23.01,1661449485638,7106.018597688365,-7083.008597688365
23.01,1661449488749,7104.585269151772,-7081.575269151772
23.01,1661449491623,7101.687130888505,-7078.6771308885045
23.01,1661449494718,7100.472361240397,-7077.462361240397
23.01,1661449497740,7098.596097262667,-7075.586097262667
23.01,1661449500946,7097.645581295651,-7074.635581295651
23.01,1661449503833,7096.97649456166,-7073.96649456166
23,1661449507007,7095.902243862504,-7072.902243862504
23.01,1661449510106,7091.026854787815,-7068.016854787815
23.01,1661449512856,7084.9028202638,-7061.8928202638
23.01,1661449516027,7077.3609223509675,-7054.350922350967
23.01,1661449519133,7070.974099284105,-7047.964099284105
23.01,1661449522094,7064.0880167614,-7041.078016761399
23.01,1661449525172,7062.808714768588,-7039.798714768588
23.01,1661449528517,7059.3448299066895,-7036.334829906689
23.01,1661449531404,7057.113829925168,-7034.103829925168
23.01,1661449534279,7055.613523584814,-7032.603523584814
23.01,1661449537472,7055.186986891284,-7032.176986891283
23.02,1661449540521,7061.996759893824,-7038.976759893823
23.02,1661449543856,7071.113011773729,-7048.093011773729
23.02,1661449546517,7079.120792713394,-7056.100792713393
23.01,1661449549637,7078.393116227671,-7055.383116227671
23.02,1661449553014,7083.66070184965,-7060.640701849649
23.02,1661449555820,7087.822154311618,-7064.802154311617
23.02,1661449558994,7092.330640687078,-7069.3106406870775
23.02,1661449561744,7100.7406547325145,-7077.720654732514
23.02,1661449564897,7105.300889963849,-7082.2808899638485
23.02,1661449568082,7112.3574297779005,-7089.3374297779
23.02,1661449570998,7118.459820508319,-7095.439820508319
23.03,1661449574454,7104.730983075631,-7081.7009830756315
23.04,1661449578021,7082.051335174266,-7059.011335174266
23.03,1661449581575,7082.814283460082,-7059.784283460082
23.03,1661449584946,7083.690774489684,-7060.660774489685
23.03,1661449588624,7063.148787618243,-7040.118787618243
23.03,1661449592228,7045.111869963893,-7022.081869963893
23.04,1661449595869,7031.172224852366,-7008.132224852366
23.05,1661449599684,7009.696093307815,-6986.646093307815
23.05,1661449603640,6987.279901057748,-6964.229901057748
23.05,1661449608296,6963.112741162124,-6940.0627411621235
