bc,ac,tbv,tav,time,mp,minBid
5457409.12,11414857.18,714959.20,231920.47,1671116235888,13.46,13.41
5452316.11,11385225.62,714579.17,229720.74,1671116238989,13.47,13.41
5467633.06,11397927.75,715716.39,230659.98,1671116241838,13.47,13.41
5473069.58,11413673.48,716109.18,231802.87,1671116244788,13.47,13.41
5473031.87,11413903.11,716105.63,231819.70,1671116247979,13.47,13.41
5467270.10,11406576.85,715663.69,231260.43,1671116250735,13.48,13.41
5447399.13,11409715.88,714187.83,231504.50,1671116253747,13.47,13.41
5450654.43,11397152.63,714424.36,230571.72,1671116256888,13.48,13.41
5462155.46,11407898.36,715277.02,231365.96,1671116260248,13.48,13.41
5453023.79,11412098.02,714583.54,231693.98,1671116262825,13.48,13.41
5458370.98,11410567.34,714981.08,231581.09,1671116265856,13.47,13.41
5440889.18,11422035.52,713700.63,232435.88,1671116268762,13.47,13.41
5462915.40,11425988.01,715338.72,232729.60,1671116271856,13.47,13.41
5463108.67,11424954.80,715352.96,232653.50,1671116275023,13.47,13.41
5464401.46,11426308.28,715449.29,232753.50,1671116278285,13.47,13.41
5465442.28,11405504.85,715526.84,231210.56,1671116280822,13.47,13.41
5450502.62,11420791.87,714408.15,232342.78,1671116283888,13.47,13.41
5448595.04,11417658.95,714263.84,232110.03,1671116286970,13.47,13.41
5448746.53,11408091.25,714275.69,231399.51,1671116289842,13.47,13.41
5461491.00,11412854.95,715222.62,231752.46,1671116292775,13.47,13.41
5466502.28,11412333.66,715595.46,231713.30,1671116295920,13.47,13.41
5473150.03,11407630.43,716085.86,231354.56,1671116298815,13.48,13.41
5480366.81,11413965.01,716604.30,231824.64,1671116301851,13.48,13.41
5489219.42,11417227.94,717260.84,232044.90,1671116304912,13.48,13.41
5444590.79,11375660.23,713935.68,228973.14,1671116307823,13.47,13.41
5476719.53,11380212.42,716323.92,229310.71,1671116310805,13.47,13.41
5478281.36,11402368.81,716436.18,230947.04,1671116313917,13.48,13.41
5463856.37,11408795.83,715358.52,231425.05,1671116316802,13.47,13.41
5490193.00,11421330.67,717323.12,232357.56,1671116319842,13.47,13.41
5490352.99,11421224.85,717335.01,232349.70,1671116322912,13.47,13.41
5487708.70,11418969.26,717137.33,232179.12,1671116326245,13.47,13.41
5490125.61,11421104.65,717317.09,232338.25,1671116328917,13.47,13.41
5495474.89,11419281.04,717716.32,232202.30,1671116331840,13.47,13.41
5492971.50,11418857.39,717530.87,232175.50,1671116334807,13.47,13.41
5495472.64,11423018.43,717719.19,232487.16,1671116337822,13.47,13.41
5493976.73,11426005.25,717607.68,232707.86,1671116341322,13.47,13.41
5460716.67,11431672.38,715140.95,233140.13,1671116343849,13.47,13.41
5477398.31,11412005.13,716380.48,231680.10,1671116346914,13.47,13.41
5472954.63,11412992.25,716049.95,231747.91,1671116350010,13.47,13.41
5470454.05,11422348.83,715864.25,232442.22,1671116352869,13.47,13.41
5469069.74,11417654.97,715743.50,232093.34,1671116356027,13.47,13.41
5471852.56,11420135.45,715949.94,232278.42,1671116358994,13.47,13.41
5465794.90,11427964.97,715500.39,232859.07,1671116361993,13.47,13.41
5467891.76,11425475.42,715656.36,232674.25,1671116364868,13.47,13.41
5476071.75,11416638.11,716263.80,232017.83,1671116367904,13.47,13.41
5479083.77,11414810.43,716486.58,231881.80,1671116370869,13.47,13.41
5468210.02,11408934.54,715675.00,231445.66,1671116373839,13.47,13.41
5449479.37,11404098.25,714272.75,231086.15,1671116376819,13.47,13.41
5467801.59,11406996.37,715637.86,231295.11,1671116379965,13.48,13.41
5474155.75,11425464.47,716110.41,232663.30,1671116382933,13.48,13.41
5480259.19,11423702.69,716562.36,232531.35,1671116385841,13.48,13.41
5473889.39,11426167.56,716089.87,232714.18,1671116388982,13.48,13.41
5476141.81,11427332.38,716254.74,232799.20,1671116391859,13.48,13.41
5482793.63,11427332.90,716748.99,232799.20,1671116394870,13.48,13.41
5481014.10,11425818.01,716616.85,232686.96,1671116398316,13.48,13.41
5473407.87,11423078.63,716051.84,232485.16,1671116401724,13.48,13.41
5475819.25,11432481.83,716231.94,233184.45,1671116405164,13.48,13.41
5475819.25,11424978.08,716231.94,232628.75,1671116407700,13.48,13.41
5474897.95,11420173.25,716170.09,232280.59,1671116411503,13.47,13.41
5483069.74,11429581.66,716778.55,232978.74,1671116414413,13.47,13.41
5477741.25,11432118.97,716381.99,233169.75,1671116418491,13.47,13.41
5471841.84,11419033.85,715943.53,232198.74,1671116422676,13.47,13.41
5470593.67,11415365.29,715850.67,231925.87,1671116427392,13.47,13.41
5454839.69,11428932.81,714678.89,232930.07,1671116431520,13.47,13.41
5458902.28,11424926.81,714940.92,232633.02,1671116434646,13.47,13.41
5468111.05,11419778.46,715626.34,232250.28,1671116439098,13.47,13.41
5462111.22,11419778.26,715180.39,232250.28,1671116443688,13.47,13.41
5455577.05,11434593.24,714695.39,233350.13,1671116448467,13.47,13.41
5460008.17,11434478.52,715024.68,233341.65,1671116451976,13.47,13.41
5457100.24,11433994.12,714831.97,233306.65,1671116454510,13.47,13.41
5447701.97,11402226.62,714144.58,230956.96,1671116459640,13.47,13.41
5452674.17,11399337.33,714512.65,230741.81,1671116462707,13.47,13.41
5452751.92,11402958.13,714517.65,231010.20,1671116468260,13.47,13.41
5457291.49,11408412.94,714852.07,231410.42,1671116474013,13.47,13.41
5457889.74,11411283.06,714896.48,231621.43,1671116479822,13.47,13.41
5465867.48,11420251.07,715478.03,232277.44,1671116485634,13.48,13.41
5448049.64,11428268.60,714154.88,232875.56,1671116491529,13.47,13.41
5459524.96,11413926.15,715006.13,231810.28,1671116494574,13.48,13.41
5461015.96,11417513.53,715116.82,232075.84,1671116497553,13.48,13.41
5458334.28,11422803.47,714915.15,232461.86,1671116503945,13.48,13.41
5459186.74,11411544.45,714972.12,231627.06,1671116510571,13.48,13.41
5459186.74,11415168.07,714972.12,231895.76,1671116517158,13.48,13.41
5452715.42,11420035.56,714491.61,232256.98,1671116523936,13.48,13.41
5462256.62,11422354.57,715201.61,232427.63,1671116530855,13.48,13.41
5465545.03,11424875.16,715444.95,232613.58,1671116537832,13.48,13.41
5465544.35,11426873.89,715444.95,232761.53,1671116541245,13.48,13.41
5465726.58,11440878.22,715458.63,233800.47,1671116543824,13.48,13.41
5466855.85,11436018.35,715544.55,233441.20,1671116551270,13.47,13.41
5462354.53,11435299.83,715209.70,233389.93,1671116558974,13.48,13.41
5469362.99,11436587.37,715731.66,233485.74,1671116562084,13.47,13.41
5473988.80,11447978.54,716073.91,234330.36,1671116569910,13.48,13.41
5472523.17,11440321.94,715964.40,233760.96,1671116577884,13.48,13.41
5473333.13,11683898.05,716022.30,251797.66,1671116586105,13.48,13.41
5469236.35,11678830.07,715714.92,251419.84,1671116594411,13.48,13.41
5470018.95,11689391.57,715758.79,252185.69,1671116602946,13.48,13.41
5460219.23,11681047.72,715032.58,251574.04,1671116611491,13.48,13.41
5467670.61,11694056.38,715586.93,252539.38,1671116620297,13.48,13.41
5469281.75,11680801.84,715705.94,251555.97,1671116629216,13.48,13.41
5455232.42,11678966.41,714662.02,251418.58,1671116639619,13.48,13.41
5461433.81,11675147.11,715120.16,251134.29,1671116649166,13.48,13.41
5463910.30,11691432.87,715305.46,252341.17,1671116658544,13.48,13.41
5458753.41,11690956.38,714922.55,252304.97,1671116667962,13.48,13.41
5466726.66,11695184.11,715493.75,252619.81,1671116677723,13.48,13.41
5455903.96,11692129.90,714689.17,252393.69,1671116680559,13.48,13.41
5458204.94,11688492.14,714862.35,252134.36,1671116690458,13.47,13.41
5459849.80,11686874.63,715004.35,252033.26,1671116700589,13.47,13.41
5457016.55,11703281.48,714795.85,253252.03,1671116703531,13.47,13.41
5462840.92,11686199.35,715228.78,251986.59,1671116714102,13.47,13.41
5455122.31,11701202.21,714655.54,253098.02,1671116724884,13.47,13.41
5454411.12,11709025.70,714621.05,253684.92,1671116727931,13.47,13.41
5462916.41,11707674.08,715252.11,253584.87,1671116739421,13.47,13.41
5477546.59,11717834.28,716338.61,254337.63,1671116750855,13.47,13.41
5477550.49,11717835.04,716338.61,254337.63,1671116753915,13.47,13.41
5469474.49,11718694.06,715738.61,254403.22,1671116765749,13.47,13.41
5469474.49,11718691.39,715738.61,254403.02,1671116768882,13.47,13.41
5471101.23,11723531.49,715861.51,254762.94,1671116781291,13.47,13.41
5472985.63,11723531.49,716001.51,254762.94,1671116784273,13.47,13.41
5464194.89,11722267.14,715347.08,254670.29,1671116797161,13.47,13.41
5444230.31,11689946.93,713873.90,252281.26,1671116800533,13.46,13.41
5442053.93,11702310.53,713715.96,253198.63,1671116803006,13.46,13.41
5445857.34,11691091.79,713998.73,252365.82,1671116806555,13.46,13.41
5450892.11,11691213.78,714381.14,252376.71,1671116809332,13.46,13.41
5475624.63,11690268.79,716226.12,252310.07,1671116823442,13.47,13.41
5474483.82,11667345.66,716136.07,250600.41,1671116837705,13.47,13.41
5482101.49,11683248.36,716686.64,251789.83,1671116852373,13.48,13.41
5476377.31,11694668.65,716247.26,252612.32,1671116867175,13.49,13.41
5471524.26,11670972.80,715884.43,250851.01,1671116882275,13.49,13.41
5481663.56,11660543.37,716598.91,250042.84,1671116902515,13.49,13.41
5475246.41,11656532.79,716095.71,249745.30,1671116917807,13.49,13.41
5467111.99,11676044.80,715491.11,251191.44,1671116933221,13.49,13.41
5467391.19,11676323.89,715511.82,251212.13,1671116936632,13.49,13.41
5473009.90,11653356.05,715919.80,249492.86,1671116952395,13.49,13.41
5473095.68,11676545.84,715928.40,251222.00,1671116968253,13.49,13.41
5476777.05,11675157.11,716191.31,251107.80,1671116984452,13.49,13.41
5476777.40,11674976.12,716191.33,251094.13,1671116987314,13.49,13.41
5471287.57,11671427.73,715770.86,250826.00,1671117005822,13.49,13.41
5480072.54,11672987.90,716435.62,250948.95,1671117022700,13.49,13.41
5482074.35,11675704.34,716585.40,251149.73,1671117039521,13.48,13.41
5495127.49,11663870.45,717553.74,250271.70,1671117056457,13.49,13.41
5482667.86,11666967.38,716627.99,250501.65,1671117073420,13.49,13.41
5481497.33,11666360.32,716536.94,250453.34,1671117091030,13.49,13.41
5472347.47,11645916.99,715829.34,248938.02,1671117108392,13.49,13.41
5473881.16,11646242.64,715939.39,248956.66,1671117125865,13.49,13.41
5478032.50,11641613.78,716251.18,248613.23,1671117144001,13.49,13.41
5468500.64,11649460.04,715544.36,249194.28,1671117161910,13.49,13.41
5478681.18,11652778.34,716238.98,249430.54,1671117180042,13.49,13.41
5470624.92,11655804.81,715641.91,249655.59,1671117198314,13.49,13.41
5477911.75,11658602.36,716180.28,249860.57,1671117216752,13.49,13.41
5479438.30,11646923.08,716290.50,248993.09,1671117235542,13.5,13.41
5469060.18,11647899.04,715521.47,249065.59,1671117254220,13.5,13.41
5449970.10,11652001.30,714089.26,249369.50,1671117273030,13.49,13.41
5455887.29,11652921.43,714505.64,249421.08,1671117292053,13.5,13.41
5452839.58,11672640.21,714287.05,250891.07,1671117311367,13.49,13.41
5442982.81,11676267.28,713551.70,251164.97,1671117330682,13.49,13.41
5465869.03,11659586.84,715257.64,249924.22,1671117350652,13.49,13.41
5471877.94,11676020.99,715706.07,251142.98,1671117370380,13.49,13.41
5469748.03,11672501.46,715544.64,250879.09,1671117390758,13.49,13.41
5477876.91,11671894.58,716145.79,250835.08,1671117410901,13.49,13.41
5473995.41,11652020.87,715854.23,249357.78,1671117431335,13.49,13.41
5473715.94,11629907.73,715826.31,247720.16,1671117452016,13.5,13.41
5453960.57,11642492.09,714354.28,248622.28,1671117472700,13.5,13.41
5449239.04,11616172.40,714003.29,246675.30,1671117493998,13.5,13.41
5451864.42,11638876.17,714201.11,248354.14,1671117515133,13.5,13.41
5448509.22,11624227.74,713926.54,247284.53,1671117536413,13.49,13.41
5439276.86,11643028.84,713246.44,248679.80,1671117558039,13.49,13.41
5450405.07,11644117.32,714071.67,248761.09,1671117579932,13.49,13.41
5467223.75,11633946.70,715317.36,248005.37,1671117601978,13.5,13.41
5445240.91,11643555.68,713665.12,248720.21,1671117624588,13.49,13.41
5463896.89,11642461.02,714766.61,248639.13,1671117647084,13.49,13.41
5478520.82,11645033.75,716135.35,248827.91,1671117669984,13.49,13.41
5473363.39,11653858.20,715752.87,249481.39,1671117672936,13.49,13.41
5469427.96,11639144.65,715479.39,248411.40,1671117696026,13.49,13.41
5481280.56,11636691.12,716358.01,248228.94,1671117719280,13.5,13.41
5476093.88,11635994.61,715971.87,248177.58,1671117743667,13.5,13.41
