time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1671184320916,12.78,9,5196148.32,11605894.69,898060,1671183868836,1671184766896,12.73
1671188875548,12.71,25,5206673.56,11644378.93,1380584,1671187494978,1671188875562,12.7
1671188875548,12.71,24,5206673.56,11644378.93,1380574,1671187494978,1671188875552,12.7
1671190286971,12.78,12,5213534.98,11642407.75,2805134,1671187952221,1671190757355,12.73
1671190286971,12.78,13,5213534.98,11642407.75,1882894,1671188874461,1671190757355,12.73
1671190286971,12.78,24,5213534.98,11642407.75,2805134,1671187952221,1671190757355,12.73
1671190286971,12.78,25,5213534.98,11642407.75,2805134,1671187952221,1671190757355,12.73
1671190286971,12.78,26,5213534.98,11642407.75,2805134,1671187952221,1671190757355,12.73
1671190286971,12.78,9,5213534.98,11642407.75,1882891,1671188874461,1671190757352,12.73
1671190286971,12.78,10,5213534.98,11642407.75,2343432,1671188413922,1671190757354,12.73
1671190286971,12.78,11,5213534.98,11642407.75,2805134,1671187952221,1671190757355,12.73
1671207646538,12.45,2,5128421.16,12004269.94,539139,1671207645990,1671208185129,12.48
1671234010920,11.75,2,4901849.73,11841382.03,650581,1671234010385,1671234660966,11.8
1671236057807,11.94,4,4975997.24,11809555.84,1311915,1671235400483,1671236712398,11.9
1671236057807,11.94,7,4975997.24,11809555.84,1311915,1671235400483,1671236712398,11.9
1671236057807,11.94,8,4975997.24,11809555.84,3354073,1671233358325,1671236712398,11.9
1671236057807,11.94,3,4975997.24,11809555.84,1311915,1671235400483,1671236712398,11.9
1671236057807,11.94,2,4975997.24,11809555.84,655170,1671236057228,1671236712398,11.9
1671244793480,11.61,2,4901095.64,11990027.76,471,1671244793022,1671244793493,11.7
1671246182719,11.88,4,4937313.89,11991389.47,1390932,1671245486243,1671246877175,11.77
1671246182719,11.88,9,4937313.89,11991389.47,3459237,1671243417940,1671246877177,11.77
1671251403308,11.87,5,2849660.18,12015368.31,1445952,1671250677770,1671252123722,11.83
1671259453584,11.87,2,2700692.90,11902200.22,743770,1671259452943,1671260196713,11.83
1671259453584,11.87,18,2700692.90,11902200.22,743787,1671259452943,1671260196730,11.83
1671259453584,11.87,19,2700692.90,11902200.22,743787,1671259452943,1671260196730,11.83
1671260942389,11.92,3,2684168.61,11924909.83,1491084,1671260196713,1671261687797,11.88
1671260942389,11.92,11,2684168.61,11924909.83,746014,1671260941784,1671261687798,11.88
1671260942389,11.92,12,2684168.61,11924909.83,746014,1671260941784,1671261687798,11.88
1671260942389,11.92,13,2684168.61,11924909.83,746014,1671260941784,1671261687798,11.88
1671260942389,11.92,14,2684168.61,11924909.83,1491068,1671260196730,1671261687798,11.88
1671260942389,11.92,15,2684168.61,11924909.83,6665871,1671255021927,1671261687798,11.88
1671260942389,11.92,16,2684168.61,11924909.83,6665871,1671255021927,1671261687798,11.88
1671260942389,11.92,17,2684168.61,11924909.83,8841907,1671252845892,1671261687799,11.88
1671260942389,11.92,18,2684168.61,11924909.83,9564078,1671252123721,1671261687799,11.88
1671260942389,11.92,19,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,23,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,24,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,25,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,26,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,27,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,32,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,33,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,34,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,43,2684168.61,11924909.83,6665872,1671255021927,1671261687799,11.88
1671260942389,11.92,44,2684168.61,11924909.83,6665873,1671255021927,1671261687800,11.88
1671260942389,11.92,45,2684168.61,11924909.83,6665873,1671255021927,1671261687800,11.88
1671260942389,11.92,10,2684168.61,11924909.83,746015,1671260941783,1671261687798,11.88
1671260942389,11.92,9,2684168.61,11924909.83,746015,1671260941783,1671261687798,11.88
1671263949529,12.02,7,2737741.01,11906535.32,3016584,1671261687797,1671264704381,11.98
1671263949529,12.02,62,2737741.01,11906535.32,24691408,1671240012974,1671264704382,11.98
1671263949529,12.02,65,2737741.01,11906535.32,24691408,1671240012974,1671264704382,11.98
1671263949529,12.02,66,2737741.01,11906535.32,26679012,1671238025370,1671264704382,11.98
1671263949529,12.02,67,2737741.01,11906535.32,26679012,1671238025370,1671264704382,11.98
1671263949529,12.02,68,2737741.01,11906535.32,27991984,1671236712398,1671264704382,11.98
1671263949529,12.02,76,2737741.01,11906535.32,27991984,1671236712398,1671264704382,11.98
1671263949529,12.02,5,2737741.01,11906535.32,755376,1671263949005,1671264704381,11.98
1671263949529,12.02,6,2737741.01,11906535.32,755376,1671263949005,1671264704381,11.98
1671263949529,12.02,2,2737741.01,11906535.32,755372,1671263949005,1671264704377,11.98
1671292516891,11.60,24,2493657.12,11951058.76,6807248,1671286553593,1671293360841,11.92
1671292516891,11.60,25,2493657.12,11951058.76,9588705,1671283772136,1671293360841,11.92
1671292516891,11.60,14,2493657.12,11951058.76,5865678,1671287495163,1671293360841,11.92
1671292516891,11.60,11,2493657.12,11951058.76,3377138,1671289983689,1671293360827,11.92
1671292516891,11.60,13,2493657.12,11951058.76,5036365,1671288324476,1671293360841,11.92
