mp,timeStamp,mean,skew
13.46,1671116235898,2199.2310678260865,-2185.7710678260864
13.47,1671116241861,2418.6037953695645,-2405.1337953695647
13.47,1671116244815,2335.325410725808,-2321.8554107258083
13.47,1671116248033,2292.232618894604,-2278.762618894604
13.48,1671116250800,2309.6800936717095,-2296.2000936717095
13.48,1671116260366,2336.4501482545456,-2322.9701482545456
13.47,1671116266000,2456.7449518187213,-2443.2749518187215
13.47,1671116268911,2463.6656986086955,-2450.1956986086957
13.47,1671116275228,2493.557274059586,-2480.087274059586
13.47,1671116296377,2515.1948229120135,-2501.7248229120137
13.48,1671116299286,2539.6180106582,-2526.1380106582
13.47,1671116308397,2590.400073680796,-2576.9300736807963
13.47,1671116311415,2596.6541308043575,-2583.1841308043577
13.47,1671116327132,2661.798596893201,-2648.3285968932014
13.47,1671116332876,2683.5694678584855,-2670.0994678584857
13.47,1671116336014,2694.300301503591,-2680.8303015035913
13.47,1671116342552,2717.727534188898,-2704.2575341888983
13.47,1671116345143,2714.8562737134284,-2701.3862737134286
13.47,1671116357635,2699.3968984958233,-2685.9268984958235
13.47,1671116360663,2696.0234532410223,-2682.5534532410225
13.47,1671116379017,2681.6204306945774,-2668.1504306945776
13.48,1671116397710,2740.9223062640413,-2727.4423062640412
13.48,1671116401250,2750.09645556348,-2736.61645556348
13.48,1671116410958,2773.2954278191473,-2759.8154278191473
13.47,1671116417871,2781.6888672052673,-2768.2188672052675
13.47,1671116422018,2786.2055635518527,-2772.735563551853
13.47,1671116426290,2789.4677982858116,-2775.9977982858118
13.47,1671116431087,2792.931506178763,-2779.461506178763
13.47,1671116438609,2797.7621740823433,-2784.2921740823435
13.47,1671116443204,2799.092263850744,-2785.6222638507443
13.47,1671116447928,2799.954726062453,-2786.4847260624533
13.47,1671116459156,2802.559911559781,-2789.0899115597813
13.47,1671116467629,2803.321520794445,-2789.851520794445
13.47,1671116473259,2803.164809831392,-2789.6948098313924
13.47,1671116479341,2797.0994196716833,-2783.6294196716835
13.47,1671116485148,2791.222385926344,-2777.7523859263442
13.48,1671116491071,2794.573694423936,-2781.093694423936
13.48,1671116503500,2802.424148678661,-2788.944148678661
13.48,1671116509990,2805.3954824276307,-2791.9154824276306
13.48,1671116516739,2808.9020325983233,-2795.4220325983233
13.48,1671116523429,2812.1720465172493,-2798.6920465172493
13.48,1671116530328,2815.4544772849717,-2801.9744772849717
13.48,1671116537355,2819.7497692979714,-2806.2697692979714
13.48,1671116550806,2830.8126181028706,-2817.3326181028706
13.47,1671116558479,2832.2171398795613,-2818.7471398795615
13.47,1671116569470,2836.711347324073,-2823.241347324073
