mp,timeStamp,mean,skew
18.4,1667487719727,3578.094992662337,-3559.694992662337
18.42,1667487728676,3286.749242650403,-3268.329242650403
18.43,1667487731787,3302.848261514359,-3284.418261514359
18.43,1667487734757,3326.5437700874295,-3308.1137700874297
18.43,1667487737692,3305.0356579849317,-3286.605657984932
18.44,1667487740768,3266.7789506919244,-3248.3389506919243
18.44,1667487743761,3250.8626227520203,-3232.4226227520203
18.44,1667487746789,3217.2367690909064,-3198.7967690909063
18.44,1667487749851,3187.093050060348,-3168.653050060348
18.44,1667487752852,3165.066631590906,-3146.626631590906
18.44,1667487755853,3150.374461095186,-3131.9344610951857
18.44,1667487758942,3137.164558926871,-3118.724558926871
18.44,1667487761882,3132.75182058588,-3114.31182058588
18.45,1667487764892,3124.5195112697725,-3106.0695112697726
18.45,1667487773947,3134.1107561581916,-3115.660756158192
18.46,1667487777089,3151.938498887024,-3133.4784988870238
18.47,1667487780038,3169.029093634329,-3150.559093634329
18.47,1667487783088,3151.6420896405684,-3133.1720896405686
18.47,1667487786066,3118.0419270046455,-3099.5719270046457
18.47,1667487789157,3105.807207936682,-3087.3372079366823
18.48,1667487792241,3085.9045471687045,-3067.4245471687045
18.47,1667487795265,3081.639688967725,-3063.169688967725
18.48,1667487798942,3063.250754793205,-3044.770754793205
18.48,1667487801164,3044.194075222643,-3025.714075222643
18.47,1667487804215,3036.4827579794755,-3018.0127579794757
18.46,1667487807347,3021.4330309892052,-3002.973030989205
18.46,1667487810362,3009.1063142574067,-2990.6463142574066
18.46,1667487813407,3004.901158361166,-2986.441158361166
18.47,1667487816354,2997.968981805116,-2979.4989818051163
18.47,1667487819508,2991.562812166768,-2973.092812166768
18.45,1667487822475,3004.5512316208637,-2986.101231620864
18.45,1667487825494,3020.0825530120987,-3001.632553012099
18.45,1667487828628,3033.9399569548996,-3015.4899569548998
18.45,1667487831671,3046.8537707304017,-3028.403770730402
18.45,1667487834707,3057.7408944164904,-3039.2908944164906
18.44,1667487837630,3074.396175437908,-3055.956175437908
18.44,1667487840625,3069.051669107437,-3050.611669107437
18.44,1667487843760,3058.320039076641,-3039.880039076641
18.44,1667487846874,3047.126258570124,-3028.6862585701238
18.44,1667487849906,3043.6795247717487,-3025.2395247717486
18.43,1667487853107,3055.9021943187886,-3037.4721943187888
18.43,1667487855909,3064.204435579272,-3045.774435579272
18.42,1667487862085,3066.8597611232935,-3048.4397611232935
18.42,1667487865064,3058.5479014891944,-3040.1279014891943
18.44,1667487871338,3043.3565495014263,-3024.9165495014263
18.44,1667487874320,3036.360417329123,-3017.9204173291228
18.44,1667487877312,3032.339310446828,-3013.899310446828
18.44,1667487880388,3028.504545661081,-3010.064545661081
18.43,1667487886520,3019.5511435534013,-3001.1211435534015
18.44,1667487892567,3023.4617809033243,-3005.0217809033243
18.44,1667487895910,3031.0150228128587,-3012.5750228128586
18.44,1667487898738,3037.1741101469224,-3018.7341101469224
18.44,1667487902270,3043.7766752883554,-3025.3366752883553
18.44,1667487904938,3049.386862927456,-3030.946862927456
18.45,1667487907966,3049.4443772457766,-3030.994377245777
18.44,1667487911065,3065.275911795666,-3046.835911795666
18.44,1667487914170,3080.7396493251745,-3062.2996493251744
18.44,1667487917352,3096.4736700179274,-3078.0336700179273
18.44,1667487920465,3111.2071858110085,-3092.7671858110084
18.44,1667487923508,3122.669544354383,-3104.229544354383
18.43,1667487926724,3126.267187254354,-3107.8371872543544
18.44,1667487930550,3138.4757163940194,-3120.0357163940193
18.43,1667487933860,3143.0915985136426,-3124.6615985136427
18.43,1667487940522,3153.023661537279,-3134.5936615372793
18.42,1667487944150,3166.4609629945867,-3148.0409629945866
18.42,1667487948084,3180.132322006995,-3161.712322006995
18.43,1667487951908,3185.42674187721,-3166.9967418772103
18.42,1667487955815,3197.443992065994,-3179.0239920659938
18.42,1667487960324,3207.7578420238983,-3189.3378420238982
18.42,1667487964345,3219.1687620951666,-3200.7487620951665
18.42,1667487968578,3229.6237432557573,-3211.203743255757
18.42,1667487972924,3239.170932388966,-3220.750932388966
18.42,1667487977348,3248.1286053295007,-3229.7086053295006
18.42,1667487981921,3256.6932567155613,-3238.2732567155613
18.41,1667487986663,3253.7570283991613,-3235.3470283991614
18.41,1667487994620,3245.554340797113,-3227.1443407971133
