mp,timeStamp,mean,skew
15.6,1668093261327,1573.4187905376352,-1557.8187905376353
15.6,1668093267157,1596.1318603526454,-1580.5318603526455
15.59,1668093276314,1622.6241016386566,-1607.0341016386567
15.6,1668093309472,1827.518254925766,-1811.9182549257662
15.61,1668093312329,1814.826582321964,-1799.216582321964
15.59,1668093315305,1807.1361906951088,-1791.5461906951089
15.59,1668093321462,1786.429980113289,-1770.8399801132891
15.59,1668093339793,1774.7054290855947,-1759.1154290855948
15.6,1668093345675,1796.3495440032013,-1780.7495440032014
15.6,1668093348662,1800.1353808921883,-1784.5353808921884
15.6,1668093351666,1805.0685715836773,-1789.4685715836774
15.6,1668093354758,1818.0683792396912,-1802.4683792396913
15.6,1668093357625,1846.1211542331387,-1830.5211542331388
15.59,1668093360721,1866.381341331692,-1850.7913413316921
15.6,1668093363811,1892.3053239968158,-1876.7053239968159
15.6,1668093366884,1910.152486471185,-1894.5524864711851
15.68,1668093388006,1859.4923348364518,-1843.8123348364518
15.68,1668093390997,1850.076421334037,-1834.3964213340369
15.67,1668093393927,1851.080929846086,-1835.410929846086
15.67,1668093397066,1864.090298561543,-1848.420298561543
15.63,1668093403122,1854.9135606537054,-1839.2835606537053
15.64,1668093406067,1850.728807959848,-1835.0888079598478
15.66,1668093412262,1869.3384498272917,-1853.6784498272916
15.65,1668093421315,1880.4041302109279,-1864.7541302109278
15.65,1668093424365,1877.5403745208016,-1861.8903745208015
15.63,1668093433587,1863.0339208848611,-1847.403920884861
15.62,1668093439553,1857.5215281806536,-1841.9015281806537
15.62,1668093442568,1855.6384274103038,-1840.018427410304
15.65,1668093445583,1849.759786335744,-1834.1097863357438
15.65,1668093448723,1843.140732263631,-1827.490732263631
15.66,1668093451696,1840.4406583887258,-1824.7806583887257
15.68,1668093460782,1830.2694004917048,-1814.5894004917047
15.68,1668093463785,1832.0897289905138,-1816.4097289905137
15.67,1668093466868,1831.012922685968,-1815.342922685968
15.67,1668093469918,1841.0919748554393,-1825.4219748554392
