bc,ac,tbv,tav,time,mp,minBid
4626855.63,206253908.05,934271.69,279505.41,1669338325081,12.79,12.74
4617458.16,206255263.78,933532.91,279612.83,1669338328034,12.8,12.74
4618028.08,206255821.49,933579.20,279656.69,1669338331049,12.8,12.74
4617527.11,206257267.40,933539.89,279751.94,1669338334149,12.8,12.74
4617038.11,206257265.25,933501.69,279751.78,1669338337112,12.8,12.74
4617038.97,206257266.19,933501.69,279751.78,1669338340070,12.8,12.74
4617183.83,206257192.73,933501.69,279751.94,1669338343065,12.8,12.74
4636219.17,206263926.99,934987.26,280274.72,1669338346128,12.8,12.74
4628240.57,206263926.99,934362.13,280274.72,1669338349081,12.8,12.74
4618354.02,206268054.48,933591.51,280599.15,1669338352579,12.8,12.74
4621116.49,206271584.54,933807.52,280874.58,1669338355170,12.8,12.74
4621170.84,206259666.56,933809.24,279940.79,1669338358044,12.8,12.74
4635130.90,206246028.61,934900.56,278884.32,1669338361195,12.8,12.74
4631873.35,206256392.52,934683.69,279684.35,1669338364102,12.8,12.74
4626683.52,206258767.97,934277.94,279888.00,1669338367199,12.8,12.74
4615912.30,206266582.04,933443.99,280498.28,1669338370168,12.8,12.74
4617180.79,206266591.69,933543.40,280498.17,1669338373133,12.8,12.74
4624721.60,206264967.49,934133.85,280371.37,1669338376587,12.8,12.74
4621190.69,206262523.96,933855.79,280180.87,1669338379205,12.8,12.74
4622640.88,206266212.74,933969.25,280469.97,1669338382437,12.8,12.74
4622640.88,206266212.74,933969.25,280469.97,1669338385082,12.8,12.74
4632449.19,206259557.31,934735.97,279948.84,1669338388056,12.8,12.74
4626131.98,206240762.20,934218.22,278481.80,1669338391056,12.81,12.74
4642377.41,206256422.59,935492.16,279695.76,1669338394155,12.81,12.74
4650197.04,206252099.22,936102.66,279357.58,1669338397694,12.81,12.74
4641428.49,206255282.66,935416.58,279606.31,1669338400204,12.81,12.74
4629888.83,206252935.45,934513.78,279423.07,1669338403101,12.81,12.74
4629888.83,206253200.84,934513.78,279443.76,1669338406241,12.81,12.74
4640600.14,206251760.56,935350.56,279331.92,1669338409319,12.81,12.74
4625534.29,206249154.15,934170.67,279128.08,1669338412185,12.81,12.74
4646837.10,206252244.38,935837.28,279368.63,1669338415250,12.81,12.74
4646837.10,206252255.63,935837.28,279369.22,1669338418102,12.81,12.74
4646723.05,206252255.63,935826.33,279369.22,1669338421074,12.81,12.74
4640030.88,206251814.78,935303.26,279334.80,1669338424202,12.81,12.74
4644709.68,206218839.50,935634.27,276783.51,1669338427201,12.82,12.74
4644709.68,206251246.95,935634.27,279305.31,1669338430300,12.82,12.74
4639053.42,206248580.47,935189.22,279086.41,1669338433283,12.83,12.74
4642648.97,206251958.66,935469.44,279350.12,1669338436109,12.83,12.74
4629886.02,206256018.50,934472.59,279666.33,1669338439182,12.83,12.74
4639217.51,206245580.45,935200.65,278860.66,1669338442284,12.83,12.74
4634403.96,206247973.13,934828.52,279040.68,1669338445130,12.82,12.74
4627382.41,206249009.16,934277.65,279120.10,1669338448354,12.83,12.74
4633902.87,206248183.43,934789.00,279056.24,1669338451111,12.82,12.74
4632705.71,206257263.47,934697.60,279766.56,1669338454262,12.82,12.74
4642085.06,206252424.09,935430.25,279389.06,1669338457684,12.82,12.74
4644664.92,206255965.36,935631.93,279664.89,1669338460184,12.82,12.74
4640020.31,206252916.47,935269.26,279429.51,1669338463153,12.82,12.74
4640519.69,206256919.77,935308.33,279741.29,1669338466239,12.82,12.74
4598888.45,206252944.62,932057.20,279446.11,1669338469132,12.82,12.74
4622002.54,206248203.35,933864.38,279075.84,1669338472696,12.82,12.74
4622002.54,206248910.50,933864.38,279129.85,1669338475223,12.82,12.74
4638918.91,206242325.14,935179.03,278602.29,1669338478224,12.83,12.74
4641338.31,206243845.99,935367.85,278720.68,1669338481287,12.83,12.74
4637320.79,206243845.99,935053.79,278720.68,1669338484262,12.83,12.74
4638153.16,206255051.64,935120.24,279581.47,1669338487142,12.82,12.74
4638418.18,206255166.44,935140.93,279590.43,1669338490187,12.82,12.74
4646753.85,206255165.85,935791.00,279590.43,1669338493266,12.82,12.74
4649543.59,206255165.85,936008.96,279590.43,1669338496222,12.82,12.74
4649543.68,206255165.85,936008.97,279590.43,1669338499298,12.82,12.74
4649543.68,206255166.01,936008.97,279590.43,1669338502275,12.82,12.74
4641570.96,206259138.48,935386.10,279899.96,1669338505203,12.82,12.74
4623631.66,206254662.51,933983.89,279550.91,1669338508192,12.82,12.74
