mp,timeStamp,mean,skew
15.34,1666276408799,3836.740267541691,-3821.400267541691
15.34,1666276412253,3807.244566277378,-3791.904566277378
15.34,1666276414757,3771.656879609851,-3756.3168796098507
15.33,1666276417859,3763.9049695178883,-3748.5749695178883
15.33,1666276420729,3757.037900479579,-3741.707900479579
15.33,1666276423745,3748.209488533518,-3732.8794885335183
15.33,1666276426748,3750.3763501524636,-3735.0463501524637
15.33,1666276429870,3754.826864304016,-3739.496864304016
15.33,1666276435856,3754.5873676308547,-3739.257367630855
15.33,1666276438999,3751.4266845440698,-3736.09668454407
15.33,1666276442004,3751.7052528051418,-3736.375252805142
15.33,1666276444986,3752.01091732754,-3736.68091732754
15.33,1666276448147,3750.093063641159,-3734.763063641159
15.33,1666276451077,3747.416610932747,-3732.086610932747
15.33,1666276454099,3746.366431663588,-3731.0364316635882
15.33,1666276460262,3745.0759278663904,-3729.7459278663905
15.33,1666276463386,3744.325511243193,-3728.995511243193
15.33,1666276466376,3743.2956106888037,-3727.9656106888037
15.33,1666276469438,3741.972650085783,-3726.642650085783
15.33,1666276472885,3742.554104464295,-3727.224104464295
15.34,1666276487809,3676.2965888876533,-3660.956588887653
15.34,1666276490881,3663.5075010507653,-3648.167501050765
15.34,1666276493923,3651.838366559909,-3636.498366559909
15.34,1666276497038,3640.3264177552537,-3624.9864177552536
15.34,1666276500474,3629.2925459558996,-3613.9525459558995
15.34,1666276503391,3619.168410625571,-3603.828410625571
15.34,1666276506296,3608.0221339259815,-3592.6821339259814
15.34,1666276509404,3598.260837861326,-3582.9208378613257
15.34,1666276512330,3586.6783918240553,-3571.338391824055
15.34,1666276515360,3575.0900277831297,-3559.7500277831296
15.35,1666276518484,3574.7218507520333,-3559.3718507520334
15.36,1666276527855,3577.4330791260622,-3562.073079126062
15.35,1666276530861,3573.2610780603377,-3557.911078060338
15.35,1666276533999,3571.5361577573835,-3556.1861577573836
15.34,1666276537146,3561.3626568051586,-3546.0226568051585
15.34,1666276543655,3544.647615671604,-3529.307615671604
15.34,1666276547003,3536.0338349158937,-3520.6938349158936
15.34,1666276550408,3527.6902861620097,-3512.3502861620095
15.34,1666276553803,3519.387903249781,-3504.047903249781
15.35,1666276566847,3507.362523678542,-3492.012523678542
15.35,1666276580246,3503.12540578591,-3487.77540578591
15.35,1666276584654,3501.520503483274,-3486.170503483274
15.35,1666276589234,3500.192411605702,-3484.842411605702
15.35,1666276593938,3498.790532797608,-3483.4405327976083
15.34,1666276598720,3490.29023102094,-3474.95023102094
15.34,1666276604084,3482.575884324024,-3467.235884324024
15.34,1666276608864,3472.910142973605,-3457.570142973605
15.34,1666276613938,3463.7355589908043,-3448.395558990804
15.34,1666276622121,3447.3092788507556,-3431.9692788507555
15.34,1666276627339,3440.8859620630287,-3425.5459620630286
15.34,1666276632629,3434.6094166337643,-3419.269416633764
15.34,1666276638046,3428.4618502575477,-3413.1218502575475
15.34,1666276643544,3422.450378880752,-3407.110378880752
15.34,1666276649963,3417.4958801392754,-3402.1558801392753
15.34,1666276655717,3412.5322897491346,-3397.1922897491345
15.34,1666276661740,3407.2485418434744,-3391.9085418434743
15.34,1666276667612,3401.6174568252086,-3386.2774568252084
15.34,1666276673655,3396.2935746037274,-3380.9535746037272
15.34,1666276679686,3390.787292315594,-3375.447292315594
15.34,1666276685961,3384.7693760358766,-3369.4293760358764
15.35,1666276692259,3387.032896495259,-3371.6828964952592
15.35,1666276698752,3388.9370743135955,-3373.5870743135956
15.35,1666276714798,3395.4968559446206,-3380.1468559446207
15.35,1666276722999,3396.9542548865434,-3381.6042548865435
15.34,1666276730340,3389.480762394771,-3374.1407623947707
15.34,1666276740942,3376.2837612028347,-3360.9437612028346
15.34,1666276748752,3371.510303081105,-3356.170303081105
15.34,1666276766215,3353.0094163085514,-3337.6694163085513
15.34,1666276776046,3348.5771843439243,-3333.237184343924
15.34,1666276784818,3343.4677204320114,-3328.1277204320113
15.34,1666276794363,3339.47840916607,-3324.13840916607
15.34,1666276806633,3330.415471790819,-3315.075471790819
15.34,1666276816056,3325.8415241302982,-3310.501524130298
15.34,1666276825556,3321.1575645711737,-3305.8175645711735
15.34,1666276835260,3316.827942651522,-3301.4879426515217
15.33,1666276845097,3319.4732558195888,-3304.143255819589
15.33,1666276854999,3322.4155849862373,-3307.0855849862373
15.33,1666276865116,3325.2641715080576,-3309.9341715080577
15.33,1666276875340,3327.9442688556237,-3312.614268855624
15.33,1666276885787,3331.061853670071,-3315.731853670071
