mp,timeStamp,mean,skew
18.87,1663248095492,2966.852398971429,-2947.982398971429
18.87,1663248100978,2880.7540439971513,-2861.8840439971514
18.87,1663248103778,2945.552661963876,-2926.682661963876
18.87,1663248108284,2975.430750414696,-2956.560750414696
18.87,1663248109803,2997.0321183683286,-2978.1621183683287
18.87,1663248113016,3012.3539648200344,-2993.4839648200345
18.87,1663248115736,3020.470680595606,-3001.6006805956063
18.86,1663248118739,3028.302010893157,-3009.4420108931567
18.86,1663248125375,3037.7061936316777,-3018.8461936316776
18.86,1663248128232,3040.1178479956816,-3021.2578479956815
18.85,1663248149277,2990.044715485861,-2971.1947154858613
18.85,1663248152748,2981.2757546436337,-2962.425754643634
18.86,1663248156013,2975.769654019658,-2956.909654019658
18.87,1663248167660,2952.2807459949217,-2933.410745994922
18.86,1663248170488,2943.9106561740864,-2925.0506561740863
18.87,1663248176764,2931.6839663972028,-2912.813966397203
18.88,1663248182847,2910.539214567044,-2891.659214567044
18.86,1663248186193,2910.088330445212,-2891.2283304452117
18.86,1663248188738,2910.960729405019,-2892.1007294050187
18.86,1663248194886,2940.8608312011233,-2922.000831201123
18.87,1663248201135,2942.5996855913386,-2923.7296855913387
18.86,1663248204458,2948.448789390676,-2929.588789390676
18.86,1663248213552,2959.3199066548837,-2940.4599066548835
18.86,1663248222590,2970.8321081665313,-2951.972108166531
18.85,1663248226147,2995.603529422005,-2976.753529422005
18.84,1663248228737,3028.640185963874,-3009.800185963874
18.84,1663248231724,3061.866629067577,-3043.026629067577
18.83,1663248234705,3060.500877486577,-3041.670877486577
18.83,1663248238216,3061.660930701647,-3042.830930701647
18.83,1663248244144,3063.4494802895056,-3044.6194802895056
18.83,1663248247190,3063.706775011321,-3044.876775011321
18.83,1663248250375,3066.616665773803,-3047.786665773803
18.83,1663248253485,3069.351018636441,-3050.521018636441
18.84,1663248256545,3079.7556345764224,-3060.9156345764222
18.83,1663248263026,3086.0419943149136,-3067.2119943149137
18.84,1663248269514,3102.786680989221,-3083.946680989221
18.85,1663248292017,3122.3136828039824,-3103.4636828039825
18.85,1663248306001,3118.8044323168647,-3099.9544323168648
18.85,1663248311000,3117.24494433397,-3098.39494433397
18.84,1663248316993,3136.4509658397524,-3117.610965839752
18.84,1663248322813,3155.1409435803716,-3136.3009435803715
18.84,1663248328073,3174.002359322185,-3155.162359322185
18.84,1663248333456,3192.2574528109753,-3173.417452810975
18.84,1663248338877,3210.0063310946234,-3191.1663310946233
18.85,1663248347605,3224.3132714679755,-3205.4632714679756
18.85,1663248362987,3215.8113231637813,-3196.9613231637813
18.85,1663248369378,3213.8633985079,-3195.0133985079
18.85,1663248378878,3212.884413675733,-3194.034413675733
18.85,1663248385559,3211.5767624696637,-3192.7267624696638
18.84,1663248399410,3240.5722043909136,-3221.7322043909135
18.85,1663248407172,3237.7857357454855,-3218.9357357454855
18.83,1663248417955,3260.7153649566785,-3241.8853649566786
18.83,1663248429065,3286.041976716984,-3267.2119767169843
18.83,1663248437379,3297.733946573328,-3278.903946573328
18.83,1663248448804,3320.5730158871384,-3301.7430158871384
18.81,1663248460634,3333.0398056303,-3314.2298056303002
18.79,1663248476092,3325.380082833499,-3306.590082833499
18.81,1663248486016,3326.712583964664,-3307.9025839646642
18.8,1663248495627,3326.9097834237946,-3308.1097834237944
18.79,1663248508471,3322.3930049867795,-3303.6030049867795
18.79,1663248518576,3323.391095292333,-3304.601095292333
18.8,1663248528681,3324.090857280681,-3305.290857280681
18.81,1663248538954,3335.138811971111,-3316.328811971111
18.8,1663248549971,3338.389914291718,-3319.589914291718
18.81,1663248560537,3349.916581565413,-3331.106581565413
18.81,1663248574391,3371.501934345985,-3352.691934345985
18.83,1663248591907,3389.4387872707184,-3370.6087872707185
18.83,1663248605071,3395.5612723463305,-3376.7312723463306
18.82,1663248620055,3399.9943142085685,-3381.1743142085684
18.8,1663248632155,3401.0258044164566,-3382.2258044164564
18.82,1663248651542,3408.1508597007096,-3389.3308597007094
18.83,1663248664726,3408.232601926361,-3389.402601926361
18.83,1663248677751,3410.613573388861,-3391.783573388861
18.82,1663248697952,3424.6265266582973,-3405.806526658297
18.82,1663248718280,3431.783894136528,-3412.963894136528
18.82,1663248732591,3433.1911597137287,-3414.3711597137285
18.84,1663248747390,3442.451427484454,-3423.611427484454
18.85,1663248765343,3459.537072501255,-3440.687072501255
18.84,1663248780376,3471.1010094375197,-3452.2610094375195
18.84,1663248798759,3484.4210509678087,-3465.5810509678086
18.83,1663248817987,3488.2526991213817,-3469.422699121382
18.86,1663248834371,3484.7861477078886,-3465.9261477078885
18.84,1663248850664,3488.064099750342,-3469.224099750342
18.88,1663248870048,3478.9133356870175,-3460.0333356870174
18.91,1663248896557,3500.6922241634775,-3481.7822241634776
18.9,1663248918168,3504.93348417099,-3486.03348417099
18.87,1663248939550,3518.6978040183903,-3499.8278040183905
18.86,1663248958099,3516.082535807917,-3497.2225358079168
18.87,1663248986695,3517.807680691103,-3498.937680691103
18.9,1663249009903,3513.4691989911653,-3494.569198991165
18.9,1663249040161,3505.799347435867,-3486.8993474358667
18.9,1663249062673,3504.4072395720946,-3485.5072395720945
18.89,1663249087714,3516.4943339731776,-3497.6043339731777
18.89,1663249110356,3522.401052056589,-3503.511052056589
18.84,1663249132654,3522.2604008766707,-3503.4204008766706
18.82,1663249158417,3521.693459228546,-3502.873459228546
18.79,1663249184804,3519.102744124785,-3500.3127441247852
18.83,1663249211530,3512.7371205470063,-3493.9071205470063
18.86,1663249235843,3513.885911180198,-3495.025911180198
18.86,1663249263345,3503.260781217287,-3484.4007812172867
18.94,1663249287913,3497.6497007161574,-3478.7097007161574
18.96,1663249313856,3495.8458852846784,-3476.8858852846784
18.94,1663249342259,3484.451839537023,-3465.5118395370228
18.94,1663249374475,3482.6392443034388,-3463.6992443034387
18.96,1663249410990,3495.042662499789,-3476.082662499789
18.93,1663249442694,3499.5143261041353,-3480.5843261041355
18.94,1663249470566,3499.0536862027393,-3480.1136862027392
18.92,1663249502191,3506.513706044463,-3487.593706044463
18.92,1663249538722,3519.429332065544,-3500.5093320655437
18.93,1663249568908,3518.946348577156,-3500.0163485771564
18.88,1663249625643,3509.2499131766695,-3490.3699131766693
18.9,1663249658957,3512.1294529842085,-3493.2294529842084
18.89,1663249698925,3514.108152618551,-3495.218152618551
18.92,1663249733063,3516.1901790225324,-3497.2701790225324
18.95,1663249771366,3516.8775160277946,-3497.927516027795
18.99,1663249806534,3512.0765248391444,-3493.0865248391447
19.01,1663249842221,3514.580491721231,-3495.5704917212306
18.99,1663249878257,3514.4031933654037,-3495.413193365404
19,1663249914447,3513.0832679344317,-3494.0832679344317
18.97,1663249955307,3513.376309021761,-3494.406309021761
19,1663249992765,3511.187057877673,-3492.187057877673
18.99,1663250030110,3509.4712392034517,-3490.481239203452
19,1663250068092,3507.267391111135,-3488.267391111135
19,1663250106332,3505.367096731823,-3486.367096731823
19.01,1663250144764,3508.4054988708017,-3489.3954988708015
19.01,1663250183355,3507.3229115816507,-3488.3129115816505
19.01,1663250222430,3505.668814737868,-3486.658814737868
19,1663250263447,3504.990654529043,-3485.990654529043
18.99,1663250303206,3505.1564292161192,-3486.1664292161195
19,1663250343394,3504.335133347824,-3485.335133347824
19.02,1663250383796,3506.195898594732,-3487.175898594732
19.01,1663250424449,3505.043426523494,-3486.0334265234937
19.04,1663250466193,3503.555569996591,-3484.5155699965912
19.03,1663250555968,3517.332592085207,-3498.302592085207
19.03,1663250598543,3521.498283110509,-3502.4682831105088
19.02,1663250641545,3525.7404151463993,-3506.7204151463993
19.02,1663250684815,3522.6100763056534,-3503.5900763056534
19.01,1663250731734,3518.3893261184403,-3499.37932611844
19.03,1663250776139,3517.899185180179,-3498.8691851801786
19.01,1663250821845,3517.8135405078974,-3498.803540507897
19.03,1663250867210,3516.058343400854,-3497.028343400854
19.03,1663250919839,3515.267116644698,-3496.237116644698
19.04,1663250973517,3516.383542136989,-3497.343542136989
19.02,1663251020304,3516.154512813726,-3497.134512813726
19.02,1663251067433,3515.4561208632863,-3496.4361208632863
19.01,1663251115590,3515.536586509468,-3496.526586509468
19,1663251163265,3516.4139614343467,-3497.4139614343467
19.01,1663251211745,3516.249777056232,-3497.2397770562316
18.99,1663251267717,3516.7245658176594,-3497.7345658176596
19.01,1663251317183,3515.607924257082,-3496.5979242570816
19.01,1663251377583,3514.2691683332364,-3495.259168333236
19.03,1663251429253,3518.028966752454,-3498.9989667524537
19.03,1663251482023,3519.921917441996,-3500.8919174419957
19.04,1663251534598,3521.42342551792,-3502.38342551792
19.03,1663251587417,3524.172194228233,-3505.1421942282327
19.04,1663251640711,3527.0713528775773,-3508.0313528775773
19.03,1663251694922,3530.448735924217,-3511.418735924217
18.97,1663251750000,3529.7528233376697,-3510.78282333767
18.93,1663251804411,3527.6078679078905,-3508.6778679078907
18.92,1663251866049,3529.1053018366993,-3510.185301836699
18.91,1663251928825,3541.9790768748794,-3523.0690768748796
18.9,1663251989467,3550.6045309344377,-3531.7045309344376
18.89,1663252047160,3548.9639251796852,-3530.0739251796854
18.85,1663252105809,3547.016862680991,-3528.166862680991
