bc,ac,tbv,tav,time,mp,minBid
5063498.81,215513333.26,681650.24,309738.81,1664513255966,17.35,17.28
5045131.04,215505390.11,680588.52,309281.66,1664513259120,17.35,17.28
5045131.37,215505390.11,680588.54,309281.66,1664513261710,17.35,17.28
5041156.91,215505390.01,680359.07,309281.66,1664513264815,17.35,17.28
5045142.50,215505390.01,680589.32,309281.66,1664513267580,17.35,17.28
5072663.10,215507510.53,682178.04,309403.48,1664513270585,17.35,17.28
5075268.32,215509018.73,682328.45,309490.41,1664513274216,17.35,17.28
5075262.17,215507770.51,682328.20,309418.49,1664513276539,17.35,17.28
5064924.27,215516321.16,681732.01,309910.47,1664513279572,17.35,17.28
5064924.65,215516323.61,681732.03,309910.65,1664513282630,17.35,17.28
5064924.65,215518057.96,681732.03,310010.61,1664513285727,17.35,17.28
5045955.72,215510949.55,680635.64,309600.73,1664513289068,17.35,17.28
5045955.72,215510952.73,680635.64,309600.73,1664513291576,17.35,17.28
5047272.39,215510692.48,680711.91,309585.73,1664513294650,17.35,17.28
5043227.11,215510952.83,680478.62,309600.73,1664513297490,17.35,17.28
5061893.07,215518730.72,681557.54,310048.34,1664513300518,17.35,17.28
5061892.64,215518730.72,681557.51,310048.34,1664513303516,17.35,17.28
5063406.19,215518528.72,681644.36,310036.81,1664513306621,17.35,17.28
5063406.54,215518528.72,681644.38,310036.81,1664513309590,17.35,17.28
5063146.11,215518528.72,681629.36,310036.81,1664513312550,17.35,17.28
5063406.05,215518528.72,681644.35,310036.81,1664513315638,17.35,17.28
5063409.61,215518532.28,681644.35,310036.81,1664513318628,17.35,17.28
5063409.09,215518532.17,681644.32,310036.82,1664513321441,17.35,17.28
5063258.03,215518380.83,681635.61,310028.10,1664513324505,17.35,17.28
5058537.03,215518641.08,681363.37,310043.10,1664513328284,17.35,17.28
5041105.95,215510808.72,680356.24,309592.19,1664513330564,17.35,17.28
5041105.95,215510808.72,680356.24,309592.19,1664513333545,17.35,17.28
5041106.12,215518300.21,680356.25,310023.48,1664513336524,17.35,17.28
5059512.57,215518642.13,681419.60,310043.10,1664513339693,17.35,17.28
5059512.41,215518642.13,681419.59,310043.10,1664513342707,17.35,17.28
5062651.49,215518793.48,681600.62,310051.82,1664513345621,17.35,17.28
5062651.49,215518793.48,681600.62,310051.82,1664513348553,17.35,17.28
5062651.54,215518792.42,681600.62,310051.82,1664513351696,17.35,17.28
5061964.40,215519718.47,681559.89,310105.14,1664513354677,17.35,17.28
5061964.31,215519718.47,681559.89,310105.14,1664513357525,17.35,17.28
5061964.31,215509413.01,681559.89,309512.54,1664513360578,17.35,17.28
5073879.75,215519458.22,682247.05,310090.14,1664513363881,17.35,17.28
5061964.23,215515669.11,681559.88,309871.03,1664513366629,17.35,17.28
5045379.00,215530364.76,680606.58,310720.25,1664513370207,17.35,17.27
5050032.53,215524548.22,680878.15,310386.91,1664513373958,17.34,17.27
5045433.93,215524527.83,680612.64,310385.74,1664513376744,17.34,17.27
5049990.35,215522502.23,680875.71,310268.91,1664513379838,17.34,17.27
5046190.06,215522430.52,680667.67,310264.91,1664513382842,17.34,17.27
5046179.84,215522430.52,680667.67,310264.91,1664513386082,17.34,17.27
5049228.63,215505254.17,680842.98,309274.41,1664513389037,17.34,17.27
5050856.04,215509515.37,680936.26,309519.90,1664513392202,17.34,17.27
5050858.79,215509515.37,680936.25,309519.90,1664513395400,17.34,17.27
5032452.11,215501683.01,679872.90,309068.99,1664513398664,17.34,17.27
5032452.10,215502210.69,679872.90,309099.48,1664513401628,17.34,17.27
5032452.97,215502210.69,679872.95,309099.48,1664513404822,17.34,17.27
5032452.97,215501950.44,679872.95,309084.48,1664513407705,17.34,17.27
5048830.98,215509342.16,680818.83,309509.95,1664513411452,17.34,17.27
5056231.17,215495743.16,681244.36,308722.92,1664513414446,17.35,17.27
5060492.84,215495063.62,681489.85,308683.96,1664513418443,17.35,17.27
5062259.06,215494877.53,681591.78,308672.57,1664513422459,17.35,17.27
5069324.41,215481625.96,681986.90,307904.15,1664513426662,17.36,17.27
5040882.77,215499354.90,680335.06,308925.38,1664513430931,17.36,17.27
5043384.36,215505072.98,680479.49,309254.79,1664513435227,17.36,17.27
5059837.32,215518040.77,681432.69,310004.23,1664513439756,17.35,17.27
5049851.02,215522396.11,680859.30,310258.39,1664513444359,17.35,17.27
5045253.69,215522430.35,680593.87,310260.37,1664513447424,17.35,17.27
5051724.60,215503096.49,680969.72,309148.81,1664513453336,17.34,17.27
5048138.58,215495057.86,680761.70,308689.93,1664513458399,17.34,17.27
5048026.48,215495158.79,680755.23,308696.40,1664513463595,17.34,17.27
5047872.03,215492770.46,680746.30,308558.46,1664513468713,17.34,17.27
5046339.72,215496767.20,680657.87,308788.79,1664513474262,17.34,17.27
5018053.52,215484135.35,679023.82,308062.35,1664513479586,17.34,17.27
5017945.91,215483116.61,679017.69,308003.60,1664513485633,17.34,17.27
5038958.47,215499596.27,680231.52,308949.07,1664513491708,17.34,17.27
5012467.11,215506351.22,678706.05,309352.19,1664513497808,17.34,17.27
5023732.44,215528076.69,679365.14,310601.94,1664513503437,17.33,17.26
5042585.26,215530555.62,680474.44,310747.22,1664513509158,17.33,17.26
5041491.95,215521719.96,680411.66,310254.61,1664513514959,17.33,17.26
5041854.75,215520220.47,680431.28,310162.97,1664513520849,17.33,17.26
5043534.34,215520970.58,680528.41,310206.21,1664513526891,17.33,17.26
5044453.72,215528681.17,680585.41,310651.17,1664513533036,17.33,17.26
5018824.36,215520597.16,679103.76,310185.38,1664513539184,17.33,17.26
5018836.03,215520855.21,679104.52,310200.39,1664513545518,17.33,17.26
5019078.76,215520592.15,679118.45,310185.23,1664513548365,17.33,17.26
5042086.30,215528415.65,680448.83,310636.15,1664513551456,17.33,17.26
5037225.41,215528675.60,680168.02,310651.15,1664513558205,17.33,17.26
5036416.37,215528675.60,680120.05,310651.15,1664513565182,17.33,17.26
5036416.37,215528675.60,680120.05,310651.15,1664513572193,17.33,17.26
5036678.39,215528513.14,680135.05,310642.94,1664513581027,17.33,17.26
5064056.65,215497015.60,681716.03,308824.86,1664513589005,17.33,17.26
5049643.83,215494570.15,680882.13,308684.51,1664513596383,17.33,17.26
5068050.32,215502629.23,681946.70,309149.03,1664513604041,17.33,17.26
5067933.79,215505288.95,681939.87,309305.47,1664513611672,17.33,17.26
5033073.94,215530425.22,679940.66,310757.34,1664513619272,17.33,17.26
5040050.43,215527494.77,680380.71,310590.56,1664513627497,17.33,17.26
5044164.10,215525843.62,680617.86,310494.67,1664513635346,17.33,17.26
5022646.09,215519696.47,679373.84,310137.75,1664513644575,17.33,17.26
5040659.69,215528091.20,680414.09,310622.42,1664513652621,17.33,17.26
5040708.66,215527831.25,680416.88,310607.42,1664513661947,17.33,17.26
5040622.27,215528083.58,680411.93,310622.42,1664513671232,17.33,17.26
5074846.51,215507256.72,682387.71,309421.03,1664513681407,17.33,17.26
5075131.99,215511947.34,682404.70,309691.54,1664513683890,17.33,17.26
5052286.23,215495678.68,681083.77,308753.96,1664513692475,17.33,17.26
5058049.79,215516253.76,681418.92,309939.45,1664513701258,17.34,17.26
5041180.25,215498004.18,680441.48,308887.06,1664513710166,17.34,17.26
5059828.79,215486720.92,681520.23,308247.85,1664513719279,17.34,17.26
5054809.13,215486795.93,681231.40,308253.45,1664513728456,17.33,17.26
5036402.70,215483346.65,680166.83,308054.81,1664513731485,17.33,17.26
5063953.94,215492727.02,681759.41,308597.25,1664513741016,17.33,17.26
5058564.95,215488680.90,681447.81,308364.28,1664513743951,17.33,17.26
5034064.03,215493991.15,680035.15,308673.30,1664513753947,17.33,17.26
5037234.79,215493991.15,680219.12,308673.30,1664513756938,17.33,17.26
5041839.38,215500586.57,680485.56,309053.05,1664513767197,17.33,17.26
5042441.91,215498370.90,680520.31,308934.86,1664513777806,17.33,17.26
5042441.91,215498370.90,680520.31,308934.86,1664513780737,17.33,17.26
5042441.91,215502532.44,680520.31,309174.86,1664513783738,17.33,17.26
5042441.91,215488903.45,680520.31,308389.78,1664513786660,17.33,17.26
5024035.46,215494709.10,679455.74,308723.95,1664513789747,17.33,17.26
5042441.26,215502704.15,680520.27,309184.76,1664513801525,17.33,17.26
5045216.78,215501672.21,680680.62,309126.34,1664513813486,17.33,17.26
5044855.41,215499602.89,680659.58,309005.06,1664513825688,17.33,17.26
5044217.82,215499714.36,680622.39,309012.09,1664513838060,17.33,17.26
5044217.82,215499714.36,680622.39,309012.09,1664513841206,17.33,17.26
5059109.85,215468274.54,681482.09,307196.92,1664513844136,17.34,17.26
5045142.14,215477525.20,680674.35,307729.18,1664513847073,17.33,17.26
5044502.59,215503935.10,680638.20,309252.47,1664513850003,17.33,17.26
5046643.02,215503333.32,680762.14,309218.01,1664513863660,17.33,17.26
5046902.82,215502730.50,680777.14,309184.01,1664513866881,17.33,17.26
5051258.52,215502810.13,681028.87,309190.05,1664513881082,17.33,17.26
5044610.07,215502781.08,680644.49,309191.87,1664513895403,17.33,17.26
5044804.09,215481286.88,680661.40,307957.52,1664513898410,17.33,17.25
5051416.01,215500244.63,681044.01,309050.92,1664513901368,17.33,17.25
5060566.64,215493083.16,681571.21,308637.23,1664513916544,17.33,17.25
5060668.57,215485147.23,681577.05,308178.65,1664513931748,17.33,17.25
5060668.57,215485147.23,681577.05,308178.65,1664513934793,17.33,17.25
5060668.57,215485147.06,681577.05,308178.65,1664513937807,17.33,17.25
5062880.79,215496301.69,681707.10,308822.43,1664513953903,17.32,17.25
5045383.44,215481139.51,680693.99,307947.99,1664513970190,17.32,17.25
5059254.08,215495008.68,681495.58,308747.09,1664513986644,17.33,17.25
5035652.00,215498768.18,680129.59,308957.76,1664514002972,17.33,17.25
5055183.07,215508678.12,681259.50,309530.54,1664514019849,17.33,17.25
5061516.89,215496454.46,681626.52,308824.67,1664514036920,17.33,17.25
5061516.89,215496454.46,681626.52,308824.67,1664514040005,17.33,17.25
5061686.11,215496194.51,681635.69,308809.67,1664514043003,17.33,17.25
5061947.82,215496213.21,681650.69,308810.49,1664514045942,17.33,17.25
5045300.00,215483325.48,680687.59,308066.97,1664514064761,17.33,17.25
5070012.16,215491523.50,682117.46,308537.37,1664514083326,17.33,17.25
5073961.65,215494472.48,682337.93,308702.24,1664514102011,17.34,17.25
5073961.65,215501904.21,682337.93,309130.59,1664514104985,17.34,17.25
5073961.77,215494444.60,682337.94,308700.63,1664514108020,17.34,17.25
5073961.77,215494314.75,682337.94,308693.16,1664514110987,17.34,17.25
5065249.62,215510784.32,681834.50,309642.88,1664514131607,17.34,17.25
5060913.64,215500706.08,681580.37,309063.66,1664514151785,17.34,17.25
5055081.60,215498664.59,681243.73,308946.34,1664514155359,17.34,17.25
5058437.24,215497213.83,681437.81,308862.91,1664514157811,17.34,17.25
5074566.63,215490590.37,682368.32,308478.82,1664514181953,17.34,17.25
5070629.48,215494521.64,682140.38,308703.35,1664514203386,17.34,17.25
5042950.09,215508611.96,680530.04,309507.88,1664514224923,17.33,17.25
5038346.09,215508111.93,680265.34,309481.13,1664514228011,17.33,17.25
5037056.79,215511215.52,680196.27,309666.19,1664514250037,17.32,17.25
5018250.70,215512995.67,679108.18,309776.71,1664514272225,17.32,17.25
