bc,ac,tbv,tav,time,mp,minBid
4523440.12,1228841030.34,616643.50,259631.39,1661264246502,23.3,23.21
4539217.28,1228856410.71,617323.98,260291.87,1661264249567,23.3,23.21
4532929.62,1228867976.97,617056.87,260791.55,1661264251797,23.29,23.2
4545311.00,1228860632.98,617589.40,260475.87,1661264255509,23.29,23.2
4506942.96,1228851119.35,615941.64,260068.57,1661264257964,23.29,23.19
4543981.36,1228865768.33,617536.70,260697.58,1661264260984,23.29,23.19
4528190.28,1228861641.40,616882.76,260522.98,1661264264262,23.28,23.18
4462035.99,1228817894.35,614085.61,258611.79,1661264266918,23.29,23.18
4512461.47,1228841660.84,616269.84,259631.45,1661264269912,23.29,23.18
4496374.66,1228849145.44,615624.88,259881.38,1661264272836,23.3,23.18
4472541.74,1228851250.36,614607.07,259977.17,1661264275713,23.27,23.18
4476900.23,1228852845.42,614791.41,260043.64,1661264278774,23.28,23.18
4496381.35,1228849535.66,615630.53,259904.81,1661264282507,23.29,23.18
4492002.65,1228845402.54,615441.65,259726.85,1661264284891,23.29,23.18
4482890.18,1228862579.18,615050.17,260464.44,1661264288060,23.28,23.18
4498424.03,1228853286.10,615718.09,260065.97,1661264290952,23.28,23.18
4498721.01,1228851155.14,615729.38,259974.23,1661264293776,23.29,23.18
4477547.10,1228877919.51,614822.44,261123.43,1661264296908,23.27,23.18
4491365.84,1228870191.29,615418.41,260793.10,1661264300046,23.27,23.18
4503286.09,1228823844.73,615931.21,258865.48,1661264302899,23.27,23.18
4490356.99,1228821406.49,615374.58,258760.60,1661264306052,23.27,23.18
4495783.32,1228811557.64,615604.79,258336.03,1661264308861,23.28,23.18
4522253.88,1228799534.72,616742.06,257819.15,1661264311790,23.29,23.18
4517204.83,1228813836.06,616524.96,258432.78,1661264314888,23.29,23.18
4522290.69,1228806539.06,616729.34,258120.17,1661264317888,23.3,23.18
4514386.58,1228802919.30,616385.70,257964.81,1661264320973,23.3,23.18
4543619.01,1228790208.50,617633.30,257413.15,1661264323822,23.32,23.18
4529768.27,1228798807.80,617038.74,257781.14,1661264326911,23.32,23.18
4540107.80,1228809408.18,617482.30,258235.60,1661264329908,23.31,23.18
4511770.65,1228770674.66,616260.06,256575.25,1661264333094,23.34,23.18
4536175.23,1228796383.45,617307.56,257675.63,1661264335895,23.33,23.18
4537211.50,1228794518.18,617351.99,257595.63,1661264338971,23.34,23.18
4538524.20,1228820365.28,617302.47,258743.36,1661264341929,23.33,23.18
4524543.46,1228817195.72,616704.00,258608.04,1661264344839,23.33,23.18
4547595.53,1228814887.45,617692.92,258513.02,1661264347997,23.33,23.18
4539994.65,1228817125.80,617363.56,258608.96,1661264350975,23.33,23.18
4502608.25,1228824804.35,615757.70,258939.18,1661264353895,23.32,23.18
4536605.95,1228796760.10,617218.78,257737.72,1661264356837,23.32,23.18
4548003.02,1228810203.53,617707.21,258312.82,1661264359984,23.33,23.18
4551846.54,1228809831.28,617872.29,258296.86,1661264363030,23.33,23.18
4532390.35,1228804787.80,617031.20,258079.62,1661264366129,23.34,23.18
4538197.51,1228810734.16,617282.12,258334.37,1661264369351,23.34,23.18
4499840.20,1228738042.66,615622.07,255211.33,1661264371868,23.35,23.18
4564445.54,1228783701.53,618395.66,257151.10,1661264374943,23.36,23.18
4540917.98,1228849349.90,617382.72,259818.82,1661264378040,23.37,23.18
4568109.57,1228847610.68,618548.43,259743.67,1661264380953,23.37,23.18
4561728.01,1228827655.24,618225.46,258908.40,1661264383835,23.37,23.18
4533819.63,1228819436.01,617021.86,258495.93,1661264386880,23.39,23.18
4544490.15,1228833124.01,617495.44,259080.15,1661264390057,23.39,23.18
4544998.86,1228838450.72,617503.54,259321.29,1661264393012,23.38,23.18
4557631.86,1228847313.25,618044.40,259701.01,1661264395894,23.38,23.18
4558116.15,1228847591.62,618065.31,259712.98,1661264398808,23.37,23.18
4552920.98,1228850955.74,617841.46,259856.03,1661264401873,23.38,23.18
4536445.80,1228859536.45,617113.64,260223.16,1661264404928,23.37,23.18
4562509.30,1228807544.30,618210.10,257999.69,1661264407963,23.38,23.18
4540476.46,1228831701.68,617269.94,259032.49,1661264410865,23.38,23.18
4535045.70,1228849446.14,617036.60,259791.10,1661264413917,23.38,23.18
4538206.72,1228844737.97,617173.36,259590.28,1661264417038,23.38,23.18
4529994.80,1228849968.48,616822.13,259814.11,1661264419865,23.37,23.18
4553882.41,1228857724.46,617848.59,260147.20,1661264422975,23.37,23.18
4540018.23,1228852646.78,617251.91,259930.02,1661264425891,23.37,23.18
4550570.89,1228853185.56,617702.88,259952.92,1661264428846,23.37,23.18
4555939.17,1228859986.33,617926.69,260228.76,1661264431936,23.39,23.18
4567010.56,1228834976.58,618397.68,259168.37,1661264434885,23.4,23.18
4552150.65,1228821597.41,617755.62,258594.84,1661264438000,23.4,23.18
4569712.90,1228833914.43,618507.86,259118.76,1661264440849,23.4,23.18
4574491.46,1228829098.34,618711.87,258898.02,1661264443913,23.4,23.18
4546762.09,1228817024.75,617523.70,258380.36,1661264446867,23.41,23.18
4548571.02,1228829254.62,617598.53,258901.06,1661264449956,23.41,23.18
4549821.91,1228819401.27,617652.79,258480.68,1661264453060,23.41,23.18
4399823.36,1228837840.41,611226.39,259268.03,1661264456271,23.4,23.18
4561527.41,1228837640.07,618149.13,259260.17,1661264459649,23.4,23.18
4540899.14,1228829155.24,617263.55,258908.90,1661264462974,23.41,23.18
4528660.84,1228824831.89,616744.38,258725.28,1661264466312,23.4,23.18
4530402.59,1228839892.09,616816.82,259367.10,1661264470266,23.41,23.18
4540880.71,1228822318.18,617261.13,258615.18,1661264473734,23.41,23.18
4539891.01,1228815873.50,617213.89,258335.51,1661264477320,23.42,23.18
4533969.43,1228835187.46,616958.64,259151.26,1661264481724,23.43,23.18
4546607.14,1228848623.71,617500.25,259724.41,1661264485394,23.43,23.18
4533558.76,1228847099.70,616942.72,259659.79,1661264489055,23.43,23.18
4529833.38,1228857582.47,616782.84,260107.14,1661264492855,23.43,23.18
4511984.68,1228841735.76,616021.98,259424.98,1661264496735,23.42,23.18
4521118.25,1228853441.50,616410.83,259922.07,1661264501276,23.42,23.18
4530295.58,1228845593.09,616802.98,259590.94,1661264505242,23.41,23.18
4522545.77,1228844307.89,616471.18,259536.04,1661264508443,23.41,23.18
4513282.50,1228854794.90,616079.48,259988.00,1661264511342,23.41,23.18
4501363.28,1228857978.50,615571.00,260125.16,1661264515591,23.4,23.18
4528511.20,1228830637.15,616727.71,258955.33,1661264520488,23.42,23.18
4527125.94,1228825304.03,616666.85,258723.75,1661264524834,23.42,23.18
4550576.66,1228844609.36,617666.14,259540.99,1661264529362,23.43,23.18
