mp,timeStamp,mean,skew
23.3,1661264246510,5005.948668492062,-4982.648668492062
23.29,1661264251813,4985.17319806616,-4961.88319806616
23.29,1661264257990,5493.548176942771,-5470.258176942771
23.29,1661264261017,5379.418595329191,-5356.128595329191
23.29,1661264266971,5349.488068730775,-5326.198068730775
23.29,1661264269969,5114.485283513756,-5091.195283513756
23.3,1661264272899,4853.584411519887,-4830.284411519887
23.28,1661264278848,4511.701094750846,-4488.421094750846
23.28,1661264288173,4128.190222009634,-4104.910222009635
23.28,1661264291089,4036.1967864310905,-4012.9167864310903
23.29,1661264293909,3931.89747187766,-3908.60747187766
23.27,1661264297046,3864.119534788243,-3840.849534788243
23.27,1661264300193,3797.715777983099,-3774.445777983099
23.27,1661264306238,3673.5195196290724,-3650.2495196290724
23.28,1661264309053,3616.6231840554447,-3593.3431840554445
23.29,1661264312017,3563.4644058766244,-3540.1744058766244
23.29,1661264315096,3513.9025912266807,-3490.6125912266807
23.3,1661264318111,3481.097213357819,-3457.7972133578187
23.32,1661264324090,3410.282454916164,-3386.962454916164
23.31,1661264330214,3361.2058565809716,-3337.8958565809717
23.34,1661264333419,3327.4873361919977,-3304.1473361919975
23.33,1661264336246,3293.1746256576284,-3269.8446256576285
23.34,1661264339355,3259.6541107905146,-3236.3141107905144
23.33,1661264342341,3272.6142119961783,-3249.2842119961783
23.32,1661264357440,3358.1865014053715,-3334.8665014053713
23.33,1661264360626,3376.804213558869,-3353.474213558869
23.34,1661264366872,3403.2381206430264,-3379.8981206430262
23.34,1661264370128,3417.5761357858946,-3394.2361357858945
23.35,1661264372690,3406.9114260258702,-3383.5614260258703
23.36,1661264375822,3391.2797284267695,-3367.9197284267693
23.37,1661264378967,3372.8038969430663,-3349.4338969430664
23.37,1661264381927,3357.131707386155,-3333.761707386155
23.37,1661264385036,3366.490002180074,-3343.120002180074
23.39,1661264387959,3351.98310462431,-3328.59310462431
23.39,1661264391187,3325.373979164866,-3301.983979164866
23.38,1661264394198,3323.443397469378,-3300.063397469378
23.38,1661264397333,3324.017721964559,-3300.6377219645588
23.37,1661264400112,3322.8516733641577,-3299.481673364158
23.38,1661264403242,3323.3317346886133,-3299.951734688613
23.37,1661264406368,3319.78506340106,-3296.4150634010603
23.38,1661264409467,3318.060592046294,-3294.680592046294
23.38,1661264412684,3318.001391345193,-3294.621391345193
23.38,1661264415556,3317.38737778732,-3294.00737778732
23.38,1661264418736,3320.1664030624042,-3296.786403062404
23.37,1661264421910,3320.9034753722817,-3297.533475372282
23.37,1661264424807,3321.375605398063,-3298.005605398063
23.37,1661264427804,3319.541964613345,-3296.171964613345
23.37,1661264430842,3317.6150041328615,-3294.2450041328616
