mp,timeStamp,mean,skew
13.53,1670348205581,3200.984948387096,-3187.454948387096
13.53,1670348208887,3158.49664621795,-3144.96664621795
13.53,1670348211511,3166.0339432327582,-3152.503943232758
13.53,1670348214597,3179.4008088492697,-3165.8708088492695
13.53,1670348220676,3189.1629867100974,-3175.632986710097
13.53,1670348238679,3052.1544804203036,-3038.6244804203034
13.53,1670348250891,2942.8399247571992,-2929.309924757199
13.53,1670348256851,2919.0010045628183,-2905.471004562818
13.52,1670348262934,2957.797811905229,-2944.277811905229
13.53,1670348268824,2988.77153940945,-2975.2415394094496
13.53,1670348272528,2978.8701784539826,-2965.3401784539824
13.53,1670348274908,2969.008045957433,-2955.4780459574326
13.53,1670348280996,2945.6729916204363,-2932.142991620436
13.52,1670348286987,2963.0492957967763,-2949.5292957967763
13.52,1670348290145,2991.1785811530403,-2977.6585811530404
13.53,1670348311577,2921.056777606253,-2907.526777606253
13.54,1670348314539,2926.3680708885886,-2912.8280708885886
13.54,1670348320588,2936.4152225356847,-2922.8752225356848
13.54,1670348323627,2941.2464744848235,-2927.7064744848235
13.54,1670348326834,2946.6825492440207,-2933.1425492440208
13.55,1670348332826,2937.357139961845,-2923.8071399618448
13.55,1670348335878,2931.906870192222,-2918.356870192222
13.55,1670348348173,2925.7490860575444,-2912.1990860575443
13.55,1670348357350,2926.1650865570077,-2912.6150865570075
13.55,1670348366693,2926.4015402846685,-2912.8515402846683
13.55,1670348369714,2934.3920069644078,-2920.8420069644076
13.55,1670348375831,2933.9059925238694,-2920.355992523869
13.55,1670348388401,2931.226491654443,-2917.676491654443
13.55,1670348391480,2930.316311071669,-2916.766311071669
13.55,1670348397872,2927.3406542508574,-2913.790654250857
13.55,1670348413682,2948.732470453285,-2935.1824704532846
13.55,1670348417454,2950.477454717669,-2936.9274547176688
13.55,1670348421441,2952.1305105235188,-2938.5805105235186
13.55,1670348425485,2954.145562437324,-2940.5955624373237
13.55,1670348429592,2957.6082075881877,-2944.0582075881875
13.55,1670348434126,2961.921963871516,-2948.3719638715156
13.55,1670348438612,2966.0541171098553,-2952.504117109855
13.55,1670348443092,2970.0350600490274,-2956.485060049027
13.55,1670348448200,2973.2640434223435,-2959.7140434223434
13.56,1670348468660,2999.2969852081087,-2985.7369852081088
13.56,1670348477463,3005.8358995989433,-2992.2758995989434
13.56,1670348483138,3008.540550301672,-2994.980550301672
13.56,1670348488920,3011.4157863392957,-2997.8557863392957
13.56,1670348494742,3014.0678367949818,-3000.507836794982
13.56,1670348500669,3016.8257505334773,-3003.2657505334773
13.56,1670348507122,3019.6901746353783,-3006.1301746353784
13.56,1670348516479,3033.787910507736,-3020.227910507736
13.56,1670348523052,3036.70403835028,-3023.14403835028
13.56,1670348565079,3063.8534374203305,-3050.2934374203305
13.56,1670348585359,3071.25368246471,-3057.69368246471
13.55,1670348594932,3073.4921999085686,-3059.9421999085685
13.55,1670348604684,3075.485286006957,-3061.9352860069566
13.54,1670348617610,3081.1307481698977,-3067.590748169898
13.53,1670348627529,3080.1863552898762,-3066.656355289876
13.53,1670348637554,3078.311321793571,-3064.781321793571
13.53,1670348654182,3072.0421433718116,-3058.5121433718114
13.53,1670348677735,3062.646781280545,-3049.1167812805447
13.54,1670348689482,3064.810209497842,-3051.270209497842
13.54,1670348701339,3066.560048387321,-3053.020048387321
13.54,1670348716634,3068.992767094453,-3055.452767094453
13.54,1670348732235,3071.606059411773,-3058.066059411773
13.54,1670348748389,3074.9097772254886,-3061.3697772254886
