bc,ac,tbv,tav,time,mp,minBid
2221944.84,11677454.32,443481.94,261685.97,1671563580003,11.92,11.87
2215479.46,11673796.39,442939.20,261380.44,1671563582544,11.92,11.87
2215479.46,11673796.39,442939.20,261380.44,1671563585584,11.92,11.87
2221178.23,11673911.24,443415.00,261386.46,1671563588617,11.93,11.87
2221178.23,11673185.78,443415.00,261326.80,1671563591571,11.93,11.87
2221764.91,11673593.00,443464.39,261360.39,1671563594601,11.93,11.87
2216755.55,11668339.80,443044.45,260920.88,1671563597510,11.93,11.87
2216999.64,11668925.39,443065.12,260970.01,1671563600604,11.93,11.87
2217012.01,11668925.39,443065.12,260970.01,1671563603483,11.93,11.87
2217012.01,11668925.39,443065.12,260970.01,1671563606997,11.93,11.87
2216883.73,11668925.31,443054.36,260970.00,1671563609508,11.93,11.87
2218641.55,11668328.31,443203.97,260920.00,1671563612699,11.93,11.87
2218542.36,11668419.05,443195.64,260927.60,1671563615568,11.93,11.87
2217442.26,11667667.17,443102.83,260864.70,1671563618613,11.93,11.87
2218541.52,11668419.01,443195.38,260927.60,1671563621531,11.93,11.87
2218541.52,11671802.31,443195.38,261203.76,1671563624535,11.93,11.87
2218541.52,11671802.31,443195.38,261203.76,1671563627656,11.93,11.87
2218120.39,11672518.31,443160.20,261263.14,1671563630645,11.93,11.87
2218120.39,11672492.07,443160.20,261260.94,1671563633581,11.93,11.87
2217930.22,11676525.13,443144.24,261598.44,1671563636560,11.93,11.87
2217930.20,11676525.12,443144.24,261598.44,1671563639621,11.93,11.87
2215848.34,11676030.91,442967.12,261558.46,1671563642619,11.93,11.87
2212912.52,11669433.92,442721.57,261009.12,1671563645895,11.92,11.87
2214921.84,11669802.06,442890.18,261040.26,1671563648547,11.92,11.87
2215980.82,11675147.48,442979.43,261488.29,1671563651643,11.92,11.87
2215925.55,11675147.48,442974.79,261488.29,1671563654521,11.92,11.87
2215925.55,11675743.98,442974.79,261538.29,1671563657643,11.92,11.87
2214826.55,11674394.62,442882.24,261425.40,1671563660694,11.92,11.87
2215963.23,11677508.96,442978.12,261687.38,1671563663671,11.92,11.87
2207108.08,11672821.96,442232.85,261294.87,1671563666540,11.92,11.87
2212012.20,11672822.00,442646.94,261294.88,1671563669590,11.92,11.87
2212051.50,11676821.82,442650.24,261630.15,1671563672574,11.92,11.87
2220729.48,11672727.72,443378.66,261285.45,1671563675561,11.92,11.87
2220897.41,11672895.12,443392.70,261299.43,1671563678557,11.92,11.87
2227564.17,11673581.28,443952.15,261356.17,1671563681597,11.93,11.87
2231877.42,11661045.84,444310.55,260305.51,1671563684581,11.93,11.87
2231877.42,11661047.42,444310.55,260305.51,1671563687668,11.93,11.87
2232332.19,11661682.74,444348.75,260358.50,1671563690550,11.93,11.87
2232820.65,11665789.16,444390.03,260700.48,1671563693579,11.93,11.87
2219763.92,11665472.80,443294.53,260675.10,1671563696554,11.93,11.87
2223679.33,11674214.07,443623.34,261407.88,1671563699554,11.93,11.87
2228466.71,11675124.63,444026.19,261484.85,1671563702778,11.93,11.87
2228625.46,11676308.74,444039.69,261584.30,1671563705666,11.93,11.87
2227517.78,11675544.99,443946.42,261520.40,1671563708625,11.93,11.87
2228018.87,11676296.89,443988.97,261583.31,1671563711739,11.93,11.87
2227971.83,11676270.96,443984.88,261581.11,1671563714554,11.93,11.87
2227971.83,11676271.59,443984.88,261581.11,1671563717665,11.93,11.87
2227981.31,11676270.61,443985.50,261581.10,1671563721202,11.93,11.87
2227981.31,11676270.61,443985.50,261581.10,1671563724482,11.93,11.87
2227981.31,11676270.61,443985.50,261581.10,1671563727651,11.93,11.87
2227981.12,11676270.59,443985.50,261581.10,1671563731070,11.93,11.87
2227842.56,11676893.83,443974.06,261633.30,1671563734567,11.93,11.87
2205899.08,11671377.07,442133.52,261176.31,1671563738148,11.92,11.87
2207264.36,11672455.01,442248.04,261267.58,1671563741946,11.92,11.87
2213455.15,11671598.66,442767.40,261194.10,1671563745624,11.92,11.87
2212329.51,11664454.88,442673.14,260595.32,1671563748659,11.92,11.87
2212326.47,11671502.18,442673.46,261187.90,1671563752582,11.92,11.87
2219652.12,11671722.08,443296.59,261217.89,1671563756615,11.92,11.87
2219652.28,11681629.15,443296.60,262050.17,1671563760955,11.92,11.87
2229079.12,11685060.50,444087.16,262336.59,1671563765184,11.92,11.87
2222876.16,11677978.51,443567.84,261743.72,1671563769677,11.92,11.87
2176441.51,11622143.58,439674.70,257091.46,1671563774280,11.91,11.86
2215565.07,11685006.39,442974.15,262347.94,1671563778852,11.91,11.86
2212842.52,11681882.26,442745.14,262086.89,1671563784005,11.91,11.86
2212845.54,11681891.10,442745.14,262087.38,1671563787020,11.91,11.86
2209096.44,11681891.42,442429.63,262087.41,1671563792105,11.91,11.86
2212849.70,11681891.42,442744.95,262087.41,1671563795098,11.91,11.86
2211752.47,11681138.79,442652.31,262024.45,1671563797984,11.91,11.86
2204910.06,11681890.76,442078.12,262087.42,1671563801064,11.91,11.86
2216311.56,11678399.90,443035.97,261793.71,1671563804072,11.91,11.86
2216311.56,11675879.62,443035.97,261585.22,1671563806970,11.91,11.86
2216350.92,11679475.95,443039.28,261884.70,1671563812992,11.91,11.86
2220324.58,11683321.98,443373.62,262206.88,1671563816023,11.91,11.86
2211083.29,11674332.93,442592.68,261454.30,1671563822800,11.91,11.86
2213141.14,11675308.61,442769.91,261535.44,1671563825385,11.91,11.86
2214433.49,11679302.26,442878.84,261870.84,1671563832930,11.91,11.86
2209334.14,11678549.97,442450.35,261807.85,1671563839799,11.91,11.86
2219917.48,11672256.72,443352.47,261294.32,1671563846680,11.91,11.86
2220754.06,11678295.46,443413.39,261796.58,1671563853668,11.92,11.86
2215691.62,11678958.31,442988.51,261852.98,1671563860696,11.92,11.86
2214906.20,11678568.25,442922.74,261832.33,1671563867891,11.92,11.86
2214416.32,11675967.93,442882.01,261614.23,1671563875135,11.92,11.86
2213376.47,11675215.98,442794.19,261551.27,1671563878180,11.92,11.86
2217454.81,11682524.66,443136.53,262163.76,1671563881120,11.92,11.86
2214283.35,11678502.23,442870.01,261825.87,1671563884137,11.92,11.86
2214294.10,11678502.02,442871.10,261825.87,1671563887167,11.92,11.86
2219704.29,11670641.97,443323.94,261165.85,1671563890199,11.92,11.86
2225083.86,11675101.17,443800.63,261538.07,1671563898808,11.92,11.86
2219520.41,11660037.73,443333.62,260277.56,1671563907480,11.92,11.86
2220501.19,11661374.46,443415.91,260389.53,1671563910507,11.92,11.86
2213746.67,11664768.60,442850.42,260674.94,1671563919441,11.92,11.86
2209731.55,11676933.06,442522.41,261697.81,1671563928712,11.91,11.86
2211074.70,11675320.57,442635.72,261562.24,1671563931652,11.91,11.86
2212634.02,11677942.70,442766.75,261782.06,1671563934602,11.91,11.86
2212633.52,11677942.99,442766.54,261782.08,1671563944345,11.91,11.86
2209481.16,11670189.90,442492.90,261134.44,1671563954196,11.91,11.86
2209449.10,11666018.64,442489.60,260784.41,1671563957654,11.91,11.86
2212133.12,11661426.80,442714.90,260398.35,1671563960202,11.91,11.86
2214531.37,11652774.80,442916.52,259672.30,1671563963190,11.91,11.86
2214861.54,11627933.74,442942.89,257590.07,1671563973947,11.92,11.86
2214963.17,11627339.67,442951.33,257541.33,1671563976949,11.92,11.86
2210003.22,11628939.06,442535.51,257692.03,1671563988540,11.92,11.86
2211102.40,11629692.04,442628.14,257754.99,1671563991027,11.92,11.86
2209985.05,11629692.04,442533.37,257754.99,1671563994122,11.92,11.86
2207884.05,11630707.55,442358.34,257840.38,1671563997066,11.92,11.86
2208185.71,11631850.03,442376.49,257928.38,1671564000160,11.92,11.86
2208185.71,11631933.82,442376.49,257935.38,1671564003160,11.92,11.86
2209412.23,11634886.22,442479.86,258182.31,1671564006059,11.92,11.86
2209412.19,11634886.82,442479.86,258182.31,1671564009092,11.92,11.86
2209412.19,11634886.82,442479.86,258182.31,1671564012018,11.92,11.86
2209699.77,11634885.88,442504.00,258182.31,1671564015116,11.92,11.86
2212886.65,11638761.21,442771.29,258505.60,1671564018189,11.92,11.86
2213042.20,11427028.37,442782.48,241194.31,1671564021032,11.92,11.86
2223048.63,11636251.19,443622.24,258296.56,1671564035297,11.92,11.86
2620284.59,11633448.07,477368.43,258060.08,1671564049498,11.92,11.86
