bc,ac,tbv,tav,time,mp,minBid
4787025.10,2210088577.67,617935.51,256518.87,1667309475693,19.12,19.05
4795786.20,2210085528.34,618393.72,256350.18,1667309478705,19.11,19.04
4804659.66,2210088109.24,618858.02,256484.70,1667309481763,19.11,19.04
4789496.08,2210098815.64,618064.37,257045.31,1667309484660,19.11,19.04
4779723.40,2210133703.62,617544.99,258877.44,1667309487659,19.1,19.03
4783490.85,2210081555.42,617759.89,256166.05,1667309490734,19.08,19.01
4744133.78,2210077846.48,615711.34,256001.01,1667309493658,19.07,19
4766721.18,2210090558.48,616899.79,256670.03,1667309496750,19.07,19
4777017.10,2210063353.93,617437.14,255255.07,1667309499760,19.07,19
4773732.19,2210053790.92,617260.42,254749.39,1667309502749,19.08,19
4753373.48,2210064749.07,616186.86,255320.85,1667309505689,19.08,19
4752099.18,2210045070.22,616111.22,254289.38,1667309508762,19.09,19
4770154.38,2210072994.79,617060.57,255752.58,1667309511735,19.08,19
4782100.21,2210050410.59,617685.80,254569.10,1667309514712,19.08,19
4774355.53,2210061915.92,617283.74,255173.25,1667309517733,19.07,19
4782826.33,2210076356.17,617737.65,255959.80,1667309520744,19.07,19
4773613.58,2210084696.00,617267.00,256394.23,1667309523730,19.07,19
4775773.94,2210078890.49,617386.39,256094.88,1667309527253,19.06,18.99
4768118.26,2210082057.34,616984.26,256260.40,1667309529688,19.06,18.99
4785122.64,2210065136.76,617875.66,255372.29,1667309532752,19.06,18.99
4782253.19,2210075497.47,617725.76,255917.98,1667309535735,19.06,18.99
4735187.15,2210061736.63,615282.54,255199.84,1667309538638,19.06,18.98
4735321.50,2210070363.19,615292.47,255655.18,1667309541666,19.06,18.98
4744588.39,2210057575.40,615765.86,254999.24,1667309545275,19.07,18.98
4741535.34,2210045135.47,615584.64,254345.81,1667309547666,19.08,18.98
4723220.01,2210029139.67,614603.89,253455.43,1667309550769,19.1,18.98
4752264.55,2210052364.35,616137.78,254664.99,1667309553779,19.09,18.98
4748896.92,2210057914.99,615954.98,254962.80,1667309556691,19.09,18.98
4750691.23,2210066917.81,616047.05,255433.03,1667309559786,19.1,18.98
4729132.04,2210057041.99,614912.01,254911.99,1667309562725,19.1,18.98
4727558.21,2210051892.60,614827.45,254642.12,1667309565647,19.11,18.98
4731281.85,2210063714.93,615022.40,255259.63,1667309568692,19.11,18.98
4759069.96,2210075379.07,616478.92,255870.20,1667309571759,19.1,18.98
4743232.34,2210067052.08,615644.51,255442.85,1667309574666,19.09,18.98
4736532.91,2210090014.71,615294.70,256641.27,1667309577683,19.1,18.98
4744227.80,2210098604.38,615698.26,257063.43,1667309580791,19.1,18.98
4747647.24,2210055937.61,615774.54,254829.36,1667309583689,19.11,18.98
4775878.73,2210077082.78,617253.83,255932.07,1667309586635,19.11,18.98
4749147.68,2210091864.76,615853.36,256703.36,1667309589848,19.1,18.98
4721604.95,2210065556.08,614413.89,255336.01,1667309592742,19.09,18.98
4752831.70,2210066042.35,616051.70,255358.22,1667309595778,19.1,18.98
4773628.09,2210076746.82,617140.26,255916.85,1667309598973,19.1,18.98
4756313.39,2210079825.99,616227.70,256067.97,1667309601743,19.11,18.98
4752768.77,2210076440.24,616040.38,255872.30,1667309604672,19.12,18.98
4771537.61,2210095490.50,617022.38,256864.01,1667309607665,19.11,18.98
4780623.22,2210094573.38,617497.84,256816.33,1667309610810,19.11,18.98
4782767.27,2210081469.13,617609.34,256131.71,1667309613696,19.11,18.98
4735748.43,2210082542.82,615130.22,256199.05,1667309616706,19.11,18.98
4751290.93,2210074064.33,615942.53,255755.85,1667309619678,19.11,18.98
4757249.98,2210077595.13,616254.81,255940.55,1667309622756,19.11,18.98
4774909.07,2210086663.85,617166.95,256426.26,1667309625693,19.11,18.98
4754682.72,2210080394.02,616107.36,256098.19,1667309629205,19.12,18.98
4751761.58,2210080879.49,615954.60,256124.20,1667309631879,19.11,18.98
4751125.21,2210090359.94,615920.69,256620.16,1667309634707,19.12,18.98
4755772.00,2210079517.63,616163.98,256052.82,1667309637714,19.12,18.98
4754171.88,2210083652.13,616080.33,256269.45,1667309640698,19.12,18.98
4766630.54,2210075841.52,616733.18,255945.07,1667309643761,19.11,18.98
4753397.24,2210077605.32,616039.50,256035.36,1667309646825,19.12,18.98
4737128.87,2210075167.48,615189.91,255909.25,1667309649754,19.11,18.98
4732669.65,2210085459.51,614966.62,256451.85,1667309653047,19.1,18.98
4752711.63,2210095167.70,616013.86,256960.83,1667309655787,19.1,18.98
4766867.65,2210085293.42,616756.24,256445.28,1667309658815,19.09,18.98
4750155.47,2210065368.50,615897.99,255415.58,1667309661782,19.08,18.98
4714304.53,2210082665.52,614016.81,256322.62,1667309664754,19.08,18.98
4761877.20,2210043998.92,616508.69,254297.08,1667309667719,19.1,18.98
4759083.12,2210059905.77,616354.68,255127.06,1667309670867,19.1,18.98
