mp,timeStamp,mean,skew
19.12,1667309475700,3121.4787027659568,-3102.358702765957
19.1,1667309487696,3435.6456110095496,-3416.5456110095497
19.08,1667309505818,3173.7168505323607,-3154.6368505323608
19.09,1667309508906,3183.4684487010013,-3164.378448701001
19.08,1667309514897,3277.1509826481724,-3258.0709826481725
19.1,1667309551350,3118.1563708295594,-3099.0563708295595
19.09,1667309557407,3098.449611665493,-3079.359611665493
19.11,1667309566522,3095.682975910728,-3076.572975910728
19.11,1667309569476,3102.8403616346686,-3083.7303616346685
19.1,1667309572574,3103.9328038689555,-3084.8328038689556
19.09,1667309575538,3102.739775978187,-3083.649775978187
19.1,1667309578590,3100.5108836631857,-3081.410883663186
19.11,1667309584674,3109.1798579177757,-3090.0698579177756
19.11,1667309587663,3120.5539672875007,-3101.4439672875005
19.1,1667309590940,3120.9647417357096,-3101.8647417357097
19.09,1667309593842,3114.7084138425635,-3095.6184138425633
19.1,1667309596921,3115.3768093769286,-3096.2768093769287
19.1,1667309600131,3116.224465761041,-3097.124465761041
19.11,1667309602996,3117.4085115019384,-3098.2985115019383
19.11,1667309612210,3070.264317932081,-3051.154317932081
19.11,1667309615129,3050.394927045385,-3031.284927045385
19.11,1667309618213,3048.8681562567676,-3029.7581562567675
19.11,1667309621192,3048.162103700976,-3029.0521037009757
19.11,1667309624335,3045.4981603627125,-3026.3881603627124
19.11,1667309627349,3048.408931214535,-3029.298931214535
19.12,1667309630864,3063.7145207199655,-3044.5945207199657
19.12,1667309636501,3077.0288343872835,-3057.9088343872836
19.12,1667309639566,3090.9869087170405,-3071.8669087170406
19.12,1667309642609,3104.026342978388,-3084.9063429783882
19.11,1667309645747,3104.707285016414,-3085.597285016414
19.12,1667309648854,3117.369652070112,-3098.249652070112
19.11,1667309651865,3117.6717395323426,-3098.5617395323425
19.1,1667309655200,3131.2188001552645,-3112.1188001552646
19.1,1667309657987,3142.639652508232,-3123.539652508232
19.08,1667309664136,3154.385119456783,-3135.305119456783
19.08,1667309667185,3151.160307690052,-3132.080307690052
19.1,1667309673490,3149.6379280850015,-3130.5379280850016
19.11,1667309682977,3155.6672420525897,-3136.5572420525896
19.12,1667309686451,3166.2983915985124,-3147.1783915985125
19.12,1667309689998,3177.5024436286226,-3158.3824436286227
19.13,1667309696680,3197.5969765488985,-3178.4669765488984
19.12,1667309700491,3206.6258268093275,-3187.5058268093276
19.12,1667309707537,3218.7421804890005,-3199.6221804890006
19.12,1667309714660,3224.3910941494246,-3205.2710941494247
19.11,1667309719374,3226.32790029487,-3207.2179002948697
19.11,1667309723606,3232.6580769406673,-3213.548076940667
19.12,1667309727913,3235.2363603427793,-3216.1163603427794
19.12,1667309735433,3254.5010337052317,-3235.381033705232
19.15,1667309743129,3260.1036264463455,-3240.9536264463454
19.14,1667309747851,3256.045666979628,-3236.905666979628
19.15,1667309752939,3250.8734784295557,-3231.7234784295556
19.13,1667309757875,3257.344797897324,-3238.214797897324
19.1,1667309762949,3258.1529663396122,-3239.0529663396123
19.09,1667309768151,3251.7200818097112,-3232.630081809711
19.09,1667309773418,3243.706012861817,-3224.6160128618167
19.08,1667309778742,3229.211380242577,-3210.131380242577
19.09,1667309784321,3215.7820044343525,-3196.6920044343524
19.09,1667309789785,3208.497807637552,-3189.4078076375517
19.1,1667309796299,3206.47356369794,-3187.37356369794
19.11,1667309802013,3213.3594195109767,-3194.2494195109766
19.09,1667309807751,3218.7890877835002,-3199.6990877835
19.09,1667309813728,3224.64271969964,-3205.55271969964
19.1,1667309822912,3236.7149419985117,-3217.6149419985118
19.09,1667309829167,3242.554666923178,-3223.464666923178
19.09,1667309835455,3247.149605202459,-3228.059605202459
19.09,1667309841883,3251.643342059206,-3232.553342059206
19.09,1667309848461,3263.429787782748,-3244.339787782748
19.07,1667309880770,3293.5782032650645,-3274.5082032650644
19.08,1667309895599,3280.7194209287704,-3261.6394209287705
19.07,1667309904994,3276.247789342599,-3257.1777893425988
