bc,ac,tbv,tav,time,mp,minBid
5666237.33,210773727.36,910285.87,270428.43,1668523643462,13.38,13.33
5650155.97,210779513.83,909082.91,270860.90,1668523646307,13.38,13.33
5655689.07,210783758.54,909522.59,271183.26,1668523649341,13.37,13.32
5647992.73,210787127.93,909036.54,271440.59,1668523652296,13.36,13.31
5662485.07,210794171.62,910152.57,271969.22,1668523655352,13.37,13.31
5653619.98,210786511.92,909472.00,271400.58,1668523658276,13.38,13.31
5677814.45,210773372.79,911286.67,270418.25,1668523661461,13.38,13.31
5672560.25,210772256.20,910879.78,270332.48,1668523664499,13.38,13.31
5681444.00,210773424.91,911553.74,270419.68,1668523667338,13.38,13.31
5679129.44,210786447.07,911379.19,271391.57,1668523670267,13.39,13.31
5683138.90,210788235.11,911680.10,271525.56,1668523673389,13.38,13.31
5686186.46,210779107.14,911881.42,270848.49,1668523676646,13.38,13.31
5688647.06,210783017.44,912066.71,271140.65,1668523679343,13.38,13.31
5709255.56,210778538.68,913607.31,270810.82,1668523682622,13.38,13.31
5710241.19,210778450.93,913701.76,270802.77,1668523685384,13.38,13.31
5694768.53,210776323.69,912541.18,270776.94,1668523688452,13.38,13.31
5691063.31,210774932.63,912253.14,270666.75,1668523691368,13.38,13.31
5694316.61,210775212.18,912496.69,270687.71,1668523694382,13.38,13.31
5700319.95,210782082.22,912944.85,271206.14,1668523697479,13.39,13.31
5700319.95,210785865.08,912944.85,271488.46,1668523701108,13.39,13.31
5723824.58,210777562.37,914706.27,270866.53,1668523703344,13.39,13.31
5704773.03,210776072.45,913284.63,270755.83,1668523706350,13.39,13.31
5683965.15,210771497.11,911728.78,270419.21,1668523709663,13.38,13.31
5686946.30,210777152.58,911961.41,270842.94,1668523712363,13.38,13.31
5684486.28,210768816.15,911777.31,270233.25,1668523715473,13.38,13.31
5663452.79,210761547.90,910271.35,269693.18,1668523718455,13.38,13.31
5662236.23,210765673.69,910176.80,270002.92,1668523721431,13.38,13.31
5665976.47,210752067.13,910462.66,269002.18,1668523724404,13.37,13.31
