mp,timeStamp,mean,skew
12.45,1669733880031,3170.004245042016,-3157.554245042016
12.45,1669733882864,2603.381550164606,-2590.931550164606
12.45,1669733888799,2459.0314844693876,-2446.5814844693878
12.46,1669733906922,2370.882502023122,-2358.422502023122
12.46,1669733913434,2413.1317235475035,-2400.6717235475035
12.47,1669733916042,2464.395125186352,-2451.925125186352
12.47,1669733919145,2515.0504000058413,-2502.5804000058415
12.47,1669733931042,2647.362126797823,-2634.892126797823
12.47,1669733937059,2692.6016362251826,-2680.131636225183
12.46,1669733940291,2690.746900034698,-2678.2869000346977
12.46,1669733946298,2723.492691447681,-2711.032691447681
12.46,1669733949246,2736.220311796415,-2723.760311796415
12.46,1669733955511,2757.6111308012296,-2745.1511308012296
12.46,1669733962070,2755.8085354050036,-2743.3485354050035
12.46,1669733964422,2745.414348028941,-2732.954348028941
12.46,1669733967888,2751.4739102526764,-2739.0139102526764
12.46,1669733970417,2756.2448243153945,-2743.7848243153944
12.45,1669733979486,2652.0503617941877,-2639.600361794188
12.45,1669733982460,2622.171897272293,-2609.721897272293
12.45,1669733985645,2594.1030142750874,-2581.6530142750876
12.45,1669734003817,2450.5908219961098,-2438.14082199611
12.44,1669734007008,2429.012382851461,-2416.572382851461
12.44,1669734009969,2408.3881202140506,-2395.9481202140505
12.45,1669734012982,2388.7648672817345,-2376.3148672817347
12.46,1669734025106,2317.6047342541797,-2305.1447342541796
12.47,1669734040913,2244.015779116089,-2231.5457791160893
12.47,1669734043633,2228.9162172020037,-2216.446217202004
12.46,1669734049791,2202.3205681321297,-2189.8605681321296
12.45,1669734058809,2169.3006707383797,-2156.85067073838
12.44,1669734065405,2152.1692074168627,-2139.7292074168627
12.46,1669734083408,2105.6906523802722,-2093.230652380272
12.46,1669734086306,2101.2295273712016,-2088.7695273712015
12.46,1669734089389,2095.9275275805912,-2083.467527580591
12.46,1669734093009,2089.179739653482,-2076.719739653482
12.46,1669734096168,2082.5886506455213,-2070.1286506455212
12.47,1669734102463,2067.515379768685,-2055.045379768685
12.47,1669734105778,2060.5561089991265,-2048.0861089991267
12.47,1669734112582,2047.3050028090963,-2034.8350028090963
12.47,1669734116528,2040.8518052694988,-2028.3818052694987
12.46,1669734123150,2028.461896724193,-2016.0018967241929
12.46,1669734126901,2022.7534414288439,-2010.2934414288438
12.46,1669734130769,2017.642543126348,-2005.182543126348
12.48,1669734144179,1998.508451164296,-1986.028451164296
12.47,1669734154671,1984.959103713521,-1972.489103713521
12.48,1669734162249,1993.268492630023,-1980.788492630023
12.47,1669734170123,2014.0745019178457,-2001.6045019178457
12.47,1669734178209,2023.8207782271263,-2011.3507782271263
12.47,1669734186666,2044.7562913450697,-2032.2862913450697
12.47,1669734192050,2049.9523149658503,-2037.4823149658503
12.48,1669734213410,2111.5064682640104,-2099.0264682640104
12.48,1669734219821,2121.739692841201,-2109.259692841201
12.48,1669734226077,2131.1933568304744,-2118.7133568304744
12.46,1669734241883,2165.0679383835,-2152.6079383835
12.47,1669734252492,2189.675429598395,-2177.2054295983953
12.47,1669734259545,2201.7592370866246,-2189.289237086625
12.46,1669734269882,2207.186196903416,-2194.726196903416
12.46,1669734277532,2214.3824114473255,-2201.9224114473254
12.46,1669734288216,2223.774669499925,-2211.314669499925
12.47,1669734299197,2236.266194714959,-2223.7961947149593
12.47,1669734310458,2243.6528048666887,-2231.182804866689
12.46,1669734318753,2245.569747687523,-2233.109747687523
12.46,1669734327164,2256.3221856360856,-2243.8621856360855
12.44,1669734335810,2256.729457227786,-2244.289457227786
12.44,1669734344460,2256.9585669658686,-2244.5185669658686
12.43,1669734353669,2261.714138593786,-2249.2841385937863
12.44,1669734362694,2271.3207335775564,-2258.8807335775564
12.44,1669734371673,2275.739576175341,-2263.299576175341
12.45,1669734383867,2279.3128300644676,-2266.8628300644677
12.46,1669734393330,2284.2651678287016,-2271.8051678287015
12.46,1669734405941,2294.4767595081944,-2282.0167595081944
12.48,1669734415689,2303.819226102571,-2291.339226102571
12.48,1669734433299,2327.2642190973693,-2314.7842190973693
12.48,1669734443615,2335.8900138245895,-2323.4100138245894
12.48,1669734454056,2345.283389521701,-2332.803389521701
12.49,1669734467828,2349.956185221791,-2337.4661852217914
12.49,1669734481921,2361.321326417869,-2348.831326417869
12.48,1669734493138,2362.137096627453,-2349.657096627453
12.48,1669734504434,2362.9640025869885,-2350.4840025869885
12.49,1669734515801,2368.1785180625775,-2355.6885180625777
12.48,1669734530505,2375.735053841793,-2363.255053841793
12.49,1669734555161,2399.512668988773,-2387.022668988773
12.49,1669734567838,2403.5286500196835,-2391.0386500196837
12.49,1669734590815,2420.9005180532376,-2408.410518053238
12.48,1669734604703,2424.989619454113,-2412.509619454113
12.48,1669734618627,2428.5454444026723,-2416.0654444026723
12.49,1669734645507,2448.6563124820836,-2436.166312482084
12.48,1669734663778,2457.242579013737,-2444.762579013737
12.48,1669734679032,2461.565424662358,-2449.085424662358
12.47,1669734698255,2468.1980599031644,-2455.7280599031646
12.47,1669734730507,2483.2339251375547,-2470.763925137555
12.47,1669734747682,2485.672433996642,-2473.2024339966424
12.48,1669734771510,2484.299726233685,-2471.819726233685
12.47,1669734792893,2493.214996354414,-2480.744996354414
12.47,1669734811306,2498.233038456567,-2485.7630384565673
12.47,1669734830381,2503.114497267427,-2490.644497267427
12.46,1669734849125,2505.8592470005938,-2493.3992470005937
12.45,1669734868091,2507.6585035149074,-2495.2085035149075
12.46,1669734887205,2509.9754712800855,-2497.5154712800854
12.47,1669734906461,2512.8594450561764,-2500.3894450561766
12.47,1669734926301,2513.0012874496847,-2500.531287449685
12.47,1669734945945,2512.9919703201126,-2500.521970320113
12.47,1669734965689,2513.0070673919363,-2500.5370673919365
12.47,1669734985723,2514.711789427493,-2502.241789427493
12.47,1669735009124,2518.5503028826574,-2506.0803028826576
12.46,1669735029656,2523.512195809965,-2511.052195809965
12.47,1669735053552,2530.16077948147,-2517.69077948147
12.47,1669735090974,2539.3104757928477,-2526.840475792848
12.47,1669735116859,2541.909774814754,-2529.4397748147544
12.47,1669735139991,2542.9386090466155,-2530.4686090466157
12.47,1669735163519,2544.5057834311783,-2532.0357834311785
12.47,1669735187456,2548.624171526982,-2536.1541715269823
12.46,1669735211205,2553.059257058629,-2540.599257058629
12.47,1669735238431,2559.0417252338398,-2546.57172523384
12.47,1669735269363,2561.912359306525,-2549.4423593065253
12.48,1669735294319,2566.4141441492197,-2553.9341441492197
12.47,1669735322866,2569.0658730406653,-2556.5958730406655
12.48,1669735355404,2574.4708171237457,-2561.9908171237457
12.48,1669735382634,2576.281074433413,-2563.801074433413
12.48,1669735412955,2579.110562173548,-2566.630562173548
12.48,1669735443830,2582.4565795351796,-2569.9765795351796
12.48,1669735475296,2585.5482187167554,-2573.0682187167554
12.49,1669735513763,2594.0441159880415,-2581.5541159880418
12.49,1669735547367,2595.8284924169425,-2583.3384924169427
12.48,1669735578263,2598.9762535588084,-2586.4962535588083
12.47,1669735611947,2599.91729375971,-2587.44729375971
12.48,1669735642848,2603.5605110572596,-2591.0805110572596
12.49,1669735673868,2603.230634843517,-2590.740634843517
12.49,1669735709924,2604.487385547158,-2591.997385547158
12.5,1669735744925,2605.424256527819,-2592.924256527819
12.49,1669735782572,2610.556909461114,-2598.0669094611144
12.5,1669735815434,2610.053401120286,-2597.553401120286
12.5,1669735848659,2609.3971712531006,-2596.8971712531006
12.51,1669735882238,2610.75710928951,-2598.24710928951
12.51,1669735929504,2604.3788406716494,-2591.868840671649
12.51,1669735965137,2603.3667387293885,-2590.8567387293883
12.52,1669736000872,2603.5563171653093,-2591.0363171653094
12.52,1669736036956,2603.79017189026,-2591.27017189026
12.53,1669736073068,2603.567869267502,-2591.0378692675017
12.52,1669736109457,2604.32437334293,-2591.80437334293
12.52,1669736145920,2605.168232887212,-2592.648232887212
12.52,1669736182781,2606.183171674855,-2593.663171674855
12.52,1669736219910,2607.2119000740154,-2594.6919000740154
12.52,1669736257268,2608.0955105066932,-2595.5755105066933
12.52,1669736294798,2608.8348803664558,-2596.314880366456
12.52,1669736332844,2609.58807366633,-2597.06807366633
12.52,1669736370720,2610.4094330467537,-2597.8894330467538
12.51,1669736408853,2611.7531542459656,-2599.2431542459653
12.51,1669736447852,2612.7993542043623,-2600.289354204362
12.51,1669736493589,2614.493100434855,-2601.983100434855
12.52,1669736533290,2615.1189897310637,-2602.5989897310637
12.51,1669736573318,2615.4828502585333,-2602.972850258533
12.51,1669736613431,2615.9715170367663,-2603.461517036766
12.51,1669736654370,2616.269117652396,-2603.7591176523956
12.5,1669736695029,2617.785187696726,-2605.285187696726
12.5,1669736739286,2620.5396489386,-2608.0396489386
12.51,1669736780813,2622.1745153888323,-2609.664515388832
12.52,1669736826037,2624.4350807816727,-2611.9150807816727
12.51,1669736868247,2627.0138911773893,-2614.503891177389
12.51,1669736910783,2629.8481667589795,-2617.3381667589792
12.51,1669736953530,2632.415340701538,-2619.9053407015376
12.51,1669736996439,2635.5591765046074,-2623.049176504607
12.51,1669737039515,2638.4048163712714,-2625.894816371271
12.51,1669737082920,2640.9852483019613,-2628.475248301961
12.5,1669737126608,2642.5292249961362,-2630.0292249961362
12.5,1669737170519,2643.9946205664605,-2631.4946205664605
12.49,1669737214687,2646.6550711673117,-2634.165071167312
12.49,1669737259179,2648.0549400578348,-2635.564940057835
12.49,1669737303860,2651.211364283976,-2638.721364283976
12.49,1669737355519,2657.515983199613,-2645.025983199613
12.49,1669737408733,2665.9619026915257,-2653.471902691526
12.49,1669737455670,2668.5513057761978,-2656.061305776198
12.5,1669737503083,2671.9723753961807,-2659.4723753961807
12.5,1669737550869,2675.126401648571,-2662.626401648571
12.49,1669737616156,2691.352162112863,-2678.862162112863
12.48,1669737676890,2706.954996245246,-2694.474996245246
12.49,1669737729078,2709.5370043754792,-2697.0470043754794
12.48,1669737781281,2712.3604143299353,-2699.8804143299353
12.47,1669737833693,2713.4611881740902,-2700.9911881740904
12.46,1669737886492,2713.7344911087134,-2701.2744911087134
12.44,1669737946409,2711.907821111229,-2699.467821111229
12.44,1669738007484,2712.061582050127,-2699.621582050127
12.45,1669738065436,2713.164068390371,-2700.7140683903713
12.46,1669738120613,2714.1711630546447,-2701.7111630546447
12.45,1669738176108,2714.979640488527,-2702.529640488527
12.42,1669738235508,2714.316752349401,-2701.896752349401
12.38,1669738295451,2709.2392559633017,-2696.8592559633016
12.39,1669738356119,2706.176386963635,-2693.7863869636353
12.4,1669738428577,2704.881132385442,-2692.481132385442
12.4,1669738487947,2705.331513594803,-2692.9315135948027
12.42,1669738551065,2704.253373118554,-2691.833373118554
12.41,1669738611383,2705.630708358788,-2693.220708358788
12.41,1669738672067,2706.6235489889264,-2694.2135489889265
12.42,1669738739818,2710.485817038856,-2698.065817038856
12.42,1669738802055,2710.6866909501045,-2698.2666909501045
12.41,1669738864640,2710.091339863583,-2697.681339863583
12.42,1669738927275,2710.840262847071,-2698.4202628470707
12.41,1669738997094,2708.2551127329016,-2695.8451127329017
12.41,1669739061470,2709.0864568903075,-2696.6764568903077
12.43,1669739136733,2704.9106551211676,-2692.4806551211677
12.45,1669739224261,2710.007354530401,-2697.557354530401
12.44,1669739294271,2710.8658880185776,-2698.4258880185776
12.44,1669739377415,2712.6379061646694,-2700.1979061646693
12.44,1669739448631,2713.3152382303065,-2700.8752382303064
12.44,1669739520026,2715.0192367584086,-2702.5792367584086
12.44,1669739591652,2716.9623406767623,-2704.5223406767623
12.46,1669739667113,2718.929594506344,-2706.469594506344
12.45,1669739739814,2719.398479144907,-2706.948479144907
12.45,1669739816301,2720.410032192114,-2707.9600321921143
12.48,1669739893702,2722.6110512937375,-2710.1310512937375
12.48,1669739979071,2723.3398323101337,-2710.8598323101337
12.48,1669740054325,2722.6863630468692,-2710.2063630468692
12.48,1669740147566,2724.6736434395025,-2712.1936434395025
12.48,1669740231320,2723.9403410242508,-2711.4603410242507
12.48,1669740312784,2722.0184363570247,-2709.5384363570247
12.48,1669740391563,2723.126939393448,-2710.646939393448
12.47,1669740470760,2724.183091852433,-2711.713091852433
12.46,1669740550288,2725.0515789365304,-2712.5915789365304
12.44,1669740629960,2724.391738035792,-2711.951738035792
12.44,1669740710162,2724.907387477925,-2712.467387477925
12.43,1669740794453,2726.585843986425,-2714.155843986425
12.44,1669740876703,2727.1472413548586,-2714.7072413548585
12.45,1669740958957,2727.9929899320555,-2715.5429899320557
12.44,1669741045553,2729.565768596142,-2717.125768596142
12.45,1669741129935,2731.3460578074664,-2718.8960578074666
12.45,1669741214575,2733.081509741192,-2720.631509741192
12.45,1669741299353,2734.6533233415457,-2722.203323341546
12.45,1669741384448,2736.0626822539502,-2723.6126822539504
12.46,1669741470092,2737.9521658432404,-2725.4921658432404
12.46,1669741555831,2739.4518894142125,-2726.9918894142124
12.45,1669741645805,2743.133794436492,-2730.683794436492
12.46,1669741740234,2747.851745391755,-2735.3917453917547
12.46,1669741844304,2750.9773979108786,-2738.5173979108786
12.47,1669741944985,2755.5314295779212,-2743.0614295779214
12.45,1669742036863,2756.9869575829266,-2744.536957582927
12.45,1669742136127,2761.8061941839997,-2749.356194184
12.44,1669742230155,2764.6494390377816,-2752.2094390377815
12.43,1669742324507,2765.103422093314,-2752.673422093314
12.4,1669742429595,2760.684202184178,-2748.284202184178
12.41,1669742529678,2758.9638595519023,-2746.5538595519024
12.39,1669742627002,2758.9649752057926,-2746.5749752057927
12.38,1669742728597,2756.837011606919,-2744.457011606919
12.39,1669743238709,2755.680211949501,-2743.290211949501
12.39,1669743348518,2756.951175051418,-2744.561175051418
12.38,1669743456398,2759.2183098424384,-2746.8383098424383
12.4,1669743565247,2760.4214427746433,-2748.021442774643
12.4,1669743675215,2761.3253501802865,-2748.9253501802864
12.4,1669743782569,2762.537601605332,-2750.137601605332
12.39,1669743911840,2762.715502616797,-2750.325502616797
12.39,1669744028644,2763.656113177866,-2751.266113177866
12.39,1669744139583,2764.3544686564564,-2751.9644686564566
12.41,1669744258577,2767.2725423431966,-2754.8625423431968
12.41,1669744372007,2767.602280476135,-2755.1922804761352
12.41,1669744485930,2766.369159684357,-2753.959159684357
12.42,1669744604102,2767.2430516135387,-2754.8230516135386
12.43,1669744727419,2773.5482098395005,-2761.1182098395007
12.43,1669744845156,2774.261023453764,-2761.8310234537644
12.41,1669744963439,2776.627360945647,-2764.217360945647
12.42,1669745082281,2778.5268033422685,-2766.1068033422684
12.41,1669745205153,2781.6296816571644,-2769.2196816571645
12.42,1669745333142,2789.2537962293477,-2776.8337962293476
12.43,1669745456054,2789.9104606272526,-2777.480460627253
12.43,1669745579016,2791.5327728605407,-2779.102772860541
12.41,1669745702451,2792.7905121282197,-2780.38051212822
12.41,1669745827061,2794.2700873592407,-2781.860087359241
12.41,1669745951893,2795.356084575357,-2782.946084575357
12.4,1669746077419,2796.6800443464754,-2784.2800443464753
12.4,1669746203257,2798.0955350419213,-2785.695535041921
12.42,1669746337237,2801.670947500775,-2789.250947500775
12.42,1669746465915,2803.3296567840016,-2790.9096567840015
12.43,1669746599180,2808.060174003848,-2795.630174003848
12.42,1669746730271,2809.4314311367857,-2797.0114311367856
12.4,1669746861661,2810.8039160024914,-2798.4039160024913
12.4,1669746993351,2812.632824144233,-2800.232824144233
12.4,1669747156029,2824.8028700192663,-2812.402870019266
12.41,1669747295555,2826.2130101517064,-2813.8030101517065
12.4,1669747450630,2833.0783143377507,-2820.6783143377506
12.4,1669747598644,2835.809579858344,-2823.409579858344
12.43,1669747744257,2836.1546868442215,-2823.7246868442217
12.45,1669747890231,2836.9762359813376,-2824.526235981338
12.44,1669748040336,2838.2686718465707,-2825.8286718465706
12.44,1669748187948,2838.47435835439,-2826.03435835439
12.45,1669748351652,2844.539717207488,-2832.0897172074883
12.45,1669748508322,2845.126937028654,-2832.6769370286543
12.45,1669748683914,2845.0690730422416,-2832.619073042242
12.44,1669748837975,2846.66023105994,-2834.22023105994
12.44,1669748996961,2848.5849756218295,-2836.1449756218294
12.44,1669749154376,2849.389438963268,-2836.9494389632678
12.44,1669749319766,2852.070543365754,-2839.630543365754
12.46,1669749480171,2854.2205623271893,-2841.7605623271893
12.45,1669749640710,2855.2490130253714,-2842.7990130253716
12.44,1669749809846,2859.4126438879002,-2846.9726438879
12.44,1669749973470,2860.7981565239966,-2848.3581565239965
12.46,1669750173182,2866.00506564704,-2853.54506564704
12.45,1669750341531,2866.9216347639876,-2854.471634763988
12.44,1669750513185,2868.7661527712394,-2856.3261527712393
12.44,1669750694261,2871.410461495804,-2858.970461495804
12.45,1669750878775,2874.5601596318506,-2862.110159631851
12.46,1669751063151,2878.4252475724297,-2865.9652475724297
12.46,1669751273453,2889.6807298060817,-2877.2207298060816
12.46,1669751480608,2896.3975068203727,-2883.9375068203726
12.44,1669751702923,2899.4870360715413,-2887.0470360715412
12.44,1669751901128,2902.4353303530543,-2889.995330353054
12.42,1669752100999,2901.851842501853,-2889.4318425018528
12.42,1669752318700,2903.7100551208096,-2891.2900551208095
12.41,1669752588216,2902.6406367798827,-2890.230636779883
12.44,1669752800105,2903.2567925426283,-2890.8167925426283
12.45,1669753012455,2903.3404983093646,-2890.890498309365
12.45,1669753225785,2904.2984142978357,-2891.848414297836
12.43,1669753440121,2905.8133618342417,-2893.383361834242
12.44,1669753655515,2906.7478177841404,-2894.3078177841403
12.44,1669753871487,2907.572842800389,-2895.132842800389
12.44,1669754088992,2908.507278776851,-2896.067278776851
12.47,1669754306449,2908.7446644295337,-2896.274664429534
12.45,1669754525201,2909.5703939788204,-2897.1203939788206
12.45,1669754744737,2910.4834276154215,-2898.0334276154217
12.46,1669754968821,2912.016049827531,-2899.556049827531
12.46,1669755193622,2913.9903368095265,-2901.5303368095265
12.47,1669755416472,2915.6385720538383,-2903.1685720538385
12.48,1669755639873,2915.916982631352,-2903.436982631352
12.48,1669755876326,2919.9161849127,-2907.4361849127
12.49,1669756119976,2919.5425155281264,-2907.0525155281266
12.48,1669756365039,2923.0189304765895,-2910.5389304765895
12.5,1669756617237,2925.857395361029,-2913.357395361029
12.48,1669756862576,2927.8793074777805,-2915.3993074777804
12.48,1669757105048,2929.0251798259656,-2916.5451798259655
12.48,1669757349030,2929.6379115865057,-2917.1579115865056
12.48,1669757597233,2930.8571916904884,-2918.3771916904884
12.5,1669757843533,2931.133708926704,-2918.633708926704
12.5,1669758090510,2932.124457534374,-2919.624457534374
12.5,1669758346677,2935.035521095202,-2922.535521095202
12.49,1669758601138,2936.716295337106,-2924.2262953371064
12.48,1669758873537,2941.948007828462,-2929.468007828462
12.5,1669759131872,2943.8383678416394,-2931.3383678416394
12.49,1669759390972,2944.4900433767766,-2932.000043376777
12.5,1669759650353,2946.2484347176933,-2933.7484347176933
12.51,1669759910534,2947.5504438221747,-2935.0404438221744
12.52,1669760171234,2947.928238815723,-2935.408238815723
12.53,1669760432698,2948.116846267911,-2935.586846267911
12.52,1669760694886,2949.1767056108065,-2936.6567056108065
12.51,1669760958562,2950.007684876529,-2937.4976848765286
12.52,1669761222354,2951.0877795550646,-2938.5677795550646
12.52,1669761522719,2951.8717834383638,-2939.351783438364
12.52,1669761788489,2952.7651974267874,-2940.2451974267874
12.52,1669762056464,2953.44485135913,-2940.92485135913
12.52,1669762325780,2954.417250441217,-2941.8972504412172
12.53,1669762593460,2955.3325226970064,-2942.802522697006
12.53,1669762862003,2956.1321948518025,-2943.6021948518023
12.54,1669763175858,2957.608943231203,-2945.068943231203
12.51,1669763447990,2957.4094454813926,-2944.8994454813924
12.52,1669763724776,2958.3410871658275,-2945.8210871658275
12.51,1669763998648,2958.7977543746697,-2946.2877543746695
12.5,1669764273475,2959.767042575685,-2947.267042575685
12.5,1669764566521,2960.1714943235947,-2947.6714943235947
12.5,1669764868900,2959.287773320728,-2946.787773320728
12.48,1669765157521,2959.325733166188,-2946.845733166188
12.48,1669765489532,2960.2421484201573,-2947.7621484201572
12.48,1669765780847,2960.6873536153294,-2948.2073536153293
12.47,1669766072864,2961.1559289349793,-2948.6859289349795
12.47,1669766374294,2962.419019792475,-2949.949019792475
12.47,1669766674711,2963.0581538598003,-2950.5881538598005
12.56,1669767012190,2963.25835648933,-2950.69835648933
12.53,1669767311183,2963.1888672305713,-2950.658867230571
12.49,1669767611175,2962.259824957522,-2949.7698249575224
12.51,1669767911808,2962.68085495795,-2950.17085495795
12.51,1669768213193,2963.5491415833803,-2951.03914158338
12.5,1669768514720,2964.315800282046,-2951.815800282046
12.54,1669768817435,2964.0666637818376,-2951.5266637818377
12.84,1669769424091,2960.91271617661,-2948.07271617661
13.03,1669770685020,2954.8237942630562,-2941.793794263056
12.98,1669770991756,2953.4588105435923,-2940.4788105435923
12.93,1669771299161,2952.274947100868,-2939.344947100868
12.86,1669771945792,2946.359963786056,-2933.499963786056
12.85,1669772272001,2942.946249616494,-2930.096249616494
12.86,1669772918624,2942.444596707616,-2929.5845967076157
12.88,1669773242498,2941.7421594332664,-2928.8621594332662
12.88,1669773893059,2942.007620237318,-2929.127620237318
12.98,1669775209555,2941.577089390907,-2928.597089390907
13.02,1669775539519,2940.679477704578,-2927.659477704578
13,1669775870340,2940.692575440076,-2927.692575440076
12.98,1669776202353,2940.698639993274,-2927.718639993274
12.99,1669776535456,2941.073427349694,-2928.0834273496944
13.02,1669776869392,2940.3991442452357,-2927.3791442452357
12.98,1669777204395,2939.698780799824,-2926.718780799824
12.97,1669777540480,2939.9028713344505,-2926.9328713344507
12.95,1669777877304,2940.1773955931467,-2927.227395593147
12.95,1669778222782,2940.227084530332,-2927.277084530332
12.96,1669778567586,2940.3432480398365,-2927.3832480398364
12.93,1669778914776,2939.992570648216,-2927.062570648216
12.86,1669779608736,2939.3425833382403,-2926.48258333824
12.84,1669779957371,2938.5459561724865,-2925.7059561724864
12.75,1669780654909,2937.071674172418,-2924.321674172418
12.75,1669781359711,2935.8006432018647,-2923.0506432018647
12.76,1669781712046,2935.454630436471,-2922.6946304364706
12.78,1669782073626,2936.13781961718,-2923.3578196171798
12.78,1669782430098,2936.4204628813764,-2923.640462881376
12.78,1669783506353,2936.3467714627636,-2923.5667714627634
12.78,1669783867819,2936.498494364721,-2923.7184943647208
12.77,1669784229855,2937.0186014134756,-2924.2486014134756
12.8,1669784592410,2936.714361067084,-2923.914361067084
12.8,1669785013362,2935.286736652324,-2922.486736652324
12.8,1669786109544,2937.415398555426,-2924.6153985554256
12.81,1669786476472,2937.6680162468865,-2924.8580162468866
12.78,1669787343183,2939.279539748915,-2926.4995397489147
12.8,1669788083722,2939.775218652077,-2926.975218652077
12.77,1669788844604,2943.2496915105,-2930.4796915105
12.77,1669789221389,2942.7318843182707,-2929.9618843182707
12.8,1669790361149,2942.556659568231,-2929.756659568231
12.78,1669790750494,2944.157285949487,-2931.3772859494866
12.78,1669791139462,2945.5402525404966,-2932.7602525404964
12.75,1669791542758,2943.6872427568264,-2930.9372427568264
12.77,1669791935440,2943.9782472417733,-2931.2082472417733
12.78,1669792333167,2944.1131455376258,-2931.3331455376256
12.82,1669792728484,2943.086995546313,-2930.266995546313
12.83,1669793124849,2942.6425224842337,-2929.812522484234
12.82,1669793522453,2942.7149126792856,-2929.8949126792854
12.89,1669793925123,2941.7014193569275,-2928.8114193569277
12.93,1669794325027,2941.2120761107435,-2928.2820761107437
12.96,1669794725504,2940.9888016976297,-2928.0288016976297
13.06,1669795126752,2940.4306604948924,-2927.3706604948925
13.05,1669795529677,2939.9158802270654,-2926.865880227065
12.99,1669795933037,2939.5642142231804,-2926.5742142231807
13.08,1669796756125,2938.0959244406404,-2925.0159244406404
13.1,1669797576275,2937.284842403903,-2924.184842403903
13.06,1669797987144,2937.038380463433,-2923.978380463433
13.04,1669798403509,2936.201013085778,-2923.161013085778
