bc,ac,tbv,tav,time,mp,minBid
4923755.12,214974839.76,672828.36,276585.68,1664289343672,18.28,18.21
4904432.30,214983482.90,671769.40,277056.90,1664289344957,18.29,18.21
4918922.30,214984709.52,672562.55,277124.02,1664289349570,18.29,18.21
4918922.32,214984709.37,672562.55,277124.02,1664289350778,18.29,18.21
4913621.02,214994936.99,672275.53,277688.53,1664289354443,18.28,18.21
4908504.40,214976120.46,671990.40,276656.46,1664289358494,18.29,18.21
4931140.86,214978125.12,673230.68,276765.94,1664289359753,18.29,18.21
4904312.51,215004963.01,671766.14,278236.04,1664289364534,18.28,18.21
4909385.88,214996234.96,672044.13,277758.52,1664289366410,18.28,18.21
4915671.28,214986148.25,672375.83,277203.98,1664289369196,18.29,18.21
4920177.62,214962478.24,672621.05,275911.69,1664289371804,18.29,18.21
4912758.47,214964200.54,672210.43,275968.72,1664289374849,18.29,18.21
4938470.44,214972537.00,673619.13,276423.47,1664289379032,18.29,18.21
4938871.06,214984064.51,673640.67,277053.27,1664289380839,18.29,18.21
4904122.17,215011415.23,671740.20,278550.80,1664289383897,18.29,18.21
4921585.24,214983316.66,672697.83,277017.77,1664289386733,18.28,18.21
4913171.04,214987439.46,672237.90,277243.28,1664289389829,18.29,18.21
4900596.93,214993378.62,671551.74,277572.14,1664289392758,18.28,18.2
4914691.69,214989795.97,672327.29,277376.86,1664289395832,18.27,18.2
4921337.92,215001339.08,672690.03,278007.58,1664289398803,18.28,18.2
4921841.03,214976527.01,672712.42,276647.55,1664289401793,18.28,18.2
4923270.13,214976401.14,672782.22,276777.34,1664289406561,18.3,18.2
4935722.73,214964757.79,673463.99,276141.53,1664289407862,18.29,18.2
4919743.32,214973623.52,672591.31,276626.83,1664289410800,18.3,18.2
4915504.64,214966592.23,672359.43,276243.07,1664289413780,18.29,18.2
4929429.14,214966028.81,673119.62,276212.26,1664289416946,18.29,18.2
4935682.60,214929001.53,673457.76,274193.37,1664289419817,18.3,18.2
4937946.93,214969296.07,673574.04,276388.55,1664289424329,18.29,18.2
4908384.73,214945890.01,671962.69,275124.92,1664289425743,18.28,18.2
4928169.62,214979450.33,673046.46,276953.14,1664289428787,18.28,18.2
4925277.87,214960544.67,672887.43,275920.64,1664289431803,18.29,18.2
4922531.36,214978804.36,672735.73,276916.04,1664289434762,18.29,18.2
4890629.03,214976503.48,670990.30,276793.89,1664289438113,18.28,18.2
4929458.16,214982606.04,673123.72,277128.32,1664289440732,18.27,18.2
4926921.63,214986411.13,672985.00,277337.09,1664289443753,18.27,18.2
4905738.78,214992382.60,671824.85,277663.76,1664289446722,18.27,18.2
4925300.41,214989514.45,672908.30,277511.65,1664289450494,18.26,18.19
4925999.20,214995598.23,672946.95,277844.73,1664289452910,18.26,18.19
4917921.83,214997536.06,672503.89,277951.19,1664289455840,18.27,18.19
4919468.87,214995029.62,672586.93,277813.28,1664289458803,18.27,18.19
4923281.92,215000911.20,672797.93,278139.51,1664289461773,18.27,18.19
4924221.56,214980577.64,672849.38,276959.71,1664289464872,18.26,18.19
4920396.03,214987379.11,672639.33,277331.92,1664289467897,18.27,18.19
4923565.94,214989434.98,672813.26,277444.33,1664289470790,18.27,18.19
4931450.97,214974650.24,673239.06,276632.63,1664289473896,18.27,18.19
4938118.82,214988831.56,673604.12,277407.67,1664289476867,18.28,18.19
4927278.14,214990394.53,673010.22,277493.89,1664289480217,18.28,18.19
4935707.17,214990348.36,673472.05,277491.15,1664289483139,18.27,18.19
4934797.90,214999790.82,673421.73,278007.77,1664289485780,18.28,18.19
4919846.79,214957955.08,672594.57,275709.05,1664289489148,18.3,18.19
4897688.73,214898508.05,671362.14,272473.57,1664289491777,18.31,18.19
4906886.24,214988068.29,671887.61,277344.13,1664289494737,18.29,18.19
4924865.54,214995731.64,672872.08,277761.76,1664289497765,18.29,18.19
4929869.43,215001069.31,673145.98,278054.27,1664289500866,18.29,18.19
4885844.53,214961462.09,670724.64,275905.59,1664289505191,18.28,18.19
4924998.15,214976856.94,672884.68,276738.57,1664289508266,18.28,18.19
4930166.73,214968543.16,673168.63,276285.66,1664289511273,18.28,18.19
4912776.96,214978330.18,672217.01,276821.91,1664289514309,18.27,18.19
4899763.55,214961165.29,671523.12,275896.15,1664289517511,18.25,18.18
4865866.32,214954073.53,669757.83,275533.14,1664289520699,18.23,18.16
4900071.94,214980658.58,671645.36,276974.31,1664289523615,18.23,18.16
4938399.67,214958709.20,673747.55,275852.28,1664289526895,18.24,18.16
4908716.06,214958004.03,672116.55,275814.49,1664289530009,18.24,18.16
4920196.06,214977139.78,672745.73,276862.57,1664289533538,18.24,18.16
4931463.93,214986214.29,673364.41,277360.75,1664289537390,18.24,18.16
4931464.73,214964180.55,673364.39,276153.12,1664289541184,18.24,18.16
4912692.60,214975170.00,672333.49,276755.19,1664289544928,18.24,18.16
4929962.46,214950880.87,673281.39,275424.15,1664289547928,18.24,18.16
4918851.93,214951088.25,672667.57,275429.81,1664289552183,18.25,18.16
4924488.89,214955323.94,672976.93,275661.71,1664289554971,18.25,18.16
4932454.92,214982494.11,673414.99,277150.08,1664289558154,18.25,18.16
4929243.66,214959976.56,673238.50,275916.96,1664289560934,18.25,18.16
4925324.78,214977836.18,673024.15,276896.77,1664289564110,18.25,18.16
4933329.25,214971266.38,673463.19,276545.32,1664289569995,18.25,18.16
4933404.81,214970247.01,673467.14,276486.13,1664289571965,18.25,18.16
4913785.76,214995251.49,672395.78,277860.95,1664289576987,18.24,18.16
4914294.75,214968991.32,672421.47,276419.72,1664289582236,18.24,18.16
4929524.29,214987926.71,673254.88,277357.16,1664289587673,18.25,18.16
4922252.13,214994447.93,672856.09,277715.27,1664289593214,18.25,18.16
4931705.64,214991744.81,673372.04,277567.10,1664289598680,18.25,18.16
4926860.94,214989436.25,673106.18,277441.35,1664289601828,18.25,18.16
4925959.71,214963517.14,673098.05,276019.09,1664289607695,18.25,18.16
4921843.32,214981791.12,672861.98,277018.20,1664289615920,18.25,18.16
4919436.25,214990560.68,672730.11,277479.19,1664289618312,18.25,18.16
4916042.39,214996842.87,672543.81,277823.26,1664289626944,18.25,18.16
4916283.94,214977947.32,672556.86,276788.09,1664289629146,18.25,18.16
4927551.26,214977463.43,673173.46,276760.76,1664289636502,18.26,18.16
4933472.43,214955912.04,673495.00,275577.79,1664289641727,18.26,18.16
4916135.77,214991202.03,672543.74,277508.19,1664289643917,18.26,18.16
4928445.33,214984758.15,673223.09,277260.90,1664289651394,18.26,18.16
4929767.99,214971269.46,673299.95,276525.60,1664289659630,18.26,18.16
4890617.70,214865223.61,671134.37,270723.80,1664289661744,18.28,18.16
4929512.01,214969989.85,673281.64,276444.89,1664289665478,18.26,18.16
4930620.87,214961317.04,673341.54,275970.67,1664289667853,18.27,18.16
4938816.88,214932097.84,673784.04,274373.68,1664289670699,18.28,18.16
4939081.35,214950940.40,673780.03,275388.03,1664289673917,18.28,18.16
4947228.60,214952103.89,674225.93,275454.23,1664289682677,18.28,18.16
4952967.32,214956104.19,674540.52,275672.95,1664289685474,18.28,18.16
4915271.92,214945639.66,672472.71,275097.69,1664289688574,18.29,18.16
4937964.71,214971583.01,673717.09,276515.93,1664289697504,18.28,18.16
4929573.58,214941122.10,673256.83,274849.37,1664289700609,18.29,18.16
4922446.42,214962382.88,672867.05,276014.18,1664289703578,18.28,18.16
4928411.33,214983145.28,673197.57,277118.72,1664289713066,18.28,18.16
4919790.57,214971900.76,672701.42,276504.97,1664289722847,18.28,18.16
4920846.03,214980144.17,672756.53,276962.12,1664289734614,18.26,18.16
4914063.56,214978692.00,672387.25,276883.23,1664289737838,18.26,18.16
4924936.26,214983269.16,672979.28,277125.23,1664289748016,18.28,18.16
4906651.41,214959808.57,671975.56,275842.11,1664289758575,18.28,18.16
4902888.79,214989885.26,671765.14,277474.15,1664289769436,18.27,18.16
4912043.70,214983616.16,672265.83,277134.32,1664289772199,18.27,18.16
4915260.15,214983029.48,672441.71,277102.23,1664289776911,18.27,18.16
4929470.69,214952017.28,673214.60,275400.65,1664289788105,18.28,18.16
4931550.25,214954620.46,673316.30,275482.37,1664289799390,18.28,18.16
4933507.86,214976443.49,673422.45,276674.81,1664289802539,18.29,18.16
4916913.43,214949636.79,672501.31,275182.16,1664289814366,18.3,18.16
4905738.46,214972049.15,671886.43,276404.28,1664289826232,18.3,18.16
4925323.07,214936902.21,672863.08,274610.99,1664289838214,18.31,18.16
4929582.37,214945041.57,673095.47,275055.48,1664289841160,18.31,18.16
4925227.75,214961122.18,672857.37,275933.39,1664289854118,18.31,18.16
4918815.23,214941013.82,672508.14,274837.66,1664289856538,18.3,18.16
4874777.85,214903100.96,670096.93,272770.04,1664289860283,18.3,18.16
4876955.46,214923721.95,670223.30,273911.98,1664289873776,18.28,18.16
4862661.15,214863041.66,669429.78,270588.17,1664289886742,18.3,18.16
4916164.61,214958037.48,672340.38,275708.16,1664289902868,18.31,18.16
4922008.79,214972980.84,672608.94,276536.82,1664289916137,18.31,18.16
4980372.26,214976784.38,676159.90,276723.09,1664289929410,18.3,18.16
4965242.99,214977260.75,675347.37,276758.78,1664289942869,18.28,18.16
4983113.29,214983738.59,676321.23,277112.26,1664289956418,18.29,18.16
4977136.73,214939641.15,675993.90,274707.71,1664289970524,18.29,18.16
4982605.41,214961343.06,676293.23,275893.86,1664289973281,18.29,18.16
4968551.88,214923609.83,675498.77,273811.93,1664289987369,18.3,18.16
4977112.78,214969173.63,675978.85,276296.25,1664289990486,18.3,18.16
5004635.60,214958905.62,677472.79,275723.09,1664290004939,18.32,18.16
5001688.05,214942001.78,677309.06,274838.84,1664290020623,18.32,18.16
5003781.39,214947201.62,677421.34,275122.22,1664290022541,18.32,18.16
5005389.08,214954196.36,677513.79,275507.26,1664290025679,18.32,18.16
5005614.96,214935148.17,677519.39,274468.53,1664290028565,18.33,18.16
5008873.34,214969024.52,677703.60,276317.91,1664290044209,18.32,18.16
5000884.20,214962007.11,677266.65,275932.58,1664290059940,18.32,18.16
4990548.38,214954202.32,676699.77,275476.24,1664290075901,18.31,18.16
5002237.07,214962293.91,677338.17,275917.90,1664290079314,18.32,18.16
5001658.30,214960062.32,677305.89,275799.70,1664290096356,18.32,18.16
4997445.16,214955491.56,677076.44,275550.65,1664290098748,18.31,18.16
5011165.33,214947967.41,677822.76,275105.48,1664290115636,18.32,18.16
5008268.29,214955955.01,677668.41,275549.68,1664290132602,18.31,18.16
5010741.48,214944281.86,677801.15,275015.07,1664290149676,18.32,18.16
4997879.80,214946257.14,677098.92,275125.21,1664290167087,18.31,18.16
4996278.06,214967864.67,677012.46,276308.12,1664290184581,18.3,18.16
4993908.15,214963578.61,676882.69,276072.56,1664290187626,18.31,18.16
5001347.89,214954669.55,677288.02,275585.84,1664290205669,18.31,18.16
4990301.63,214959762.18,676712.67,275870.19,1664290223642,18.29,18.16
4981658.52,214957535.00,676232.45,275743.93,1664290226976,18.3,18.16
4999870.24,214954698.05,677229.50,275591.27,1664290245560,18.3,18.16
4997256.63,214948389.45,677086.38,275247.37,1664290248522,18.3,18.16
4986002.68,214957357.07,676470.42,275737.58,1664290252619,18.29,18.16
4990403.96,214966914.88,676715.29,276250.80,1664290254644,18.28,18.16
4977272.71,214980724.53,676001.51,277007.81,1664290257554,18.28,18.16
5001326.37,214979223.06,677318.62,276899.47,1664290261337,18.28,18.16
4976696.41,214989915.92,675966.48,277475.50,1664290281821,18.29,18.16
4989862.80,214991164.40,676684.88,277541.81,1664290302308,18.29,18.16
5003388.81,214975489.28,677424.62,276685.10,1664290305391,18.29,18.16
4950471.65,214978527.42,674567.96,276851.49,1664290308361,18.29,18.16
4994697.70,214988454.01,676987.95,277392.89,1664290311303,18.3,18.16
4986910.57,214844609.83,676560.09,270640.85,1664290333329,18.29,18.16
4986983.79,214851541.31,676573.16,271024.42,1664290336087,18.28,18.16
4973146.10,214846477.47,675807.51,270742.58,1664290362091,18.29,18.16
5351168.88,214839737.71,696938.08,270398.02,1664290384854,18.31,18.16
5342443.42,214844705.49,696467.61,270673.12,1664290407512,18.3,18.16
5354056.47,214820654.84,697100.32,269356.21,1664290410608,18.3,18.16
5324750.29,214845840.47,695501.31,270734.23,1664290413652,18.3,18.16
5347195.13,214851745.23,696730.26,271058.06,1664290416723,18.29,18.16
5339032.87,214830028.21,696283.53,269876.15,1664290440716,18.29,18.16
5299523.95,214829982.60,694128.02,269882.27,1664290443784,18.28,18.16
5311402.82,214826296.00,694796.80,269679.60,1664290468065,18.28,18.16
5321141.02,214840082.21,695375.57,270442.51,1664290492578,18.26,18.16
5335869.03,214851480.06,696181.26,270960.57,1664290498579,18.26,18.16
5326030.28,214824916.64,695648.38,269511.69,1664290523623,18.26,18.16
5343923.50,214834772.04,696630.33,270032.82,1664290526858,18.26,18.16
5339470.97,214843354.33,696384.83,270506.95,1664290552421,18.26,18.16
5333022.90,214808522.16,696152.33,268766.23,1664290581607,18.22,18.15
5347440.15,214801853.98,697036.16,268420.56,1664290607532,18.22,18.15
5344236.58,214822098.90,696977.68,269551.06,1664290633705,18.2,18.13
5337968.97,214810642.41,696621.56,268912.10,1664290636607,18.22,18.13
5336183.50,214848965.94,696512.68,271017.79,1664290667861,18.22,18.13
5358800.88,214832523.06,697757.72,270117.08,1664290671039,18.21,18.13
5348058.02,214827222.16,697426.50,269870.70,1664290699654,18.18,18.11
5339950.71,214824940.43,696931.44,269713.50,1664290727009,18.2,18.11
5332552.17,214799930.20,696517.70,268288.48,1664290755898,18.2,18.11
5335148.60,214837397.20,696657.70,270304.52,1664290784109,18.21,18.11
5297555.39,214778704.79,694583.64,267184.71,1664290812000,18.22,18.11
5313860.21,214799820.21,695481.68,268344.32,1664290816107,18.2,18.11
5332369.00,214821913.93,696471.31,269535.21,1664290844360,18.21,18.11
5312001.12,214843544.89,695418.49,270760.83,1664290872852,18.17,18.09
5295415.41,214844633.39,694644.72,270871.59,1664290901616,18.13,18.06
5302100.33,214842259.51,695150.57,270746.97,1664290904575,18.12,18.05
5353231.92,214835145.31,697938.64,270325.48,1664290934239,18.14,18.05
5347971.90,214833043.89,697648.08,270209.60,1664290936878,18.15,18.05
5352665.40,214826163.80,697905.97,269834.60,1664290940232,18.15,18.05
5324362.81,214857739.91,696356.51,271508.47,1664290970926,18.13,18.05
5320669.91,214845894.64,696152.31,270854.80,1664290974458,18.13,18.05
5331728.53,214843474.30,696756.98,270743.19,1664291005775,18.13,18.05
5325321.43,214853265.31,696402.91,271282.33,1664291009235,18.14,18.05
5325433.81,214853238.86,696408.98,271280.59,1664291011861,18.14,18.05
5330291.05,214836590.36,696657.24,270353.12,1664291044265,18.15,18.05
5309596.06,214840804.84,695583.12,270615.41,1664291077067,18.12,18.05
5334284.22,214836619.06,697141.40,270466.29,1664291110277,18.1,18.03
5338669.92,214835713.40,697384.08,270416.66,1664291113062,18.1,18.03
5338615.59,214844988.21,697380.62,270928.14,1664291115978,18.1,18.03
5337829.82,214844170.69,697335.67,270881.45,1664291118993,18.1,18.03
5319411.84,214826312.37,696382.69,269905.57,1664291153603,18.09,18.02
5303621.40,214705719.42,695512.12,263294.49,1664291156671,18.08,18.01
5300780.09,214828240.82,695324.03,270002.49,1664291191863,18.13,18.01
5314200.48,214826849.28,696079.07,269924.05,1664291228121,18.11,18.01
5349397.34,214777281.26,697989.28,267154.38,1664291264006,18.15,18.01
5329890.71,214830025.99,696842.33,270059.91,1664291300462,18.16,18.01
5334823.47,214835706.97,697101.20,270374.81,1664291336653,18.17,18.01
5316954.23,214825848.51,696116.32,269832.82,1664291339685,18.17,18.01
5307795.89,214826430.43,695611.36,269873.26,1664291342642,18.16,18.01
5327995.76,214824990.57,696593.65,269724.36,1664291386282,18.17,18.01
5333816.74,214808926.19,696876.59,268923.99,1664291424061,18.18,18.01
5336335.75,214820157.16,697018.14,269542.08,1664291427057,18.17,18.01
5318193.71,214758694.16,695968.01,266182.99,1664291465304,18.17,18.01
5324003.33,214739214.59,696287.28,265111.58,1664291468303,18.17,18.01
5320275.80,214758138.54,696058.24,266148.74,1664291471366,18.17,18.01
5320445.12,214764130.80,696067.57,266478.65,1664291474254,18.17,18.01
5314104.81,215082204.78,695723.18,283210.62,1664291514360,18.16,18.01
5318259.63,215081504.61,695953.59,283172.10,1664291517442,18.16,18.01
5327915.54,215065906.53,696574.79,282357.60,1664291560164,18.13,18.01
5328701.73,215184318.07,696623.10,288779.56,1664291601234,18.13,18.01
5310453.62,215172121.17,695615.68,288112.17,1664291604358,18.12,18.01
5325346.13,215174680.15,696466.92,288256.76,1664291607429,18.12,18.01
5320645.05,215181575.57,696258.09,288639.33,1664291610199,18.12,18.01
5324843.45,215171430.10,696490.00,288078.36,1664291613302,18.12,18.01
5324843.45,215167249.06,696490.00,287812.18,1664291616295,18.12,18.01
5324669.85,215144554.49,696512.48,286648.00,1664291660985,18.11,18.01
5335511.80,215171094.73,697112.08,288062.15,1664291707128,18.12,18.01
5330033.50,215182063.67,696809.17,288667.98,1664291708505,18.12,18.01
5331633.27,215172684.50,696898.52,288155.77,1664291714683,18.11,18.01
5337921.76,215177344.04,697246.69,288408.23,1664291759804,18.11,18.01
5306264.36,215180880.53,695566.73,288631.33,1664291760427,18.08,18.01
5305533.18,215161597.24,695630.44,287650.02,1664291807867,18.09,18.01
5305309.45,215164925.96,695618.07,287834.40,1664291810230,18.09,18.01
5316242.37,215163849.87,696242.31,287784.86,1664291857774,18.1,18.01
5336343.93,215140027.47,697352.86,286469.36,1664291861548,18.1,18.01
5335732.76,215144042.88,697318.22,286690.95,1664291863861,18.1,18.01
5336004.03,215143832.64,697333.22,286679.44,1664291866831,18.1,18.01
5311541.84,215147115.21,695979.92,286862.29,1664291869818,18.1,18.01
5322157.19,215156297.54,696574.13,287360.36,1664291920202,18.09,18.01
5311836.53,215162291.21,695989.84,287688.45,1664291979460,18.1,18.01
5306461.53,215157616.74,695692.57,287431.59,1664291981243,18.09,18.01
5325709.70,215150433.87,696747.00,287060.48,1664292033932,18.11,18.01
5269167.46,215117782.17,693637.05,285249.71,1664292085575,18.09,18.01
5329586.46,215155810.88,696996.44,287398.89,1664292137385,18.09,18.01
5279551.52,215174387.51,694356.99,288454.79,1664292189829,18.05,17.98
5296525.75,215194409.65,695298.64,289483.78,1664292192714,18.05,17.98
5291524.63,215181775.19,695348.78,288848.92,1664292245782,18.01,17.94
5266283.32,215096811.84,693897.68,284191.89,1664292298980,18.05,17.94
5275406.39,215092565.70,694401.37,283955.62,1664292301938,18.06,17.94
5336262.32,215157487.37,697812.80,287462.68,1664292355934,18.01,17.94
5303599.94,215174037.27,696028.43,288379.92,1664292411840,17.99,17.92
5316756.46,215175554.37,696761.35,288463.18,1664292413179,18,17.92
5328011.82,215157744.17,697393.78,287502.35,1664292468169,18,17.92
