bc,ac,tbv,tav,time,mp,minBid
6061884.71,1230006979.14,657947.18,299151.33,1660756621563,26.39,26.29
6064033.79,1230001532.65,658028.65,299062.32,1660756624659,26.39,26.29
6073985.29,1230004466.67,658406.63,299173.92,1660756627624,26.39,26.28
6037535.12,1229918854.31,657024.84,295947.48,1660756630546,26.38,26.28
6060879.86,1229960497.70,657910.98,297513.85,1660756633557,26.39,26.28
6047598.23,1229987162.61,657406.63,298523.56,1660756636473,26.38,26.28
6057841.67,1229984984.09,657795.71,298441.04,1660756639559,26.38,26.28
6058818.09,1229992468.11,657832.57,298725.23,1660756642570,26.38,26.27
6027091.83,1230006151.97,656632.84,299251.34,1660756645475,26.37,26.26
6027744.02,1229994917.66,656592.73,298827.25,1660756649334,26.36,26.26
6032783.15,1230012935.72,656784.12,299510.30,1660756651573,26.36,26.26
6030833.62,1230001997.32,656709.61,299093.81,1660756654547,26.36,26.26
6032846.82,1230010818.55,656786.82,299429.11,1660756657553,26.36,26.26
6035722.47,1230007625.30,656902.15,299310.51,1660756660880,26.35,26.24
6027392.05,1230009232.89,656588.45,299377.83,1660756663531,26.34,26.24
5979330.29,1229960787.71,654762.89,297558.22,1660756666631,26.32,26.22
6017321.19,1229985421.09,656246.80,298491.11,1660756669557,26.31,26.21
6027723.01,1230009702.61,656644.60,299430.71,1660756672545,26.31,26.21
6037386.90,1230011687.49,657012.21,299512.59,1660756676229,26.31,26.21
6073128.24,1229999984.33,658372.09,299066.11,1660756679310,26.32,26.21
6052758.25,1229929778.72,657601.99,296420.79,1660756681525,26.3,26.2
6037196.42,1229970038.29,657004.75,297808.13,1660756684522,26.33,26.2
6075240.99,1229953720.23,658451.30,297188.90,1660756687796,26.33,26.2
6041244.99,1229985699.73,657157.20,298400.50,1660756690613,26.33,26.2
6029039.76,1229984252.94,656692.47,298346.58,1660756693668,26.32,26.2
6047108.81,1229981974.47,657381.65,298264.78,1660756696632,26.32,26.2
6054457.43,1229936731.43,657659.63,296547.57,1660756699587,26.33,26.2
6048549.47,1229981868.23,657433.57,298254.52,1660756702527,26.33,26.2
6044423.58,1229995124.11,657277.94,298760.35,1660756705565,26.33,26.2
6069064.74,1229989530.84,658214.45,298547.92,1660756708576,26.32,26.2
6035710.82,1230000423.77,656946.42,298961.77,1660756711527,26.32,26.2
6014911.90,1229989190.12,656157.27,298540.56,1660756714524,26.31,26.2
6014926.64,1229999683.76,656157.83,298939.17,1660756717586,26.31,26.2
6039768.38,1230019614.70,657124.24,299712.85,1660756720592,26.3,26.2
6039844.95,1230023729.11,657129.50,299870.83,1660756723627,26.3,26.2
6013929.77,1230001323.52,656157.61,299037.62,1660756727293,26.29,26.19
6008762.14,1230011675.08,655960.93,299431.20,1660756729572,26.29,26.19
6015634.12,1230015215.50,656252.96,299565.79,1660756732790,26.29,26.19
6012022.68,1229964695.05,656128.53,297661.71,1660756735483,26.28,26.18
6028152.04,1230008896.28,656748.85,299335.48,1660756738614,26.28,26.17
6038641.59,1229992954.58,657149.80,298730.68,1660756741516,26.28,26.17
6045631.84,1229974476.66,657415.42,298080.73,1660756744657,26.29,26.17
6053644.55,1229973446.70,657721.06,298043.13,1660756747915,26.28,26.17
6056660.98,1229997810.49,657835.53,298951.11,1660756750524,26.28,26.17
6046228.20,1229964875.32,657435.45,297698.04,1660756753811,26.29,26.17
6042039.25,1229982676.92,657276.08,298374.95,1660756756496,26.29,26.17
6030014.13,1230013205.05,656818.58,299536.17,1660756759585,26.28,26.17
6021256.93,1229997164.47,656484.92,298927.02,1660756762820,26.28,26.17
6023786.68,1230009741.24,656582.25,299405.88,1660756765557,26.28,26.17
6050547.74,1230001809.26,657604.79,299106.36,1660756768866,26.27,26.17
6017415.06,1229990951.66,656340.95,298692.64,1660756771879,26.28,26.17
6050976.55,1229997224.61,657621.90,298936.72,1660756774837,26.28,26.17
6053112.19,1230009318.59,657703.27,299414.32,1660756777942,26.28,26.17
6061551.00,1230004107.89,658024.87,299214.37,1660756780889,26.29,26.17
6079923.65,1229987424.56,658724.78,298580.26,1660756784258,26.28,26.17
6065536.83,1229987424.56,658176.51,298580.26,1660756787332,26.28,26.17
6057294.24,1230011396.77,657862.63,299494.10,1660756790920,26.28,26.17
6065368.85,1230013374.40,658170.05,299569.18,1660756794583,26.28,26.17
6072517.01,1230007314.69,658442.53,299341.18,1660756798387,26.28,26.17
6058115.69,1229987739.18,657893.29,298597.26,1660756802189,26.28,26.17
6057707.48,1229974110.51,657874.99,298048.78,1660756805283,26.29,26.17
6057365.68,1229985688.86,657862.27,298488.88,1660756809523,26.3,26.17
6062084.25,1229968690.35,658041.02,297841.47,1660756812435,26.29,26.17
6060152.34,1229993607.96,657967.29,298787.60,1660756816554,26.3,26.17
6065078.12,1229996177.98,658153.74,298883.34,1660756819602,26.31,26.17
6068370.70,1229988804.67,658278.75,298602.99,1660756822570,26.3,26.17
6068827.47,1230003025.76,658296.00,299143.36,1660756825653,26.3,26.17
6063017.54,1230016555.21,658074.91,299658.14,1660756828597,26.3,26.17
6068688.51,1230007387.83,658291.69,299311.61,1660756831589,26.29,26.17
6070491.19,1230010458.36,658360.29,299433.33,1660756834670,26.3,26.17
6058403.37,1230002388.87,657899.34,299126.62,1660756837608,26.3,26.17
6068397.54,1230009421.11,658280.18,299393.79,1660756840730,26.3,26.17
6078570.97,1230006399.03,658667.29,299278.73,1660756843564,26.3,26.17
6062894.97,1230029092.71,658070.49,300141.78,1660756846600,26.29,26.17
6073642.01,1229993817.25,658480.10,298800.83,1660756849593,26.3,26.17
6077913.51,1229979207.88,658642.64,298246.07,1660756853622,26.3,26.17
6068143.58,1229986194.41,658268.81,298511.80,1660756859752,26.3,26.17
6070897.39,1229958369.45,658372.21,297475.77,1660756866114,26.3,26.17
6096163.56,1229969045.79,659329.65,297871.20,1660756869138,26.31,26.17
6069221.49,1229872269.18,658283.67,294181.58,1660756875728,26.33,26.17
6034376.35,1229950808.62,656960.71,297149.78,1660756882604,26.34,26.17
6065373.00,1229956097.77,658165.89,297334.30,1660756889337,26.35,26.17
6056494.27,1229967170.51,657831.20,297755.90,1660756892450,26.34,26.17
6060412.64,1229972559.77,657980.17,297960.92,1660756900593,26.34,26.17
6073920.33,1229973219.43,658494.90,297989.88,1660756902454,26.33,26.17
6073630.42,1229959352.96,658483.74,297463.55,1660756905699,26.34,26.17
6091685.78,1229969268.01,659170.43,297839.85,1660756908588,26.33,26.17
6083486.16,1229974606.18,658858.35,298042.36,1660756911564,26.33,26.17
6092459.50,1229969583.60,659200.12,297852.82,1660756914541,26.33,26.17
6098174.69,1229968656.01,659417.46,297817.27,1660756922592,26.33,26.17
6090436.08,1229970836.54,659084.55,297872.91,1660756930799,26.33,26.17
6070297.86,1229971964.78,658318.71,297915.63,1660756939215,26.33,26.17
6097761.09,1229952096.17,659361.14,297161.32,1660756947922,26.34,26.17
6074789.73,1229988754.57,658487.87,298551.18,1660756950631,26.34,26.17
6059412.62,1229990767.91,657902.51,298629.08,1660756953657,26.34,26.17
6097774.04,1229983498.17,659359.32,298350.91,1660756963884,26.34,26.17
6054137.62,1230005790.55,657701.49,299199.57,1660756973002,26.33,26.17
6045265.66,1229987095.85,657364.74,298490.94,1660756975936,26.33,26.17
6050405.88,1229995311.09,657560.26,298802.76,1660756978990,26.33,26.17
6094119.45,1229956909.45,659219.38,297343.59,1660756982019,26.34,26.17
6072148.25,1229984222.11,658381.13,298373.78,1660756991850,26.35,26.17
6079842.68,1229993826.25,658641.07,298702.77,1660757001883,26.37,26.17
6083548.22,1229977799.54,658776.97,298083.48,1660757011981,26.37,26.17
6072262.51,1229961559.25,658347.84,297464.66,1660757022205,26.38,26.17
6076211.09,1229975793.12,658445.70,297977.74,1660757032675,26.4,26.17
6043119.87,1230011003.28,657193.96,299313.25,1660757043378,26.38,26.17
6057145.07,1230015344.55,657726.67,299477.79,1660757046261,26.39,26.17
