bc,ac,tbv,tav,time,mp,minBid
5446071.21,11471120.71,710125.19,234705.70,1671028753983,13.82,13.77
5446332.87,11467934.50,710143.59,234475.05,1671028756987,13.83,13.77
5457316.15,11462807.76,710921.54,234100.76,1671028760390,13.83,13.77
5451012.17,11467700.42,710462.78,234448.23,1671028763058,13.83,13.77
5450984.23,11467234.32,710460.76,234414.69,1671028765996,13.83,13.77
5451486.14,11471141.74,710497.33,234697.32,1671028769054,13.83,13.77
5452648.26,11470660.03,710581.16,234662.40,1671028772051,13.83,13.77
5452822.78,11456985.38,710591.67,233672.60,1671028774983,13.84,13.77
5442647.62,11445576.43,709845.25,232838.54,1671028777940,13.84,13.77
5451095.92,11472505.26,710463.69,234778.79,1671028781172,13.84,13.77
5455483.20,11478406.14,710781.79,235205.20,1671028784024,13.84,13.77
5470890.26,11472832.24,711842.65,234725.15,1671028787103,13.85,13.77
5464855.08,11472739.44,711386.11,234725.15,1671028790046,13.85,13.77
5465957.44,11472224.28,711465.62,234687.64,1671028792994,13.85,13.77
5474280.22,11454459.62,712066.46,233403.95,1671028795977,13.85,13.77
5471052.35,11464081.70,711832.90,234098.91,1671028798998,13.85,13.77
5466738.25,11465877.05,711520.15,234228.91,1671028802011,13.85,13.77
5461765.44,11466937.41,711159.65,234305.05,1671028805102,13.85,13.77
5451271.76,11470404.60,710397.35,234541.83,1671028808074,13.85,13.77
5455706.17,11470906.31,710720.14,234580.76,1671028811008,13.85,13.77
5471584.17,11474534.99,711868.74,234843.19,1671028814018,13.85,13.77
5458734.69,11478445.87,710849.08,235128.72,1671028816960,13.85,13.77
5470052.38,11479899.37,711672.41,235234.50,1671028819995,13.84,13.77
5469457.17,11484267.39,711629.16,235551.00,1671028822913,13.84,13.77
5473310.39,11481926.69,711907.66,235382.65,1671028826087,13.84,13.77
5431314.79,11468107.55,708873.70,234394.31,1671028828953,13.83,13.77
5464964.88,11459063.99,711310.38,233741.31,1671028832006,13.84,13.77
5454185.03,11467383.85,710519.98,234349.00,1671028834998,13.84,13.77
5450651.86,11470014.77,710264.67,234539.64,1671028838148,13.84,13.77
5451101.27,11470011.35,710297.68,234539.64,1671028840930,13.84,13.77
5452904.09,11470336.39,710427.85,234567.03,1671028843988,13.84,13.77
5456596.44,11470336.39,710694.89,234567.03,1671028847403,13.84,13.77
5453079.32,11470336.39,710440.93,234567.03,1671028850042,13.84,13.77
5453219.15,11470171.52,710450.13,234555.13,1671028853075,13.84,13.77
5460159.40,11462630.05,710952.80,234010.01,1671028855975,13.84,13.77
5460555.85,11462762.89,710979.93,234019.44,1671028858971,13.84,13.77
5455808.97,11467391.70,710634.56,234342.75,1671028862091,13.84,13.77
5457158.20,11467377.58,710732.21,234341.85,1671028865121,13.84,13.77
5461360.14,11472226.75,711036.33,234692.99,1671028868077,13.84,13.77
5458599.43,11478082.10,710836.42,235115.63,1671028871461,13.84,13.77
5448366.03,11479167.24,710097.07,235199.37,1671028874065,13.84,13.77
5455623.27,11480312.79,710624.19,235282.26,1671028877134,13.84,13.77
5458143.61,11482843.19,710807.13,235468.22,1671028880126,13.83,13.77
5393423.64,11447163.98,706115.17,232891.09,1671028883439,13.84,13.77
5439113.43,11458261.10,709414.13,233687.12,1671028886106,13.84,13.77
5465220.07,11474941.55,711313.50,234889.28,1671028888983,13.84,13.77
5465220.07,11474134.49,711313.50,234831.21,1671028892065,13.84,13.77
5465202.18,11474306.53,711309.05,234844.47,1671028895019,13.84,13.77
5467944.70,11474715.48,711506.40,234873.51,1671028898057,13.84,13.77
5459793.16,11482355.49,710917.38,235425.32,1671028901027,13.84,13.77
5454151.35,11482410.15,710510.28,235429.32,1671028903964,13.84,13.77
5461687.92,11482575.01,711055.12,235441.21,1671028907045,13.84,13.77
5467475.82,11492760.93,711476.54,236179.86,1671028909986,13.84,13.77
