mp,timeStamp,mean,skew
11.85,1671640662481,3269.608283236995,-3257.758283236995
11.85,1671640684111,3284.1644848868705,-3272.3144848868706
11.85,1671640686583,3287.2825073341032,-3275.4325073341033
11.85,1671640689718,3289.4175532486724,-3277.5675532486725
11.85,1671640692829,3291.1964130358833,-3279.3464130358834
11.85,1671640698806,3295.68213313929,-3283.83213313929
11.85,1671640701788,3296.6458845091156,-3284.7958845091157
11.85,1671640704963,3298.6755422015967,-3286.825542201597
11.85,1671640707894,3300.467398273376,-3288.6173982733762
11.85,1671640723163,3308.3786209122186,-3296.5286209122187
11.85,1671640726034,3308.584367478431,-3296.734367478431
11.85,1671640732209,3305.054841720273,-3293.204841720273
11.85,1671640735369,3302.76447101455,-3290.91447101455
11.85,1671640738410,3300.753175851285,-3288.903175851285
11.85,1671640741447,3298.888080751809,-3287.038080751809
11.85,1671640744484,3297.7567274924745,-3285.9067274924746
11.85,1671640747633,3298.1357510286625,-3286.2857510286626
11.85,1671640753723,3296.806497311535,-3284.9564973115353
11.85,1671640756825,3295.67885576185,-3283.8288557618503
11.85,1671640762876,3293.313688457591,-3281.463688457591
11.85,1671640769115,3291.5660929276137,-3279.7160929276138
11.85,1671640778365,3288.601342639946,-3276.751342639946
11.85,1671640781361,3289.31484883341,-3277.46484883341
11.84,1671640787616,3289.8470148958672,-3278.007014895867
11.84,1671640793912,3289.8868530349205,-3278.0468530349203
11.84,1671640799844,3290.356233743234,-3278.516233743234
11.84,1671640803379,3289.863990622389,-3278.0239906223887
11.84,1671640809435,3289.3058167027084,-3277.4658167027083
11.84,1671640818820,3286.324661376706,-3274.484661376706
11.84,1671640834886,3275.7309047139966,-3263.8909047139964
11.84,1671640839168,3275.3178807706963,-3263.477880770696
11.84,1671640846624,3269.791665807099,-3257.951665807099
11.84,1671640851282,3266.546614040856,-3254.706614040856
11.84,1671640862190,3259.9830872697235,-3248.1430872697233
11.84,1671640870383,3257.1586332261536,-3245.3186332261535
11.83,1671640878855,3257.4358697450616,-3245.6058697450617
11.84,1671640887624,3260.4100279269546,-3248.5700279269545
11.84,1671640893475,3260.352540317659,-3248.512540317659
11.84,1671640899615,3259.529869469087,-3247.6898694690867
11.84,1671640912110,3257.998933487834,-3246.158933487834
11.84,1671640921812,3255.823509825487,-3243.9835098254866
11.84,1671640935126,3252.0699878066594,-3240.229987806659
11.84,1671640945596,3249.9911465587556,-3238.1511465587555
11.84,1671640966113,3248.9864495662086,-3237.1464495662085
11.84,1671640981233,3248.6317575650687,-3236.7917575650686
11.84,1671641003211,3247.4627922104396,-3235.6227922104395
11.84,1671641019866,3245.9148253459725,-3234.0748253459724
11.84,1671641030685,3244.973243604577,-3233.133243604577
11.84,1671641048156,3241.5843861884946,-3229.7443861884944
11.84,1671641059730,3240.8892756671958,-3229.0492756671956
11.84,1671641074717,3238.728121594642,-3226.8881215946417
11.84,1671641090319,3237.1431489920897,-3225.3031489920895
11.84,1671641112654,3234.804568741299,-3222.964568741299
11.84,1671641126168,3234.0805684101956,-3222.2405684101955
11.84,1671641143304,3232.65088374596,-3220.81088374596
11.84,1671641157587,3232.3271803942102,-3220.48718039421
11.83,1671641172657,3232.9904892742306,-3221.1604892742307
11.83,1671641187281,3233.784293180858,-3221.9542931808583
11.83,1671641208606,3233.387599239873,-3221.557599239873
11.83,1671641231227,3233.6725902572016,-3221.8425902572017
11.83,1671641247679,3234.8562150217076,-3223.0262150217077
11.84,1671641267593,3236.63721470122,-3224.7972147012197
11.84,1671641284782,3237.7113097878832,-3225.871309787883
11.83,1671641301903,3237.3225218697485,-3225.4925218697485
11.83,1671641319310,3236.4298664713824,-3224.5998664713825
11.83,1671641336808,3236.7601709183664,-3224.9301709183665
11.83,1671641354988,3236.5272317683416,-3224.6972317683417
11.83,1671641390923,3235.7353355967384,-3223.9053355967385
11.83,1671641452556,3234.080783827244,-3222.250783827244
11.83,1671641678545,3210.9449324167867,-3199.114932416787
11.83,1671641701195,3210.951613186751,-3199.121613186751
11.83,1671646048061,3213.3079224755243,-3201.4779224755243
11.83,1671646183713,3212.9379461147687,-3201.1079461147688
11.83,1671646254253,3210.1669810062476,-3198.3369810062477
11.83,1671646319102,3209.9550086737336,-3198.1250086737336
11.49,1671722195152,3129.9920507085985,-3118.5020507085987
11.51,1671724249422,3132.2192537036644,-3120.709253703664
11.5,1671724765798,3132.1667681153804,-3120.6667681153804
11.5,1671725283326,3132.4709442897442,-3120.9709442897442
11.53,1671725801697,3131.793126099213,-3120.263126099213
11.5,1671726333960,3131.5948146217193,-3120.0948146217193
