bc,ac,tbv,tav,time,mp,minBid
4570694.43,2210101326.62,609809.27,261507.58,1667398787547,17.96,17.89
4571612.76,2210082680.95,609859.38,260466.91,1667398790725,17.96,17.89
4563779.14,2210084742.93,609420.19,260567.16,1667398793410,17.97,17.89
4560072.26,2210065140.27,609211.81,259475.04,1667398796421,17.97,17.89
4566350.26,2210092846.55,609561.21,261014.90,1667398799377,17.97,17.89
4563187.87,2210100978.31,609383.24,261445.90,1667398802496,17.97,17.89
4559575.05,2210088589.21,609182.04,260756.18,1667398805435,17.97,17.89
4563584.88,2210097069.83,609406.37,261228.80,1667398808457,17.97,17.89
4560340.59,2210094566.40,609225.48,261090.18,1667398811463,17.97,17.89
4555739.84,2210100319.16,608969.15,261410.25,1667398814627,17.97,17.89
4571077.57,2210098281.19,609823.43,261296.84,1667398817586,17.97,17.89
4575636.02,2210098603.37,610076.82,261314.60,1667398820509,17.97,17.89
4572175.09,2210092554.10,609880.99,260951.23,1667398823492,17.97,17.89
4558567.08,2210090036.58,609121.72,260811.18,1667398826606,17.97,17.89
4570405.46,2210093338.02,609780.65,260959.61,1667398829551,17.97,17.89
4567547.45,2210106271.69,609564.55,261698.71,1667398832541,17.98,17.89
4554345.99,2210104373.88,608824.67,261593.59,1667398835456,17.97,17.89
4547962.50,2210096555.01,608469.46,261159.16,1667398838546,17.97,17.89
4549477.41,2210099624.99,608553.07,261329.89,1667398841452,17.97,17.89
4553002.88,2210103297.25,608749.08,261533.82,1667398844484,17.97,17.89
4565453.62,2210108629.58,609443.23,261830.25,1667398847570,17.97,17.89
4544002.93,2210113227.07,608249.53,262089.30,1667398850966,17.97,17.89
4548492.92,2210115419.05,608501.08,262211.25,1667398854041,17.97,17.89
4557475.37,2210115760.84,609001.74,262230.27,1667398856462,17.97,17.89
4568962.86,2210097717.54,609638.53,261226.02,1667398859436,17.97,17.89
4564175.16,2210103029.58,609371.47,261521.37,1667398862524,17.97,17.89
4556952.64,2210106099.29,608969.89,261692.14,1667398865574,17.97,17.89
4546415.19,2210124577.33,608383.26,262720.45,1667398868574,17.97,17.89
4543981.62,2210114404.01,608234.32,262154.37,1667398871523,17.97,17.89
4553479.60,2210117473.07,608765.04,262328.31,1667398874516,17.96,17.89
4557834.98,2210116305.26,609008.08,262262.91,1667398877447,17.96,17.89
4548528.70,2210109457.13,608491.54,261882.56,1667398880444,17.96,17.89
4542030.41,2210108146.18,608129.68,261810.68,1667398883476,17.96,17.89
4525477.99,2210127726.67,607208.03,262900.77,1667398886759,17.96,17.89
4545833.08,2210103699.51,608350.98,261648.43,1667398889466,17.96,17.89
4549903.71,2210094781.27,608578.19,261152.70,1667398892522,17.95,17.88
4554766.66,2210094234.88,608849.57,261122.43,1667398895441,17.95,17.88
4557909.71,2210098505.01,609024.57,261359.88,1667398899128,17.96,17.88
4559625.79,2210094600.86,609120.70,261143.31,1667398902087,17.95,17.88
4552331.55,2210088836.46,608714.30,260822.60,1667398904593,17.95,17.88
4561690.53,2210087828.45,609236.14,260766.28,1667398907522,17.95,17.88
4559677.51,2210087826.56,609124.02,260766.27,1667398910515,17.95,17.88
4559159.59,2210089218.32,609095.02,260844.83,1667398913643,17.95,17.88
4549276.01,2210080917.85,608542.16,260381.76,1667398916463,17.96,17.88
4530510.32,2210081236.13,607494.56,260399.32,1667398919545,17.96,17.88
4520870.88,2210048951.26,606958.01,258595.32,1667398922658,17.96,17.88
4559494.96,2210113336.96,609113.80,262174.22,1667398925622,17.95,17.88
4549017.15,2210096178.50,608529.69,261220.72,1667398929068,17.96,17.88
4549790.83,2209984651.17,608571.90,255191.04,1667398931476,17.96,17.88
4558081.38,2210106873.27,609034.28,261815.62,1667398934614,17.96,17.88
4563037.90,2210099674.62,609299.32,261398.63,1667398937641,17.98,17.88
4568809.48,2210105719.46,609620.02,261735.11,1667398940492,17.97,17.88
4570737.31,2210094566.27,609722.19,261116.62,1667398943557,17.98,17.88
4563992.30,2210100853.59,609347.20,261463.35,1667398946441,17.97,17.88
4572767.08,2210109095.48,609836.02,261850.98,1667398949518,17.97,17.88
4549768.48,2210114540.04,608553.19,262152.20,1667398952486,17.98,17.88
4578637.69,2210105181.27,610160.81,261631.75,1667398955533,17.98,17.88
4580883.92,2210101991.42,610285.41,261455.64,1667398958593,17.98,17.88
4563175.83,2210113940.03,609299.64,262119.83,1667398961777,17.98,17.88
4544317.93,2210105032.95,608249.60,261626.14,1667398965984,17.98,17.88
4542860.88,2210104170.53,608167.47,261578.40,1667398969202,17.97,17.88
4554538.39,2210110092.32,608818.49,261906.92,1667398972617,17.97,17.88
4557070.72,2210117173.97,608958.88,262298.81,1667398976285,17.98,17.88
4574271.17,2210098662.07,609914.68,261267.80,1667398979703,17.98,17.88
4584023.02,2210087042.38,610399.61,260627.82,1667398983282,17.98,17.88
4572496.37,2210090432.73,609753.90,260814.98,1667398986921,17.99,17.88
4561905.53,2210110064.16,609162.72,261889.46,1667398990599,17.99,17.88
4541758.58,2210092096.50,608040.92,260889.86,1667398994485,17.99,17.88
4560298.25,2210095011.38,609071.51,261051.58,1667398998494,17.99,17.88
4552847.94,2210099199.60,608656.32,261284.12,1667399002610,17.99,17.88
4548990.03,2210085803.90,608438.75,260539.64,1667399006663,18,17.88
4560706.41,2210081131.25,609088.82,260443.52,1667399010913,17.99,17.88
4579947.70,2210086218.72,610159.68,260725.75,1667399015081,17.99,17.88
4582843.68,2210085505.05,610320.59,260686.10,1667399019466,17.99,17.88
4580103.08,2210104010.94,610167.94,261705.29,1667399023871,17.99,17.88
4553874.73,2210101974.30,608666.05,261577.12,1667399028480,18,17.88
4561351.08,2210103144.50,609081.60,261642.15,1667399033101,18,17.88
4564522.91,2210085042.55,609261.89,260641.27,1667399037837,17.99,17.88
4545233.73,2210134896.99,608190.48,263410.83,1667399043057,17.99,17.88
4511936.37,2210051194.05,606340.31,258773.56,1667399048073,17.98,17.88
4538320.06,2210137247.24,607814.56,263553.43,1667399053093,17.97,17.88
4537041.06,2210136823.99,607744.66,263541.86,1667399058181,17.97,17.88
4545331.89,2210146015.56,608207.40,264053.01,1667399063481,17.97,17.88
4528121.83,2210155948.50,607251.05,264606.08,1667399069153,17.97,17.88
4526511.08,2210155574.23,607161.85,264474.78,1667399074532,17.97,17.88
4505980.06,2210140915.13,606016.55,263647.54,1667399080875,17.97,17.88
4538092.11,2210145226.48,607808.44,263888.91,1667399086692,17.96,17.88
4534879.86,2210117564.08,607627.35,262360.67,1667399092577,17.97,17.88
4539357.14,2210139247.02,607876.35,263566.59,1667399098518,17.97,17.88
4534166.80,2210140523.06,607590.41,263638.74,1667399104608,17.97,17.88
4556764.26,2210141316.37,608851.38,263685.96,1667399110732,17.96,17.88
4546049.08,2210131368.07,608326.68,263139.58,1667399118165,17.95,17.88
4531687.21,2210131893.54,607524.15,263166.89,1667399124545,17.96,17.88
4532832.77,2210114576.73,607583.86,262317.80,1667399131098,17.97,17.88
4569562.60,2210121506.00,609628.42,262700.63,1667399137846,17.97,17.88
4551420.19,2210114531.31,608614.45,262321.14,1667399144723,17.97,17.88
4546248.52,2210107322.62,608327.53,261922.45,1667399147615,17.96,17.88
