bc,ac,tbv,tav,time,mp,minBid
5459337.77,210704623.90,896103.80,274351.33,1668611058751,13.09,13.04
5452591.09,210704136.96,895587.01,274314.13,1668611061688,13.09,13.04
5451589.65,210709307.54,895497.65,274714.96,1668611064625,13.09,13.04
5450244.67,210710639.20,895391.15,274814.68,1668611068141,13.1,13.04
5455637.92,210508297.73,895858.42,259410.54,1668611070992,13.1,13.04
5467532.82,210707103.51,896714.05,274484.80,1668611073716,13.1,13.04
5456874.94,210719032.83,895868.81,275390.89,1668611076699,13.11,13.04
5462645.57,210713125.54,896310.20,274940.33,1668611080114,13.11,13.04
5453054.65,210714040.38,895549.42,275041.89,1668611082686,13.11,13.04
5452801.04,210716204.19,895528.58,275206.94,1668611085654,13.11,13.04
5457876.10,210695220.03,895912.61,273574.33,1668611088638,13.11,13.04
5466510.22,210698034.53,896569.18,273773.94,1668611091788,13.12,13.04
5471268.20,210701626.33,896914.75,274075.12,1668611094642,13.12,13.04
5462921.29,210688302.73,896276.68,273062.30,1668611097668,13.12,13.04
5437578.20,210679884.46,894340.71,272421.93,1668611100948,13.12,13.04
5467900.04,210669540.08,896656.22,271778.93,1668611103674,13.12,13.04
5466052.77,210691850.91,896514.48,273476.56,1668611106699,13.12,13.04
5454112.51,210675638.49,895611.64,272227.80,1668611109711,13.11,13.04
5459713.26,210679402.59,896041.80,272514.09,1668611112763,13.12,13.04
5460896.03,210680565.07,896131.50,272603.05,1668611115987,13.11,13.04
5446404.55,210687364.24,895026.62,273124.51,1668611118639,13.11,13.04
5448991.64,210685163.46,895224.07,272956.36,1668611121640,13.11,13.04
5458803.37,210685062.02,895972.11,272948.38,1668611124625,13.11,13.04
5451086.82,210685540.28,895387.19,272984.68,1668611127738,13.11,13.04
5457278.90,210686874.22,895821.76,273086.68,1668611130652,13.11,13.04
5469628.25,210688035.82,896764.69,273176.79,1668611133715,13.11,13.04
5467439.61,210687761.19,896597.54,273156.46,1668611136710,13.11,13.04
5475247.62,210683350.98,896545.63,272827.19,1668611139759,13.11,13.04
5472825.55,210687608.53,896359.98,273185.65,1668611142658,13.11,13.04
5478921.26,210691594.95,896823.09,273490.92,1668611145655,13.11,13.04
5474020.07,210689873.92,896438.80,273362.19,1668611148741,13.12,13.04
5470681.01,210687355.40,896185.15,273172.22,1668611151658,13.12,13.04
5462542.65,210700834.89,895562.60,274182.67,1668611154800,13.12,13.04
5474018.91,210716668.41,896438.90,275390.71,1668611157856,13.12,13.04
5465736.01,210704971.07,895805.68,274499.81,1668611160766,13.12,13.04
5483388.72,210703175.96,897063.30,274362.13,1668611163796,13.12,13.04
5481032.92,210716980.29,896891.25,275234.96,1668611166871,13.12,13.04
5478187.96,210710008.71,896673.14,274703.49,1668611169698,13.12,13.04
5479360.95,210705145.51,896779.57,274339.34,1668611173094,13.1,13.04
5482935.01,210715609.43,897051.88,275137.29,1668611175805,13.1,13.04
5481545.82,210717982.21,896964.63,275320.55,1668611178661,13.1,13.04
5477634.10,210716921.97,896664.93,275240.20,1668611181653,13.1,13.04
