mp,timeStamp,mean,skew
13.1,1668611073732,2349.0890748300276,-2335.9890748300277
13.11,1668611080143,2348.180067426158,-2335.070067426158
13.11,1668611082720,2370.357111340202,-2357.247111340202
13.11,1668611088709,2390.039356280857,-2376.929356280857
13.12,1668611091869,2396.287794243276,-2383.167794243276
13.12,1668611094714,2428.0134153622207,-2414.893415362221
13.12,1668611097746,2456.2766539508357,-2443.156653950836
13.12,1668611101036,2474.8331799438783,-2461.7131799438785
13.12,1668611103776,2493.8379005718716,-2480.7179005718717
13.12,1668611106807,2511.8681608054926,-2498.7481608054927
13.12,1668611112920,2487.2582828596483,-2474.1382828596484
13.11,1668611116149,2487.019365896139,-2473.9093658961388
13.11,1668611118810,2484.8543282453957,-2471.7443282453955
13.11,1668611121832,2482.6605795795026,-2469.5505795795025
13.11,1668611124830,2478.6187030507776,-2465.5087030507775
13.11,1668611127993,2461.612219702477,-2448.502219702477
13.11,1668611130911,2448.290796790987,-2435.1807967909867
13.11,1668611133979,2436.100647666765,-2422.9906476667647
13.11,1668611136998,2424.8842839876056,-2411.7742839876055
13.11,1668611140057,2416.109853240895,-2402.999853240895
13.11,1668611142979,2407.612633848132,-2394.502633848132
13.11,1668611146002,2398.562808799875,-2385.4528087998747
13.12,1668611149114,2405.412391094778,-2392.292391094778
13.12,1668611152147,2413.429943261134,-2400.3099432611343
13.12,1668611155251,2418.1685046585085,-2405.0485046585086
13.12,1668611158308,2423.7741485143115,-2410.6541485143116
13.12,1668611161267,2428.691583562587,-2415.571583562587
13.12,1668611164342,2438.086946135731,-2424.966946135731
13.12,1668611167451,2443.261938171226,-2430.1419381712262
13.12,1668611170321,2448.7118095370033,-2435.5918095370034
13.1,1668611173741,2461.90699471897,-2448.80699471897
13.1,1668611182417,2474.041620817695,-2460.941620817695
13.11,1668611185525,2471.4906824744685,-2458.3806824744684
13.11,1668611189051,2468.705260442009,-2455.595260442009
13.11,1668611191698,2456.5699572116505,-2443.4599572116504
13.1,1668611194607,2453.016994469432,-2439.916994469432
13.1,1668611197691,2449.563760925949,-2436.463760925949
13.11,1668611203666,2458.482511565658,-2445.372511565658
13.11,1668611206886,2462.8275253664815,-2449.7175253664814
13.11,1668611209742,2467.8242081229046,-2454.7142081229044
13.11,1668611213097,2472.2068922934154,-2459.0968922934153
13.1,1668611215843,2475.227911100745,-2462.127911100745
13.09,1668611228090,2495.6457003917412,-2482.555700391741
13.09,1668611231218,2497.65010016512,-2484.56010016512
13.09,1668611234285,2499.4031374370193,-2486.313137437019
13.09,1668611237321,2501.411873621296,-2488.3218736212957
13.1,1668611240431,2492.683596738221,-2479.583596738221
13.1,1668611259295,2467.748553362054,-2454.648553362054
13.1,1668611261932,2470.2872324517134,-2457.1872324517135
13.1,1668611268101,2475.415613897373,-2462.315613897373
13.1,1668611274208,2480.2018940189523,-2467.1018940189524
13.1,1668611277541,2482.28502083006,-2469.1850208300602
13.1,1668611280689,2484.1163762612478,-2471.016376261248
13.1,1668611283838,2485.345606766641,-2472.2456067666412
13.1,1668611287084,2486.2667707408395,-2473.1667707408396
13.1,1668611290454,2486.4075883034347,-2473.307588303435
13.1,1668611296988,2482.760108870143,-2469.660108870143
13.11,1668611300513,2484.946704707961,-2471.836704707961
13.11,1668611304057,2485.559847678842,-2472.4498476788417
13.1,1668611307618,2482.5393255846543,-2469.4393255846544
13.1,1668611311406,2476.8236492692754,-2463.7236492692755
13.1,1668611315260,2472.0866620815764,-2458.9866620815765
13.1,1668611319106,2470.749859712513,-2457.6498597125133
13.09,1668611323052,2468.270320904063,-2455.1803209040627
13.09,1668611326991,2466.061593257489,-2452.971593257489
13.09,1668611331189,2463.803023611427,-2450.7130236114267
13.09,1668611335518,2462.1066391158224,-2449.0166391158223
13.09,1668611339845,2460.387633404173,-2447.2976334041728
13.09,1668611344371,2458.7834161513083,-2445.693416151308
13.1,1668611348876,2460.32248824863,-2447.2224882486303
13.1,1668611353573,2461.960679626072,-2448.860679626072
13.1,1668611358372,2462.242732438292,-2449.142732438292
13.1,1668611363125,2463.1333246975573,-2450.0333246975574
13.1,1668611367951,2464.5810654553766,-2451.4810654553767
13.1,1668611372972,2466.5354175811253,-2453.4354175811254
13.1,1668611377955,2467.5320827866544,-2454.4320827866545
13.1,1668611383057,2468.4916711939777,-2455.391671193978
13.1,1668611400840,2471.275180066659,-2458.175180066659
13.1,1668611406701,2472.370624382037,-2459.270624382037
13.1,1668611412923,2473.339059599857,-2460.2390595998572
13.1,1668611418911,2474.32476715137,-2461.22476715137
13.1,1668611425395,2475.1346337021173,-2462.0346337021174
13.1,1668611431664,2476.1331776823226,-2463.0331776823227
13.11,1668611441027,2479.067229143424,-2465.957229143424
13.11,1668611447533,2480.688843715529,-2467.578843715529
13.11,1668611454196,2481.412891747567,-2468.3028917475667
13.12,1668611460937,2487.6946034847965,-2474.5746034847966
13.12,1668611468716,2493.789365606072,-2480.669365606072
13.12,1668611475822,2494.842365455409,-2481.722365455409
13.11,1668611482894,2494.3429987052737,-2481.2329987052735
13.12,1668611490386,2495.4245322225206,-2482.3045322225207
13.12,1668611497622,2496.448892524801,-2483.328892524801
13.12,1668611505007,2497.60496113516,-2484.48496113516
13.12,1668611512987,2498.329035311183,-2485.209035311183
13.12,1668611520750,2499.087546236945,-2485.967546236945
13.12,1668611528556,2499.774362375962,-2486.654362375962
13.12,1668611536426,2500.064547218559,-2486.944547218559
13.13,1668611545418,2501.4435634789206,-2488.3135634789205
13.13,1668611553599,2499.3259201473666,-2486.1959201473665
13.13,1668611561879,2499.378719619176,-2486.248719619176
13.13,1668611570407,2498.135418987968,-2485.005418987968
13.14,1668611578857,2503.5877851053515,-2490.4477851053516
13.12,1668611587555,2501.3109790890444,-2488.1909790890445
13.13,1668611596425,2499.1061685484083,-2485.976168548408
13.14,1668611605548,2504.084788407986,-2490.944788407986
13.14,1668611614573,2509.5224667770462,-2496.3824667770464
13.14,1668611623713,2514.798865298623,-2501.658865298623
13.14,1668611632935,2520.2159526461046,-2507.0759526461047
13.13,1668611642295,2519.9275483895094,-2506.7975483895093
13.13,1668611651901,2517.136311329529,-2504.0063113295287
13.12,1668611661772,2517.9325700679583,-2504.8125700679584
13.11,1668611671632,2520.41238099314,-2507.3023809931396
13.11,1668611684877,2524.1406935325413,-2511.030693532541
13.11,1668611695200,2525.7958050137568,-2512.6858050137566
13.12,1668611705618,2527.271920950664,-2514.151920950664
13.1,1668611719377,2526.9230336108394,-2513.8230336108395
13.1,1668611730748,2525.638477555125,-2512.538477555125
13.11,1668611742380,2526.786954437175,-2513.676954437175
13.11,1668611753493,2527.7952318503417,-2514.6852318503416
13.11,1668611764794,2528.5932245086974,-2515.4832245086973
13.1,1668611776162,2530.465594316954,-2517.3655943169542
13.11,1668611788833,2531.4026181612476,-2518.2926181612474
13.1,1668611800771,2532.2885988274766,-2519.1885988274767
13.11,1668611812771,2533.898595301853,-2520.788595301853
13.11,1668611825615,2534.6252763714165,-2521.5152763714163
13.1,1668611837882,2535.231337568163,-2522.131337568163
13.1,1668611860039,2537.4036824652526,-2524.3036824652527
13.1,1668611873657,2538.0471760021287,-2524.947176002129
13.1,1668611887106,2538.8883531380634,-2525.7883531380635
13.1,1668611900648,2539.792822231726,-2526.692822231726
13.1,1668611914566,2539.929053325027,-2526.829053325027
13.1,1668611928474,2540.151368834807,-2527.051368834807
13.1,1668611942729,2540.571869495406,-2527.4718694954063
13.09,1668611957150,2542.132300936018,-2529.042300936018
13.08,1668611974773,2539.070198548653,-2525.990198548653
13.07,1668611996018,2534.056150221494,-2520.986150221494
13.06,1668612011399,2536.0208404793348,-2522.960840479335
13.07,1668612026934,2533.808844184991,-2520.7388441849907
13.08,1668612045948,2530.6645123331336,-2517.5845123331337
13.08,1668612065291,2529.1255892215777,-2516.0455892215778
13.06,1668612088332,2527.199213885327,-2514.139213885327
13.07,1668612105559,2525.5078466318428,-2512.4378466318426
13.08,1668612122881,2524.858281980498,-2511.778281980498
13.07,1668612140481,2523.679843976226,-2510.609843976226
13.08,1668612158177,2523.573713462001,-2510.493713462001
13.08,1668612175925,2523.2568799055925,-2510.1768799055926
13.05,1668612210676,2526.343153551801,-2513.293153551801
13.05,1668612230769,2525.721342149418,-2512.671342149418
