bc,ac,tbv,tav,time,mp,minBid
4816118.85,215894091.65,664186.09,334600.92,1664980636066,16.99,16.91
4836176.81,215878872.24,665368.39,333705.00,1664980638583,16.98,16.91
4842005.08,215879483.21,665710.26,333741.00,1664980641594,16.98,16.91
4842061.08,215878873.05,665713.56,333705.00,1664980644465,16.98,16.91
4802766.88,215883860.25,663396.27,333998.84,1664980647375,16.99,16.91
4820377.21,215885385.89,664430.97,334070.98,1664980651352,16.99,16.91
4825916.36,215888159.78,664753.47,334233.58,1664980653496,16.99,16.91
4822112.33,215882138.27,664528.93,333878.44,1664980656420,16.99,16.91
4839818.61,215889368.80,665572.46,334303.76,1664980659578,16.99,16.91
4833773.07,215894803.20,665216.64,334624.79,1664980662398,16.99,16.91
4853144.26,215894035.60,666460.12,334579.52,1664980665365,16.99,16.91
4836865.93,215885257.75,665500.32,334063.14,1664980668430,16.99,16.91
4836874.43,215874613.15,665500.83,333437.03,1664980671521,16.99,16.91
4836409.01,215872462.92,665471.35,333310.74,1664980674571,16.99,16.91
4840067.72,215872884.54,665686.78,333335.53,1664980677443,16.99,16.91
4831811.68,215886937.85,665200.64,334162.55,1664980680414,16.99,16.91
4832066.48,215886937.85,665215.65,334162.55,1664980683504,16.99,16.91
4823725.80,215884331.03,664723.64,334009.30,1664980686453,16.99,16.91
4827224.74,215889043.54,664929.83,334286.78,1664980689552,16.99,16.91
4827341.14,215891019.91,664934.59,334398.34,1664980692498,17,16.91
4823613.17,215881772.73,664711.48,333841.56,1664980695470,17,16.91
4820133.91,215887204.48,664507.35,334161.03,1664980698533,17,16.91
4822326.89,215888606.12,664635.76,334243.49,1664980701517,17,16.91
4797597.53,215858362.05,663166.74,332477.31,1664980704621,17,16.91
4843008.19,215901470.17,665851.73,335001.27,1664980707883,17.01,16.91
4841295.05,215884556.98,665751.00,334007.13,1664980710678,17,16.91
4840747.67,215902067.87,665718.71,335036.63,1664980713622,17,16.91
4861009.59,215900541.86,666910.56,334946.93,1664980716587,17,16.91
4859638.67,215890226.11,666830.09,334340.56,1664980719601,17,16.91
4858146.50,215892138.10,666741.75,334452.90,1664980722577,17,16.91
4878725.71,215878065.54,667952.97,333625.15,1664980725464,17,16.91
4878497.20,215878065.54,667939.52,333625.15,1664980728457,17,16.91
4870819.51,215878260.78,667470.43,333636.60,1664980731522,17,16.91
4861878.56,215899476.70,666944.13,334883.65,1664980734610,17.01,16.91
4861556.20,215901132.18,666914.58,334976.32,1664980737467,17.01,16.91
4863740.27,215899035.80,667043.04,334853.34,1664980740553,17.01,16.91
4872287.36,215878989.23,667546.24,333674.70,1664980743643,17,16.91
4874016.63,215880955.25,667647.83,333790.13,1664980746571,17,16.91
4860300.13,215874745.96,666839.65,333425.40,1664980749564,17,16.91
4839232.04,215894988.09,665591.69,334615.57,1664980752629,17,16.91
4839219.55,215895021.10,665591.05,334617.37,1664980755478,17,16.91
4855339.00,215883527.39,666540.90,333941.47,1664980758555,17,16.91
4863610.67,215902797.41,667026.30,335073.92,1664980761521,17.01,16.91
4856949.57,215906658.80,666633.40,335300.92,1664980764505,17.01,16.91
4860956.20,215895336.06,666868.59,334634.64,1664980767575,17.01,16.91
4863303.65,215897208.55,667006.38,334744.72,1664980770537,17.01,16.91
4863064.94,215897208.55,666992.36,334744.72,1664980773479,17.01,16.91
4890619.67,215864769.00,668609.07,332831.47,1664980776803,17.01,16.91
4853947.56,215882608.12,666450.58,333879.63,1664980780163,17.01,16.91
4853948.29,215889580.48,666450.53,334241.29,1664980783639,17.01,16.91
4842320.68,215887548.27,665760.74,334121.97,1664980787135,17.01,16.91
4820676.86,215893248.57,664487.08,334457.30,1664980790694,17.01,16.91
4820769.04,215880221.65,664492.41,333691.79,1664980793684,17.01,16.91
4823813.87,215875688.26,664677.37,333430.26,1664980797918,17,16.91
4827759.09,215892394.52,664908.64,334411.02,1664980800551,17.01,16.91
4821562.73,215892972.94,664534.64,334446.00,1664980803561,17,16.91
4824802.93,215893688.13,664725.40,334484.66,1664980806611,17,16.91
4866455.88,215895631.13,667177.31,334597.12,1664980810902,17.01,16.91
4850380.13,215904495.94,666231.38,335117.91,1664980815427,17.01,16.91
4848910.72,215903939.90,666108.57,335084.64,1664980818505,17.01,16.91
4833685.66,215908123.93,665212.97,335331.36,1664980821436,17.01,16.91
4837479.88,215908925.65,665436.42,335378.43,1664980824401,17.01,16.91
4825728.77,215891637.17,664746.15,334365.96,1664980827387,17,16.91
4833556.33,215901520.53,665207.40,334945.96,1664980832715,17,16.91
4834298.09,215901518.17,665250.66,334945.96,1664980838097,17,16.91
4875998.76,215897615.53,667738.06,334716.06,1664980844408,17,16.91
4878194.48,215901618.92,667867.30,334951.41,1664980846902,17,16.91
4856568.67,215895086.76,666596.01,334571.86,1664980853012,17,16.91
4874343.62,215904013.15,667644.01,335096.55,1664980859345,17,16.91
4876973.38,215904015.76,667798.92,335096.61,1664980865594,17,16.91
4894716.30,215900911.30,668839.59,334906.48,1664980872004,17.01,16.91
4886858.31,215902256.57,668376.24,334985.57,1664980878436,17.01,16.91
4872136.81,215882060.94,667509.10,333800.20,1664980885450,17,16.91
4890800.77,215880602.11,668598.47,333714.10,1664980892164,17,16.91
4895242.68,215891938.92,668859.55,334380.76,1664980898991,17.01,16.91
4879933.73,215895401.68,667956.76,334584.47,1664980905880,17.01,16.91
4891662.94,215894466.41,668646.91,334529.91,1664980912971,17.01,16.91
4880668.50,215868490.38,667998.01,333002.62,1664980920265,17,16.91
4879555.21,215867169.07,667932.08,332924.66,1664980923371,17,16.91
4879589.19,215868632.28,667934.08,333010.38,1664980926341,17,16.91
4872548.97,215880427.26,667519.09,333704.58,1664980929286,17.01,16.91
4881725.94,215889838.14,668052.18,334238.18,1664980937473,17.02,16.91
4902451.88,215900201.54,669271.89,334845.29,1664980945731,17.02,16.91
4895393.04,215888490.55,668855.75,334157.17,1664980954048,17.02,16.91
4883536.28,215896787.54,668157.13,334636.00,1664980962577,17.02,16.91
4882433.11,215882459.55,668091.77,333794.37,1664980965626,17.02,16.91
4881871.26,215875291.79,668058.62,333373.17,1664980968601,17.02,16.91
4866755.60,215885614.76,667168.98,333979.34,1664980977806,17.02,16.91
4870111.20,215887016.62,667366.62,334052.71,1664980987021,17.02,16.91
4886612.57,215896580.94,668337.91,334614.14,1664980990174,17.02,16.91
