mp,timeStamp,mean,skew
15.98,1665585409255,3378.9978895859936,-3363.0178895859935
15.97,1665585418347,3383.4609525509895,-3367.4909525509897
15.97,1665585421347,3379.224220537842,-3363.2542205378422
15.97,1665585424307,3375.5992981906907,-3359.629298190691
15.97,1665585427421,3372.4628739084505,-3356.4928739084507
15.97,1665585430307,3372.7784643566174,-3356.8084643566176
15.97,1665585434213,3349.9350157664003,-3333.9650157664005
15.97,1665585436564,3324.1530087107985,-3308.1830087107987
15.97,1665585439501,3298.662020564897,-3282.692020564897
15.97,1665585442252,3276.1210480948207,-3260.151048094821
15.97,1665585445310,3255.2668806314528,-3239.296880631453
15.96,1665585448646,3233.1431195741225,-3217.1831195741224
15.96,1665585451568,3209.0675288455664,-3193.1075288455663
15.97,1665585454584,3193.985295333952,-3178.015295333952
15.97,1665585457505,3180.1340883834773,-3164.1640883834775
15.97,1665585460469,3164.504056138142,-3148.534056138142
15.97,1665585463521,3152.748121498293,-3136.7781214982933
15.96,1665585466515,3139.813157463248,-3123.853157463248
15.96,1665585472637,3119.0147746115404,-3103.0547746115403
15.96,1665585475584,3109.5093836255405,-3093.5493836255405
15.96,1665585481683,3089.092610501301,-3073.132610501301
15.96,1665585484724,3078.0580369180852,-3062.098036918085
15.96,1665585490749,3059.9006732093253,-3043.9406732093253
15.96,1665585498961,3044.5041727598696,-3028.5441727598695
15.96,1665585500329,3037.574294369221,-3021.614294369221
15.96,1665585503267,3030.610172386531,-3014.650172386531
15.96,1665585509401,3023.4955665035227,-3007.5355665035227
15.96,1665585511659,3017.5327110822623,-3001.5727110822622
15.96,1665585514023,3011.0559547269663,-2995.0959547269663
15.96,1665585516259,3004.9715921399275,-2989.0115921399274
15.96,1665585519180,2996.5191658834788,-2980.5591658834787
15.97,1665585522229,2990.358356672959,-2974.388356672959
15.97,1665585525424,2984.466057571859,-2968.496057571859
15.97,1665585528500,2978.2046714475496,-2962.2346714475498
15.97,1665585531431,2974.6179484412264,-2958.6479484412266
15.97,1665585534411,2971.8479708581613,-2955.8779708581615
15.96,1665585537543,2967.615277700344,-2951.655277700344
15.96,1665585540493,2964.643346821672,-2948.683346821672
15.96,1665585544211,2961.7477352391306,-2945.7877352391306
15.96,1665585546759,2958.132706011809,-2942.172706011809
15.97,1665585549703,2955.058273577599,-2939.088273577599
15.96,1665585553473,2951.1401131216276,-2935.1801131216275
15.96,1665585561898,2938.8071666978312,-2922.847166697831
15.96,1665585564869,2935.161833402069,-2919.201833402069
15.96,1665585568127,2931.5942554848516,-2915.6342554848516
15.96,1665585577486,2913.5177647630267,-2897.5577647630266
15.96,1665585583481,2904.3022952836645,-2888.3422952836645
15.96,1665585586395,2899.720903722721,-2883.7609037227207
15.96,1665585598829,2883.3084468198495,-2867.3484468198494
15.96,1665585602051,2880.1341679191796,-2864.1741679191796
15.95,1665585617792,2902.7830280643625,-2886.8330280643627
15.96,1665585625279,2908.005594797381,-2892.045594797381
15.96,1665585633081,2906.4841965352343,-2890.5241965352343
15.96,1665585640652,2905.9429705601874,-2889.9829705601874
15.96,1665585651613,2903.0023755003535,-2887.0423755003535
15.97,1665585660519,2902.2192655704425,-2886.2492655704427
15.97,1665585665945,2901.989810518085,-2886.0198105180853
15.96,1665585680823,2900.853507242925,-2884.893507242925
15.96,1665585690040,2900.6364208694663,-2884.6764208694663
15.96,1665585702620,2900.237908610437,-2884.277908610437
15.96,1665585709317,2899.3357278372678,-2883.3757278372677
15.96,1665585719465,2897.7694719038186,-2881.8094719038186
15.96,1665585726692,2897.2091887463002,-2881.2491887463
15.96,1665585734094,2896.034521061093,-2880.074521061093
15.96,1665585748057,2893.7516555485213,-2877.7916555485212
15.96,1665585759432,2892.3320171966793,-2876.3720171966793
15.96,1665585767926,2892.13110946947,-2876.17110946947
15.96,1665585776578,2891.35497156961,-2875.39497156961
15.96,1665585785400,2890.9784542161865,-2875.0184542161865
15.96,1665585795006,2890.401275337246,-2874.4412753372458
15.96,1665585804589,2890.598234326351,-2874.638234326351
15.96,1665585813819,2890.7104148362423,-2874.7504148362423
15.96,1665585823159,2891.155464569995,-2875.195464569995
15.96,1665585832592,2891.545373828635,-2875.585373828635
15.96,1665585842139,2891.8991935607282,-2875.939193560728
15.96,1665585851929,2892.0780500742662,-2876.118050074266
15.96,1665585862035,2892.474164233476,-2876.514164233476
15.96,1665585873155,2892.8346501969045,-2876.8746501969044
15.96,1665585889732,2898.609824272743,-2882.649824272743
15.96,1665585907385,2899.469409118368,-2883.509409118368
15.95,1665585922046,2909.118924766431,-2893.1689247664312
15.96,1665585933843,2909.2242110960033,-2893.2642110960032
15.95,1665585958934,2924.5847866029535,-2908.6347866029537
15.94,1665585973678,2927.2224118146255,-2911.2824118146254
15.94,1665585990428,2933.626466530705,-2917.686466530705
15.95,1665586004398,2936.3910420039365,-2920.4410420039367
15.96,1665586024961,2937.210087395736,-2921.250087395736
15.96,1665586042891,2937.130053772864,-2921.170053772864
